Gene	interpro	SMART	MobiDBLite	GO	SUPERFAMILY	Gene3D	Pfam	PANTHER	PATHWAY	ProSiteProfiles	CDD	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	SignalP_EUK	Hamap	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	ProDom
augustus_masked-NODE_26_length_93683_cov_13.216737-processed-gene-0.44-mRNA-1	IPR014014	SM00487;SM00490	mobidb-lite	GO:0003676;GO:0005524	SSF52540	G3DSA:3.40.50.300	PF00271;PF00270	PTHR24031;PTHR24031:SF25	NA	PS51195;PS51192;PS51194	cd00079;cd00268	PS00039	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_493_length_15895_cov_14.096334-processed-gene-0.8-mRNA-1	IPR016135	SM00212	mobidb-lite		SSF54495	G3DSA:3.10.110.10	PF00179	PTHR43953;PTHR43953:SF2	Reactome: R-HSA-983168	PS50127	cd00195	PS00183	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_460_length_17493_cov_15.174652-processed-gene-0.6-mRNA-1	IPR019402	NA	mobidb-lite	NA	NA	NA	PF10277	PTHR21324:SF2;PTHR21324	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_303_length_27170_cov_14.094072-processed-gene-0.44-mRNA-1	IPR000408	NA	mobidb-lite	NA	SSF50985	G3DSA:2.130.10.30	PF00415;PF13540	PTHR22870:SF179;PTHR22870	NA	PS50012	NA	PS00626;PS00625	NA	NA	PR00633	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_124_length_48425_cov_12.691830-augustus-gene-0.0-mRNA-1	IPR000692	SM01206	mobidb-lite	GO:0003723;GO:0006364;GO:0008168	SSF53335	G3DSA:3.30.200.20;G3DSA:3.40.50.150	PF01269	PTHR10335;PTHR10335:SF4	NA	NA	NA	NA	NA	NA	PR00052	NA	NA	MF_00351	PIRSF006540	NA	NA	NA	NA	NA
maker-NODE_525_length_14462_cov_11.813533-snap-gene-0.1-mRNA-1	IPR005571	NA	mobidb-lite	GO:0003677;GO:0003899;GO:0005634;GO:0006351	SSF53036;SSF55287	G3DSA:3.90.940.20;G3DSA:3.40.1340.10	PF03871;PF01191	PTHR10535	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-452723|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73777|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	NA	NA	NA	NA	NA	NA	NA	NA	MF_00025	PIRSF000747	NA	NA	NA	NA	PD005155
maker-NODE_95_length_57459_cov_14.143550-augustus-gene-0.33-mRNA-1	IPR011989	NA	NA	NA	SSF48371	G3DSA:1.25.10.10	PF08389	PTHR12363;PTHR12363:SF33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_196_length_36747_cov_12.727772-processed-gene-0.80-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR42041	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_266_length_30252_cov_15.070539-snap-gene-0.19-mRNA-1	IPR002058	NA	mobidb-lite	NA	SSF81631;SSF81301	G3DSA:1.10.1410.10;G3DSA:3.30.460.10	PF03828	PTHR12271:SF91;PTHR12271	NA	NA	cd05402	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_84171_cov_14.626077-augustus-gene-0.246-mRNA-1	IPR036259	NA	mobidb-lite	GO:0005215;GO:0016021;GO:0055085	SSF103473	G3DSA:1.20.1720.10	PF07690	PTHR23502;PTHR23502:SF51	NA	PS50850	cd06174	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PR01035	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_195_length_36950_cov_13.398392-processed-gene-0.86-mRNA-1	IPR001138	SM00066	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	NA	PF11951	PTHR12526:SF531;PTHR12526	NA	NA	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_313_length_26420_cov_13.438292-augustus-gene-0.45-mRNA-1	IPR000399	NA	mobidb-lite	GO:0000287;GO:0030976;GO:0003984;GO:0009082;GO:0050660;GO:0003824	SSF52518;SSF52467	G3DSA:3.40.50.970;G3DSA:3.40.50.1220	PF00205;PF02775;PF02776	PTHR18968:SF13;PTHR18968	KEGG: 00290+2.2.1.6|KEGG: 00650+2.2.1.6|KEGG: 00660+2.2.1.6|KEGG: 00770+2.2.1.6|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5938|MetaCyc: PWY-5939|MetaCyc: PWY-6389|MetaCyc: PWY-7111	NA	cd07035;cd02015	PS00187	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	TIGR00118	NA	NA
augustus_masked-NODE_87_length_61508_cov_13.577719-processed-gene-0.10-mRNA-1	IPR033690	NA	NA	GO:0004017;GO:0006172;GO:0005524;GO:0006139;GO:0019205;GO:0016776	SSF52540	G3DSA:3.40.50.300	PF00406;PF05191	PTHR23359;PTHR23359:SF117	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	NA	cd01428	PS00113	NA	NA	PR00094	Coil	NA	MF_03168;MF_00235	NA	NA	NA	TIGR01351	NA	NA
augustus_masked-NODE_5_length_137511_cov_13.139136-processed-gene-0.15-mRNA-1	IPR001199	SM01117	NA	GO:0016627;GO:0055114;GO:0050660;GO:0020037;GO:0003995	SSF56645;SSF55856;SSF47203	G3DSA:3.10.120.10;G3DSA:1.20.140.10;G3DSA:2.40.110.10;G3DSA:1.10.540.10	PF02770;PF00441;PF02771;PF00173	PTHR43604;PTHR43604:SF3	NA	PS50255	NA	PS00191;PS00072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_37_length_84171_cov_14.626077-processed-gene-0.43-mRNA-1	IPR004360	NA	NA	NA	SSF54593	G3DSA:3.10.180.10	PF00903	PTHR35006:SF2;PTHR35006	NA	NA	cd07262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_477_length_16477_cov_12.170887-snap-gene-0.21-mRNA-1	IPR036477	NA	mobidb-lite	GO:0009058;GO:0016742;GO:0006189;GO:0008864	SSF53328;SSF55021	G3DSA:3.30.70.260;G3DSA:3.40.50.170	PF00551;PF01842	PTHR42706	KEGG: 00670+2.1.2.9|KEGG: 00970+2.1.2.9	PS51671	cd04875;cd08648	NA	NA	NA	PR01575	NA	NA	MF_01927	NA	NA	NA	TIGR00655	NA	NA
maker-NODE_96_length_56900_cov_13.689571-snap-gene-0.22-mRNA-1	IPR039697	NA	NA	GO:0016491;GO:0046872;GO:0055114	SSF56796	G3DSA:1.20.1090.10;G3DSA:3.40.50.1970	PF00465	PTHR11496;PTHR11496:SF83	Reactome: R-HSA-880009	NA	cd08190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_135386_cov_13.670565-augustus-gene-0.92-mRNA-1	IPR020846	NA	NA	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	SSF103473	G3DSA:1.20.1250.20	PF00083	PTHR23500;PTHR23500:SF117	Reactome: R-HSA-189200	PS50850	cd06174	PS00217	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PR00171	NA	NA	NA	NA	NA	NA	TIGR00879	NA	NA
snap_masked-NODE_37_length_84171_cov_14.626077-processed-gene-0.51-mRNA-1	IPR036322	SM00320	mobidb-lite	GO:0005515;GO:0003824;GO:0005198;GO:0006886;GO:0016192;GO:0030117	SSF50978;SSF50952	G3DSA:1.25.40.470;G3DSA:2.130.10.10	PF00400;PF04053	PTHR19876:SF2;PTHR19876	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	PS50082;PS50294	cd00200	NA	NA	NA	PR00320	Coil	NA	NA	PIRSF005567	NA	NA	NA	NA	NA
augustus_masked-NODE_158_length_41484_cov_13.690427-processed-gene-0.70-mRNA-1	IPR001356	SM00389	mobidb-lite	GO:0003677;GO:0006355	SSF46689	G3DSA:1.10.10.60	PF05920	PTHR11850	NA	PS50071	cd00086	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-NODE_61_length_69890_cov_14.566891-processed-gene-0.81-mRNA-1	IPR004738	NA	mobidb-lite	GO:0005315;GO:0006817;GO:0016021;GO:0022857;GO:0055085;GO:0005215	SSF103473	NA	PF00083	PTHR24064;PTHR24064:SF325	NA	PS50850	cd06174	PS00217	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	TIGR00887	NA	NA
maker-NODE_27_length_93086_cov_14.125528-snap-gene-0.223-mRNA-1	IPR013083	SM00717;SM00249;SM00439	mobidb-lite	GO:0003682;GO:0003677	SSF57903;SSF46689	G3DSA:3.30.40.10;G3DSA:2.30.30.490;G3DSA:1.10.10.60	PF01426;PF13832;PF13831	PTHR10629;PTHR10629:SF35	NA	PS51293;PS51038;PS51156;PS51805;PS50016	cd15497	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_370_length_22800_cov_12.055793-augustus-gene-0.10-mRNA-1	IPR008271	SM00220	mobidb-lite	GO:0004672;GO:0006468;GO:0005524	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PF00069	PTHR24058;PTHR24058:SF0	NA	PS50011	cd14134	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_135386_cov_13.670565-snap-gene-0.75-mRNA-1	IPR003016	NA	mobidb-lite	GO:0004149;GO:0006099;GO:0045252;GO:0016746	SSF52777;SSF51230	G3DSA:2.40.50.100;G3DSA:3.30.559.10	PF00364;PF00198	PTHR43416:SF5;PTHR43416	Reactome: R-HSA-389661	PS50968	cd06849	PS00189	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	TIGR01347	NA	NA
maker-NODE_85_length_61801_cov_13.682978-snap-gene-0.50-mRNA-1	IPR001932	SM00331;SM00332	mobidb-lite	GO:0003824;GO:0004722;GO:0006470;GO:0043169	SSF81606	G3DSA:3.60.40.10	PF00481	PTHR13832:SF529;PTHR13832	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PS51746	cd00143	PS01032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_102_length_53776_cov_13.442394-snap-gene-0.19-mRNA-1	IPR005821	NA	mobidb-lite	GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0005509	SSF81324	G3DSA:1.10.287.70;G3DSA:1.20.120.350;G3DSA:1.10.238.10	PF00520	PTHR10037;PTHR10037:SF62	NA	PS50222	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_105_length_53299_cov_12.824720-augustus-gene-0.91-mRNA-1	IPR008754	NA	NA	GO:0008237	SSF55486	G3DSA:3.40.390.10	PF05572	PTHR19325:SF492;PTHR19325	Reactome: R-HSA-381426	PS51257	cd04275	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-NODE_60_length_70154_cov_13.482328-processed-gene-0.17-mRNA-1	IPR001623	SM00271	NA	NA	SSF46565	G3DSA:1.10.287.110	PF00226	PTHR44145	NA	PS50076	cd06257	PS00636	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	PR00625	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_298_length_27663_cov_12.503450-snap-gene-0.81-mRNA-1	IPR004123	SM01410	NA	GO:0000398;GO:0046540	SSF52833	G3DSA:3.40.30.10	PF02966	PTHR12052;PTHR12052:SF5	NA	NA	cd02954	NA	NA	NA	NA	NA	NA	NA	PIRSF017199	NA	NA	NA	NA	NA
augustus_masked-NODE_38_length_83942_cov_15.047020-processed-gene-0.12-mRNA-1	NA	NA	NA	NA	NA	NA	NA	PTHR38122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_157_length_42070_cov_12.795127-protein2genome-gene-0.117-mRNA-1	IPR036188	NA	NA	GO:0004729;GO:0006779;GO:0055114;GO:0016491	SSF54373;SSF51905	G3DSA:3.50.50.60	PF01593	PTHR42923:SF3;PTHR42923	KEGG: 00860+1.3.3.4|MetaCyc: PWY-7159|Reactome: R-HSA-189451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00562	NA	NA
maker-NODE_159_length_41165_cov_12.041376-snap-gene-0.114-mRNA-1	IPR008937	SM00229;SM00147	mobidb-lite	GO:0005085;GO:0005622;GO:0007264	SSF48366	G3DSA:1.20.870.10;G3DSA:1.10.840.10	PF00617;PF00618	PTHR23113;PTHR23113:SF244	NA	PS50009;PS50212	cd06224	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_464_length_17304_cov_12.490540-snap-gene-0.34-mRNA-1	IPR027417	NA	NA	GO:0005524;GO:0006139;GO:0019205	SSF52540	G3DSA:3.40.50.300	PF00406	PTHR23359:SF107;PTHR23359	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	NA	cd01428	PS00113	NA	NA	PR00094	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_247_length_31798_cov_12.263743-snap-gene-0.20-mRNA-1	IPR018230	NA	NA	GO:0005634	NA	NA	PF01125	PTHR19411	Reactome: R-HSA-72163	NA	NA	PS00997	NA	NA	PR00322	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_44_length_81021_cov_13.185898-processed-gene-0.171-mRNA-1	IPR001261	NA	NA	GO:0006508;GO:0008237;GO:0016787	SSF53187;SSF55031	G3DSA:3.40.630.10;G3DSA:3.30.70.360	PF01546;PF07687	PTHR43808;PTHR43808:SF12	NA	NA	cd05652	PS00759;PS00758	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-noTM	NA	NA	NA	NA
snap_masked-NODE_126_length_47969_cov_11.650893-processed-gene-0.29-mRNA-1	IPR002889	SM00321	mobidb-lite	NA	NA	NA	PF01822	NA	NA	PS51212	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_303_length_27170_cov_14.094072-augustus-gene-0.1-mRNA-1	IPR009011	NA	mobidb-lite	GO:0006491	SSF50911	G3DSA:2.70.130.10	PF13015;PF12999	PTHR12630;PTHR12630:SF1	Reactome: R-HSA-381426|Reactome: R-HSA-532668|Reactome: R-HSA-879415|Reactome: R-HSA-8957275|Reactome: R-HSA-901042	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	Coil	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_598_length_11667_cov_11.136568-processed-gene-0.2-mRNA-1	IPR005144	SM00747	mobidb-lite	GO:0055114;GO:0006260;GO:0004748;GO:0005524	SSF48168;SSF51998	G3DSA:3.20.70.20	PF02867;PF05730;PF03477;PF00317	PTHR11573;PTHR11573:SF6	Reactome: R-HSA-499943	PS51161	cd01679	PS00089	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PR01183	NA	NA	NA	NA	NA	NA	TIGR02506	NA	NA
maker-NODE_735_length_7623_cov_12.968116-snap-gene-0.16-mRNA-1	IPR036457	SM00332	mobidb-lite	GO:0003824;GO:0004722;GO:0006470	SSF81606	NA	PF00481	PTHR13832;PTHR13832:SF503	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PS51746	cd00143	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_433_length_18905_cov_10.746246-augustus-gene-0.57-mRNA-1	IPR027815	NA	mobidb-lite	GO:0016020	NA	NA	PF14703;PF13967;PF12621;PF02714	PTHR13018;PTHR13018:SF53	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_69_length_66975_cov_13.959685-augustus-gene-0.32-mRNA-1	IPR001199	SM01117	NA	GO:0006629;GO:0016021;GO:0016491	SSF55856	G3DSA:3.10.120.10	PF00487;PF00173	PTHR19353;PTHR19353:SF30	NA	PS50255	cd03506	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	PR00363	NA	NA	NA	PIRSF015921	NA	NA	NA	NA	NA
snap_masked-NODE_134_length_46853_cov_12.818302-processed-gene-0.2-mRNA-1	IPR002202	NA	mobidb-lite	GO:0004420;GO:0015936;GO:0050662;GO:0055114;GO:0016616;GO:0008299;GO:0016021;GO:0050661	SSF56542;SSF55035	G3DSA:1.10.3270.10;G3DSA:3.90.770.10;G3DSA:3.30.70.420	PF00368;PF13323;PF12349	PTHR10572:SF2;PTHR10572	KEGG: 00900+1.1.1.34|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	PS50156;PS50065	cd00643	PS00318;PS01192;PS00066	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PR00071	NA	NA	NA	NA	NA	NA	TIGR00533	NA	NA
augustus_masked-NODE_13_length_110199_cov_12.958545-processed-gene-0.38-mRNA-1	IPR001216	NA	NA	GO:0006535	SSF53686	G3DSA:3.40.50.1100	PF00291	PTHR10314:SF35;PTHR10314	NA	NA	cd01561	PS00901	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_119193_cov_13.835091-processed-gene-0.17-mRNA-1	IPR016024	NA	mobidb-lite	GO:0042254	SSF48371;SSF54637	G3DSA:3.10.129.10	PF03914;PF03061	PTHR12048	Reactome: R-HSA-77289	NA	cd03443	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_155132_cov_13.519809-processed-gene-0.298-mRNA-1	IPR020850	SM00053	mobidb-lite	GO:0005525;GO:0003924	SSF52540	G3DSA:3.40.50.300	PF00350;PF01031;PF02212	PTHR11566:SF137;PTHR11566	NA	PS51388;PS51718	cd08771	NA	NA	NA	PR00195	Coil	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_178588_cov_14.108595-processed-gene-0.325-mRNA-1	IPR029044	NA	NA	GO:0016758	SSF53448	G3DSA:3.90.550.10	PF03142	PTHR22914;PTHR22914:SF21	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_138_length_45504_cov_13.169535-processed-gene-0.113-mRNA-1	IPR002068	NA	mobidb-lite	NA	SSF49764	NA	PF00011	PTHR43670:SF5;PTHR43670	NA	PS01031	cd06464	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_485_length_16290_cov_11.581328-snap-gene-0.8-mRNA-1	IPR019388	NA	mobidb-lite	GO:0005789;GO:0019915	NA	NA	PF10261	PTHR23129:SF0;PTHR23129	Reactome: R-HSA-8964572	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-NODE_19_length_100030_cov_13.772870-processed-gene-0.28-mRNA-1	IPR002307	NA	mobidb-lite	GO:0000166;GO:0004831;GO:0005524;GO:0005737;GO:0006437;GO:0055085;GO:0004812;GO:0006418	SSF52374	G3DSA:3.40.50.620;G3DSA:1.10.240.10	PF03169;PF00579	PTHR22601;PTHR22601:SF9	KEGG: 00970+6.1.1.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PR01040	NA	NA	NA	NA	NA	NA	TIGR00234;TIGR00728;TIGR00727	NA	NA
augustus_masked-NODE_266_length_30252_cov_15.070539-processed-gene-0.7-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	PTHR37013	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_502_length_15652_cov_14.207729-augustus-gene-0.23-mRNA-1	IPR000270	SM00312;SM00666	mobidb-lite	GO:0005515;GO:0035091;GO:0000902	SSF64268;SSF54277	G3DSA:3.10.20.90;G3DSA:3.30.1520.10	PF00787;PF00564	PTHR45397	NA	PS51745;PS50195	cd05992;cd06890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1074_length_3267_cov_12.026433-processed-gene-0.0-mRNA-1	IPR034186	SM00393;SM00360	mobidb-lite	GO:0003676	SSF82708;SSF54928	G3DSA:3.30.1370.50;G3DSA:3.30.70.330	PF00076;PF01424	PTHR23003:SF17;PTHR23003	NA	PS50102;PS51061	cd12253	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_233_length_33451_cov_13.785980-augustus-gene-0.2-mRNA-1	IPR039667	SM00014	NA	GO:0016787	SSF48317	G3DSA:1.20.144.10	PF01569	PTHR11247;PTHR11247:SF1	Reactome: R-HSA-446199	NA	cd03382	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_185_length_38646_cov_13.985981-snap-gene-0.2-mRNA-1	IPR001965	SM00249;SM01408	mobidb-lite	NA	SSF57903	G3DSA:3.30.40.10	PF12998	PTHR10333;PTHR10333:SF42	NA	PS50016	cd15505	PS01359	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_396_length_20577_cov_13.067579-snap-gene-0.17-mRNA-1	NA	NA	NA	NA	NA	NA	PF02466	PTHR10485;PTHR10485:SF0	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_278_length_28968_cov_13.746645-snap-gene-0.70-mRNA-1	IPR007271	NA	NA	GO:0000139;GO:0015165;GO:0016021;GO:0090481	SSF103481	NA	PF04142	PTHR13146;PTHR13146:SF0	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	SignalP-noTM	NA	PIRSF036436	NA	NA	NA	NA	NA
maker-NODE_160_length_40994_cov_13.364304-augustus-gene-0.131-mRNA-1	IPR025925	NA	mobidb-lite	GO:0008017	NA	NA	PF14197;PF06657	PTHR19336:SF9;PTHR19336	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_116_length_50368_cov_13.631218-processed-gene-0.125-mRNA-1	IPR012472	NA	mobidb-lite	GO:0032592;GO:0055088	NA	NA	PF07950	PTHR38409	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_34_length_89184_cov_12.718270-processed-gene-0.229-mRNA-1	IPR012541	SM00490;SM01123;SM00487	mobidb-lite	GO:0003723;GO:0004004;GO:0005524;GO:0005634;GO:0003676	SSF52540	G3DSA:3.40.50.300	PF08147;PF00271;PF00270	PTHR24031:SF292;PTHR24031	NA	PS51195;PS51192;PS51194	cd00268;cd00079	PS00039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD024971
