Gene	interpro	GO	SMART	Pfam	PANTHER	Gene3D	SUPERFAMILY	ProSiteProfiles	MobiDBLite	CDD	Coils	PATHWAY	ProSitePatterns	PIRSF	PRINTS	Phobius	TMHMM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	Hamap	ProDom
maker-NODE_53_length_203429_cov_38.242064-augustus-gene-0.27-mRNA-1	IPR004839	GO:0009058;GO:0030170;GO:0003824;GO:0006520;GO:0008483	NA	PF00155	PTHR11879:SF10;PTHR11879	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	SSF53383	NA	NA	cd00609	NA	KEGG: 00220+2.6.1.1|KEGG: 00250+2.6.1.1|KEGG: 00270+2.6.1.1|KEGG: 00330+2.6.1.1|KEGG: 00350+2.6.1.1|KEGG: 00360+2.6.1.1|KEGG: 00400+2.6.1.1|KEGG: 00401+2.6.1.1|KEGG: 00710+2.6.1.1|KEGG: 00950+2.6.1.1|KEGG: 00960+2.6.1.1|MetaCyc: PWY-5913|MetaCyc: PWY-6638|MetaCyc: PWY-6642|MetaCyc: PWY-6643|MetaCyc: PWY-7115|MetaCyc: PWY-7117|MetaCyc: PWY-7383	PS00105	NA	PR00799	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_74_length_139877_cov_44.141445-augustus-gene-0.21-mRNA-1	IPR011701	GO:0016021;GO:0055085	NA	PF07690	PTHR23502:SF21;PTHR23502	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	SSF103473	PS50850	mobidb-lite	cd06174	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_332001_cov_32.844372-augustus-gene-1.0-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_320397_cov_47.034040-augustus-gene-2.7-mRNA-1	IPR005475	GO:0004591;GO:0006099;GO:0030976;GO:0055114;GO:0016624	SM00861	PF02779;PF00676;PF16870;PF16078	PTHR23152:SF4;PTHR23152	G3DSA:1.10.287.1150;G3DSA:3.40.50.11610;G3DSA:3.40.50.12470;G3DSA:3.40.50.970	SSF52518	NA	mobidb-lite	cd02016	NA	KEGG: 00020+1.2.4.2|KEGG: 00310+1.2.4.2|KEGG: 00380+1.2.4.2|MetaCyc: PWY-5084	NA	PIRSF000157	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	SignalP-TM	TIGR00239	NA	NA	NA
augustus_masked-NODE_106_length_82641_cov_55.613035-processed-gene-0.21-mRNA-1	IPR007312	GO:0016788;GO:0003824	NA	PF04185	PTHR31956:SF1;PTHR31956	G3DSA:3.40.720.10	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_53_length_203429_cov_38.242064-augustus-gene-1.28-mRNA-1	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	NA	PF00067	PTHR24305:SF110;PTHR24305	G3DSA:1.10.630.10	SSF48264	NA	mobidb-lite	NA	NA	NA	PS00086	NA	PR00385;PR00463	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_422333_cov_46.772682-augustus-gene-3.2-mRNA-1	IPR004014	GO:0005388;GO:0005524;GO:0016020;GO:0070588;GO:0016021;GO:0000166	SM00831	PF00122;PF00702;PF13246;PF00689;PF00690	PTHR24093;PTHR24093:SF346	G3DSA:2.70.150.10;G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	SSF81653;SSF81665;SSF56784;SSF81660	NA	mobidb-lite	NA	NA	Reactome: R-HSA-936837	PS00154	NA	PR00119	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	TIGR01517;TIGR01494	SFLDG00002;SFLDF00027	NA	NA
maker-NODE_21_length_366562_cov_50.008967-augustus-gene-0.2-mRNA-1	IPR011016	GO:0008270	SM00744	PF12906	PTHR13145	G3DSA:3.30.40.10	SSF57850	PS51292	mobidb-lite	cd16702	NA	MetaCyc: PWY-7511	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_183_length_12383_cov_45.699086-processed-gene-0.3-mRNA-1	IPR000308	GO:0019904	SM00101	PF00244	PTHR18860;PTHR18860:SF39	G3DSA:1.20.190.20	SSF48445	NA	NA	NA	NA	Reactome: R-HSA-111447|Reactome: R-HSA-1445148|Reactome: R-HSA-5625740|Reactome: R-HSA-5628897|Reactome: R-HSA-75035	PS00796	NA	PR00305	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_399465_cov_44.223703-augustus-gene-1.8-mRNA-1	IPR013087	GO:0003676	SM00355	PF00096	PTHR44280	G3DSA:3.30.160.60	SSF57667	PS50157	mobidb-lite	NA	NA	NA	PS00028	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_26_length_326154_cov_40.733596-augustus-gene-2.33-mRNA-1	IPR015422	GO:0003824;GO:0004372;GO:0019264;GO:0030170;GO:0035999	NA	PF00464	PTHR11680:SF25;PTHR11680	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	SSF53383	NA	NA	cd00378	NA	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	PS00096	PIRSF000412	NA	NA	NA	NA	NA	NA	NA	NA	MF_00051	NA
maker-NODE_50_length_212868_cov_52.920913-augustus-gene-1.51-mRNA-1	IPR017884	GO:0003677;GO:0003682	SM00717;SM00249;SM00439	PF13832;PF13831;PF01426	PTHR10629;PTHR10629:SF35	G3DSA:2.30.30.490;G3DSA:3.30.40.10;G3DSA:1.10.10.60	SSF46689;SSF57903	PS51293;PS51038;PS51805;PS50016;PS51156	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_473019_cov_49.377120-augustus-gene-3.13-mRNA-1	IPR006593	NA	SM00665	PF03188;PF16010	PTHR23130;PTHR23130:SF115	G3DSA:2.60.40.1210;G3DSA:1.20.120.1770	SSF49344	NA	NA	cd09630;cd08760	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	TMhelix	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_11_length_501630_cov_42.910320-processed-gene-0.17-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NODE_8_length_589706_cov_44.515434-augustus-gene-4.22-mRNA-1	IPR003395	GO:0005515;GO:0005524;GO:0005694;GO:0051276;GO:0003682;GO:0007064;GO:0008278;GO:0046982	SM00968	PF02463;PF06470	PTHR18937;PTHR18937:SF12	G3DSA:3.30.70.1620;G3DSA:3.40.50.300;G3DSA:1.20.1060.20	SSF52540;SSF75553	NA	mobidb-lite	cd03275	Coil	NA	NA	PIRSF005719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_923648_cov_49.367359-augustus-gene-8.3-mRNA-1	IPR016036	GO:0016740	SM00827	PF00698	PTHR42681:SF1;PTHR42681	G3DSA:3.30.70.250;G3DSA:3.40.366.10	SSF55048;SSF52151	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_672795_cov_35.514266-processed-gene-5.12-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_303124_cov_51.905705-augustus-gene-1.9-mRNA-1	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SM00382	PF00005;PF00664	PTHR24221:SF406;PTHR24221	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF52540;SSF90123	PS50893;PS50929	mobidb-lite	NA	NA	NA	PS00211	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_135_length_53722_cov_52.965333-augustus-gene-0.12-mRNA-1	IPR004834	GO:0004100;GO:0006031;GO:0016758	NA	PF01644;PF08407	PTHR22914;PTHR22914:SF11	NA	SSF53448	NA	mobidb-lite	cd04190	Coil	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	PD002998
maker-NODE_4_length_775689_cov_45.339792-augustus-gene-6.68-mRNA-1	IPR019734	GO:0005515;GO:0005741;GO:0006886;GO:0015450	SM00028	PF13432;PF13431	PTHR22904:SF501;PTHR22904	G3DSA:1.25.40.10	SSF48452	PS50005;PS50293	mobidb-lite	NA	Coil	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TIGR00990	NA	NA	NA
maker-NODE_10_length_533797_cov_51.760206-augustus-gene-2.14-mRNA-1	IPR005123	GO:0016491;GO:0055114	NA	PF03171;PF14226	PTHR10209;PTHR10209:SF388	G3DSA:2.60.120.330	SSF51197	PS51471	NA	NA	NA	NA	NA	NA	PR00682	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_31_length_306659_cov_41.519094-processed-gene-1.23-mRNA-1	IPR029052	GO:0000298;GO:0005773;GO:0016021	NA	NA	PTHR10340;PTHR10340:SF13	G3DSA:3.60.21.10	SSF56300	NA	mobidb-lite	NA	Coil	NA	NA	PIRSF027093	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_51_length_210707_cov_53.433251-augustus-gene-0.14-mRNA-1	IPR013248	NA	SM00786	PF08229	PTHR28228:SF1;PTHR28228	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF029187	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_422333_cov_46.772682-augustus-gene-2.39-mRNA-1	IPR021894	GO:0005515	NA	PF12014	PTHR22990:SF27;PTHR22990	NA	SSF81383	PS50181	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_835251_cov_43.524260-augustus-gene-0.19-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_366562_cov_50.008967-processed-gene-2.51-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468	SM00220	PF00069	PTHR24343:SF191;PTHR24343	G3DSA:1.10.510.10	SSF56112	PS50011	mobidb-lite	NA	Coil	NA	PS00108	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_366562_cov_50.008967-augustus-gene-0.4-mRNA-1	IPR028209	GO:0001919;GO:0007040;GO:0016197;GO:0031902;GO:0032008;GO:0042632;GO:0043410;GO:0045121;GO:0071230;GO:0071986	SM01262	PF15454	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1632852|Reactome: R-HSA-165159|Reactome: R-HSA-166208|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6798695|Reactome: R-HSA-8943724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_775689_cov_45.339792-augustus-gene-1.18-mRNA-1	IPR001248	GO:0016020;GO:0022857;GO:0055085	NA	PF02133	PTHR30618;PTHR30618:SF11	G3DSA:1.10.4160.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_109_length_81041_cov_40.406901-processed-gene-0.4-mRNA-1	IPR004827	GO:0003700;GO:0006355	SM00338	PF00170	PTHR19304;PTHR19304:SF5	G3DSA:1.20.5.170	SSF57959	PS50217	mobidb-lite	cd14687	Coil	NA	PS00036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_134_length_54660_cov_34.013973-processed-gene-0.4-mRNA-1	IPR020846	GO:0016021;GO:0055085	NA	PF07690	PTHR23501;PTHR23501:SF143	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	SSF103473	PS50850	mobidb-lite	cd06174	NA	NA	NA	NA	PR01036	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_358045_cov_48.915774-processed-gene-1.27-mRNA-1	IPR007300	NA	NA	PF04172	PTHR30249:SF0;PTHR30249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_36_length_287812_cov_44.543900-augustus-gene-0.6-mRNA-1	IPR003114	NA	SM00313	PF13824;PF02194	PTHR28069	NA	SSF144232	PS51207	mobidb-lite	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	PD039565
maker-NODE_24_length_337529_cov_39.967259-augustus-gene-0.8-mRNA-1	IPR003593	GO:0003777;GO:0007018;GO:0030286;GO:0005524	SM00382	PF03028;PF18198;PF17857;PF17852;PF12780;PF08393;PF12774;PF12781;PF12777;PF08385;PF12775	PTHR10676;PTHR10676:SF314	G3DSA:3.40.50.300;G3DSA:1.10.8.710;G3DSA:1.20.920.30;G3DSA:1.20.140.100;G3DSA:1.10.8.1220;G3DSA:3.40.50.11510;G3DSA:3.20.180.20;G3DSA:1.20.920.20;G3DSA:1.10.8.720;G3DSA:1.10.472.130;G3DSA:1.20.58.1120	SSF52540	NA	NA	cd00009	Coil	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_358045_cov_48.915774-processed-gene-0.4-mRNA-1	IPR018935	GO:0004674;GO:0005524	SM00090	PF01163	PTHR10593:SF23;PTHR10593	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	NA	mobidb-lite	cd05147	Coil	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	PS01245	PIRSF038147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_41_length_270935_cov_45.967634-processed-gene-1.1-mRNA-1	IPR003010	GO:0006807	NA	PF00795	PTHR23088;PTHR23088:SF30	G3DSA:3.60.110.10	SSF56317	PS50263	mobidb-lite	cd07572	NA	NA	PS01227	NA	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_167_length_24272_cov_31.761938-processed-gene-0.0-mRNA-1	IPR024368	NA	NA	PF12855	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_592919_cov_50.166630-processed-gene-4.58-mRNA-1	IPR013320	GO:0005618;GO:0016798;GO:0071555;GO:0008061;GO:0004553;GO:0005975	NA	PF00722	PTHR10963;PTHR10963:SF22	G3DSA:2.60.120.200	SSF49899	PS51762	mobidb-lite	cd02183	NA	NA	PS00026	PIRSF037299	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
augustus_masked-NODE_36_length_287812_cov_44.543900-processed-gene-1.49-mRNA-1	IPR035994	GO:0003824;GO:0009116;GO:0005515	SM01050	PF09732;PF10312	PTHR21737:SF4;PTHR21737	G3DSA:3.40.50.1580	SSF53167	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_597252_cov_45.352752-augustus-gene-0.30-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_337529_cov_39.967259-processed-gene-1.27-mRNA-1	IPR008936	GO:0007165	SM00132;SM00324	PF00412;PF00620	PTHR23176:SF100;PTHR23176	G3DSA:2.10.110.10;G3DSA:1.10.555.10	SSF48350	PS50023;PS50238	mobidb-lite	cd00159;cd09395;cd09394	Coil	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_178_length_15974_cov_53.950653-augustus-gene-0.5-mRNA-1	IPR003094	GO:0003824;GO:0005524;GO:0006003;GO:0003873;GO:0006000	SM00855	PF01591;PF00300	PTHR10606;PTHR10606:SF32	NA	SSF53254;SSF52540	NA	mobidb-lite	cd07067	NA	KEGG: 00051+2.7.1.105+3.1.3.46|Reactome: R-HSA-70171	PS00175	PIRSF000709	PR00991	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_163965_cov_47.333183-augustus-gene-0.5-mRNA-1	IPR035441	GO:0005634	NA	PF08711	PTHR22908;PTHR22908:SF70	G3DSA:1.20.930.10	SSF47676	PS51319	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_672795_cov_35.514266-processed-gene-3.50-mRNA-1	IPR023696		NA	PF00850	PTHR10625:SF175;PTHR10625	G3DSA:3.40.800.20	SSF52768	NA	mobidb-lite	cd09998	Coil	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862	NA	NA	PR01270	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_404132_cov_53.888514-processed-gene-3.37-mRNA-1	IPR004910	NA	NA	PF03226	PTHR13848;PTHR13848:SF37	NA	NA	PS51792	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_797078_cov_49.968901-augustus-gene-2.24-mRNA-1	IPR001461	GO:0004190;GO:0006508	NA	PF00026	PTHR13683;PTHR13683:SF416	G3DSA:2.40.70.10	SSF50630	PS51767	NA	NA	NA	NA	PS00141	NA	PR00792	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_270935_cov_45.967634-augustus-gene-0.20-mRNA-1	IPR023213	GO:0003824;GO:0055114;GO:0016740;GO:0016491;GO:0031177	SM00825;SM00829;SM00822;SM00826;SM00823;SM00827	PF16197;PF00501;PF00668;PF08240;PF08659;PF00109;PF00550;PF00698;PF02801;PF14765;PF00107;PF07993	PTHR43775;PTHR43775:SF7	G3DSA:3.30.559.10;G3DSA:3.90.180.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.720;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.30.300.30;G3DSA:3.40.366.10;G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:3.30.70.3290	SSF51735;SSF55048;SSF52777;SSF47336;SSF50129;SSF56801;SSF53901;SSF52151	PS50075	mobidb-lite	cd05930;cd05195;cd00833	NA	Reactome: R-HSA-389661	PS00455;PS00606	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TIGR01733	NA	NA	NA
maker-NODE_103_length_87762_cov_39.171267-augustus-gene-0.11-mRNA-1	IPR002999	NA	SM00333	PF18115	PTHR13681;PTHR13681:SF26	G3DSA:2.30.30.140	SSF63748	NA	mobidb-lite	cd04508	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_775689_cov_45.339792-processed-gene-1.15-mRNA-1	IPR011761	GO:0005524;GO:0046872;GO:0004641;GO:0006189;GO:0004637;GO:0009113	SM01210;SM01209	PF02843;PF02844;PF02769;PF00586;PF01071	PTHR10520	G3DSA:3.30.1490.20;G3DSA:3.30.1330.10;G3DSA:3.90.600.10;G3DSA:3.90.650.10;G3DSA:3.40.50.20;G3DSA:3.30.470.20	SSF56042;SSF51246;SSF52440;SSF56059;SSF55326	PS50975	NA	cd02196	NA	KEGG: 00230+6.3.3.1|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|Reactome: R-HSA-73817	PS00184	NA	NA	NA	NA	NA	NA	NA	TIGR00878;TIGR00877	NA	MF_00138;MF_00741	NA
maker-NODE_23_length_358045_cov_48.915774-augustus-gene-1.3-mRNA-1	IPR014043	GO:0016740;GO:0003824;GO:0016491;GO:0031177	SM00829;SM00825;SM00827;SM00826;SM00823;SM00822	PF00698;PF16197;PF08242;PF14765;PF13602;PF08659;PF00550;PF02801;PF00109	PTHR43775;PTHR43775:SF7	G3DSA:3.40.366.10;G3DSA:3.40.50.150;G3DSA:3.30.70.3290;G3DSA:3.90.180.10;G3DSA:3.10.129.110;G3DSA:3.40.47.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.720	SSF53901;SSF55048;SSF52151;SSF51735;SSF50129;SSF53335;SSF47336	PS50075	mobidb-lite	cd05195;cd05274;cd02440;cd00833	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	PS00606;PS00012	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA
maker-NODE_78_length_126863_cov_55.837205-augustus-gene-0.5-mRNA-1	IPR000571	GO:0046872;GO:0000398;GO:0003723;GO:0089701;GO:0003676	SM00356	PF00642	PTHR12620:SF8;PTHR12620	G3DSA:3.30.70.330	SSF54928	PS50103;PS50102	mobidb-lite	cd12538	NA	NA	NA	NA	PR01848	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_280547_cov_51.498181-augustus-gene-0.19-mRNA-1	IPR036291		NA	PF04321	PTHR10491	G3DSA:3.40.50.720	SSF51735	NA	NA	cd05254	NA	Reactome: R-HSA-156581|Reactome: R-HSA-5689880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_303124_cov_51.905705-augustus-gene-1.7-mRNA-1	IPR005378	GO:0015031;GO:0030906;GO:0042147	NA	PF03635	PTHR11099:SF0;PTHR11099	G3DSA:1.25.40.660	NA	NA	mobidb-lite	NA	NA	Reactome: R-HSA-3238698	NA	PIRSF009375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_141_length_46654_cov_38.744256-augustus-gene-0.13-mRNA-1	IPR019531	NA	NA	PF02466	PTHR15460	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF013674	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_192955_cov_41.491173-augustus-gene-0.41-mRNA-1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	SM00220	PF00069	PTHR24356:SF0;PTHR24356	G3DSA:3.30.200.20;G3DSA:1.10.510.10	SSF56112	PS50011;PS51285	mobidb-lite	NA	NA	NA	PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_268531_cov_43.907632-processed-gene-1.16-mRNA-1	IPR000330	GO:0005524	SM00487;SM00490	PF00176;PF00271	PTHR10799:SF870;PTHR10799	G3DSA:3.40.50.300;G3DSA:3.40.50.10810;G3DSA:3.30.40.10	SSF52540;SSF57850	PS50089;PS51194;PS51192	mobidb-lite	cd16449;cd00046;cd00079	Coil	NA	PS00518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_102_length_87787_cov_52.620237-processed-gene-0.23-mRNA-1	IPR001680	GO:0005515	SM00320	PF05773;PF17120;PF00400	PTHR22850:SF149;PTHR22850	G3DSA:3.10.110.10	SSF50978	PS50082;PS50908;PS50294	mobidb-lite	NA	NA	NA	PS00678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
