Gene	Gene3D	TMHMM	Phobius	PANTHER	SUPERFAMILY	interpro	GO	PATHWAY	Pfam	PIRSF	MobiDBLite	SMART	Coils	ProSiteProfiles	CDD	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	ProSitePatterns	Hamap	PRINTS	TIGRFAM	SFLD	ProDom
maker-NODE_183_length_45644_cov_32.763012-augustus-gene-0.5-mRNA-1	G3DSA:1.50.10.150	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR31686	NA	IPR038665	GO:0016021;GO:0055085	NA	PF03595	NA	mobidb-lite	NA	NA	NA	cd09318	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1248_length_3305_cov_19.345815-processed-gene-0.1-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR37992	NA	IPR013920	NA	NA	PF08611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_120_length_57101_cov_32.414329-augustus-gene-0.1-mRNA-1	G3DSA:1.50.10.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR11742:SF29;PTHR11742	SSF48225	IPR012341	GO:0003824;GO:0004571;GO:0005509;GO:0016020	NA	PF01532	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00747	NA	NA	NA
augustus_masked-NODE_258_length_37704_cov_29.971818-processed-gene-0.7-mRNA-1	G3DSA:1.25.40.10	NA	NA	PTHR14027	SSF48452;SSF81901	IPR013026	GO:0005515;GO:0006355;GO:0016570	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955|Reactome: R-HSA-8866654	PF13432;PF13181	NA	mobidb-lite	SM00028	Coil	PS50293;PS50005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_36_length_88520_cov_30.676818-processed-gene-0.15-mRNA-1	G3DSA:3.30.870.10	NA	NA	PTHR21248;PTHR21248:SF11	SSF56024	IPR001736	GO:0003824	Reactome: R-HSA-1483148	PF13091	NA	NA	SM00155	NA	PS50035	cd00138	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_587_length_16765_cov_28.257904-processed-gene-0.0-mRNA-1	G3DSA:3.20.20.10	NA	NA	PTHR10146:SF5;PTHR10146	SSF51419	IPR029066	GO:0030170	KEGG: 00473+5.1.1.1|MetaCyc: PWY-7383	PF01168	PIRSF004848	NA	NA	NA	NA	cd06822	NA	NA	NA	NA	MF_02087	NA	TIGR00044	NA	NA
maker-NODE_246_length_39325_cov_30.891984-augustus-gene-0.16-mRNA-1	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR43791:SF46;PTHR43791	SSF103473	IPR020846	GO:0016021;GO:0055085	NA	PF07690	NA	mobidb-lite	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_143_length_53709_cov_31.414486-augustus-gene-0.18-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR31632:SF2;PTHR31632	NA	IPR004923	GO:0005381;GO:0016020;GO:0033573;GO:0034755	NA	PF03239	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_237_length_40185_cov_30.146088-augustus-gene-0.8-mRNA-1	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_99_length_60668_cov_27.398705-processed-gene-0.6-mRNA-1	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	PTHR37273	SSF50475	NA	NA	NA	PF13883	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_270_length_36316_cov_33.424466-augustus-gene-0.1-mRNA-1	G3DSA:2.70.150.10;G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR42861:SF12;PTHR42861	SSF81660;SSF81665;SSF81653;SSF56784	IPR006414	GO:0006812;GO:0016021;GO:0019829;GO:0000166	Reactome: R-HSA-936837	PF00702;PF00122;PF00690;PF00689	NA	mobidb-lite	SM00831	NA	NA	NA	NA	NA	NA	PS00154	NA	PR00119;PR00120	TIGR01523;TIGR01494	SFLDG00002;SFLDF00027	NA
augustus_masked-NODE_175_length_46327_cov_29.029113-processed-gene-0.17-mRNA-1	G3DSA:2.30.30.100	NA	NA	PTHR10701:SF0;PTHR10701	SSF50182	IPR010920	NA	NA	PF01423	NA	mobidb-lite	SM00651	NA	NA	cd01717	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_126849_cov_29.458295-augustus-gene-0.38-mRNA-1	G3DSA:1.25.40.10;G3DSA:1.10.260.100	NA	NA	PTHR22904:SF488;PTHR22904	SSF48452	IPR019734	GO:0005515	NA	PF13424;PF17830	NA	mobidb-lite	SM00028;SM00727	NA	PS50005;PS50293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_92024_cov_30.728979-processed-gene-0.30-mRNA-1	G3DSA:2.40.100.10	NA	NA	PTHR11071;PTHR11071:SF152	SSF50891	IPR020892	GO:0003755;GO:0006457;GO:0000413	NA	PF00160	NA	mobidb-lite	NA	NA	PS50072	cd01925	NA	NA	NA	PS00170	NA	PR00153	NA	NA	NA
maker-NODE_14_length_126849_cov_29.458295-augustus-gene-0.46-mRNA-1	G3DSA:3.40.47.10	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR11712:SF299;PTHR11712	SSF53901	IPR016039	GO:0003824;GO:0006633;GO:0016747	NA	PF02801;PF00109	PIRSF000447	NA	SM00825	NA	NA	cd00834	NA	NA	NA	PS00606	NA	NA	TIGR03150	NA	NA
augustus_masked-NODE_545_length_18439_cov_31.280090-processed-gene-0.0-mRNA-1	G3DSA:2.40.50.1060;G3DSA:3.30.1490.120	NA	NA	PTHR12709;PTHR12709:SF5	NA	IPR036898	GO:0003899;GO:0006351	NA	PF17875	NA	mobidb-lite	NA	Coil	NA	cd04328	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_909_length_7930_cov_30.165577-augustus-gene-0.2-mRNA-1	G3DSA:1.10.20.10;G3DSA:1.20.920.10	NA	NA	PTHR22880:SF223;PTHR22880	SSF47370	IPR001487	GO:0005515;GO:0000124;GO:0046695;GO:0046982	NA	PF00439;PF07524	NA	mobidb-lite	SM00297	Coil	PS50014	cd05510	NA	NA	NA	PS00633	NA	PR00503	NA	NA	NA
maker-NODE_43_length_83637_cov_32.832296-augustus-gene-0.3-mRNA-1	G3DSA:1.10.20.10	NA	NA	PTHR10252;PTHR10252:SF5	SSF47113	IPR003958	GO:0046982	NA	PF00808	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_335_length_31452_cov_29.493184-augustus-gene-0.1-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR35895	NA	IPR022185	NA	NA	PF12505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_119080_cov_32.377023-processed-gene-0.29-mRNA-1	G3DSA:3.40.20.10	NA	NA	PTHR11977;PTHR11977:SF55	SSF55753	IPR025118	GO:0051015;GO:0030036;GO:0051014	NA	PF13254	NA	mobidb-lite	SM00262	NA	NA	NA	NA	NA	NA	NA	NA	PR00597	NA	NA	NA
augustus_masked-NODE_173_length_46499_cov_28.401471-processed-gene-0.5-mRNA-1	G3DSA:3.40.50.150	NA	NA	PTHR43591;PTHR43591:SF12	SSF53335	IPR029063	NA	NA	PF13489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_73_length_70178_cov_29.909780-augustus-gene-0.8-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR24223;PTHR24223:SF332	SSF52540;SSF90123	IPR027417	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0008559;GO:0042908	NA	PF00005;PF00664	NA	mobidb-lite	SM00382	Coil	PS50893;PS50929	cd03244;cd03250	NA	NA	NA	PS00211	NA	NA	NA	NA	NA
maker-NODE_88_length_63900_cov_28.627381-augustus-gene-0.16-mRNA-1	G3DSA:3.40.50.880;G3DSA:3.30.300.10;G3DSA:3.40.50.620	NA	NA	PTHR11922;PTHR11922:SF2	SSF52317;SSF54810;SSF52402	IPR029062	GO:0003922;GO:0005524;GO:0006177;GO:0006164;GO:0016462	KEGG: 00230+6.3.5.2|KEGG: 00983+6.3.5.2|MetaCyc: PWY-7221|Reactome: R-HSA-73817	PF02540;PF00958;PF00117	NA	NA	NA	Coil	PS51273;PS51553	cd01742;cd01997	NA	NA	NA	NA	NA	PR00096;PR00097	TIGR00888	NA	NA
augustus_masked-NODE_592_length_16671_cov_26.898211-processed-gene-0.3-mRNA-1	G3DSA:2.40.40.10	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR34586	SSF50685	IPR036908	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	PR01217	NA	NA	NA
maker-NODE_485_length_21901_cov_28.228300-augustus-gene-0.5-mRNA-1	G3DSA:3.30.310.80;G3DSA:1.10.510.10	NA	NA	PTHR24343:SF312;PTHR24343	SSF56112;SSF103243	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004674	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PF00069;PF08587;PF16579	NA	mobidb-lite	SM00220	NA	PS50011	cd14334;cd12122;cd14079	NA	NA	NA	PS00108;PS00107	NA	NA	NA	NA	NA
augustus_masked-NODE_310_length_33282_cov_29.979068-processed-gene-0.4-mRNA-1	G3DSA:3.40.50.150	NA	NA	NA	SSF53335	IPR029063	NA	NA	NA	NA	NA	NA	NA	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_732_length_12332_cov_30.674150-augustus-gene-0.3-mRNA-1	G3DSA:3.40.50.1380;G3DSA:3.30.470.20;G3DSA:3.40.50.20;G3DSA:3.30.1490.20;G3DSA:1.10.1030.10	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PTHR11405:SF48;PTHR11405	SSF52440;SSF52335;SSF56059;SSF48108	IPR005479	GO:0005524;GO:0006807;GO:0046872	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PF02787;PF02786	NA	NA	SM01096	NA	PS50975	cd01423	NA	NA	NA	PS00866;PS00867	NA	PR00098	TIGR01369	NA	NA
maker-NODE_539_length_18833_cov_34.896664-augustus-gene-0.9-mRNA-1	G3DSA:3.20.20.190	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR13593:SF35;PTHR13593	SSF51695	IPR017946	GO:0006629;GO:0008081	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_674_length_14062_cov_32.305490-augustus-gene-0.4-mRNA-1	G3DSA:3.40.50.10890;G3DSA:3.60.15.10	NA	NA	PTHR11203:SF11;PTHR11203	SSF56281	IPR022712		Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	PF10996;PF16661;PF07521;PF11718	NA	mobidb-lite	SM00849;SM01098;SM01027	NA	NA	cd16292	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_544_length_18462_cov_28.907336-processed-gene-0.9-mRNA-1	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR14957	NA	IPR007135		Reactome: R-HSA-1632852	PF03987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_337_length_31397_cov_37.434026-processed-gene-0.7-mRNA-1	G3DSA:2.40.160.10	NA	NA	PTHR11743:SF23;PTHR11743	NA	IPR023614	GO:0005741;GO:0055085;GO:0008308;GO:0098656	Reactome: R-HSA-5689880|Reactome: R-HSA-8949215	PF01459	NA	NA	NA	NA	NA	cd07306	NA	NA	NA	NA	NA	PR00185	NA	NA	NA
augustus_masked-NODE_340_length_31107_cov_29.945868-processed-gene-0.0-mRNA-1	G3DSA:1.50.10.150	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR31162	NA	IPR038665	GO:0015140;GO:0016021;GO:0071423;GO:0055085	NA	PF03595	NA	NA	NA	NA	NA	cd09317	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_937_length_7423_cov_13.556743-augustus-gene-0.0-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR31685:SF3;PTHR31685	NA	IPR018825	NA	NA	PF10348;PF10355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_444_length_23642_cov_36.613226-processed-gene-0.10-mRNA-1	G3DSA:2.170.130.20	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR31331	SSF69848	IPR004043	NA	NA	PF03815	NA	mobidb-lite	SM00603	NA	PS50820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_212_length_42257_cov_31.826608-processed-gene-0.3-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PTHR24223;PTHR24223:SF344	SSF90123;SSF52540	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	PF00664;PF00005	NA	mobidb-lite	SM00382	NA	PS50929;PS50893	cd03250;cd03244	NA	NA	NA	PS00211	NA	NA	NA	NA	NA
maker-NODE_16_length_121858_cov_26.817705-augustus-gene-0.4-mRNA-1	G3DSA:1.10.510.10	NA	NA	PTHR24347:SF361;PTHR24347	SSF56112	IPR000719	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	PIRSF000654	mobidb-lite	SM00220	Coil	PS50011	cd05117	NA	NA	NA	PS00108;PS00107	NA	NA	NA	NA	NA
maker-NODE_303_length_33769_cov_26.381250-augustus-gene-0.2-mRNA-1	G3DSA:2.120.10.80	NA	NA	PTHR23244:SF417;PTHR23244	SSF117281;SSF50965	IPR015915	GO:0005515	NA	PF13418;PF13415;PF01344	NA	mobidb-lite	SM00612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_421_length_24993_cov_31.027387-augustus-gene-0.3-mRNA-1	NA	NA	NA	PTHR21354	NA	IPR013087	GO:0003676	NA	NA	NA	mobidb-lite	SM00355	Coil	NA	NA	NA	NA	NA	PS00028	NA	NA	NA	NA	NA
augustus_masked-NODE_63_length_72307_cov_33.539485-processed-gene-0.5-mRNA-1	G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR24093:SF346;PTHR24093	SSF81660;SSF56784;SSF81665;SSF81653	IPR001757	GO:0016021;GO:0000166;GO:0005388;GO:0005524;GO:0016020;GO:0070588	Reactome: R-HSA-936837	PF13246;PF00689;PF00122;PF00690;PF08282	NA	mobidb-lite	NA	Coil	NA	cd02081	NA	NA	NA	PS00154	NA	PR00119;PR00121	TIGR01494;TIGR01517	SFLDG00002;SFLDF00027	NA
maker-NODE_276_length_35887_cov_34.391415-augustus-gene-0.2-mRNA-1	G3DSA:1.25.40.10	NA	NA	PTHR14094	SSF48452	IPR011990	GO:0005515;GO:0006614;GO:0008312;GO:0048500	Reactome: R-HSA-1799339	PF17004;PF08492	PIRSF038922	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_104_length_59774_cov_30.899123-augustus-gene-0.8-mRNA-1	G3DSA:3.40.50.720;G3DSA:3.30.559.10;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:1.10.1200.10;G3DSA:3.30.70.3290;G3DSA:3.40.366.10;G3DSA:3.30.300.30;G3DSA:3.90.180.10	NA	NA	PTHR43775:SF7;PTHR43775	SSF56801;SSF51735;SSF52151;SSF55048;SSF52777;SSF50129;SSF53901;SSF47336	IPR009081	GO:0016491;GO:0031177;GO:0003824;GO:0016740;GO:0055114	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	PF00668;PF00550;PF07993;PF08659;PF00501;PF00109;PF00698;PF00107;PF16197;PF02801;PF14765	NA	mobidb-lite	SM00829;SM00823;SM00826;SM00822;SM00825;SM00827	Coil	PS50075	cd05930;cd05195;cd00833	NA	NA	NA	PS00606;PS00455	NA	NA	TIGR01733	NA	NA
augustus_masked-NODE_433_length_24491_cov_25.507757-processed-gene-0.0-mRNA-1	G3DSA:2.160.20.10	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR31736;PTHR31736:SF8	SSF51126	IPR000743	GO:0004650;GO:0005975	NA	PF00295	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_52_length_76621_cov_31.892920-augustus-gene-0.27-mRNA-1	G3DSA:3.10.110.10	NA	NA	PTHR43902;PTHR43902:SF5	SSF54495	IPR023313		MetaCyc: PWY-7511|Reactome: R-HSA-983168	PF00179	NA	NA	SM00212	NA	PS50127	cd00195	NA	NA	NA	PS00183	NA	NA	NA	NA	NA
augustus_masked-NODE_91_length_63781_cov_27.913972-processed-gene-0.3-mRNA-1	G3DSA:3.30.2380.10	NA	NA	PTHR15840	SSF143870	IPR036504		Reactome: R-HSA-6782315	PF08617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_195_length_44209_cov_31.565718-augustus-gene-0.1-mRNA-1	G3DSA:3.60.21.10;G3DSA:1.25.40.10	NA	NA	PTHR11668;PTHR11668:SF391	SSF56300;SSF48452	IPR029052	GO:0005515;GO:0016787;GO:0004721;GO:0006470	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PF00149;PF08321	PIRSF033096	NA	SM00028;SM00156	NA	PS50005;PS50293	cd07417	NA	NA	NA	PS00125	NA	PR00114	NA	NA	NA
augustus_masked-NODE_34_length_91511_cov_30.626379-processed-gene-0.14-mRNA-1	G3DSA:1.10.10.60	NA	NA	PTHR28079	SSF46689	IPR039601	GO:0000500;GO:0042790;GO:0003677	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_155_length_51198_cov_28.667933-augustus-gene-0.6-mRNA-1	G3DSA:1.20.140.10;G3DSA:2.40.110.10;G3DSA:1.10.540.10;G3DSA:3.10.120.10	NA	NA	PTHR43604;PTHR43604:SF3	SSF47203;SSF56645;SSF55856	IPR001199	GO:0016627;GO:0055114;GO:0020037;GO:0003995;GO:0050660	NA	PF00441;PF02770;PF00173	NA	NA	SM01117	NA	PS50255	NA	NA	NA	NA	PS00191;PS00072	NA	NA	NA	NA	NA
maker-NODE_324_length_32038_cov_30.057410-augustus-gene-0.9-mRNA-1	G3DSA:1.20.1280.50	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	SSF81383	IPR001810	GO:0005515	NA	PF00646	NA	mobidb-lite	SM00256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_683_length_13802_cov_25.405777-processed-gene-0.2-mRNA-1	NA	NA	NA	PTHR22306	NA	IPR019327	NA	NA	PF10180	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_627_length_15525_cov_31.161190-augustus-gene-0.0-mRNA-1	G3DSA:1.20.1530.20	TMhelix	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR32468;PTHR32468:SF0	NA	IPR038770	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	PF00999	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_147_length_52812_cov_27.566119-augustus-gene-0.2-mRNA-1	G3DSA:3.50.30.30;G3DSA:3.40.630.10	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	PTHR12147:SF17;PTHR12147	SSF52025;SSF53187	IPR003137	GO:0004177	NA	PF02225;PF04389	NA	NA	NA	NA	NA	cd03876	SignalP-noTM	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_118014_cov_28.941749-augustus-gene-0.8-mRNA-1	NA	NA	NA	PTHR28186	NA	IPR018809	NA	NA	PF10295	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_119947_cov_30.609589-processed-gene-0.17-mRNA-1	NA	NA	NA	PTHR28065	NA	IPR025124	NA	NA	PF13259	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_103_length_59805_cov_30.880710-augustus-gene-0.17-mRNA-1	G3DSA:3.90.70.10;G3DSA:3.30.2230.10	NA	NA	PTHR43913	SSF54001;SSF143791	IPR006615	GO:0004843;GO:0016579;GO:0006511;GO:0036459	Reactome: R-HSA-5689880	PF06337;PF00443	NA	mobidb-lite	SM00695	NA	PS50235;PS51283	NA	NA	NA	NA	PS00972;PS00973	NA	NA	NA	NA	NA
maker-NODE_80_length_67101_cov_34.118464-augustus-gene-0.24-mRNA-1	NA	TMhelix	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR12289:SF41;PTHR12289	NA	IPR019564	GO:0001401	NA	PF10568	NA	mobidb-lite	NA	NA	NA	cd03078	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_19_length_118014_cov_28.941749-augustus-gene-0.0-mRNA-1	NA	NA	NA	NA	SSF46689	IPR009057	GO:0003677	NA	PF13921	NA	mobidb-lite	NA	NA	PS50090	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_91511_cov_30.626379-augustus-gene-0.8-mRNA-1	G3DSA:3.90.199.10;G3DSA:1.10.268.10;G3DSA:3.30.230.10;G3DSA:3.30.565.10;G3DSA:3.30.1360.40;G3DSA:3.30.1490.30;G3DSA:3.40.50.670	NA	NA	PTHR10169;PTHR10169:SF38	SSF55874;SSF56719;SSF54211	IPR031660	GO:0003677;GO:0003918;GO:0005524;GO:0006259;GO:0006265	Reactome: R-HSA-4615885	PF16898;PF00204;PF00521;PF01751;PF02518	NA	mobidb-lite	SM00434;SM00433	Coil	PS50880	cd03481;cd00075;cd00187;cd03365	NA	NA	NA	PS00177	NA	PR01158;PR00418	NA	NA	NA
maker-NODE_69_length_70970_cov_32.524173-augustus-gene-0.1-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR10556;PTHR10556:SF28	NA	IPR039357	GO:0006629;GO:0016627	NA	PF02544	NA	NA	NA	NA	PS50244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_775_length_11171_cov_29.428468-augustus-gene-0.6-mRNA-1	G3DSA:3.90.1200.10	NA	NA	PTHR21310:SF16;PTHR21310	SSF56112	IPR011009	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_387_length_27397_cov_32.195783-processed-gene-0.4-mRNA-1	G3DSA:1.10.8.20;G3DSA:3.40.525.10	NA	NA	PTHR23324:SF70;PTHR23324	SSF52087;SSF46938	IPR001251	NA	NA	PF00650;PF03765	NA	mobidb-lite	SM00516;SM01100	NA	PS50191	cd00170	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_92_length_62810_cov_32.382975-processed-gene-0.0-mRNA-1	G3DSA:3.40.50.10480	NA	NA	PTHR22734:SF2;PTHR22734	SSF52954	IPR007109	NA	NA	PF04427	NA	NA	SM00879	NA	PS50833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_392_length_27280_cov_29.340441-augustus-gene-0.1-mRNA-1	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR24064:SF325;PTHR24064	SSF103473	IPR020846	GO:0005215;GO:0016021;GO:0055085;GO:0005315;GO:0006817;GO:0022857	NA	PF00083	NA	NA	NA	NA	PS50850	cd06174	NA	NA	NA	PS00217	NA	NA	TIGR00887	NA	NA
