Gene	Phobius	MobiDBLite	TMHMM	PRINTS	SFLD	PANTHER	interpro	GO	PATHWAY	TIGRFAM	ProSitePatterns	Gene3D	SUPERFAMILY	Pfam	CDD	SMART	ProSiteProfiles	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	PIRSF	SignalP_GRAM_NEGATIVE	ProDom
maker-NODE_82_length_127700_cov_56.161265-augustus-gene-0.43-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12048	IPR040155	GO:0042254	NA	NA	NA	NA	SSF48371	PF03914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_390667_cov_62.570321-processed-gene-0.15-mRNA-1	NA	NA	NA	NA	NA	PTHR43053;PTHR43053:SF2	IPR000322	GO:0004553;GO:0005975;GO:0003824;GO:0030246	NA	NA	NA	G3DSA:2.60.40.1760;G3DSA:3.20.20.80;G3DSA:2.60.40.1180	SSF51011;SSF74650;SSF51445	PF01055;PF13802	cd06593;cd14752	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_66_length_147406_cov_59.785699-processed-gene-0.12-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	PR00722	NA	PTHR24276;PTHR24276:SF70	IPR001314	GO:0004252;GO:0006508	NA	NA	PS00135;PS00134	G3DSA:2.40.10.10	SSF50494	PF00089	cd00190	SM00020	PS50240	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NODE_15_length_281067_cov_59.950911-augustus-gene-1.5-mRNA-1	NA	mobidb-lite	NA	PR00853	NA	PTHR11081;PTHR11081:SF8	IPR036279	GO:0003677;GO:0035312;GO:0004518;GO:0006281;GO:0003824	Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	NA	G3DSA:1.10.150.20;G3DSA:3.40.50.1010	SSF47807;SSF88723	PF00867;PF00752	cd09908;cd09857	SM00485;SM00484;SM00279	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_175616_cov_61.563300-augustus-gene-0.3-mRNA-1	NA	mobidb-lite	NA	PR01343;PR00315	NA	PTHR23115;PTHR23115:SF36	IPR027417	GO:0000288;GO:0003747;GO:0005525;GO:0006415;GO:0003924	NA	NA	NA	G3DSA:2.40.30.10;G3DSA:3.40.50.300	SSF52540;SSF50465;SSF50447	PF00009;PF03144;PF03143	cd01883;cd04089;cd03704	NA	PS51722	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_94_length_116752_cov_56.639666-processed-gene-0.18-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR44679	IPR001841	NA	NA	NA	NA	G3DSA:3.30.40.10	SSF57850	PF13639	cd16449	SM00184	PS50089	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_205_length_39199_cov_57.982315-processed-gene-0.20-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10223:SF0;PTHR10223	IPR002035	GO:0006511;GO:0008540	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	G3DSA:3.40.50.410	SSF53300	PF13519	cd01452	SM00327	PS50234;PS50330	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_102_length_112157_cov_60.062573-processed-gene-0.17-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	PTHR21659;PTHR21659:SF22	IPR000612	GO:0016021	NA	NA	NA	NA	NA	PF01679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_287653_cov_58.138346-augustus-gene-1.9-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR019622	GO:0003676	NA	NA	NA	G3DSA:3.30.160.60	NA	PF10680	NA	NA	PS50157	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_366918_cov_58.761630-processed-gene-2.19-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	mobidb-lite	NA	PR00768	NA	PTHR37016;PTHR37016:SF2	IPR001384	GO:0004222;GO:0006508;GO:0008237	NA	NA	NA	G3DSA:3.40.390.10;G3DSA:2.60.40.2970	SSF55486	PF02102	cd11008	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_199_length_44556_cov_59.012132-augustus-gene-0.1-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR11360;PTHR11360:SF130	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	G3DSA:1.20.1250.20	SSF103473	PF07690	cd06174	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_27_length_216459_cov_59.245156-processed-gene-1.47-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13563:SF13;PTHR13563	IPR028564	GO:0008168	Reactome: R-HSA-6782315	NA	NA	G3DSA:3.40.1280.30	NA	PF01746	NA	NA	PS51675	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_177198_cov_63.272365-augustus-gene-0.21-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23355:SF9;PTHR23355	IPR012340	GO:0003723;GO:0004540	NA	NA	NA	G3DSA:2.40.50.140;G3DSA:2.40.50.700;G3DSA:2.40.50.690	SSF50249	PF17877;PF00773;PF17849	NA	SM00955	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_7_length_390667_cov_62.570321-augustus-gene-2.15-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	NA	NA	PTHR36460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_199_length_44556_cov_59.012132-processed-gene-0.12-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12558:SF9;PTHR12558	IPR013026	GO:0005515	NA	NA	NA	NA	SSF48452	PF13181;PF12895;PF13432	NA	SM00028	PS50293;PS50005	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_180_length_56691_cov_62.289955-processed-gene-0.27-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13173	IPR040023	GO:0000398;GO:0008270;GO:0003676	Reactome: R-HSA-72163	NA	NA	NA	SSF57667	PF06220	NA	SM00451	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_64_length_152397_cov_55.241407-augustus-gene-0.36-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13856:SF91;PTHR13856	IPR001356	GO:0003677	NA	NA	NA	G3DSA:1.10.10.60;G3DSA:3.40.250.10	SSF46689;SSF52821	PF00046;PF00581	cd00086	SM00389	PS50071	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_199258_cov_59.565969-augustus-gene-0.20-mRNA-1	NA	NA	NA	PR00080;PR00081	NA	PTHR43008;PTHR43008:SF5	IPR002347	GO:0016491	NA	NA	PS00061	G3DSA:3.40.50.720	SSF51735	PF13561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_199258_cov_59.565969-processed-gene-0.46-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12486:SF4;PTHR12486	IPR001310	GO:0003677;GO:0006281;GO:0033699	NA	NA	NA	NA	SSF54197	PF01230;PF16278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_360801_cov_59.734333-augustus-gene-1.30-mRNA-1	NA	NA	NA	NA	NA	PTHR19211:SF45;PTHR19211	IPR017871	GO:0005524;GO:0016887	NA	NA	PS00211	G3DSA:3.40.50.300	SSF52540	PF00005;PF12848	cd03221	SM00382	PS50893	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_255_length_18558_cov_62.024578-processed-gene-0.3-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_177198_cov_63.272365-augustus-gene-0.11-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR21575	IPR026705	NA	NA	NA	NA	NA	SSF48371	PF12722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_271234_cov_58.796328-processed-gene-0.15-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	mobidb-lite	TMhelix	NA	NA	PTHR42652	IPR002110	GO:0005515	NA	NA	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	SSF48403	PF12796	cd00204	SM00248	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_166755_cov_60.439518-augustus-gene-0.71-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	PTHR10516;PTHR10516:SF384	IPR023566	NA	NA	NA	NA	G3DSA:3.10.50.40	SSF54534	PF00254	NA	NA	PS50059	NA	SignalP-noTM	NA	NA	NA	SignalP-noTM	NA
maker-NODE_13_length_287653_cov_58.138346-augustus-gene-0.18-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PTHR14207;PTHR14207:SF1	IPR007905	GO:0016021;GO:0016125;GO:0047750	NA	NA	NA	NA	NA	PF05241	NA	NA	PS51751	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_191_length_51775_cov_58.548811-augustus-gene-0.20-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	PR00133	NA	PTHR42715:SF12;PTHR42715	IPR013783	GO:0004553;GO:0005975	NA	NA	NA	G3DSA:2.60.40.10;G3DSA:3.20.20.300;G3DSA:3.40.50.1700	SSF51445;SSF52279	PF01915;PF14310;PF00933	NA	SM01217	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
maker-NODE_61_length_155005_cov_57.830131-augustus-gene-0.42-mRNA-1	NA	NA	NA	NA	NA	PTHR14677;PTHR14677:SF25	IPR035896	GO:0008270	NA	NA	NA	G3DSA:4.10.1110.10	SSF118310	PF01428	NA	SM00154	PS51039	NA	NA	NA	NA	NA	NA	NA
maker-NODE_126_length_88941_cov_51.085662-augustus-gene-0.23-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR11782:SF43;PTHR11782	IPR000407	GO:0016787	Reactome: R-HSA-8850843	NA	PS01238	G3DSA:3.30.420.150;G3DSA:3.30.420.40	NA	PF01150	cd00012	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_271244_cov_54.321418-augustus-gene-0.12-mRNA-1	NA	NA	NA	PR00096;PR00097	NA	PTHR11922:SF2;PTHR11922	IPR029062	GO:0003922;GO:0005524;GO:0006177;GO:0006164;GO:0016462	KEGG: 00230+6.3.5.2|KEGG: 00983+6.3.5.2|MetaCyc: PWY-7221|Reactome: R-HSA-73817	TIGR00888	NA	G3DSA:3.30.300.10;G3DSA:3.40.50.880;G3DSA:3.40.50.620	SSF54810;SSF52317;SSF52402	PF02540;PF00958;PF00117	cd01997;cd01742	NA	PS51273;PS51553	NA	NA	NA	NA	NA	NA	NA
maker-NODE_118_length_97252_cov_59.645169-augustus-gene-0.13-mRNA-1	NA	NA	NA	PR00926	NA	PTHR24089:SF13;PTHR24089	IPR002048	GO:0005509;GO:0022857;GO:0055085	NA	NA	PS00018	G3DSA:1.50.40.10;G3DSA:1.10.238.10	SSF47473;SSF103506	PF13405;PF00153;PF13833	NA	SM00054	PS50222;PS50920	NA	NA	NA	NA	NA	NA	NA
maker-NODE_57_length_161808_cov_61.150673-augustus-gene-0.51-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23074;PTHR23074:SF83	IPR003959	GO:0005524	NA	NA	PS00674	G3DSA:1.10.8.60;G3DSA:1.20.58.280;G3DSA:3.40.50.300	SSF116846;SSF52540	PF00004;PF04212;PF09336	cd00009	SM00745;SM00382	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_166755_cov_60.439518-processed-gene-0.0-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR22950:SF332;PTHR22950	IPR013057	NA	NA	NA	NA	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_110_length_104968_cov_59.039555-augustus-gene-0.32-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13718;PTHR13718:SF79	IPR005711	GO:0003735;GO:0006412;GO:0015935;GO:0005840;GO:0003723	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-3214858|Reactome: R-HSA-6790901|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-8876725|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	TIGR01020	PS00585	G3DSA:3.30.160.770;G3DSA:3.30.230.10	SSF54211;SSF54768	PF03719;PF00333	NA	NA	PS50881	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_190617_cov_50.977952-augustus-gene-0.29-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	mobidb-lite	TMhelix	PR00119;PR00120	SFLDG00002;SFLDF00027	PTHR42861;PTHR42861:SF26	IPR004014	GO:0008553;GO:0016021;GO:0120029;GO:0000166	Reactome: R-HSA-936837	TIGR01647;TIGR01494	PS00154	G3DSA:2.60.120.1500;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10	SSF81653;SSF56784;SSF81665	PF00690;PF00122;PF00702	cd02076	SM00831	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_92_length_118093_cov_54.003289-processed-gene-0.5-mRNA-1	NA	mobidb-lite	NA	NA	NA	NA	IPR029063	NA	NA	NA	NA	G3DSA:3.40.50.150	SSF53335	NA	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_199252_cov_55.539500-augustus-gene-0.60-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	TMhelix	NA	NA	PTHR10160	IPR029035	GO:0008746;GO:0055114;GO:1902600;GO:0016491	KEGG: 00760+1.6.1.2|Reactome: R-HSA-71403	TIGR00561	PS00837;PS00836	G3DSA:3.40.50.1220;G3DSA:3.40.50.720	SSF52467;SSF51735;SSF52283	PF12769;PF05222;PF02233;PF01262	cd05304	SM01002;SM01003	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_62_length_153758_cov_57.514701-processed-gene-0.44-mRNA-1	NA	NA	NA	NA	NA	PTHR19877	IPR017986	GO:0005515;GO:0003743;GO:0005737;GO:0005852	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	PS00678	G3DSA:2.130.10.10	SSF50978	PF00400	NA	SM00320	PS50294;PS50082	MF_03008	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_57_length_161808_cov_61.150673-processed-gene-0.39-mRNA-1	NA	NA	NA	NA	NA	PTHR43353;PTHR43353:SF6	IPR029510	GO:0016491;GO:0055114;GO:0016620	NA	NA	PS00687	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	PF00171	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_105_length_108229_cov_59.365007-processed-gene-0.19-mRNA-1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	NA	NA	NA	PTHR11709:SF95;PTHR11709	IPR008972	GO:0005507;GO:0055114;GO:0016491	NA	NA	PS00080;PS00079	G3DSA:2.60.40.420	SSF49503	PF00394;PF07731;PF07732	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_128_length_87739_cov_65.006209-processed-gene-0.10-mRNA-1	NA	NA	NA	NA	NA	PTHR10977	IPR036554	GO:0005524;GO:0008299;GO:0016831;GO:0004163;GO:0005829;GO:0019287	Reactome: R-HSA-191273|Reactome: R-HSA-2426168|Reactome: R-HSA-446199	TIGR01240	NA	G3DSA:3.30.230.10;G3DSA:3.30.70.890	SSF55060;SSF54211	PF00288;PF18376	NA	NA	NA	NA	NA	NA	NA	PIRSF015950	NA	NA
maker-NODE_134_length_85007_cov_50.121795-augustus-gene-0.3-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR10778:SF4;PTHR10778	IPR013657	GO:0055085	NA	TIGR00803	NA	NA	NA	PF08449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_21_length_253343_cov_59.136358-processed-gene-1.12-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR28124	IPR021110	GO:0006270	NA	NA	NA	NA	NA	PF11719	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
maker-NODE_4_length_411546_cov_58.313316-augustus-gene-1.4-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR15140;PTHR15140:SF6	IPR001611	GO:0005515	NA	NA	PS00845	G3DSA:3.80.10.10;G3DSA:2.30.30.190	SSF52058;SSF74924	PF01302	NA	SM01052	PS51450;PS50245	NA	NA	NA	NA	NA	NA	NA
maker-NODE_148_length_76579_cov_60.086577-augustus-gene-0.27-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR43939;PTHR43939:SF1	IPR036277	GO:0005515;GO:0005524;GO:0005694;GO:0051276	NA	NA	NA	G3DSA:3.30.70.1620;G3DSA:3.40.50.300;G3DSA:1.20.1060.20;G3DSA:1.20.5.340	SSF75553;SSF57997;SSF52540	PF02463;PF06470	cd03274	SM00968	NA	NA	NA	NA	Coil	PIRSF005719	NA	NA
maker-NODE_15_length_281067_cov_59.950911-augustus-gene-1.9-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR28155	IPR013240	GO:0006360	Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73777|Reactome: R-HSA-73863	NA	NA	NA	NA	PF08208	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA
augustus_masked-NODE_11_length_303896_cov_59.741215-processed-gene-2.47-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR23077:SF12;PTHR23077	IPR015342	GO:0005524;GO:0005777;GO:0007031;GO:0005778;GO:0006625;GO:0042623	Reactome: R-HSA-9033241	NA	PS00674	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:3.10.330.10	SSF50692;SSF54585;SSF52540	PF09262;PF17862;PF00004	cd00009	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_151_length_75694_cov_57.244961-augustus-gene-0.11-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR10555;PTHR10555:SF208	IPR039358	GO:0035091;GO:0003677;GO:0015667;GO:0090124;GO:0032266	NA	NA	PS00093	G3DSA:3.30.1520.10	SSF64268	PF00787	cd07280	NA	PS50195	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_271244_cov_54.321418-augustus-gene-1.59-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	PTHR24221;PTHR24221:SF400	IPR039421	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	NA	PS00211	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	SSF90123;SSF52540	PF00005;PF00664	cd03249	SM00382	PS50893;PS50929	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_58_length_160627_cov_62.950766-processed-gene-0.51-mRNA-1	NA	mobidb-lite	NA	NA	SFLDG01137;SFLDG01129;SFLDF00029	PTHR43344;PTHR43344:SF2	IPR023214	NA	NA	TIGR00338;TIGR01488	NA	G3DSA:3.40.50.1000	SSF56784	PF12710	cd07500	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_166755_cov_60.439518-processed-gene-0.39-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PR00171	NA	PTHR23500:SF9;PTHR23500	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021;GO:0030246;GO:0005975;GO:0016853;GO:0003824	Reactome: R-HSA-189200	TIGR00879	PS00216	G3DSA:1.20.1250.20;G3DSA:2.70.98.10	SSF103473;SSF74650	PF01263;PF00083	cd09020;cd06174	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_75_length_134816_cov_61.283921-processed-gene-0.25-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	PR00463;PR00385	NA	PTHR23502;PTHR23502:SF51	IPR002401	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0016021;GO:0055085	NA	NA	PS00086	G3DSA:1.20.1720.10;G3DSA:1.10.630.10;G3DSA:1.20.1250.20	SSF48264;SSF103473	PF00067;PF07690	cd06174	NA	PS50850	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_131878_cov_58.995393-augustus-gene-0.0-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR13114	IPR019313	GO:0003712;GO:0006357;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	NA	NA	PF10156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_157_length_67044_cov_62.147780-augustus-gene-0.9-mRNA-1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	NA	PR00460;PR00458	NA	PTHR30555	IPR000763	GO:0004096;GO:0004601;GO:0006979;GO:0020037;GO:0055114	KEGG: 00360+1.11.1.21|KEGG: 00380+1.11.1.21|KEGG: 00940+1.11.1.21|KEGG: 00983+1.11.1.21|MetaCyc: PWY-5506	NA	PS00435;PS00436	G3DSA:1.10.420.20;G3DSA:1.10.520.10;G3DSA:1.10.420.10	SSF48113	PF00141	cd08200	NA	PS50873	NA	SignalP-noTM	NA	Coil	NA	NA	NA
maker-NODE_9_length_360801_cov_59.734333-augustus-gene-0.36-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR22775:SF30;PTHR22775	IPR036305	GO:0035091	NA	NA	NA	G3DSA:3.30.1520.10;G3DSA:1.20.58.1850	SSF48097;SSF64268	PF00615;PF00787;PF08628;PF02194	cd06876	SM00312;SM00313;SM00315	PS51207;PS50195;PS50132	NA	SignalP-noTM	NA	Coil	NA	NA	NA
maker-NODE_89_length_118366_cov_56.555502-augustus-gene-0.17-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	mobidb-lite	TMhelix	NA	NA	PTHR21236:SF1;PTHR21236	IPR006977	GO:0016020	NA	NA	NA	NA	NA	PF04893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_142_length_78750_cov_53.360861-augustus-gene-0.1-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	PTHR42061:SF2;PTHR42061	IPR009939	GO:0016977	KEGG: 00520+3.2.1.132	NA	NA	NA	NA	PF07335	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	SignalP-noTM	NA
augustus_masked-NODE_57_length_161808_cov_61.150673-processed-gene-0.29-mRNA-1	NA	mobidb-lite	NA	NA	NA	PTHR12189;PTHR12189:SF2	IPR039753	GO:0004482;GO:0005634;GO:0006370	MetaCyc: PWY-7375|Reactome: R-HSA-167160|Reactome: R-HSA-72086|Reactome: R-HSA-77075	NA	NA	NA	SSF53335	PF03291	NA	NA	PS51562	NA	NA	NA	Coil	PIRSF028762	NA	NA
