Gene	PANTHER	interpro	GO	Pfam	SMART	Gene3D	MobiDBLite	ProSiteProfiles	SUPERFAMILY	Phobius	TMHMM	CDD	PATHWAY	ProSitePatterns	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	PRINTS	Coils	PIRSF	TIGRFAM	SFLD	Hamap	ProDom
maker-NODE_54_length_135677_cov_73.518879-augustus-gene-0.8-mRNA-1	PTHR11352:SF0;PTHR11352	IPR000730	GO:0003677;GO:0006275;GO:0030337	PF00705;PF02747	NA	G3DSA:3.10.150.10	NA	NA	SSF55979	NA	NA	cd00577	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1362277|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-4615885|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-539107|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804114|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-8866654	PS01251	NA	NA	NA	PR00339	NA	NA	TIGR00590	NA	MF_00317	NA
maker-NODE_94_length_88227_cov_73.441430-snap-gene-0.74-mRNA-1	PTHR44393	IPR001611	GO:0005515	PF13855;PF10428	SM00369	G3DSA:3.80.10.10	mobidb-lite	PS51450	SSF52058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_101_length_82488_cov_69.532436-snap-gene-0.175-mRNA-1	PTHR12550;PTHR12550:SF49	IPR000313	NA	PF00855	SM00293	G3DSA:2.30.30.140	mobidb-lite	PS50812	SSF63748	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_92_length_89881_cov_69.771598-snap-gene-0.25-mRNA-1	PTHR19248	IPR034348	GO:0005524;GO:0016887	PF04068;PF00037;PF00005	SM00382	G3DSA:3.40.50.300	NA	PS50893;PS51379	SSF52540;SSF54862	NA	NA	cd03236	Reactome: R-HSA-909733	PS00211	NA	NA	NA	PR01868	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_485588_cov_55.914018-processed-gene-3.121-mRNA-1	PTHR12526;PTHR12526:SF531	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172;PF11951	SM00066	G3DSA:4.10.240.10	mobidb-lite	PS50048	SSF57701	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	cd00067	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_108_length_80447_cov_73.749851-snap-gene-0.87-mRNA-1	PTHR43341;PTHR43341:SF9	IPR004841	GO:0016020;GO:0055085;GO:0006865;GO:0016021;GO:0022857	PF00324	NA	G3DSA:1.20.1740.10	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	PS00218	NA	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA
maker-NODE_41_length_167803_cov_71.976091-snap-gene-0.27-mRNA-1	PTHR13954:SF6;PTHR13954	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0004540;GO:0006397;GO:0005515	PF06479;PF00069	SM00580;SM00220	G3DSA:2.130.10.10;G3DSA:3.30.200.20;G3DSA:1.10.510.10;G3DSA:1.20.1440.180	mobidb-lite	PS50011;PS51392	SSF56112;SSF50998	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	cd10422;cd09769	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PS00107;PS00108	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_112_length_79540_cov_70.761588-processed-gene-0.28-mRNA-1	PTHR11937;PTHR11937:SF274	IPR004000	NA	PF00022	SM00268	G3DSA:3.90.640.10;G3DSA:3.30.420.40	mobidb-lite	NA	SSF53067	NA	NA	cd00012	NA	PS00432	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_36_length_183842_cov_71.036404-processed-gene-0.139-mRNA-1	PTHR11946:SF54;PTHR11946	IPR037118	GO:0000166;GO:0004832;GO:0005524;GO:0005737;GO:0006438;GO:0002161;GO:0006418;GO:0004812	PF00133;PF08264	NA	G3DSA:1.10.287.380;G3DSA:1.10.730.10;G3DSA:3.90.740.10;G3DSA:3.40.50.620	mobidb-lite	NA	SSF52374;SSF50677;SSF47323	NA	NA	cd07962;cd00817	KEGG: 00970+6.1.1.9|Reactome: R-HSA-379716	PS00178	NA	NA	NA	PR00986	Coil	NA	TIGR00422	NA	MF_02004	NA
snap_masked-NODE_79_length_100674_cov_73.578217-processed-gene-0.182-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_70_length_117109_cov_79.076636-snap-gene-0.24-mRNA-1	PTHR23023;PTHR23023:SF101	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	PF00743	NA	G3DSA:3.50.50.60	NA	NA	SSF51905	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	PR00370	NA	PIRSF000332	NA	NA	NA	NA
snap_masked-NODE_52_length_139173_cov_68.556909-processed-gene-0.301-mRNA-1	PTHR12714;PTHR12714:SF9	IPR007269	GO:0004671;GO:0006481;GO:0016021;GO:0005783	PF04140	NA	G3DSA:1.20.120.1630	mobidb-lite	PS51564	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	Reactome: R-HSA-163841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_109_length_80174_cov_69.339688-augustus-gene-0.43-mRNA-1	PTHR16127;PTHR16127:SF13	IPR026183	GO:0019905	PF09728	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_35_length_184481_cov_72.699838-augustus-gene-0.87-mRNA-1	PTHR13269	IPR019049		PF09531	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_51_length_139841_cov_69.528515-snap-gene-0.247-mRNA-1	PTHR37488;PTHR37488:SF1	IPR010699	NA	PF06912	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_369403_cov_28.743831-augustus-gene-2.8-mRNA-1	PTHR18937;PTHR18937:SF12	IPR027417	GO:0005515;GO:0005524;GO:0005694;GO:0051276;GO:0003682;GO:0007064;GO:0008278;GO:0046982	PF06470;PF02463	SM00968	G3DSA:3.40.50.300;G3DSA:1.20.1060.20;G3DSA:3.30.70.1620	mobidb-lite	NA	SSF52540;SSF75553;SSF57997	NA	NA	cd03275	NA	NA	NA	NA	NA	NA	Coil	PIRSF005719	NA	NA	NA	NA
augustus_masked-NODE_90_length_91455_cov_78.090465-processed-gene-0.70-mRNA-1	PTHR10801;PTHR10801:SF3	IPR016169	GO:0016491;GO:0050660;GO:0055114;GO:0071949	PF01565	NA	G3DSA:3.30.465.10	NA	PS51387	SSF56176	NA	NA	NA	KEGG: 00100+1.3.1.72|Reactome: R-HSA-6807047|Reactome: R-HSA-6807062	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_126_length_65184_cov_70.503343-augustus-gene-0.83-mRNA-1	PTHR44653	IPR001623	NA	PF00226	SM00271	G3DSA:1.10.287.110	mobidb-lite	PS50076	SSF46565	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	cd06257	NA	NA	NA	SignalP-noTM	SignalP-noTM	PR00625	NA	NA	NA	NA	NA	NA
maker-NODE_82_length_95832_cov_70.482399-augustus-gene-0.65-mRNA-1	PTHR23050:SF218;PTHR23050	IPR002048	GO:0005509	PF13499	SM00054	G3DSA:1.10.238.10	mobidb-lite	PS50222	SSF47473	NA	NA	cd00051	NA	PS00018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_56_length_134530_cov_74.500264-snap-gene-0.235-mRNA-1	PTHR22760;PTHR22760:SF2	IPR005599	GO:0016757;GO:0000030	PF03901	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	KEGG: 00510+2.4.1.259+2.4.1.261|KEGG: 00513+2.4.1.261|Reactome: R-HSA-446193|Reactome: R-HSA-4720454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_141819_cov_43.304484-augustus-gene-0.211-mRNA-1	PTHR12468	IPR007315	GO:0004584;GO:0006506	PF04188	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	Reactome: R-HSA-162710	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_33_length_186331_cov_72.938723-snap-gene-0.13-mRNA-1	PTHR12280:SF20;PTHR12280	IPR004567	GO:0004594;GO:0005524;GO:0015937	PF03630	NA	G3DSA:3.30.420.40;G3DSA:3.30.420.510	mobidb-lite	NA	SSF53067	NA	NA	NA	KEGG: 00770+2.7.1.33|MetaCyc: PWY-3961|Reactome: R-HSA-196783	NA	NA	NA	NA	NA	NA	NA	TIGR00555	NA	NA	NA
snap_masked-NODE_95_length_86513_cov_67.171081-processed-gene-0.1-mRNA-1	PTHR33048	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_102_length_82259_cov_77.195989-augustus-gene-0.8-mRNA-1	PTHR24064;PTHR24064:SF200	IPR036259	GO:0016021;GO:0022857;GO:0055085	PF00083	NA	G3DSA:1.20.1250.20	mobidb-lite	PS50850	SSF103473	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_135677_cov_73.518879-processed-gene-0.267-mRNA-1	PTHR24089;PTHR24089:SF59	IPR040062	GO:0022857;GO:0055085	PF00153	NA	G3DSA:1.50.40.10	NA	PS50920	SSF103506	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	PR00926	NA	NA	NA	NA	NA	NA
snap_masked-NODE_50_length_141428_cov_75.730051-processed-gene-0.352-mRNA-1	PTHR38644	IPR038771	NA	NA	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
maker-NODE_41_length_167803_cov_71.976091-snap-gene-0.10-mRNA-1	PTHR31375;PTHR31375:SF53	IPR012334	NA	PF12708	NA	G3DSA:2.160.20.10	NA	NA	SSF51126	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_161313_cov_71.085175-augustus-gene-0.314-mRNA-1	PTHR11404;PTHR11404:SF6	IPR036314	GO:0004784;GO:0006801;GO:0046872;GO:0055114	PF02777;PF00081	NA	G3DSA:2.40.500.20;G3DSA:3.90.1200.10;G3DSA:1.10.287.990	NA	NA	SSF56112;SSF54719;SSF46609	NA	NA	NA	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505	PS00088	NA	NA	NA	PR01703	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_273513_cov_69.888323-processed-gene-1.487-mRNA-1	PTHR19375;PTHR19375:SF309	IPR029047		PF00012	NA	G3DSA:3.30.420.40;G3DSA:2.60.34.10;G3DSA:1.20.1270.10;G3DSA:3.90.640.10;G3DSA:3.30.30.30	mobidb-lite	NA	SSF53067;SSF100934;SSF100920	NA	NA	cd10233	Reactome: R-HSA-3371453	PS00297;PS01036;PS00329	NA	NA	NA	PR00301	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_58_length_129570_cov_78.101744-processed-gene-0.288-mRNA-1	PTHR13789	IPR036188	GO:0071949	PF01494	NA	G3DSA:3.30.9.30;G3DSA:3.50.50.60	NA	NA	SSF51905;SSF54373	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_60_length_128121_cov_70.262051-processed-gene-0.306-mRNA-1	PTHR21377:SF0;PTHR21377	IPR009688	NA	PF06916	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_164_length_45728_cov_75.738734-snap-gene-0.2-mRNA-1	PTHR12389	IPR011016	GO:0008270;GO:0061630;GO:1990112;GO:1990116	PF13639	SM00744;SM00184;SM01197	G3DSA:3.30.40.10	NA	PS50089	SSF57850;SSF48371	NA	NA	cd16491	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_104_length_81462_cov_74.206578-augustus-gene-0.193-mRNA-1	PTHR11099:SF0;PTHR11099	IPR005378	GO:0015031;GO:0030906;GO:0042147	PF03635	NA	G3DSA:1.25.40.660	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-3238698	NA	NA	NA	NA	NA	NA	PIRSF009375	NA	NA	NA	NA
maker-NODE_54_length_135677_cov_73.518879-augustus-gene-0.15-mRNA-1	PTHR43811;PTHR43811:SF19	IPR001179	NA	PF17800;PF00254	NA	G3DSA:3.10.50.40;G3DSA:2.60.120.340	mobidb-lite	PS50059	SSF54534	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	PIRSF001473	NA	NA	NA	NA
augustus_masked-NODE_54_length_135677_cov_73.518879-processed-gene-0.241-mRNA-1	PTHR10057:SF0;PTHR10057	IPR004307	GO:0016021	PF03073	NA	G3DSA:1.20.1260.100	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd15904	NA	NA	NA	NA	NA	NA	NA	PIRSF005859	NA	NA	NA	NA
snap_masked-NODE_70_length_117109_cov_79.076636-processed-gene-0.275-mRNA-1	PTHR10026:SF8;PTHR10026	IPR006671	NA	PF00134;PF16899	SM00385	G3DSA:1.10.472.10	NA	NA	SSF47954	NA	NA	cd00043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_90_length_91455_cov_78.090465-processed-gene-0.46-mRNA-1	PTHR12385:SF73;PTHR12385	IPR007603		PF04515	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Reactome: R-HSA-1483191|Reactome: R-HSA-425366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_89_length_91706_cov_74.556503-processed-gene-0.66-mRNA-1	PTHR13317	IPR002925	GO:0016787	PF01738;PF05346	NA	G3DSA:3.40.50.1820	mobidb-lite	NA	SSF53474	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_204983_cov_73.166083-snap-gene-0.25-mRNA-1	PTHR13773:SF8;PTHR13773	IPR000374	GO:0016020;GO:0016772;GO:0004605	PF01148	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	KEGG: 00564+2.7.7.41|KEGG: 04070+2.7.7.41|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-7817	PS01315	NA	NA	NA	NA	NA	PIRSF018269	NA	NA	NA	NA
maker-NODE_133_length_62873_cov_74.211025-augustus-gene-0.128-mRNA-1	PTHR28013:SF3;PTHR28013	IPR009571	GO:0005886	PF06687	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_199484_cov_72.693264-snap-gene-0.436-mRNA-1	PTHR24115:SF740;PTHR24115	IPR001752	GO:0003777;GO:0005524;GO:0007018;GO:0008017	PF00225	SM00129	G3DSA:3.40.850.10	mobidb-lite	PS50067	SSF52540	NA	NA	NA	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS00411	NA	NA	NA	PR00380	Coil	NA	NA	NA	NA	NA
maker-NODE_201_length_29833_cov_77.048778-augustus-gene-0.88-mRNA-1	PTHR11985:SF15;PTHR11985	IPR031656	GO:0004368;GO:0006072;GO:0009331;GO:0055114;GO:0016491	PF16901;PF01266	NA	G3DSA:3.50.50.60;G3DSA:1.10.8.870;G3DSA:3.30.9.10	NA	NA	SSF54373;SSF51905	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	KEGG: 00564+1.1.5.3|MetaCyc: PWY-4261|MetaCyc: PWY-6118|MetaCyc: PWY-6952|Reactome: R-HSA-1483166|Reactome: R-HSA-163560	PS00978	NA	NA	NA	PR01001	NA	NA	NA	NA	NA	NA
snap_masked-NODE_35_length_184481_cov_72.699838-processed-gene-0.12-mRNA-1	PTHR15588;PTHR15588:SF8	IPR034104	GO:0000956	PF01423	SM00651	G3DSA:2.30.30.100	mobidb-lite	NA	SSF50182	NA	NA	cd01728	Reactome: R-HSA-430039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_165_length_45618_cov_69.060232-snap-gene-0.21-mRNA-1	PTHR44167	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0005515	PF00069	SM00220;SM00240	G3DSA:2.60.200.20;G3DSA:1.10.510.10	mobidb-lite	PS50011;PS50006	SSF49879;SSF56112	NA	NA	cd00060	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_88_length_92074_cov_72.134588-processed-gene-0.203-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_216_length_24261_cov_62.365998-augustus-gene-0.33-mRNA-1	PTHR38118	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_23_length_200172_cov_68.911790-processed-gene-1.66-mRNA-1	PTHR43986	IPR004045	GO:0005515;GO:0003746;GO:0006414	PF00043;PF00647;PF02798	SM01183	G3DSA:3.30.70.1010;G3DSA:3.40.30.10;G3DSA:1.20.1050.10	mobidb-lite	PS50404;PS50405;PS50040	SSF47616;SSF89942;SSF52833	NA	NA	cd03181	Reactome: R-HSA-156842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_79_length_100674_cov_73.578217-snap-gene-0.168-mRNA-1	PTHR23012:SF61;PTHR23012	IPR011016	GO:0008270	NA	NA	G3DSA:3.30.40.10	mobidb-lite	PS51292	SSF57850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	MetaCyc: PWY-7511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_94_length_88227_cov_73.441430-augustus-gene-0.62-mRNA-1	PTHR11254;PTHR11254:SF291	IPR000569	GO:0004842	PF14377;PF00632;PF06012;PF06025;PF00627	SM00119	G3DSA:3.90.1750.10;G3DSA:3.30.2160.10	mobidb-lite	PS50237;PS50030	SSF56204	NA	NA	cd14270	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
augustus_masked-NODE_81_length_98038_cov_70.217545-processed-gene-0.157-mRNA-1	PTHR12341;PTHR12341:SF7	IPR014722	GO:0003676;GO:0004527;GO:0000956;GO:0008409	PF18129;PF18334;PF18194;PF03159;PF18332;PF17846	NA	G3DSA:2.30.30.30;G3DSA:3.30.110.100;G3DSA:3.40.50.12390;G3DSA:2.30.30.750;G3DSA:2.170.260.40	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-430039|Reactome: R-HSA-450385|Reactome: R-HSA-450513	NA	NA	NA	NA	NA	NA	PIRSF006743	NA	NA	NA	NA
augustus_masked-NODE_142_length_57061_cov_73.491042-processed-gene-0.150-mRNA-1	PTHR35779;PTHR35779:SF1	IPR014844	NA	PF08733	NA	NA	mobidb-lite	NA	NA	SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE	TMhelix	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_279013_cov_75.597233-snap-gene-1.20-mRNA-1	PTHR22601;PTHR22601:SF4	IPR004813	GO:0055085	PF03169	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00728	NA	NA	NA
augustus_masked-NODE_57_length_130451_cov_70.941009-processed-gene-0.47-mRNA-1	PTHR14084;PTHR14084:SF2	IPR015422	GO:0003824;GO:0005737;GO:0006569;GO:0009435;GO:0030170;GO:0030429	PF00266	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	SSF53383	NA	NA	NA	KEGG: 00380+3.7.1.3|MetaCyc: PWY-5651|MetaCyc: PWY-6309|Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA	PIRSF038800	TIGR01814	NA	MF_01970	NA
maker-NODE_124_length_69451_cov_64.170936-augustus-gene-0.202-mRNA-1	PTHR10003;PTHR10003:SF27	IPR036423	GO:0006801;GO:0046872;GO:0030001	PF00403	NA	G3DSA:2.60.40.200;G3DSA:3.30.70.100	NA	PS50846	SSF49329;SSF55008	NA	NA	cd00371	MetaCyc: PWY-6854|Reactome: R-HSA-3299685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_46_length_148848_cov_69.581357-processed-gene-0.84-mRNA-1	PTHR14025;PTHR14025:SF20	IPR001650	GO:0003677;GO:0005524;GO:0016787;GO:0006281;GO:0043140	PF00271;PF04851	SM00487;SM00490	G3DSA:1.20.1320.20;G3DSA:3.40.50.300	mobidb-lite	PS51194;PS51192	SSF52540	NA	NA	cd00046;cd00079;cd12091	Reactome: R-HSA-6783310	PS00690	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
snap_masked-NODE_91_length_90328_cov_77.894746-processed-gene-0.53-mRNA-1	PTHR43157:SF12;PTHR43157	IPR009580	GO:0005789;GO:0006506	PF06699	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_64_length_126232_cov_72.676468-augustus-gene-0.5-mRNA-1	NA	IPR019786	NA	PF00628	SM00249	G3DSA:3.30.40.10	mobidb-lite	NA	SSF57903	NA	NA	NA	NA	PS01359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_153_length_51212_cov_62.722130-processed-gene-0.139-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
