Gene	interpro	Pfam	Phobius	TMHMM	GO	PATHWAY	ProSitePatterns	CDD	TIGRFAM	Gene3D	SMART	PANTHER	SUPERFAMILY	MobiDBLite	Coils	PRINTS	PIRSF	Hamap	ProSiteProfiles	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SFLD	ProDom
snap_masked-NODE_137_length_36321_cov_33.235895-processed-gene-0.10-mRNA-1	IPR036465	PF13519	NA	NA	GO:0006511;GO:0008540	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	cd01452	NA	G3DSA:3.40.50.410	SM00327	PTHR10223;PTHR10223:SF0	SSF53300	mobidb-lite	Coil	NA	NA	NA	PS50330;PS50234	NA	NA	NA	NA	NA
snap_masked-NODE_683_length_12718_cov_30.945437-processed-gene-0.2-mRNA-1	IPR036322	PF03372	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	GO:0005515;GO:0046856	NA	NA	NA	NA	G3DSA:2.130.10.10;G3DSA:3.60.10.10	SM00128;SM00320	PTHR11200:SF240;PTHR11200	SSF50978;SSF56219	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_559_length_15764_cov_34.590139-snap-gene-0.9-mRNA-1	IPR016555	PF00787;PF00614;PF13091	NA	NA	GO:0004630;GO:0006654;GO:0048017;GO:0035091;GO:0003824	KEGG: 00564+3.1.4.4|KEGG: 00565+3.1.4.4|MetaCyc: PWY-3561|MetaCyc: PWY-7039|Reactome: R-HSA-1483148|Reactome: R-HSA-1483166|Reactome: R-HSA-2029485	NA	cd01254;cd09138;cd09141	NA	G3DSA:3.30.870.10	SM00155	PTHR18896;PTHR18896:SF113	SSF56024	mobidb-lite	Coil	NA	PIRSF009376	NA	PS50035	NA	NA	NA	NA	NA
maker-NODE_220_length_29402_cov_29.527344-snap-gene-0.2-mRNA-1	IPR003817	PF00168;PF02666	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	GO:0004609;GO:0008654;GO:0005509	KEGG: 00564+4.1.1.65|MetaCyc: PWY-5669|Reactome: R-HSA-1483213	PS00018	cd04039;cd04024	TIGR00163	G3DSA:2.60.40.150;G3DSA:1.10.238.10	SM00239	PTHR10067;PTHR10067:SF2	SSF49562;SSF47473	mobidb-lite	NA	NA	NA	MF_00663	PS50004;PS50222	NA	NA	NA	NA	NA
augustus_masked-NODE_283_length_25561_cov_32.296178-processed-gene-0.50-mRNA-1	IPR000760	PF00459	NA	NA	GO:0046854;GO:0006790;GO:0008441	KEGG: 00920+3.1.3.7	PS00629;PS00630	cd01517	TIGR01330	G3DSA:3.40.190.80;G3DSA:3.30.540.10	NA	PTHR43200:SF6;PTHR43200	SSF56655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_422_length_19824_cov_34.956491-processed-gene-0.62-mRNA-1	IPR019787	PF00628	NA	NA	GO:0097190	Reactome: R-HSA-1221632	PS01359	cd15552	NA	G3DSA:3.30.40.10	SM00249	PTHR11477:SF13;PTHR11477	SSF57903	mobidb-lite	NA	NA	NA	NA	PS50016	NA	NA	NA	NA	NA
augustus_masked-NODE_81_length_45448_cov_32.969153-processed-gene-0.8-mRNA-1	IPR017986	PF00400	NA	NA	GO:0005515;GO:0006364;GO:0034511	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	G3DSA:2.130.10.10	SM00320	PTHR19865:SF0;PTHR19865	SSF50978	mobidb-lite	NA	PR00320	NA	NA	PS50294;PS50082	NA	NA	NA	NA	NA
snap_masked-NODE_12_length_81122_cov_29.998839-processed-gene-0.111-mRNA-1	IPR004813	PF03169	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0055085	NA	NA	NA	TIGR00727;TIGR00728	NA	NA	PTHR22601:SF16;PTHR22601	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_315_length_24146_cov_24.439652-snap-gene-0.5-mRNA-1	IPR001810	PF12937	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:1.20.1280.50	SM00256	PTHR13252:SF9;PTHR13252	SSF81383	mobidb-lite	NA	NA	NA	NA	PS50181	NA	NA	NA	NA	NA
snap_masked-NODE_859_length_9468_cov_28.302430-processed-gene-0.3-mRNA-1	IPR012590	PF08170;PF06978	NA	NA	GO:0000172;GO:0001682;GO:0005655	Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	PTHR22731	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_263_length_26550_cov_31.229648-processed-gene-0.33-mRNA-1	IPR000719	PF00069	NA	NA	GO:0004672;GO:0005524;GO:0006468	NA	PS00107;PS00108	cd06627	NA	G3DSA:1.10.510.10;G3DSA:1.25.10.10	SM00220	PTHR24361:SF433;PTHR24361	SSF48371;SSF56112	mobidb-lite	NA	NA	NA	NA	PS50011	NA	NA	NA	NA	NA
maker-NODE_356_length_22260_cov_38.100664-snap-gene-0.61-mRNA-1	IPR002641	PF01734;PF00027	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	GO:0006629	NA	NA	cd07227;cd00038	NA	G3DSA:3.40.1090.10;G3DSA:2.60.120.10	SM00100	PTHR14226:SF29;PTHR14226	SSF52151;SSF51206	mobidb-lite	Coil	NA	NA	NA	PS50042;PS51635	NA	NA	NA	NA	NA
maker-NODE_400_length_20729_cov_29.509756-snap-gene-0.4-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_447_length_19266_cov_30.450337-snap-gene-0.44-mRNA-1	IPR019542	PF10513;PF13831;PF13832	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA		Reactome: R-HSA-3214847	PS01359	cd15670;cd15492	NA	G3DSA:3.30.40.10	SM00249	PTHR13793;PTHR13793:SF107	SSF57903	mobidb-lite	Coil	NA	NA	NA	PS51805;PS50016	NA	NA	NA	NA	NA
snap_masked-NODE_634_length_13908_cov_23.561715-processed-gene-0.10-mRNA-1	IPR006084	PF00752;PF00867	NA	NA	GO:0004518;GO:0006281;GO:0035312;GO:0003677;GO:0003824	Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	NA	cd09857;cd09908	NA	G3DSA:3.40.50.1010;G3DSA:1.10.150.20	SM00279;SM00484	PTHR11081:SF8;PTHR11081	SSF88723;SSF47807	mobidb-lite	NA	PR00853	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_685_length_12655_cov_19.549010-processed-gene-0.3-mRNA-1	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR42109	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_386_length_21064_cov_35.148780-snap-gene-0.7-mRNA-1	IPR014768	PF06367;PF06371;PF02181	NA	NA	GO:0003779;GO:0016043;GO:0017048;GO:0030036	NA	NA	NA	NA	G3DSA:1.10.12.30;G3DSA:1.25.10.10;G3DSA:1.10.238.150;G3DSA:1.20.58.2220	SM00498;SM01139;SM01140	PTHR23213:SF321;PTHR23213	SSF101447;SSF48371;SSF81995	mobidb-lite	Coil	PR01217	NA	NA	PS51232;PS51444;PS51231	NA	NA	NA	NA	NA
snap_masked-NODE_316_length_24038_cov_28.873238-processed-gene-0.0-mRNA-1	IPR001680	PF00400	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:2.130.10.10	SM00320	PTHR44163	SSF50978	mobidb-lite	NA	NA	NA	NA	PS50082;PS50294	NA	NA	NA	NA	NA
augustus_masked-NODE_55_length_54649_cov_26.607131-processed-gene-0.8-mRNA-1	IPR007992	PF05328	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	GO:0005740;GO:0016021;GO:0016020	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	cd03496	NA	G3DSA:1.20.1300.10	NA	PTHR13337	SSF81343	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
maker-NODE_78_length_46772_cov_33.931633-snap-gene-0.23-mRNA-1	IPR001609	PF00063;PF02736	NA	NA	GO:0003774;GO:0005524;GO:0016459;GO:0051015;GO:0005515	NA	NA	cd01377	NA	G3DSA:1.20.58.530;G3DSA:3.30.70.3240;G3DSA:1.20.5.1050;G3DSA:2.30.30.360;G3DSA:1.20.120.720;G3DSA:4.10.270.10;G3DSA:3.40.850.10	SM00242	PTHR13140:SF574;PTHR13140	SSF90257;SSF52540	mobidb-lite	Coil	PR00193	NA	NA	PS51844;PS51456;PS50096	NA	NA	NA	NA	NA
maker-NODE_21_length_70650_cov_34.837230-snap-gene-0.96-mRNA-1	IPR014844	PF08733	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR35779;PTHR35779:SF1	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_117392_cov_28.864708-snap-gene-0.45-mRNA-1	IPR036930	PF00533;PF05406;PF00644;PF02877	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	GO:0003950;GO:0006471	NA	NA	cd07997;cd00027;cd01437	NA	G3DSA:3.40.50.10190;G3DSA:1.20.142.10;G3DSA:3.90.228.10;G3DSA:2.20.140.10	SM00773;SM00292	PTHR10459;PTHR10459:SF60	SSF142921;SSF56399;SSF47587;SSF52113	mobidb-lite	NA	NA	NA	NA	PS50172;PS51060;PS51059	NA	NA	NA	NA	NA
maker-NODE_909_length_8692_cov_19.703561-snap-gene-0.24-mRNA-1	IPR003020	PF00955	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0005452;GO:0006820;GO:0016020;GO:0016021	Reactome: R-HSA-425381	NA	NA	NA	G3DSA:1.10.287.570	NA	PTHR11453;PTHR11453:SF82	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_57_length_54532_cov_35.529767-processed-gene-0.13-mRNA-1	IPR029058	PF12740	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	GO:0003847;GO:0016042	KEGG: 00565+3.1.1.47	NA	NA	NA	G3DSA:3.40.50.1820	NA	PTHR10272:SF15;PTHR10272	SSF53474	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_444_length_19318_cov_31.390756-snap-gene-0.37-mRNA-1	IPR036047	PF00646	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:1.20.1280.50	SM00256	NA	SSF81383	mobidb-lite	NA	NA	NA	NA	PS50181	NA	NA	NA	NA	NA
snap_masked-NODE_658_length_13248_cov_33.663669-processed-gene-0.11-mRNA-1	IPR031359	PF17100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_239_length_28141_cov_36.598094-snap-gene-0.110-mRNA-1	IPR001607	PF00443;PF02148;PF17807;PF00627	NA	NA	GO:0008270;GO:0016579;GO:0036459;GO:0004843;GO:0005515;GO:0006511	Reactome: R-HSA-5689880	PS00972;PS00973	cd02658;cd14385;cd14386	NA	G3DSA:1.10.8.10;G3DSA:3.90.70.10;G3DSA:3.30.40.10	SM00290;SM00165	PTHR43937:SF1;PTHR43937	SSF54001;SSF57850;SSF46934	NA	NA	NA	PIRSF016308	NA	PS50271;PS50030;PS50235	NA	NA	NA	NA	NA
maker-NODE_697_length_12383_cov_19.885281-augustus-gene-0.26-mRNA-1	IPR019049	PF09531	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix		Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	PTHR13269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_170_length_33455_cov_31.896783-processed-gene-0.90-mRNA-1	IPR000313	PF00855	NA	NA	NA	NA	NA	NA	NA	G3DSA:2.30.30.140	SM00293	PTHR12550;PTHR12550:SF49	SSF63748	mobidb-lite	Coil	NA	NA	NA	PS50812	NA	NA	NA	NA	NA
maker-NODE_345_length_22988_cov_38.203053-augustus-gene-0.67-mRNA-1	IPR036259	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR11360;PTHR11360:SF125	SSF103473	mobidb-lite	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
snap_masked-NODE_1135_length_5997_cov_17.851618-processed-gene-0.0-mRNA-1	IPR027417	PF00448;PF02881;PF02978	NA	NA	GO:0006614;GO:0008312;GO:0048500;GO:0005525;GO:0003924	Reactome: R-HSA-1799339	PS00300	NA	TIGR01425	G3DSA:1.10.260.30;G3DSA:1.20.120.140;G3DSA:3.40.50.300	SM00963;SM00962;SM00382	PTHR11564;PTHR11564:SF5	SSF52540;SSF47446	NA	NA	NA	NA	MF_00306	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1004_length_7494_cov_36.702457-processed-gene-0.2-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PTHR34117	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_153_length_34691_cov_32.085696-augustus-gene-0.18-mRNA-1	IPR036259	PF00083	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	Reactome: R-HSA-189200	PS00216;PS00217	cd06174	TIGR00879	G3DSA:1.20.1250.20	NA	PTHR23500;PTHR23500:SF50	SSF103473	NA	NA	PR00171	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-NODE_419_length_19937_cov_34.203786-snap-gene-0.34-mRNA-1	IPR015958	PF02386	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0005887;GO:0015079;GO:0030007;GO:0071805;GO:0006812;GO:0008324;GO:0055085	NA	NA	NA	NA	NA	NA	PTHR31064:SF10;PTHR31064	NA	mobidb-lite	Coil	NA	PIRSF002450	NA	NA	NA	NA	NA	NA	NA
maker-NODE_407_length_20480_cov_18.006584-augustus-gene-0.12-mRNA-1	IPR015221	PF09138	NA	NA	GO:0005737;GO:0034227	Reactome: R-HSA-6782315	NA	cd01764	NA	G3DSA:3.10.20.30	NA	PTHR14986	SSF54285	NA	NA	NA	PIRSF037379	MF_03048	NA	NA	NA	NA	NA	NA
snap_masked-NODE_130_length_37475_cov_31.377129-processed-gene-0.55-mRNA-1	IPR036770	PF18826	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	GO:0003676;GO:0005515	NA	PS00028	NA	NA	G3DSA:1.25.40.20	NA	PTHR16036	NA	mobidb-lite	Coil	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA	NA
maker-NODE_95_length_42660_cov_35.649989-augustus-gene-0.75-mRNA-1	IPR001296	PF00534;PF13439	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0004378;GO:0006486	Reactome: R-HSA-446193|Reactome: R-HSA-4549349	NA	cd03805	NA	G3DSA:3.40.50.2000	NA	PTHR12526;PTHR12526:SF329	SSF53756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_984_length_7745_cov_32.854686-snap-gene-0.23-mRNA-1	IPR011701	PF07690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR43791:SF59;PTHR43791	SSF103473	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_385_length_21092_cov_35.749010-augustus-gene-0.16-mRNA-1	IPR036249	PF13417;PF00043	NA	NA	GO:0005515	NA	NA	NA	NA	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	NA	PTHR44051	SSF52833;SSF47616	NA	NA	NA	NA	NA	PS50404;PS50405	NA	NA	NA	SFLDG00358;SFLDS00019	NA
maker-NODE_498_length_17538_cov_27.947504-augustus-gene-0.40-mRNA-1	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	cd12087	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
maker-NODE_851_length_9567_cov_35.488242-snap-gene-0.10-mRNA-1	IPR000504	PF00076	NA	NA	GO:0003676	NA	NA	NA	NA	G3DSA:3.30.70.330	SM00360	PTHR44202	SSF54928	mobidb-lite	NA	NA	NA	NA	PS50102	NA	NA	NA	NA	NA
maker-NODE_1126_length_6077_cov_22.319496-snap-gene-0.1-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_131_length_37427_cov_22.159678-processed-gene-0.13-mRNA-1	IPR006076	PF01266;PF05208	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	TMhelix	GO:0016491;GO:0055114;GO:0000030;GO:0030176	KEGG: 00510+2.4.1.258|KEGG: 00513+2.4.1.258|Reactome: R-HSA-446193|Reactome: R-HSA-4720475	NA	NA	NA	G3DSA:3.30.9.10;G3DSA:3.40.50.720	NA	PTHR12646:SF0;PTHR12646	SSF54373;SSF51971	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
augustus_masked-NODE_518_length_16887_cov_30.952148-processed-gene-0.12-mRNA-1	IPR036291	PF13561	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.720	NA	PTHR43544:SF12;PTHR43544	SSF51735	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_90_length_43575_cov_28.875092-snap-gene-0.135-mRNA-1	IPR020846	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR43791;PTHR43791:SF40	SSF103473	mobidb-lite	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
snap_masked-NODE_558_length_15769_cov_33.999425-processed-gene-0.3-mRNA-1	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	PTHR42069	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1051_length_6979_cov_28.835085-snap-gene-0.2-mRNA-1	IPR001849	PF00169;PF08174	NA	NA	NA	NA	NA	cd13278	NA	G3DSA:2.30.29.30	SM00233	PTHR36100	SSF50729	mobidb-lite	Coil	NA	NA	NA	PS50003	NA	NA	NA	NA	NA
snap_masked-NODE_56_length_54593_cov_30.665571-processed-gene-0.13-mRNA-1	IPR036188	PF13434	NA	NA	NA	NA	NA	NA	NA	G3DSA:3.50.50.60	NA	PTHR42802	SSF51905	mobidb-lite	NA	PR00368	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_109_length_40088_cov_31.450514-processed-gene-0.0-mRNA-1	IPR002498	PF01504;PF00118	NA	NA	GO:0016307;GO:0046488;GO:0005524	NA	NA	cd03334	NA	G3DSA:3.30.800.10;G3DSA:3.50.7.10;G3DSA:1.20.58.1870	SM00330	PTHR11353;PTHR11353:SF57	SSF52029;SSF56104	mobidb-lite	Coil	NA	NA	NA	PS51455	NA	NA	NA	NA	NA
snap_masked-NODE_408_length_20459_cov_32.385845-processed-gene-0.4-mRNA-1	IPR036915	PF07741;PF00382	NA	NA	GO:0000126;GO:0000995;GO:0006383;GO:0006355;GO:0070897;GO:0017025	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066	NA	cd00043	NA	G3DSA:1.10.472.10;G3DSA:1.20.5.650	SM00385	PTHR11618:SF4;PTHR11618	SSF47954	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_94_length_43030_cov_37.947929-snap-gene-0.131-mRNA-1	IPR009000	PF03144;PF03143;PF00009	NA	NA	GO:0005525;GO:0003746;GO:0005622;GO:0006414;GO:0003924	Reactome: R-HSA-5389840	PS00301	cd03697;cd01884;cd03707	TIGR00485;TIGR00231	G3DSA:3.40.50.300;G3DSA:2.40.30.10	NA	PTHR43721;PTHR43721:SF12	SSF50447;SSF50465;SSF52540	NA	NA	PR00315	NA	MF_00118_B	PS51722	NA	NA	NA	NA	NA
maker-NODE_821_length_9957_cov_25.539268-snap-gene-0.16-mRNA-1	IPR011042	PF08450	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	G3DSA:2.120.10.30	NA	PTHR10907;PTHR10907:SF67	SSF63829	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
snap_masked-NODE_12_length_81122_cov_29.998839-processed-gene-0.110-mRNA-1	IPR036388	PF09202;PF01163	NA	NA	GO:0004674;GO:0005524;GO:0006468	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	NA	NA	NA	G3DSA:1.10.10.10;G3DSA:3.30.200.20	SM00090	PTHR10593;PTHR10593:SF36	SSF56112;SSF46785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_16_length_74090_cov_34.299068-processed-gene-0.196-mRNA-1	IPR007315	PF04188	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0004584;GO:0006506	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	PTHR12468;PTHR12468:SF2	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_117392_cov_28.864708-snap-gene-0.42-mRNA-1	IPR000757	PF00722	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	TMhelix	GO:0004553;GO:0005975	NA	NA	cd02183	NA	G3DSA:2.60.120.200	NA	PTHR10963:SF27;PTHR10963	SSF49899	NA	NA	NA	NA	NA	PS51762	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
snap_masked-NODE_23_length_68068_cov_31.051177-processed-gene-0.135-mRNA-1	IPR003593	PF09262;PF00004;PF17862	NA	NA	GO:0005524;GO:0005777;GO:0007031;GO:0005778;GO:0006625;GO:0042623	Reactome: R-HSA-9033241	PS00674	cd00009	NA	G3DSA:1.10.8.60;G3DSA:3.10.330.10;G3DSA:3.40.50.300	SM00382	PTHR23077:SF12;PTHR23077	SSF52540;SSF50692;SSF54585	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
