Gene	Phobius	PANTHER	TMHMM	MobiDBLite	interpro	SMART	Pfam	ProSiteProfiles	GO	SUPERFAMILY	PRINTS	CDD	Gene3D	Coils	PATHWAY	ProSitePatterns	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SFLD	ProDom	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE
augustus_masked-NODE_1632_length_4256_cov_8.667474-processed-gene-0.5-mRNA-1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	PTHR43161:SF10;PTHR43161	TMhelix	NA	IPR036291	NA	PF00107	NA	GO:0055114	SSF51735	NA	NA	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-NODE_655_length_12992_cov_12.813914-snap-gene-0.2-mRNA-1	NA	PTHR10953;PTHR10953:SF29	NA	mobidb-lite	IPR035985	NA	PF00899	NA	GO:0008641;GO:0019781;GO:0045116	SSF69572	NA	NA	G3DSA:3.40.50.720	Coil	Reactome: R-HSA-8951664	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_598_length_13797_cov_11.204097-snap-gene-0.15-mRNA-1	NA	PTHR10209:SF216;PTHR10209	NA	mobidb-lite	IPR027443	NA	NA	NA	NA	SSF51197	NA	NA	G3DSA:2.60.120.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1027_length_8340_cov_12.413369-augustus-gene-0.5-mRNA-1	NA	PTHR31964:SF113;PTHR31964	NA	mobidb-lite	IPR014729	NA	PF00582	NA	NA	SSF52402	PR01438	cd00293	G3DSA:3.40.50.620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_486_length_16432_cov_11.662557-processed-gene-0.18-mRNA-1	NA	PTHR10438:SF360;PTHR10438	NA	NA	IPR036249	NA	PF00085	PS51352	GO:0006662;GO:0015035;GO:0045454	SSF52833	PR00421	cd02947	G3DSA:3.40.30.10	NA	NA	NA	PIRSF000077	NA	NA	NA	NA	NA	NA	NA
maker-NODE_64_length_42211_cov_13.338632-augustus-gene-0.0-mRNA-1	NA	PTHR15239;PTHR15239:SF6	NA	mobidb-lite	IPR021846	NA	PF11923;PF05670;PF05833	NA	NA	NA	NA	NA	G3DSA:2.30.310.10	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_288_length_22969_cov_13.073198-augustus-gene-0.0-mRNA-1	NA	PTHR31273;PTHR31273:SF0	NA	NA	IPR005593	NA	PF09364;PF09363;PF03894	NA	GO:0005975;GO:0016832;GO:0003824	SSF52518	NA	cd02011	G3DSA:3.40.50.920;G3DSA:3.40.50.970	NA	NA	PS60002;PS60003	PIRSF017245	NA	NA	NA	NA	NA	NA	NA
maker-NODE_152_length_31409_cov_12.423470-snap-gene-0.12-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR11814:SF59;PTHR11814	TMhelix	mobidb-lite	IPR036513	SM00100	PF01740;PF00916;PF00027	PS50801;PS50042	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	SSF52091;SSF51206	NA	cd07042;cd00038	G3DSA:2.60.120.10;G3DSA:3.30.750.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_20_length_59341_cov_12.014659-snap-gene-0.73-mRNA-1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR43662:SF7;PTHR43662	NA	mobidb-lite	IPR018535	NA	PF09362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_1684_length_3977_cov_7.417143-augustus-gene-0.2-mRNA-1	NA	PTHR12210:SF29;PTHR12210	NA	mobidb-lite	IPR023214	SM00577	PF03031	PS50969	GO:0016791	SSF56784	NA	cd07521	G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	TIGR02251	NA	NA	NA	NA	NA
snap_masked-NODE_2084_length_2259_cov_8.751407-processed-gene-0.2-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_141_length_32212_cov_12.944491-augustus-gene-0.44-mRNA-1	NA	PTHR12131:SF8;PTHR12131	NA	mobidb-lite	IPR001650	SM00490;SM00487;SM01142	PF08148;PF13234;PF00271;PF00270;PF17911	PS51194;PS51192	GO:0003723;GO:0003724;GO:0006401;GO:0003676;GO:0005524	SSF52540	NA	cd00079;cd00046	G3DSA:1.20.1500.20;G3DSA:3.40.50.300;G3DSA:1.10.3380.30;G3DSA:2.40.30.300	Coil	NA	NA	PIRSF005198	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_662_length_12880_cov_12.733867-processed-gene-0.7-mRNA-1	NA	PTHR11136:SF5;PTHR11136	NA	mobidb-lite	IPR018109	NA	NA	NA	GO:0004326;GO:0005524;GO:0009396;GO:0009058;GO:0016874	SSF53244;SSF53623	NA	NA	G3DSA:3.40.1190.10;G3DSA:3.90.190.20	Coil	Reactome: R-HSA-196757	PS01012	PIRSF038895	NA	TIGR01499	NA	NA	NA	NA	NA
maker-NODE_111_length_35385_cov_11.783936-snap-gene-0.5-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR13018:SF26;PTHR13018	TMhelix	mobidb-lite	IPR022257	NA	PF12621;PF13967;PF02714;PF14703	NA	GO:0016020	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_204_length_28044_cov_12.173729-processed-gene-0.15-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR11040;PTHR11040:SF69	TMhelix	mobidb-lite	IPR003689	NA	PF02535	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085;GO:0005385;GO:0016021;GO:0071577	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00820	NA	NA	NA	NA	NA
maker-NODE_278_length_23381_cov_12.329105-snap-gene-0.5-mRNA-1	NA	PTHR10799:SF832;PTHR10799	NA	mobidb-lite	IPR038718	NA	PF00176	PS51204;PS51192	GO:0005524	SSF52540	NA	cd00046	G3DSA:3.40.50.10810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1101_length_7595_cov_10.938672-augustus-gene-0.3-mRNA-1	NA	PTHR10176;PTHR10176:SF3	NA	mobidb-lite	IPR008631	NA	PF05693	NA	GO:0004373;GO:0005978	SSF53756	NA	cd03793	G3DSA:1.20.20.30;G3DSA:3.40.50.2000	NA	KEGG: 00500+2.4.1.11|MetaCyc: PWY-5067|Reactome: R-HSA-3322077|Reactome: R-HSA-3785653	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_683_length_12575_cov_12.433965-augustus-gene-0.1-mRNA-1	NA	PTHR42973:SF19;PTHR42973	NA	NA	IPR036318	NA	PF01565	PS51387	GO:0050660;GO:0071949;GO:0016491;GO:0055114	SSF56176	NA	NA	G3DSA:3.30.43.10;G3DSA:3.30.465.10;G3DSA:3.40.462.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_118_length_34582_cov_12.925816-processed-gene-0.11-mRNA-1	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR43536:SF1;PTHR43536	NA	NA	IPR008979	NA	PF17786;PF00703;PF18368	NA	GO:0004553;GO:0005975;GO:0000272;GO:0005576;GO:0052761	SSF51445;SSF49785;SSF49303	NA	NA	G3DSA:3.20.20.80;G3DSA:2.60.120.260;G3DSA:2.60.40.10	NA	Reactome: R-HSA-2024096|Reactome: R-HSA-2160916|Reactome: R-HSA-2206292|Reactome: R-HSA-6798695	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	SignalP-noTM
augustus_masked-NODE_506_length_15933_cov_13.802100-processed-gene-0.7-mRNA-1	NA	NA	NA	NA	IPR008949	NA	NA	NA	NA	SSF48576	NA	NA	G3DSA:1.10.600.10	NA	NA	NA	NA	NA	NA	NA	SFLDS00005;SFLDG01020	NA	NA	NA
maker-NODE_107_length_35827_cov_11.122297-augustus-gene-0.5-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR28128	TMhelix	NA	IPR013714	NA	PF08507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_51_length_46185_cov_11.289613-processed-gene-0.16-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR21493;PTHR21493:SF235	NA	mobidb-lite	IPR029058	NA	PF01764	NA	GO:0006629	SSF53474	NA	cd00519	G3DSA:3.40.50.1820	NA	Reactome: R-HSA-426048	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
augustus_masked-NODE_32_length_51622_cov_12.103117-processed-gene-0.25-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23501	TMhelix	mobidb-lite	IPR036259	NA	PF07690	PS50850	GO:0016021;GO:0055085	SSF103473	NA	cd06174	G3DSA:1.20.1720.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_42_length_47843_cov_10.741030-processed-gene-0.16-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23500;PTHR23500:SF363	TMhelix	mobidb-lite	IPR003663	NA	PF00083	PS50850	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	SSF103473	PR00171	cd06174	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-189200	PS00217	NA	NA	TIGR00879	NA	NA	NA	NA	NA
maker-NODE_189_length_28791_cov_11.092974-augustus-gene-0.13-mRNA-1	NA	PTHR23111:SF26;PTHR23111	NA	mobidb-lite	IPR036443	SM00479;SM00547	PF00076;PF00929;PF00641	PS50199	GO:0003676	SSF90209;SSF54928;SSF53098	NA	cd06133	G3DSA:3.30.70.330;G3DSA:3.30.420.10;G3DSA:4.10.1060.10	NA	NA	PS01358	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_325_length_21591_cov_9.416418-processed-gene-0.20-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1289_length_6111_cov_9.066344-processed-gene-0.11-mRNA-1	NA	PTHR11787:SF8;PTHR11787	NA	NA	IPR036188	NA	PF00996	NA	GO:0005093;GO:0015031;GO:0005092;GO:0007264	SSF51905	PR00892;PR00891	NA	G3DSA:3.30.519.10;G3DSA:3.50.50.60;G3DSA:1.10.405.10	NA	Reactome: R-HSA-194840|Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_169_length_30075_cov_12.082476-processed-gene-0.14-mRNA-1	NA	PTHR14226:SF10;PTHR14226	NA	mobidb-lite	IPR002641	NA	PF01734;PF11815	PS51635	GO:0006629;GO:0004806	SSF52151	NA	cd07230	G3DSA:3.40.1090.10;G3DSA:3.40.1090.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_573_length_14470_cov_11.785261-augustus-gene-0.19-mRNA-1	NA	PTHR10527:SF6;PTHR10527	NA	NA	IPR001494	SM00913;SM01349	PF13513;PF03810	PS50166;PS50077	GO:0006886;GO:0008536;GO:0006606	SSF48371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_613_length_13579_cov_11.471082-augustus-gene-0.1-mRNA-1	NA	PTHR12696:SF0;PTHR12696	NA	mobidb-lite	IPR013932	NA	PF08623	NA	GO:0010265	SSF48371	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1859_length_3152_cov_9.950413-augustus-gene-0.2-mRNA-1	NA	PTHR44844	NA	mobidb-lite	IPR000719	SM00220	PF00069	PS50011	GO:0004672;GO:0005524;GO:0006468	SSF56112	NA	cd14096	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	NA	PS00108	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1096_length_7630_cov_9.468079-processed-gene-0.6-mRNA-1	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	PTHR15549	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	NA
augustus_masked-NODE_464_length_16778_cov_12.471383-processed-gene-0.8-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR11040:SF87;PTHR11040	TMhelix	mobidb-lite	IPR003689	NA	PF02535	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_839_length_10410_cov_10.570067-augustus-gene-0.4-mRNA-1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	mobidb-lite	IPR019786	SM00249	PF00628	NA	NA	SSF57903	NA	NA	G3DSA:3.30.40.10	NA	NA	PS01359	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_507_length_15929_cov_11.199785-snap-gene-0.6-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR10993:SF12;PTHR10993	NA	NA	IPR038085	NA	PF01900	NA	GO:0004540;GO:0008033	SSF160350	NA	NA	G3DSA:3.30.70.3250	NA	Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_995_length_8687_cov_12.057710-augustus-gene-0.6-mRNA-1	NA	PTHR11864:SF0;PTHR11864	NA	mobidb-lite	IPR036517	SM00456;SM00441	PF00397;PF01846	PS50020;PS51676	GO:0005515;GO:0045292	SSF81698;SSF51045	NA	cd00201	G3DSA:1.10.10.440;G3DSA:2.20.70.10	Coil	NA	PS01159	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_902_length_9544_cov_12.253478-processed-gene-0.1-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR11654:SF118;PTHR11654	TMhelix	mobidb-lite	IPR036259	NA	PF00854	NA	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0006857	SSF103473	NA	cd06174	G3DSA:1.20.1250.20	NA	Reactome: R-HSA-427975	PS01023	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_557_length_14894_cov_12.029864-augustus-gene-0.3-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	PF18056;PF18637	NA	NA	SSF69318	NA	NA	G3DSA:2.60.120.990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1989_length_2588_cov_10.637139-snap-gene-0.0-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR23176;PTHR23176:SF29	NA	mobidb-lite	IPR008936	SM00324	PF00620	PS50238	GO:0007165	SSF48350	NA	cd00159	G3DSA:1.10.555.10	NA	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_341_length_20833_cov_11.932000-processed-gene-0.1-mRNA-1	NA	PTHR11533:SF171;PTHR11533	NA	NA	IPR014782	NA	PF01433;PF17900;PF11838	NA	GO:0008237;GO:0008270;GO:0006508	SSF55486;SSF63737	PR00756	cd09601	G3DSA:2.60.40.1730;G3DSA:1.25.50.20;G3DSA:2.60.40.1910;G3DSA:1.10.390.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_717_length_12085_cov_11.072922-snap-gene-0.6-mRNA-1	NA	PTHR12930;PTHR12930:SF0	NA	mobidb-lite	IPR001841	SM00184;SM00356	PF13920;PF00642	PS50103;PS50089	GO:0046872	SSF57850;SSF90229	NA	cd16539	G3DSA:3.30.40.10	Coil	NA	PS00518	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_655_length_12992_cov_12.813914-snap-gene-0.0-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR23501:SF43;PTHR23501	TMhelix	NA	IPR020846	NA	PF07690	PS50850	GO:0016021;GO:0055085	SSF103473	PR01036	cd06174	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_44_length_47742_cov_11.507928-augustus-gene-0.54-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR23291;PTHR23291:SF50	TMhelix	mobidb-lite	IPR006214	NA	PF01027	NA	NA	NA	NA	cd10429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_546_length_15174_cov_11.431382-augustus-gene-0.18-mRNA-1	NA	PTHR24148:SF60;PTHR24148	NA	mobidb-lite	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_98_length_37548_cov_10.904198-processed-gene-0.27-mRNA-1	NA	PTHR43888:SF12;PTHR43888	NA	mobidb-lite	IPR001623	SM00271	PF00684;PF00226;PF01556	PS51188;PS50076	GO:0031072;GO:0051082;GO:0006457	SSF46565;SSF49493;SSF57938	PR00625	cd06257;cd10747;cd10719	G3DSA:2.60.260.20;G3DSA:1.10.287.110;G3DSA:2.10.230.10	Coil	NA	PS00636	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_139067_cov_12.594847-augustus-gene-0.17-mRNA-1	NA	PTHR28185	NA	mobidb-lite	IPR027536	NA	NA	PS51847	GO:0007005;GO:0032865;GO:0008289	NA	NA	NA	NA	NA	NA	NA	NA	MF_03105	NA	NA	NA	NA	NA	NA
snap_masked-NODE_823_length_10673_cov_12.748151-processed-gene-0.4-mRNA-1	NA	PTHR11774:SF4;PTHR11774	NA	NA	IPR008930	NA	PF00432	NA	GO:0003824	SSF48239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_984_length_8780_cov_12.185716-processed-gene-0.11-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR24089;PTHR24089:SF367	NA	mobidb-lite	IPR023395	NA	PF00153	PS50920	GO:0022857	SSF103506	NA	NA	G3DSA:1.50.40.10	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_585_length_14065_cov_11.017004-snap-gene-0.18-mRNA-1	NA	PTHR43329:SF1;PTHR43329	NA	NA	IPR000073	NA	PF00561	NA	NA	SSF53474	PR00111	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_224_length_26989_cov_12.350309-augustus-gene-0.21-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR24223:SF340;PTHR24223	TMhelix	mobidb-lite	IPR011527	SM00382	PF00005;PF00664	PS50929;PS50893	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	SSF52540;SSF90123	NA	cd03244;cd03250	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	NA	PS00211	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_281_length_23305_cov_11.233195-augustus-gene-0.3-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR31735:SF1;PTHR31735	TMhelix	mobidb-lite	IPR022127	NA	PF12400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1450_length_5139_cov_10.224062-augustus-gene-0.0-mRNA-1	NA	PTHR23176;PTHR23176:SF100	NA	mobidb-lite	IPR000198	SM00324;SM00132	PF00620;PF00412	PS50238;PS50023	GO:0007165	SSF48350	NA	cd00159;cd09394;cd09395	G3DSA:2.10.110.10;G3DSA:1.10.555.10	Coil	Reactome: R-HSA-194840	PS00478	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_762_length_11408_cov_10.029075-processed-gene-0.4-mRNA-1	NA	PTHR10641;PTHR10641:SF676	NA	mobidb-lite	IPR017877	NA	PF00249	PS50090;PS51294	GO:0003677	SSF46689	NA	cd00167	G3DSA:1.10.10.60	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_294_length_22628_cov_12.139905-processed-gene-0.16-mRNA-1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR10366:SF242;PTHR10366	TMhelix	NA	IPR002225	NA	PF01073	NA	GO:0003854;GO:0006694;GO:0016616;GO:0055114	SSF51735	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_110_length_35412_cov_11.624685-processed-gene-0.12-mRNA-1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PTHR24223;PTHR24223:SF344	TMhelix	mobidb-lite	IPR036640	SM00382	PF00005;PF00664	PS50893;PS50929	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	SSF90123;SSF52540	NA	cd03250;cd03244	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	NA	PS00211	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
maker-NODE_1690_length_3953_cov_9.640617-snap-gene-0.2-mRNA-1	NA	PTHR43953;PTHR43953:SF2	NA	mobidb-lite	IPR016135	SM00212	PF00179	PS50127		SSF54495	NA	cd00195	G3DSA:3.10.110.10	Coil	Reactome: R-HSA-983168	PS00183	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_282_length_23300_cov_12.455401-processed-gene-0.22-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR11360;PTHR11360:SF120	TMhelix	mobidb-lite	IPR020846	NA	PF07690	NA	GO:0016021;GO:0055085	SSF103473	NA	cd06174	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1024_length_8347_cov_11.823844-snap-gene-0.1-mRNA-1	NA	PTHR12751:SF18;PTHR12751	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_742_length_11742_cov_10.817822-augustus-gene-0.6-mRNA-1	NA	PTHR28280	NA	mobidb-lite	IPR022784	NA	PF09135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_299_length_22341_cov_13.295534-augustus-gene-0.1-mRNA-1	NA	PTHR19384:SF17;PTHR19384	TMhelix	NA	IPR001709	NA	PF00667;PF00175;PF00258	PS51384;PS50902	GO:0016491;GO:0055114;GO:0003958;GO:0010181	SSF52218;SSF52343;SSF63380	PR00371;PR00369	cd06204	G3DSA:2.40.30.10;G3DSA:3.40.50.80;G3DSA:1.20.990.10;G3DSA:3.40.50.360	NA	Reactome: R-HSA-211897	NA	PIRSF000208	MF_03212	NA	NA	NA	NA	NA	NA
maker-NODE_136_length_32935_cov_12.381553-snap-gene-0.25-mRNA-1	NA	PTHR10183;PTHR10183:SF294	NA	mobidb-lite	IPR038765	SM00230	PF00648	PS50203	GO:0004198;GO:0005622;GO:0006508	SSF54001	PR00704	NA	G3DSA:3.90.70.10	Coil	Reactome: R-HSA-1474228	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1177_length_6929_cov_9.255072-augustus-gene-0.0-mRNA-1	NA	PTHR24216;PTHR24216:SF8	NA	mobidb-lite	IPR001781	SM00132	PF00412	PS50023	NA	SSF57716	NA	cd08368	G3DSA:2.10.110.10	NA	NA	PS00478	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_365_length_19886_cov_11.098386-processed-gene-0.6-mRNA-1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR10285:SF46;PTHR10285	NA	NA	IPR023214	NA	PF13207;PF14681;PF12710	NA	GO:0009116	SSF56784;SSF52540;SSF53271	NA	cd06223	G3DSA:3.40.50.1000;G3DSA:3.40.50.300;G3DSA:3.40.50.2020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_248_length_25667_cov_11.493814-augustus-gene-0.3-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR12106;PTHR12106:SF27	TMhelix	mobidb-lite	IPR006581	SM00602	PF15901;PF15902	NA	GO:0016021;GO:0005515	SSF110296	NA	cd15482	G3DSA:2.10.70.90;G3DSA:2.10.70.80;G3DSA:2.130.10.10	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NODE_1224_length_6552_cov_11.353930-augustus-gene-0.2-mRNA-1	NA	PTHR43176:SF3;PTHR43176	NA	NA	IPR018376	NA	PF16113	NA	GO:0003824;GO:0003860	SSF52096	NA	cd06558	G3DSA:3.90.226.10	NA	Reactome: R-HSA-70895	PS00166	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1468_length_5056_cov_10.727125-augustus-gene-0.4-mRNA-1	NA	PTHR11216:SF89;PTHR11216	NA	mobidb-lite	IPR000261	SM00027	PF02205;PF12763	PS50031;PS50222	GO:0005515;GO:0003779;GO:0005509	SSF47473	NA	cd00052	G3DSA:1.10.238.10	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_92_length_38457_cov_11.468302-snap-gene-0.10-mRNA-1	NA	PTHR12943:SF27;PTHR12943	NA	mobidb-lite	IPR029071	NA	NA	NA	NA	SSF54236	NA	cd01769	G3DSA:3.10.20.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
