Gene	TMHMM	interpro	SUPERFAMILY	MobiDBLite	Phobius	PANTHER	GO	PATHWAY	Pfam	TIGRFAM	Gene3D	Coils	ProSiteProfiles	SMART	SignalP_EUK	CDD	ProSitePatterns	PRINTS	SignalP_GRAM_POSITIVE	PIRSF	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_4_length_485698_cov_44.640333-snap-gene-3.135-mRNA-1	NA	IPR005480	SSF56059;SSF52440;SSF48108;SSF52335	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR11405:SF48;PTHR11405	GO:0005524;GO:0006807;GO:0046872	KEGG: 00240+6.3.5.5|KEGG: 00250+6.3.5.5|MetaCyc: PWY-5154|MetaCyc: PWY-5686|MetaCyc: PWY-7400|MetaCyc: PWY-7790|MetaCyc: PWY-7791	PF02786;PF02787	TIGR01369	G3DSA:3.40.50.20;G3DSA:3.30.470.20;G3DSA:3.40.50.1380;G3DSA:3.30.1490.20;G3DSA:1.10.1030.10	NA	PS50975	SM01096	NA	cd01423	PS00867;PS00866	PR00098	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_170671_cov_47.840979-snap-gene-0.116-mRNA-1	NA	IPR001849	SSF53756;SSF50729	mobidb-lite	NA	PTHR11926;PTHR11926:SF417	GO:0016758;GO:0005975;GO:0030259	Reactome: R-HSA-156588	PF00169;PF00201;PF02893;PF03033	NA	G3DSA:3.40.50.2000;G3DSA:2.30.29.30	NA	PS50003	SM00233;SM00568	NA	cd13216;cd03784;cd13215	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_156_length_36809_cov_44.070852-processed-gene-0.3-mRNA-1	NA	IPR001806	SSF52540	NA	NA	PTHR24070	GO:0003924;GO:0005525;GO:0007165;GO:0016020	NA	PF00071	TIGR00231	G3DSA:3.40.50.300	NA	PS51419	SM00174;SM00173;SM00175	NA	NA	NA	PR00449	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_375835_cov_47.427859-snap-gene-1.60-mRNA-1	TMhelix	IPR016900	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR12989	GO:0004583;GO:0005789;GO:0006488	KEGG: 00510+2.4.1.256|Reactome: R-HSA-446193	PF04922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_133_length_50346_cov_45.153209-processed-gene-0.31-mRNA-1	NA	IPR000210	SSF54695;SSF117281	mobidb-lite	NA	PTHR23244:SF354;PTHR23244	GO:0005515	NA	PF00651;PF13418;PF13854	NA	G3DSA:2.120.10.80	NA	PS50097	SM00225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_58_length_153173_cov_41.472374-snap-gene-0.10-mRNA-1	NA	IPR004589	SSF46785;SSF52540	mobidb-lite	NA	PTHR13710:SF105;PTHR13710	GO:0006310;GO:0008026;GO:0006260;GO:0006281;GO:0043140;GO:0003676;GO:0005524	Reactome: R-HSA-3108214|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	PF00271;PF00270;PF09382;PF16124	TIGR00614	G3DSA:1.10.10.10;G3DSA:3.40.50.300	Coil	PS51194;PS51192	SM00956;SM00490;SM00487	NA	cd00079;cd00046	PS00690	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_310219_cov_46.891864-processed-gene-2.77-mRNA-1	NA	IPR004360	SSF54593	mobidb-lite	NA	PTHR11959;PTHR11959:SF1	GO:0003868;GO:0009072;GO:0016701;GO:0055114	NA	PF00903	TIGR01263	G3DSA:3.10.180.10	NA	PS51819	NA	NA	cd07250;cd08342	NA	NA	NA	PIRSF009283	NA	NA	NA	NA
snap_masked-NODE_168_length_29858_cov_36.153678-processed-gene-0.13-mRNA-1	NA	IPR039467	SSF46689	mobidb-lite	NA	PTHR22929	GO:0003677;GO:0000126;GO:0000995;GO:0006383	Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	PF15963	NA	G3DSA:1.20.58.1880	Coil	NA	SM00717	NA	cd00167	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_65_length_143133_cov_48.818420-snap-gene-0.84-mRNA-1	NA	IPR001138	SSF57701	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR31001	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF04082;PF00172	NA	G3DSA:4.10.240.10	Coil	PS50048	SM00066	NA	cd12148;cd00067	PS00463	NA	SignalP-TM	NA	NA	NA	NA	NA
snap_masked-NODE_99_length_89951_cov_46.513738-processed-gene-0.6-mRNA-1	TMhelix	IPR000644	SSF81340;SSF54631	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR11689:SF65;PTHR11689	GO:0005247;GO:0006821;GO:0016020;GO:0055085	Reactome: R-HSA-2672351	PF00654	NA	G3DSA:3.90.1280.20;G3DSA:1.10.3080.10;G3DSA:3.10.580.20	NA	PS51371	NA	NA	cd04591	NA	PR00762	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_253681_cov_46.912366-augustus-gene-1.51-mRNA-1	NA	IPR029061	SSF52518;SSF55124;SSF52922;SSF56014;SSF52218	NA	NA	PTHR19384:SF93;PTHR19384	GO:0010181;GO:0016491;GO:0055114;GO:0003824;GO:0020037;GO:0051536	KEGG: 00920+1.8.1.2|MetaCyc: PWY-6683	PF01077;PF03460;PF01855;PF00258	NA	G3DSA:3.90.480.10;G3DSA:3.40.50.970;G3DSA:3.40.50.920;G3DSA:3.40.50.360;G3DSA:3.30.413.10	NA	PS50902	NA	NA	NA	PS00365	PR00369;PR00397	NA	NA	NA	NA	NA	NA
maker-NODE_27_length_234181_cov_45.442107-snap-gene-1.106-mRNA-1	NA	IPR000266	SSF50249	NA	NA	PTHR10744;PTHR10744:SF17	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00366;PF16205	TIGR03630	G3DSA:2.40.50.1000	NA	NA	NA	NA	NA	PS00056	PR00973	NA	NA	NA	NA	PD001295	NA
maker-NODE_95_length_98681_cov_43.567922-snap-gene-0.68-mRNA-1	NA	IPR000719	SSF56112;SSF48371	mobidb-lite	NA	PTHR12984:SF3;PTHR12984	GO:0004672;GO:0005524;GO:0006468	NA	PF00069;PF09495	NA	G3DSA:1.25.10.10;G3DSA:3.30.200.20;G3DSA:1.10.510.10	Coil	PS50011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_348637_cov_45.330134-snap-gene-2.3-mRNA-1	NA	IPR007219	SSF57701	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR31313:SF4;PTHR31313	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082;PF00172	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066;SM00906	NA	cd12148;cd00067	PS00463	NA	NA	NA	NA	NA	PD016347	NA
maker-NODE_61_length_149344_cov_47.368932-snap-gene-0.29-mRNA-1	TMhelix	IPR006043	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR42810:SF2;PTHR42810	GO:0016020;GO:0022857;GO:0055085	NA	PF00860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_106_length_81601_cov_44.466517-augustus-gene-0.57-mRNA-1	TMhelix	IPR036396	SSF48264	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR24305;PTHR24305:SF92	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	NA	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	PS00086	PR00385;PR00463	NA	NA	NA	NA	NA	NA
snap_masked-NODE_9_length_394649_cov_48.195036-processed-gene-0.38-mRNA-1	TMhelix	IPR003439	SSF52540	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR19229;PTHR19229:SF184	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PF00005;PF12698	NA	G3DSA:3.40.50.300	NA	PS50893	SM00382	NA	cd03263	PS00211	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_321002_cov_48.649680-snap-gene-1.64-mRNA-1	TMhelix	IPR011701	SSF103473	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR23507;PTHR23507:SF29	GO:0016021;GO:0055085	NA	PF07690	NA	NA	NA	PS50850	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_243189_cov_46.787314-snap-gene-0.28-mRNA-1	NA	IPR019340	NA	mobidb-lite	NA	PTHR13556		Reactome: R-HSA-3214847|Reactome: R-HSA-5689880	PF10198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_59_length_151286_cov_48.523409-processed-gene-0.32-mRNA-1	NA	IPR021487	NA	mobidb-lite	NA	PTHR40630	NA	NA	PF11338;PF11160	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_32_length_209486_cov_45.484159-snap-gene-0.32-mRNA-1	NA	IPR023214	SSF56784	NA	NA	PTHR19288;PTHR19288:SF6	GO:0016791	NA	PF13344;PF13242	TIGR01460;TIGR01452	G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000915	NA	NA	NA	NA
augustus_masked-NODE_142_length_43855_cov_46.603847-processed-gene-0.24-mRNA-1	NA	IPR020616	SSF53901	NA	NA	PTHR18919;PTHR18919:SF81	GO:0016747;GO:0003824	NA	PF00108;PF02803	TIGR01930	G3DSA:3.40.47.10	NA	NA	NA	NA	cd00751	PS00098;PS00099	NA	NA	PIRSF000429	NA	NA	NA	NA
snap_masked-NODE_47_length_167817_cov_49.547552-processed-gene-0.15-mRNA-1	NA	IPR013178	NA	mobidb-lite	NA	PTHR31571:SF2;PTHR31571	GO:0004402;GO:0006355;GO:0016573;GO:0005634;GO:0010484;GO:0043618	Reactome: R-HSA-1234158|Reactome: R-HSA-1368082|Reactome: R-HSA-1912408|Reactome: R-HSA-1989781|Reactome: R-HSA-201722|Reactome: R-HSA-210744|Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-3134973|Reactome: R-HSA-3214847|Reactome: R-HSA-3371568|Reactome: R-HSA-381340|Reactome: R-HSA-3899300|Reactome: R-HSA-400253|Reactome: R-HSA-5617472|Reactome: R-HSA-5621575|Reactome: R-HSA-8866907|Reactome: R-HSA-8941856|Reactome: R-HSA-9013508|Reactome: R-HSA-9013695|Reactome: R-HSA-9018519|Reactome: R-HSA-918233|Reactome: R-HSA-933541	PF08214	NA	NA	NA	PS51728	SM01250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_100_length_89904_cov_39.828007-processed-gene-0.8-mRNA-1	TMhelix	IPR018827	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	PTHR31685:SF2;PTHR31685	NA	NA	PF10355;PF10348	NA	NA	NA	NA	NA	SignalP-TM	cd08760	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
maker-NODE_46_length_170045_cov_47.017809-snap-gene-0.137-mRNA-1	NA	IPR029452	SSF46585;SSF48371	mobidb-lite	NA	PTHR13298	GO:0031929;GO:0031932;GO:0007165	Reactome: R-HSA-1257604|Reactome: R-HSA-389357|Reactome: R-HSA-5218920|Reactome: R-HSA-5674400|Reactome: R-HSA-6804757	PF14668;PF14663;PF14666;PF14664;PF02185	NA	G3DSA:1.10.287.160	Coil	NA	SM01307;SM01308;SM01303;SM01310;SM00742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_160_length_34102_cov_47.838293-snap-gene-0.6-mRNA-1	NA	IPR002108	SSF55753;SSF50044	mobidb-lite	NA	PTHR10829:SF25;PTHR10829	GO:0003779;GO:0005622;GO:0005515	NA	PF00241;PF14604	NA	G3DSA:2.30.30.40;G3DSA:3.40.20.10	NA	PS51263;PS50002	SM00326;SM00102	NA	cd11962;cd11281;cd11961	NA	PR00452	NA	NA	NA	NA	NA	NA
snap_masked-NODE_109_length_79635_cov_46.711689-processed-gene-0.33-mRNA-1	TMhelix	IPR020846	SSF103473	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR23501:SF145;PTHR23501	GO:0016021;GO:0055085	NA	PF07690	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	cd06174	NA	PR01036	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_156753_cov_174.498455-snap-gene-0.131-mRNA-1	TMhelix	IPR003663	SSF103473	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR23500:SF125;PTHR23500	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	Reactome: R-HSA-189200	PF00083	TIGR00879	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	cd06174	PS00216;PS00217	PR00171	NA	NA	NA	NA	NA	NA
snap_masked-NODE_5_length_485167_cov_46.599687-processed-gene-0.17-mRNA-1	NA	IPR027417	SSF52540	NA	NA	PTHR43788	NA	NA	PF13087;PF13086	NA	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_107_length_81207_cov_48.009645-processed-gene-0.0-mRNA-1	TMhelix	IPR038765	SSF54001	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR44509	GO:0016579;GO:0036459	NA	PF00443	NA	NA	NA	PS50235	NA	NA	cd02662	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_348637_cov_45.330134-snap-gene-0.43-mRNA-1	NA	IPR016024	SSF48371	NA	NA	PTHR10527;PTHR10527:SF6	GO:0006886;GO:0008536;GO:0006606	NA	PF13513;PF03810	NA	NA	NA	PS50077;PS50166	SM00913;SM01349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_96_length_97337_cov_46.673624-snap-gene-0.5-mRNA-1	TMhelix	IPR022672	SSF53067	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR19443:SF30;PTHR19443	GO:0005524;GO:0005975;GO:0016773;GO:0001678;GO:0004396;GO:0005536;GO:0006096	KEGG: 00010+2.7.1.1|KEGG: 00051+2.7.1.1|KEGG: 00052+2.7.1.1|KEGG: 00500+2.7.1.1|KEGG: 00520+2.7.1.1|KEGG: 00521+2.7.1.1|KEGG: 00524+2.7.1.1|Reactome: R-HSA-70171	PF00349;PF03727	NA	G3DSA:3.30.420.40;G3DSA:3.40.367.20	NA	PS51748	NA	NA	cd00012	PS00378	PR00475	NA	NA	NA	NA	NA	NA
snap_masked-NODE_16_length_321002_cov_48.649680-processed-gene-2.82-mRNA-1	TMhelix	IPR036770	SSF48403	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR10622;PTHR10622:SF10	GO:0005515	NA	PF06985;PF12796;PF13637	NA	G3DSA:1.25.40.20	Coil	PS50088;PS50297	SM00248	NA	cd00204	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_232581_cov_45.577568-snap-gene-1.18-mRNA-1	TMhelix	IPR003674	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR13872;PTHR13872:SF38	GO:0004576;GO:0006486;GO:0016020	NA	PF02516	NA	G3DSA:3.40.50.12610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_51_length_160311_cov_48.731790-processed-gene-0.72-mRNA-1	NA	IPR003439	SSF52540	NA	NA	PTHR12847:SF5;PTHR12847	GO:0005524;GO:0016887	NA	PF00005	NA	G3DSA:3.40.50.300	NA	PS50893	SM00382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_7_length_440057_cov_47.711181-processed-gene-3.67-mRNA-1	NA	IPR000757	SSF49899	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR10963:SF54;PTHR10963	GO:0004553;GO:0005975	NA	PF00722	NA	G3DSA:2.60.120.200	NA	PS51762	NA	NA	cd02181	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_128_length_57135_cov_47.381683-processed-gene-0.12-mRNA-1	NA	IPR002889	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	PTHR24269	NA	NA	PF01822	NA	NA	NA	PS51212	SM00321	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA
maker-NODE_8_length_433048_cov_46.125452-snap-gene-1.36-mRNA-1	TMhelix	IPR013057	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR22950:SF54;PTHR22950	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_73_length_129667_cov_44.834144-processed-gene-0.27-mRNA-1	TMhelix	IPR001905	SSF111352	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR43029;PTHR43029:SF4	GO:0008519;GO:0016020;GO:0072488;GO:0015696	NA	PF00909	TIGR00836	G3DSA:1.10.3430.10	NA	NA	NA	NA	NA	PS01219	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_28_length_232581_cov_45.577568-processed-gene-1.50-mRNA-1	TMhelix	IPR007941	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR17920:SF9;PTHR17920	NA	NA	PF05277	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_24_length_244105_cov_46.328526-processed-gene-1.59-mRNA-1	NA	IPR029044	SSF53448	mobidb-lite	NA	PTHR31834;PTHR31834:SF8	GO:0000009	NA	PF04488	NA	G3DSA:3.90.550.20	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_459376_cov_47.460123-snap-gene-1.17-mRNA-1	NA	IPR019734	SSF48452	mobidb-lite	NA	PTHR12558;PTHR12558:SF10	GO:0005515;GO:0005680;GO:0030071	Reactome: R-HSA-141430|Reactome: R-HSA-174048|Reactome: R-HSA-174084|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-176407|Reactome: R-HSA-176408|Reactome: R-HSA-176409|Reactome: R-HSA-176412|Reactome: R-HSA-179409|Reactome: R-HSA-2467813|Reactome: R-HSA-2559582|Reactome: R-HSA-69017|Reactome: R-HSA-983168	PF13414;PF13181;PF04049	NA	G3DSA:1.25.40.10	NA	PS50293;PS50005	SM00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_192889_cov_46.993655-snap-gene-0.25-mRNA-1	NA	NA	NA	mobidb-lite	NA	PTHR31986:SF7;PTHR31986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_11_length_375835_cov_47.427859-processed-gene-2.41-mRNA-1	NA	IPR001683	SSF54277;SSF50044;SSF64268	mobidb-lite	NA	PTHR45397	GO:0035091;GO:0005515;GO:0000902	NA	PF00564;PF00018;PF00787	NA	G3DSA:2.30.30.40;G3DSA:3.10.20.90;G3DSA:3.30.1520.10	NA	PS50002;PS51745;PS50195	SM00312;SM00326;SM00666	NA	cd05992;cd06890;cd11879;cd11878	NA	PR00452	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_243189_cov_46.787314-snap-gene-1.17-mRNA-1	NA	IPR018163	SSF55186;SSF81271;SSF52954;SSF55681	mobidb-lite	NA	PTHR11451:SF46;PTHR11451	GO:0000166;GO:0004829;GO:0005524;GO:0005737;GO:0006435;GO:0004812;GO:0043039;GO:0006418	KEGG: 00970+6.1.1.3	PF07973;PF00587;PF02824;PF03129	TIGR00418	G3DSA:3.30.930.10;G3DSA:3.10.20.30;G3DSA:3.30.980.10;G3DSA:3.40.50.800	NA	PS50862	SM00863	NA	cd00771;cd00860;cd01667	NA	PR01047	NA	NA	MF_00184	NA	NA	NA
augustus_masked-NODE_6_length_459376_cov_47.460123-processed-gene-2.72-mRNA-1	NA	IPR013260	NA	mobidb-lite	NA	PTHR13264		Reactome: R-HSA-72163	PF08231	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_232581_cov_45.577568-processed-gene-1.77-mRNA-1	NA	IPR006840	NA	mobidb-lite	NA	PTHR12192;PTHR12192:SF2	GO:0003839;GO:0006751	KEGG: 00480+4.3.2.7|MetaCyc: PWY-7942|Reactome: R-HSA-174403	PF04752	NA	NA	NA	NA	NA	NA	cd06661	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_232581_cov_45.577568-snap-gene-0.48-mRNA-1	NA	IPR005613	NA	mobidb-lite	NA	PTHR22741;PTHR22741:SF10	GO:0005519;GO:0051125	NA	PF03915	NA	G3DSA:1.20.58.1540	Coil	NA	SM00806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_156753_cov_174.498455-augustus-gene-0.69-mRNA-1	NA	IPR037018	SSF74650;SSF48208	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PTHR11051:SF8;PTHR11051	GO:0003824;GO:0005975;GO:0030246	NA	PF03636;PF03632	NA	G3DSA:2.70.98.40;G3DSA:1.50.10.10	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA
maker-NODE_26_length_237870_cov_47.987125-augustus-gene-0.48-mRNA-1	NA	IPR000953	SSF54160	mobidb-lite	NA	PTHR22812:SF137;PTHR22812	GO:0005634	NA	PF01393;PF00385	NA	G3DSA:2.40.50.40	NA	PS50013	SM00300;SM00298	NA	cd00024	PS00598	PR00504	NA	NA	NA	NA	NA	NA
snap_masked-NODE_75_length_122785_cov_47.688443-processed-gene-0.33-mRNA-1	NA	IPR038765	SSF54001	NA	NA	PTHR10589:SF16;PTHR10589	GO:0004843;GO:0005622;GO:0006511;GO:0016579	Reactome: R-HSA-5689603	PF01088;PF18031	NA	G3DSA:3.40.532.10	NA	NA	NA	NA	cd09617	NA	PR00707	NA	PIRSF038120	NA	NA	NA	NA
snap_masked-NODE_104_length_84111_cov_41.029410-processed-gene-0.20-mRNA-1	NA	IPR001138	SSF57701	mobidb-lite	NA	PTHR31944;PTHR31944:SF115	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	NA	G3DSA:4.10.240.10	NA	PS50048	SM00066;SM00906	NA	cd00067;cd12148	PS00463	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_440057_cov_47.711181-augustus-gene-3.10-mRNA-1	NA	IPR013815	SSF51230;SSF52096;SSF56059;SSF52440;SSF51246	mobidb-lite	NA	PTHR18866:SF6;PTHR18866	GO:0005524;GO:0046872;GO:0003989;GO:0006633;GO:0016874	Reactome: R-HSA-196780|Reactome: R-HSA-3371599	PF00364;PF02785;PF01039;PF02786;PF08326;PF00289	NA	G3DSA:3.30.1490.20;G3DSA:3.90.1770.10;G3DSA:3.90.226.10;G3DSA:2.40.50.100;G3DSA:3.40.50.12210;G3DSA:2.40.460.10;G3DSA:3.30.470.20	Coil	PS50975;PS50979;PS50968;PS50980;PS50989	SM00878	NA	cd06850	PS00188;PS00867;PS00866	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_382122_cov_47.985369-snap-gene-1.89-mRNA-1	NA	IPR036187	SSF48334;SSF52540	NA	NA	PTHR11361:SF35;PTHR11361	GO:0003677;GO:0005524;GO:0006298;GO:0032300;GO:0030983	Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5632927|Reactome: R-HSA-5632928|Reactome: R-HSA-5632968|Reactome: R-HSA-6796648	PF05192;PF05188;PF00488;PF01624;PF05190	NA	G3DSA:3.40.50.300;G3DSA:3.30.420.110;G3DSA:1.10.1420.10;G3DSA:3.40.1170.10	Coil	NA	SM00534;SM00533	NA	cd03285	PS00486	NA	NA	PIRSF005813	NA	NA	NA	NA
snap_masked-NODE_52_length_160205_cov_44.697666-processed-gene-0.84-mRNA-1	NA	IPR019787	SSF57903	mobidb-lite	NA	PTHR11477;PTHR11477:SF13	GO:0097190	Reactome: R-HSA-1221632	PF00628	NA	G3DSA:3.30.40.10	NA	PS50016	SM00249	NA	cd15552	PS01359	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_322022_cov_47.826453-processed-gene-2.89-mRNA-1	NA	IPR001698	SSF90096	mobidb-lite	NA	PTHR10619	GO:0008290;GO:0051016;GO:0003779;GO:0005737;GO:0030036	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-983231	PF01115	NA	G3DSA:2.40.160.80;G3DSA:1.20.58.570	Coil	NA	NA	NA	NA	PS00231	PR00192	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_440057_cov_47.711181-snap-gene-0.33-mRNA-1	NA	IPR036028	SSF50044;SSF54001	mobidb-lite	NA	PTHR11039:SF61;PTHR11039	GO:0005515;GO:0007064	Reactome: R-HSA-2470946	PF01841;PF07653;PF10345	NA	G3DSA:3.10.620.30;G3DSA:2.30.30.40	NA	PS50002	SM00326;SM00460	NA	cd11889	NA	NA	NA	NA	NA	NA	NA	NA
