Gene	interpro	Pfam	MobiDBLite	SMART	Gene3D	SUPERFAMILY	PRINTS	GO	CDD	PIRSF	Coils	PATHWAY	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	SFLD
ETS00163.1	IPR002999	PF00567;PF00565	mobidb-lite	SM00333;SM00318	G3DSA:2.40.50.90;G3DSA:2.30.30.140	SSF50199;SSF63748	NA	GO:0016442;GO:0031047	cd00175;cd04508	PIRSF017179	Coil	Reactome: R-HSA-6802952	PS50304;PS50830	NA	NA	NA	NA
ETS02499.1	IPR016162	PF00171	NA	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	NA	GO:0016491;GO:0055114;GO:0016620	cd07114	NA	NA	NA	NA	PS00070;PS00687	NA	NA	NA
ETS01242.1	IPR036259	PF11700	mobidb-lite	NA	G3DSA:1.20.1250.20	SSF103473	NA	NA	cd17483	NA	NA	NA	NA	NA	NA	NA	NA
ETS06901.1	IPR007274	PF04145	NA	NA	NA	NA	NA	GO:0005375;GO:0016021;GO:0035434	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03174.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02720.1	IPR025733	PF14008;PF16656;PF00149	NA	NA	G3DSA:2.60.40.380;G3DSA:3.60.21.10	SSF56300;SSF49363	NA	GO:0003993;GO:0046872;GO:0016787	cd00839	NA	NA	NA	NA	NA	NA	NA	NA
ETS01641.1	IPR036872	PF05622	mobidb-lite	NA	G3DSA:1.10.418.10	SSF116907	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS06767.1	IPR011333	PF00651	NA	SM00225	G3DSA:3.30.710.10	SSF54695	NA	GO:0005515	cd18186	NA	Coil	NA	PS50097	NA	NA	NA	NA
ETS07155.1	IPR036259	PF07690	mobidb-lite	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085	cd17323	NA	NA	NA	PS50850	NA	NA	NA	NA
ETR97142.1	IPR020946	PF00743	NA	NA	G3DSA:3.50.50.60	SSF51905	NA	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00318.1	IPR007502	PF04408;PF00271;PF07717;PF00270	mobidb-lite	SM00847;SM00487;SM00490	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	SSF52540	NA	GO:0004386;GO:0003676;GO:0005524	cd18791;cd17917	NA	Coil	NA	PS51192;PS51194	NA	NA	NA	NA
ETR96975.1	IPR011990	PF13432;PF13176	mobidb-lite	SM00028	G3DSA:1.25.40.10	SSF48452	NA	GO:0005515	NA	NA	NA	NA	PS50293;PS50005	NA	NA	NA	NA
ETS01472.1	IPR007219	PF04082	NA	NA	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	NA	NA	NA	NA	NA
ETS03375.1	IPR001138	NA	mobidb-lite	NA	NA	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd00067	NA	NA	NA	NA	NA	NA	NA	NA
ETR99993.1	IPR004001	PF00022	NA	SM00268	G3DSA:3.30.420.40;G3DSA:3.90.640.10	SSF53067	PR00190	NA	cd00012	NA	NA	NA	NA	PS00432;PS00406;PS01132	NA	NA	NA
ETS02868.1	IPR001708	PF02096	mobidb-lite	NA	NA	NA	NA	GO:0016021;GO:0032977	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS02014.1	IPR006165	PF03730;PF02037;PF02735;PF03731	mobidb-lite	SM00513;SM00559	G3DSA:2.40.290.10;G3DSA:1.10.720.30;G3DSA:4.10.970.10;G3DSA:3.40.50.410;G3DSA:1.10.1600.10	SSF100939;SSF68906;SSF53300	NA	GO:0000723;GO:0003677;GO:0003684;GO:0005634;GO:0006303;GO:0042162;GO:0043564;GO:0003678	cd01458;cd00788	PIRSF003033	Coil	Reactome: R-HSA-164843|Reactome: R-HSA-1834949|Reactome: R-HSA-3270619|Reactome: R-HSA-5693571|Reactome: R-HSA-6798695	PS50800	NA	TIGR00578	NA	NA
ETS02466.1	IPR037520	PF11704	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	PS51834	NA	NA	NA	NA
ETS01851.1	IPR002347	PF00106	NA	NA	G3DSA:3.40.50.720	SSF51735	PR00080;PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97074.1	IPR034922	NA	mobidb-lite	SM00479	NA	SSF53098	NA	NA	cd06145	NA	Coil	NA	NA	NA	NA	NA	NA
ETR99044.1	IPR027417	PF00071	NA	SM00173;SM00175;SM00174;SM00176	G3DSA:3.40.50.300	SSF52540	PR00449	GO:0003924;GO:0005525	cd01868	NA	NA	NA	PS51419	NA	TIGR00231	NA	NA
ETS06352.1	IPR001910	PF01156	NA	NA	G3DSA:3.90.245.10	SSF53590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97225.1	IPR018731	PF10033	mobidb-lite	NA	G3DSA:3.30.900.10	NA	NA	GO:0006914;GO:1990316	NA	NA	NA	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA
ETR97923.1	IPR025533	PF14388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98233.1	IPR003333	PF02353	NA	SM00828	G3DSA:3.40.50.150	SSF53335	NA	GO:0008610	cd02440	PIRSF003085	NA	NA	NA	NA	NA	NA	NA
ETS01440.1	IPR006689	PF00025	NA	SM00178;SM00177	G3DSA:3.40.50.300	SSF52540	PR00328	GO:0005525;GO:0006886	cd00879	NA	NA	NA	PS51422	NA	TIGR00231	NA	NA
ETS05201.1	IPR001138	PF00172;PF04082	NA	SM00066;SM00906	G3DSA:4.10.240.10	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	cd12148;cd00067	NA	NA	NA	PS50048	PS00463	NA	NA	NA
ETR98819.1	IPR023296	PF04616	NA	NA	G3DSA:2.115.10.20;G3DSA:2.60.120.560	SSF75005	NA	GO:0004553;GO:0005975	cd18827	NA	NA	NA	PS51257	NA	NA	NA	NA
ETS03228.1	IPR007219	NA	NA	SM00906	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	NA	NA	NA	NA	NA
ETS03194.1	IPR013783	PF00933;PF01915;PF14310	NA	SM01217	G3DSA:2.60.40.10;G3DSA:3.40.50.1700;G3DSA:3.20.20.300	SSF51445;SSF52279	PR00133	GO:0004553;GO:0005975	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98978.1	IPR001849	PF07647;PF14604;PF00169	mobidb-lite	SM00233;SM00326;SM00454	G3DSA:2.30.30.40;G3DSA:1.10.150.50	SSF50729;SSF47769;SSF50044	NA	GO:0005515	cd09535;cd13316;cd11886	NA	NA	NA	PS50105;PS50003;PS50002	NA	NA	NA	NA
ETS04500.1	IPR006073	PF01926	NA	NA	NA	SSF52540	NA	GO:0005525	NA	NA	Coil	NA	NA	PS00675	NA	NA	NA
ETS03844.1	IPR002042	PF01014	NA	NA	G3DSA:3.10.270.10	SSF55620	PR00093	GO:0004846;GO:0006144;GO:0055114	cd00445	PIRSF000241	NA	KEGG: 00230+1.7.3.3|KEGG: 00232+1.7.3.3|MetaCyc: PWY-5691	NA	PS00366	TIGR03383	NA	NA
ETS06330.1	IPR016163	PF00171	mobidb-lite	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	SSF53720	NA	GO:0016491;GO:0016620;GO:0055114;GO:0004491	cd07085	NA	NA	KEGG: 00280+1.2.1.27|KEGG: 00640+1.2.1.27|MetaCyc: PWY-5642|Reactome: R-HSA-70895	NA	PS00070	TIGR01722	NA	NA
ETS06322.1	IPR007676	PF04597	NA	NA	NA	NA	NA	GO:0004579;GO:0005783;GO:0006486;GO:0016021	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203	NA	NA	NA	NA	NA
ETS00059.1	IPR001494	PF03810;PF13513	NA	SM00913	G3DSA:1.25.10.10	SSF48371	NA	GO:0006886;GO:0008536	NA	NA	NA	NA	PS50166;PS50077	NA	NA	NA	NA
ETS06368.1	IPR020103	PF01142	mobidb-lite	NA	G3DSA:3.30.2350.20	SSF55120	NA	GO:0001522;GO:0003723;GO:0009451;GO:0009982	cd02576;cd01291	PIRSF037016	NA	NA	PS50984	NA	TIGR00094	NA	NA
ETS04682.1	IPR017141	PF01546;PF07687	NA	NA	G3DSA:3.40.630.10	SSF53187;SSF55031	NA	GO:0004181;GO:0006508;GO:0008237;GO:0016787	cd05674	PIRSF037217	NA	NA	NA	PS00758	NA	NA	NA
ETS00170.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS03313.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03388.1	IPR007219	PF04082	mobidb-lite	SM00906	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	NA	NA	NA	NA	NA
ETS06224.1	IPR007219	PF04082	mobidb-lite	SM00906	G3DSA:4.10.240.10	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	cd00067;cd12148	NA	Coil	NA	NA	NA	NA	NA	NA
ETS06856.1	IPR012334	PF12708	NA	NA	G3DSA:2.160.20.10	SSF51126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01273.1	IPR016295	PF00227	NA	NA	G3DSA:3.60.20.10	SSF56235	NA	GO:0004298;GO:0005839;GO:0051603;GO:0004175	cd03760	PIRSF001213	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PS51476	PS00854	NA	NA	NA
ETS02185.1	IPR011515	PF07557;PF07558	mobidb-lite	NA	NA	NA	NA	GO:0000775;GO:0005634;GO:0045132	NA	NA	Coil	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA
ETS06851.1	IPR002872	PF01619	NA	NA	G3DSA:3.20.20.220	SSF51730	NA		NA	NA	NA	KEGG: 00330+1.5.5.2|MetaCyc: PWY-5737|MetaCyc: PWY-6922|Reactome: R-HSA-70688	NA	NA	NA	NA	NA
ETR96948.1	IPR007111	NA	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	NA	cd18037;cd02019	NA	NA	NA	PS50837	NA	NA	NA	NA
ETR97850.1	IPR011990	PF08238	mobidb-lite	SM00671	G3DSA:1.25.40.10	SSF81901	NA	GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03108.1	IPR036188	PF01266	NA	NA	G3DSA:3.30.9.10;G3DSA:3.50.50.60	SSF51905	NA	GO:0016491;GO:0055114	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97269.1	IPR019434	PF10338	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00273.1	IPR029058	NA	mobidb-lite	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97672.1	NA	PF13515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00753.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01599.1	IPR009014	PF09364;PF03894;PF09363	NA	NA	G3DSA:3.40.50.920;G3DSA:3.40.50.970	SSF52518;SSF52922	NA	GO:0003824;GO:0005975;GO:0016832	NA	PIRSF017245	Coil	NA	NA	PS60002;PS60003	NA	NA	NA
ETR97265.1	IPR029004	PF01778	mobidb-lite	NA	G3DSA:3.30.390.110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01984.1	IPR002642	PF01735	mobidb-lite	SM00022	G3DSA:3.40.1090.10	SSF52151	NA	GO:0004620;GO:0009395	cd00147	NA	Coil	Reactome: R-HSA-1482788|Reactome: R-HSA-1482801|Reactome: R-HSA-1482839|Reactome: R-HSA-1482922|Reactome: R-HSA-1483115	PS51210	NA	NA	NA	NA
ETS06711.1	IPR036188	PF01494	NA	NA	G3DSA:3.30.9.30;G3DSA:3.50.50.60	SSF51905	PR00420	GO:0071949	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03883.1	IPR020915	PF11578	mobidb-lite	NA	G3DSA:2.40.160.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98661.1	IPR004827	NA	mobidb-lite	NA	NA	SSF57959	NA	GO:0003700;GO:0006355	cd14688	NA	NA	NA	NA	PS00036	NA	NA	NA
ETS00473.1	IPR036291	PF00106	NA	NA	G3DSA:3.40.50.720	SSF51735	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01651.1	IPR027267	PF04869;PF04871	mobidb-lite	NA	G3DSA:1.20.1270.60;G3DSA:1.25.10.10	SSF48371	NA	GO:0000139;GO:0005737;GO:0006886;GO:0048280;GO:0016192	NA	NA	Coil	Reactome: R-HSA-162658|Reactome: R-HSA-204005|Reactome: R-HSA-6807878	NA	NA	NA	NA	NA
ETS00501.1	IPR012677	NA	mobidb-lite	NA	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS01330.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97497.1	IPR029058	PF12697	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98905.1	IPR017870	PF01521	mobidb-lite	NA	G3DSA:2.60.300.12	SSF89360	NA	GO:0005198;GO:0051536;GO:0097428	NA	NA	NA	Reactome: R-HSA-1362409	NA	PS01152	TIGR00049	NA	NA
ETS06198.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS06779.1	IPR002740	PF01878	NA	NA	G3DSA:3.10.590.10	SSF88697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR98621.1	IPR005850	PF02744;PF01087	NA	NA	G3DSA:3.30.428.10	SSF54197	NA	GO:0006012;GO:0008108;GO:0008270;GO:0033499	cd00608	PIRSF000808	NA	KEGG: 00052+2.7.7.12|KEGG: 00520+2.7.7.12|MetaCyc: PWY-6317|MetaCyc: PWY-6527|Reactome: R-HSA-5609978|Reactome: R-HSA-70370	NA	PS00117	TIGR00209	NA	NA
ETR99473.1	IPR001063	PF00237	NA	NA	G3DSA:3.90.470.10	SSF54843	NA	GO:0003735;GO:0005840;GO:0006412;GO:0015934	cd00336	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	PS00464	TIGR01038	NA	NA
ETS02514.1	IPR006153	PF00999	NA	NA	G3DSA:1.20.1530.20	NA	NA	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR98710.1	IPR004871	PF10433;PF03178	NA	NA	G3DSA:2.130.10.10	NA	NA	GO:0003676;GO:0005634;GO:0005515	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS05226.1	IPR039481	PF15469	mobidb-lite	NA	NA	NA	NA		NA	NA	Coil	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA
ETS03128.1	IPR032675	NA	NA	NA	G3DSA:3.80.10.10	SSF52047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03936.1	IPR003953	PF00890;PF02910	NA	NA	G3DSA:4.10.80.40;G3DSA:3.50.50.60;G3DSA:3.90.700.10;G3DSA:1.20.58.100	SSF51905;SSF56425;SSF46977	NA	GO:0016491;GO:0055114;GO:0006099;GO:0016627;GO:0050660;GO:0022900	NA	PIRSF000171	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	PS00504	TIGR01816;TIGR01812	NA	NA
ETS01949.1	IPR036291	PF00106	NA	NA	G3DSA:3.40.50.720	SSF51735	PR00081;PR00080	NA	cd05374	NA	Coil	NA	NA	NA	NA	NA	NA
ETR97892.1	IPR012990	PF08033;PF04810;PF04811;PF04815;PF00626	NA	NA	G3DSA:3.40.20.10;G3DSA:1.20.120.730;G3DSA:2.30.30.380;G3DSA:2.60.40.1670;G3DSA:3.40.50.410	SSF81995;SSF81811;SSF82754;SSF53300;SSF82919	NA	GO:0030127;GO:0090114;GO:0006886;GO:0006888;GO:0008270	cd11287;cd01478	NA	NA	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	NA	NA	NA	NA
ETS00169.1	IPR000571	NA	mobidb-lite	NA	NA	NA	NA	GO:0046872	NA	NA	Coil	NA	PS50103	NA	NA	NA	NA
ETS03448.1	IPR011032	PF00166	NA	SM00883	G3DSA:2.30.33.40	SSF50129	PR00297	GO:0006457;GO:0005524	cd00320	NA	NA	NA	NA	PS00681	NA	MF_00580	NA
ETS01876.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR97508.1	IPR016636	PF02544	mobidb-lite	NA	NA	NA	NA	GO:0003865;GO:0008202;GO:0016020;GO:0055114;GO:0006629;GO:0016627	NA	PIRSF015596	NA	KEGG: 00140+1.3.1.22|KEGG: 00905+1.3.1.22|MetaCyc: PWY-6032|MetaCyc: PWY-7455|Reactome: R-HSA-193048	PS50244	NA	NA	NA	NA
ETS03516.1	IPR036259	PF07690	NA	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085	cd17325	NA	NA	NA	PS50850	NA	NA	NA	NA
ETS03574.1	IPR036691	PF03372	mobidb-lite	NA	G3DSA:3.60.10.10	SSF56219	NA	GO:0003677;GO:0004519;GO:0006281;GO:0004518	cd09088	NA	NA	Reactome: R-HSA-110357|Reactome: R-HSA-110362|Reactome: R-HSA-110373|Reactome: R-HSA-5651801|Reactome: R-HSA-73930|Reactome: R-HSA-73933	PS51435	PS00726;PS00728	NA	NA	NA
ETS06668.1	IPR017877	PF00249	mobidb-lite	SM00717	G3DSA:1.10.10.60	SSF46689	NA	GO:0003677	cd00167	NA	NA	NA	PS50090;PS51294	NA	NA	NA	NA
ETR99133.1	IPR006941	PF04857	NA	NA	G3DSA:3.30.420.10	SSF53098	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR96926.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS00971.1	IPR003137	PF02225;PF13639	mobidb-lite	SM00184	G3DSA:3.30.40.10	SSF57850;SSF52025	NA	NA	cd04813;cd16454	NA	NA	NA	PS50089	NA	NA	NA	NA
ETS00045.1	IPR001841	PF12678	mobidb-lite	SM00184	G3DSA:3.30.40.10	SSF57850	NA	GO:0008270	NA	NA	NA	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	PS50089	NA	NA	NA	NA
ETS07189.1	IPR036291	PF05368	NA	NA	G3DSA:3.40.50.720	SSF51735	NA		cd05259	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA	NA
ETS03749.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS03291.1	IPR042102	PF04998;PF04983;PF00623;PF05000;PF04997	NA	SM00663	G3DSA:2.20.25.410;G3DSA:1.10.274.100;G3DSA:1.20.120.1280;G3DSA:1.10.150.390;G3DSA:2.40.40.20;G3DSA:1.10.132.30;G3DSA:3.30.1490.180	SSF64484	NA	GO:0003677;GO:0003899;GO:0006351	cd02736;cd02583	NA	NA	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	NA	NA	NA
ETS03752.1	IPR040976	PF17667	mobidb-lite	NA	NA	NA	NA		NA	NA	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA	NA
ETS03507.1	IPR025110	PF13193;PF00501	NA	NA	G3DSA:3.40.50.12780;G3DSA:3.30.300.310	SSF56801	NA	GO:0003824	cd05911	NA	Coil	NA	NA	PS00455	NA	NA	NA
ETR98847.1	IPR000612	PF01679	NA	NA	NA	NA	NA	GO:0016021	NA	NA	NA	NA	NA	PS01309	NA	NA	NA
ETS00705.1	IPR003165	PF02171;PF16488;PF08699;PF02170;PF16486	mobidb-lite	SM01163;SM00950	G3DSA:3.40.50.2300;G3DSA:3.30.420.10;G3DSA:2.170.260.10	SSF53098;SSF101690	NA	GO:0003676;GO:0005515	cd02846;cd04657	NA	NA	Reactome: R-HSA-1912408|Reactome: R-HSA-203927|Reactome: R-HSA-4086398|Reactome: R-HSA-426486|Reactome: R-HSA-426496|Reactome: R-HSA-5628897|Reactome: R-HSA-5687128|Reactome: R-HSA-8934593|Reactome: R-HSA-8943723|Reactome: R-HSA-8948700|Reactome: R-HSA-8986944|Reactome: R-HSA-9018519|Reactome: R-HSA-9022692|Reactome: R-HSA-9029569	PS50822	NA	NA	NA	NA
ETS01595.1	IPR022812	PF00350;PF01031	mobidb-lite	SM00053	G3DSA:3.40.50.300	SSF52540	PR00195	GO:0003924;GO:0005525	cd08771	NA	Coil	NA	PS51388;PS51718	NA	NA	NA	NA
ETS05518.1	IPR027417	PF00225	mobidb-lite	SM00129	G3DSA:3.40.850.10	SSF52540	PR00380	GO:0003777;GO:0005524;GO:0007018;GO:0008017	cd01369	NA	Coil	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PS50067	PS00411	NA	NA	NA
ETS03738.1	IPR036380	PF00857	NA	NA	G3DSA:3.40.50.850	SSF52499	NA	GO:0003824	cd00431	NA	NA	NA	NA	NA	NA	NA	NA
ETS07124.1	IPR016151	PF00488;PF05192;PF05188;PF05190;PF01624	mobidb-lite	SM00533;SM00534	G3DSA:3.40.50.300;G3DSA:1.10.1420.10;G3DSA:3.40.1170.10;G3DSA:3.30.420.110	SSF55271;SSF48334;SSF52540;SSF53150	NA	GO:0005524;GO:0006298;GO:0030983	NA	PIRSF037677	Coil	Reactome: R-HSA-5632928	NA	PS00486	NA	NA	NA
ETS02311.1	IPR016039	PF02803;PF00108	mobidb-lite	NA	G3DSA:3.40.47.10	SSF53901	NA	GO:0003824;GO:0016747	cd00751	NA	Coil	NA	NA	PS00737;PS00099	TIGR01930	NA	NA
ETS00051.1	IPR001048	PF00696;PF04768	NA	NA	G3DSA:3.40.630.30;G3DSA:3.40.1160.10	SSF53633	NA	GO:0005737	cd04252;cd04263	NA	Coil	Reactome: R-HSA-8964539	PS51731	NA	TIGR00761	NA	NA
ETR96908.1	IPR000462	PF01066	NA	NA	G3DSA:1.20.120.1760	NA	NA	GO:0008654;GO:0016020;GO:0016780	NA	PIRSF015665	NA	NA	NA	PS00379	NA	NA	NA
ETS02997.1	IPR013943	PF08634	mobidb-lite	NA	NA	NA	NA	GO:0000959;GO:0005739	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETR97678.1	IPR011701	PF07690	NA	NA	G3DSA:1.20.1250.20	SSF103473	NA	GO:0055085	cd17352	NA	NA	NA	PS50850	NA	NA	NA	NA
ETS04364.1	IPR001806	PF00071	NA	SM00176;SM00173;SM00174;SM00175	G3DSA:3.40.50.300	SSF52540	PR00627	GO:0003924;GO:0005525;GO:0006913	cd00877	NA	NA	Reactome: R-HSA-165054|Reactome: R-HSA-1655829|Reactome: R-HSA-168333|Reactome: R-HSA-180746|Reactome: R-HSA-203927|Reactome: R-HSA-5578749|Reactome: R-HSA-6784531	PS51418	NA	TIGR00231	NA	NA
ETS01072.1	IPR036864	PF00172	mobidb-lite	SM00066	G3DSA:4.10.240.10	SSF57701	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	cd12148;cd00067	NA	NA	NA	PS50048	PS00463	NA	NA	NA
ETR97812.1	IPR037212	PF11221	NA	NA	G3DSA:1.20.58.470	SSF140718	NA	GO:0016592	NA	NA	Coil	Reactome: R-HSA-1989781|Reactome: R-HSA-381340	NA	NA	NA	NA	NA
ETS04386.1	IPR000730	PF02747;PF00705	NA	NA	G3DSA:3.10.150.10;G3DSA:3.10.150.20	SSF55979	PR00339	GO:0003677;GO:0006275;GO:0030337	cd00577	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-1362277|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-4615885|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6804114|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183|Reactome: R-HSA-69205|Reactome: R-HSA-8866654	NA	PS01251;PS00293	TIGR00590	MF_00317	NA
ETS06294.1	IPR007219	PF04082	NA	NA	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	NA	NA	NA	NA	NA	NA	NA
ETS05771.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
