Gene	MobiDBLite	interpro	Pfam	CDD	ProSiteProfiles	GO	SUPERFAMILY	SMART	Gene3D	PANTHER	PATHWAY	PIRSF	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	Hamap	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	TIGRFAM	ProDom	SFLD
maker-NODE_128_length_61784_cov_37.336847-snap-gene-0.143-mRNA-1	NA	IPR036236	PF12874	NA	PS50157	GO:0003676	SSF57667	SM00355	G3DSA:3.30.160.60	NA	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_194_length_48248_cov_37.630785-augustus-gene-0.92-mRNA-1	mobidb-lite	IPR011701	PF07690	cd06174	PS50850	GO:0016021;GO:0055085	SSF103473	NA	G3DSA:1.20.1250.20	PTHR23514:SF3;PTHR23514	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_160823_cov_33.739409-augustus-gene-0.17-mRNA-1	NA	IPR001019	PF00503	cd00066	NA	GO:0003924;GO:0007186;GO:0019001;GO:0031683;GO:0007165;GO:0001664;GO:0005525;GO:0005834	SSF47895;SSF52540	SM00275	G3DSA:1.10.400.10;G3DSA:3.40.50.300	PTHR10218:SF242;PTHR10218	NA	NA	NA	NA	NA	PR01241;PR00318	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_514_length_13998_cov_37.436666-snap-gene-0.47-mRNA-1	mobidb-lite	IPR027005	PF02366;PF02815;PF16192	NA	PS50919	GO:0016020;GO:0000030;GO:0006493	SSF82109	SM00472	G3DSA:2.80.10.50	PTHR10050	Reactome: R-HSA-5173105	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_441_length_19116_cov_37.019748-snap-gene-0.1-mRNA-1	mobidb-lite	IPR002293	PF13520	NA	NA	GO:0016020;GO:0022857;GO:0055085	NA	NA	G3DSA:1.20.1740.10	PTHR11785;PTHR11785:SF513	NA	PIRSF006060	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_210447_cov_38.566917-augustus-gene-0.209-mRNA-1	mobidb-lite	IPR013657	PF08449	NA	NA	GO:0055085	SSF103481	NA	NA	PTHR44752	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	TIGR00803	NA	NA
maker-NODE_126_length_63219_cov_37.588094-snap-gene-0.93-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_129667_cov_37.280747-processed-gene-0.263-mRNA-1	mobidb-lite	IPR035266	PF01851;PF18004;PF13646	NA	NA	GO:0030234;GO:0000502;GO:0042176	SSF48371	NA	G3DSA:1.25.10.10	PTHR10943:SF2;PTHR10943	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-6798695|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PIRSF015947	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_213_length_44313_cov_34.839610-processed-gene-0.48-mRNA-1	NA	IPR029063	PF02353	cd02440	NA	GO:0008610	SSF53335	NA	G3DSA:3.40.50.150	PTHR45197	NA	PIRSF003085	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_212_length_44469_cov_36.137567-snap-gene-0.34-mRNA-1	mobidb-lite	IPR002483	PF01480	NA	PS51025	GO:0006397	SSF101233	SM00311	G3DSA:1.20.1390.10	PTHR23148	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_42_length_98138_cov_37.552642-processed-gene-0.159-mRNA-1	mobidb-lite	IPR035899	PF00780;PF00621	cd00160	PS50219;PS50010	GO:0005089;GO:0035023	SSF48065;SSF50729	SM00233;SM00036;SM00325	G3DSA:1.20.900.10	PTHR12673:SF144;PTHR12673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_219_length_43259_cov_35.059469-augustus-gene-0.2-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	PTHR33048:SF2;PTHR33048	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_154_length_56039_cov_37.049381-snap-gene-0.29-mRNA-1	mobidb-lite	IPR009688	PF06916	NA	NA	NA	NA	NA	NA	PTHR21377;PTHR21377:SF0	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_363_length_26683_cov_30.854157-processed-gene-0.15-mRNA-1	NA	IPR024512	PF11779	NA	NA		NA	NA	NA	PTHR28612:SF3;PTHR28612	Reactome: R-HSA-1660661	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	PD585641	NA
maker-NODE_43_length_97825_cov_33.821788-snap-gene-0.7-mRNA-1	mobidb-lite	IPR007219	PF04082;PF00172	cd00067;cd12148	PS50048	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SSF57701	SM00906;SM00066	G3DSA:4.10.240.10	PTHR31313;PTHR31313:SF45	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_581_length_9690_cov_34.175363-snap-gene-0.11-mRNA-1	mobidb-lite	IPR005178	PF03619	NA	NA	NA	NA	NA	NA	PTHR23423:SF34;PTHR23423	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_120_length_64401_cov_37.409746-snap-gene-0.9-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_100_length_71095_cov_34.626775-processed-gene-0.15-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_138_length_59445_cov_39.617182-processed-gene-0.7-mRNA-1	mobidb-lite	IPR017946	NA	NA	PS51257	GO:0006629;GO:0008081	SSF51695	NA	G3DSA:3.20.20.190	PTHR13593;PTHR13593:SF74	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-NODE_142_length_58255_cov_38.505522-processed-gene-0.83-mRNA-1	NA	IPR036188	PF00743	NA	NA	GO:0004499;GO:0050660;GO:0050661;GO:0055114	SSF51905	NA	G3DSA:3.50.50.60	PTHR43098;PTHR43098:SF2	NA	NA	NA	NA	NA	PR00411;PR00368	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_5_length_190499_cov_41.442738-augustus-gene-0.328-mRNA-1	NA	IPR029045	NA	NA	NA	NA	SSF52096	NA	NA	PTHR37049;PTHR37049:SF2	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-NODE_28_length_112028_cov_36.248979-processed-gene-0.220-mRNA-1	mobidb-lite	IPR002885	PF01535	NA	PS51375	GO:0005515	NA	NA	G3DSA:1.25.40.10	PTHR44149	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	TIGR00756	NA	NA
augustus_masked-NODE_127_length_62244_cov_34.905903-processed-gene-0.93-mRNA-1	mobidb-lite	IPR000504	PF00076	cd12307	PS50102	GO:0003676	SSF54928	SM00360	G3DSA:3.30.70.330	PTHR44517	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_277_length_36598_cov_38.593238-snap-gene-0.67-mRNA-1	mobidb-lite	IPR011701	PF07690	cd06174	PS50850	GO:0016021;GO:0055085	SSF103473	NA	G3DSA:1.20.1250.20	PTHR43791:SF16;PTHR43791	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_563_length_10794_cov_36.705728-processed-gene-0.4-mRNA-1	NA	IPR007274	PF04145	NA	NA	GO:0005375;GO:0016021;GO:0035434	NA	NA	NA	PTHR12483;PTHR12483:SF51	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_210447_cov_38.566917-snap-gene-1.151-mRNA-1	mobidb-lite	IPR004841	PF00324	NA	NA	GO:0016020;GO:0055085	NA	NA	G3DSA:1.20.1740.10	PTHR43495:SF5;PTHR43495	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_41_length_99902_cov_32.107001-snap-gene-0.0-mRNA-1	NA	IPR002641	PF01734;PF11815	cd07229	PS51635	GO:0006629;GO:0004806	SSF52151	NA	G3DSA:3.40.1090.10	PTHR14226;PTHR14226:SF44	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_106_length_70038_cov_34.378424-processed-gene-0.126-mRNA-1	NA	IPR005052	PF03388	cd07308	PS51328	GO:0016020	SSF49899	NA	G3DSA:2.60.120.200	PTHR12223:SF28;PTHR12223	Reactome: R-HSA-204005|Reactome: R-HSA-5694530	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
augustus_masked-NODE_131_length_61178_cov_32.500238-processed-gene-0.8-mRNA-1	NA	IPR004841	PF00324	NA	NA	GO:0016020;GO:0055085;GO:0006865;GO:0016021;GO:0022857	NA	NA	G3DSA:1.20.1740.10	PTHR43341	NA	PIRSF006060	PS00218	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_117599_cov_37.425037-augustus-gene-0.319-mRNA-1	NA	IPR006076	PF01266;PF05208	NA	NA	GO:0016491;GO:0055114;GO:0000030;GO:0030176	SSF54373;SSF51971	NA	G3DSA:3.30.9.10;G3DSA:3.40.50.720	PTHR12646;PTHR12646:SF0	KEGG: 00510+2.4.1.258|KEGG: 00513+2.4.1.258|Reactome: R-HSA-446193|Reactome: R-HSA-4720475	NA	NA	SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_271_length_37433_cov_36.647349-snap-gene-0.2-mRNA-1	NA	IPR012301	PF03949;PF00390	cd05312	NA	GO:0004471;GO:0055114;GO:0051287;GO:0004470	SSF53223;SSF51735	SM01274;SM00919	G3DSA:3.40.50.720;G3DSA:3.40.50.10380	PTHR23406;PTHR23406:SF40	NA	PIRSF000106	NA	NA	NA	PR00072	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_28_length_112028_cov_36.248979-snap-gene-0.127-mRNA-1	mobidb-lite	IPR001138	PF00172	cd00067	PS50048	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	SM00066	G3DSA:4.10.240.10	PTHR31944	NA	NA	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_324_length_30312_cov_39.743714-snap-gene-0.52-mRNA-1	mobidb-lite	IPR021622	PF11559	NA	NA	NA	NA	NA	NA	PTHR21736:SF12;PTHR21736	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_9_length_165666_cov_36.479669-processed-gene-0.30-mRNA-1	mobidb-lite	IPR012358	NA	NA	NA	GO:0000298;GO:0005773;GO:0016021	SSF56300	NA	G3DSA:3.60.21.10	PTHR10340:SF13;PTHR10340	NA	PIRSF027093	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-NODE_17_length_134972_cov_32.925344-processed-gene-0.230-mRNA-1	mobidb-lite	IPR029044	PF13632	NA	NA		SSF53448	NA	G3DSA:3.90.550.10	PTHR35408	Reactome: R-HSA-913709	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_242_length_40891_cov_37.430895-processed-gene-0.7-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_325_length_30212_cov_39.723384-processed-gene-0.57-mRNA-1	mobidb-lite	IPR027484	PF01363;PF01504;PF00118	cd03334	PS51455;PS50178	GO:0016307;GO:0046488;GO:0046872;GO:0005524	SSF57903;SSF56104;SSF52029	SM00330;SM00064	G3DSA:3.30.800.10;G3DSA:1.20.58.1870;G3DSA:3.30.40.10;G3DSA:3.50.7.10	PTHR11353;PTHR11353:SF57	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_172_length_52133_cov_36.047764-snap-gene-0.100-mRNA-1	NA	IPR031924	PF15979;PF17829	NA	NA	NA	SSF55545	NA	G3DSA:2.60.120.1620;G3DSA:3.20.20.520;G3DSA:3.30.379.10;G3DSA:1.20.58.2150	PTHR37842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_577_length_9877_cov_33.127897-processed-gene-0.23-mRNA-1	NA	IPR020548	PF00316	cd00354	NA	GO:0005975;GO:0042578;GO:0042132;GO:0016791	SSF56655	NA	G3DSA:3.30.540.10;G3DSA:3.40.190.80	PTHR11556:SF1;PTHR11556	KEGG: 00010+3.1.3.11|KEGG: 00030+3.1.3.11|KEGG: 00051+3.1.3.11|KEGG: 00680+3.1.3.11|KEGG: 00710+3.1.3.11|MetaCyc: PWY-5484|Reactome: R-HSA-70263	PIRSF500210;PIRSF000904	PS00124	NA	NA	PR00115	NA	MF_01855	NA	NA	NA	NA	NA	NA
maker-NODE_92_length_72745_cov_34.980666-snap-gene-0.6-mRNA-1	NA	IPR008271	PF00069	cd07857	PS50011	GO:0004672;GO:0006468;GO:0005524;GO:0004707	SSF56112	SM00220	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PTHR24055:SF10;PTHR24055	KEGG: 04150+2.7.11.24	PIRSF000615	PS00108;PS01351;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_212_length_44469_cov_36.137567-snap-gene-0.41-mRNA-1	NA	IPR001173	PF13632	NA	NA		SSF53448	NA	NA	PTHR36851	Reactome: R-HSA-913709	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_58_length_88401_cov_37.087670-processed-gene-0.191-mRNA-1	mobidb-lite	IPR003126	PF02207	NA	PS51157	GO:0008270;GO:0061630	NA	SM00396	NA	PTHR13513	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_210447_cov_38.566917-processed-gene-0.33-mRNA-1	mobidb-lite	IPR037898	PF04969	cd06467	PS51203	NA	SSF49764	NA	G3DSA:2.60.40.790	PTHR12356;PTHR12356:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_350_length_28245_cov_35.607262-protein2genome-gene-0.33-mRNA-1	NA	IPR029063	PF02475	NA	PS51684		SSF53335	NA	G3DSA:3.40.50.150	PTHR23245:SF25;PTHR23245	Reactome: R-HSA-6782861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_414_length_21774_cov_35.314501-processed-gene-0.15-mRNA-1	mobidb-lite	IPR000834	PF00246	cd06248	NA	GO:0004181;GO:0006508;GO:0008270	SSF53187	SM00631	G3DSA:3.40.630.10	PTHR11705:SF91;PTHR11705	NA	NA	PS00132	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	PR00765	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_33_length_104861_cov_40.280119-snap-gene-0.10-mRNA-1	mobidb-lite	IPR005828	PF00083	cd06174	PS50850	GO:0016021;GO:0022857;GO:0055085;GO:0005215	SSF103473	NA	G3DSA:1.20.1250.20	PTHR24064:SF113;PTHR24064	NA	NA	PS00216	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_98_length_71381_cov_37.971945-processed-gene-0.11-mRNA-1	NA	IPR016125	NA	NA	NA		SSF53182	NA	G3DSA:3.40.630.20	PTHR23402:SF13;PTHR23402	MetaCyc: PWY-7942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_131_length_61178_cov_32.500238-snap-gene-0.20-mRNA-1	NA	IPR020846	PF00083	cd06174	PS50850	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	SSF103473	NA	G3DSA:1.20.1250.20	PTHR23500;PTHR23500:SF50	Reactome: R-HSA-189200	NA	PS00217;PS00216	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PR00171	NA	NA	NA	NA	NA	TIGR00879	NA	NA
snap_masked-NODE_26_length_116540_cov_37.667752-processed-gene-0.20-mRNA-1	mobidb-lite	IPR026030	PF02133	NA	NA	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	NA	G3DSA:1.10.4160.10	PTHR31806:SF5;PTHR31806	NA	PIRSF002744	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_31_length_106463_cov_35.848358-processed-gene-0.49-mRNA-1	NA	IPR015590	PF00171	NA	NA	GO:0016491;GO:0055114;GO:0016620	SSF53720	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	PTHR11699;PTHR11699:SF198	NA	NA	PS00687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_167923_cov_38.027516-snap-gene-0.8-mRNA-1	NA	IPR008909	PF05746;PF00750	cd07956;cd00671	NA	GO:0004814;GO:0005524;GO:0006420;GO:0000166;GO:0004812;GO:0006418;GO:0005737	SSF47323;SSF52374;SSF55190	SM00836	G3DSA:3.30.1360.70;G3DSA:3.40.50.620;G3DSA:1.10.730.10	PTHR11956:SF1;PTHR11956	KEGG: 00970+6.1.1.19	NA	PS00178	NA	NA	PR01038	Coil	MF_00123	NA	NA	NA	TIGR00456	NA	NA
maker-NODE_177_length_51103_cov_37.785350-augustus-gene-0.3-mRNA-1	mobidb-lite	IPR007484	PF04389	cd03875	NA	NA	SSF53187	NA	NA	PTHR12147:SF6;PTHR12147	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_123518_cov_33.267386-snap-gene-0.3-mRNA-1	NA	IPR027443	PF14226;PF03171	NA	PS51471	GO:0016491;GO:0055114	SSF51197	NA	G3DSA:2.60.120.330	PTHR10209:SF172;PTHR10209	NA	NA	NA	NA	NA	PR00682	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_64_length_86306_cov_39.345084-augustus-gene-0.7-mRNA-1	NA	IPR036291	PF01370	NA	NA	GO:0003824;GO:0050662	SSF51735	NA	G3DSA:3.40.50.720	PTHR43245;PTHR43245:SF11	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_246_length_40650_cov_35.025714-snap-gene-0.7-mRNA-1	mobidb-lite	IPR002575	PF01636	cd05154	NA	NA	SSF56112	NA	G3DSA:3.30.200.20;G3DSA:3.90.1200.10	PTHR35859;PTHR35859:SF1	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA
maker-NODE_52_length_94007_cov_36.600533-snap-gene-0.17-mRNA-1	mobidb-lite	IPR016024	PF01602	NA	NA	GO:0015031;GO:0030123;GO:0006886;GO:0016192;GO:0030117	SSF48371	NA	NA	PTHR22781	NA	PIRSF037092	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	Coil	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
maker-NODE_990_length_1398_cov_1.145555-snap-gene-0.13-mRNA-1	mobidb-lite	IPR000608	PF00179	cd00195	PS50127		SSF54495	SM00212	G3DSA:3.10.110.10	PTHR43898:SF9;PTHR43898	Reactome: R-HSA-983168	NA	PS00183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_267_length_38476_cov_37.299643-processed-gene-0.15-mRNA-1	mobidb-lite	IPR010280	PF05958	cd02440	PS51687;PS51622;PS50926	GO:0006396;GO:0008173;GO:0008033;GO:0030697	SSF50249;SSF53335	NA	G3DSA:3.40.50.150;G3DSA:2.40.50.140	PTHR11061;PTHR11061:SF30	NA	NA	PS01230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_123791_cov_41.911672-snap-gene-0.209-mRNA-1	mobidb-lite	IPR020846	PF07690	cd06174	NA	GO:0016021;GO:0055085	SSF103473	NA	G3DSA:1.20.1250.20	PTHR42910	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_350_length_28245_cov_35.607262-snap-gene-0.4-mRNA-1	mobidb-lite	IPR013087	PF00096	NA	PS50157	GO:0003676	SSF57667	SM00355	G3DSA:3.30.160.60	PTHR44232	NA	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_651_length_7138_cov_33.325346-snap-gene-0.4-mRNA-1	mobidb-lite	IPR035999	PF15410;PF01369	NA	PS50190	GO:0005086;GO:0032012	SSF48425;SSF50729	SM00222	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	PTHR45590	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_396_length_23641_cov_34.065238-snap-gene-0.51-mRNA-1	NA	IPR003616	NA	NA	PS50868		SSF82199	NA	G3DSA:2.170.270.10	PTHR12350:SF19;PTHR12350	KEGG: 00310+2.1.1.43|Reactome: R-HSA-3214841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
