Gene	Gene3D	interpro	PIRSF	Pfam	CDD	MobiDBLite	GO	PATHWAY	SUPERFAMILY	TIGRFAM	ProSitePatterns	ProSiteProfiles	SMART	PRINTS	Coils	Hamap	SFLD
maker-WWCI01000004.1-snap-gene-23.0-mRNA-1	G3DSA:3.20.20.150	IPR013022	NA	PF01261	cd00019	mobidb-lite	GO:0003677;GO:0006281;GO:0008270	NA	SSF51658	TIGR00587	PS00730	PS51432	SM00518	NA	NA	MF_00152	NA
maker-WWCI01000001.1-snap-gene-51.5-mRNA-1	G3DSA:1.10.150.410;G3DSA:2.130.10.10;G3DSA:1.25.10.10	IPR015155	NA	PF09070;PF00400;PF08324	cd00200	mobidb-lite	GO:0005515	NA	SSF50978	NA	PS00678	PS50294;PS51394;PS50082;PS51396	SM00320	PR00320	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-11.19-mRNA-1	G3DSA:3.90.80.10	IPR008162	NA	PF00719	NA	NA	GO:0000287;GO:0004427;GO:0005737;GO:0006796	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-71737	SSF50324	NA	PS00387	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-19.53-mRNA-1	G3DSA:2.30.30.1150	IPR011011	NA	NA	cd15534	mobidb-lite	NA	NA	SSF57903	NA	NA	NA	SM00249	NA	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-20.22-mRNA-1	G3DSA:3.30.540.10;G3DSA:3.40.190.80	IPR000146	PIRSF000904;PIRSF500210	PF00316	cd00354	NA	GO:0005975;GO:0016791;GO:0042132;GO:0042578	KEGG: 00010+3.1.3.11|KEGG: 00030+3.1.3.11|KEGG: 00051+3.1.3.11|KEGG: 00680+3.1.3.11|KEGG: 00710+3.1.3.11|MetaCyc: PWY-5484|Reactome: R-HSA-70263	SSF56655	NA	PS00124	NA	NA	PR00115	NA	MF_01855	NA
augustus_masked-WWCI01000006.1-processed-gene-21.48-mRNA-1	G3DSA:1.20.1250.20	IPR036259	NA	PF13347	cd17313	mobidb-lite	NA	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-35.98-mRNA-1	NA	IPR021331	NA	PF11160	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-39.10-mRNA-1	G3DSA:1.20.1270.60;G3DSA:1.20.900.10	IPR000219	NA	PF00621;PF03114	cd07589;cd00160	mobidb-lite	GO:0005085;GO:0005515;GO:0005737	NA	SSF48065;SSF103657	NA	NA	PS50010	SM00325	NA	Coil	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-43.14-mRNA-1	G3DSA:1.50.40.10	IPR023395	NA	PF00153	NA	NA	NA	NA	SSF103506	NA	NA	PS50920	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-43.0-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-0.6-mRNA-1	G3DSA:2.60.40.2440	IPR005036	NA	PF03370	NA	mobidb-lite	GO:0005515	NA	NA	NA	NA	PS51159	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-23.99-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-40.20-mRNA-1	NA	IPR010619	NA	PF06738	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-17.39-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-5.39-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-23.17-mRNA-1	G3DSA:3.30.930.10;G3DSA:3.40.50.800	IPR004154	NA	PF03129;PF00587	cd00861	NA	GO:0000166;GO:0004812;GO:0005524;GO:0006418	NA	SSF55681;SSF52954	NA	NA	PS50862	NA	NA	NA	NA	NA
snap_masked-WWCI01000004.1-processed-gene-44.27-mRNA-1	NA	IPR036259	NA	NA	cd17502	mobidb-lite	NA	NA	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-19.26-mRNA-1	NA	IPR019438	NA	PF10343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-66.23-mRNA-1	NA	IPR021858	NA	PF11951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000001.1-processed-gene-21.59-mRNA-1	G3DSA:3.30.499.10;G3DSA:3.20.19.10;G3DSA:3.30.499.20	IPR018136	PIRSF001418	PF00694;PF00330	cd01577;cd01583	mobidb-lite	GO:0003861;GO:0009098;GO:0009316;GO:0051539	KEGG: 00290+4.2.1.33	SSF53732;SSF52016	TIGR00171;TIGR00170	PS00450;PS01244	NA	NA	PR00415	NA	MF_01031;MF_01026	NA
maker-WWCI01000003.1-snap-gene-6.43-mRNA-1	G3DSA:3.40.830.10	IPR014436	PIRSF006157	PF02900	cd07363	NA	GO:0008270;GO:0016701;GO:0055114;GO:0006725;GO:0008198;GO:0016491	NA	SSF53213	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-17.63-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-2.1-mRNA-1	G3DSA:3.20.20.100	IPR036812	NA	PF00248	cd06660	NA	NA	NA	SSF51430	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000007.1-processed-gene-13.32-mRNA-1	G3DSA:3.40.50.720	IPR002347	NA	PF00106	cd05374	NA	NA	NA	SSF51735	NA	NA	NA	NA	PR00081	Coil	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-24.68-mRNA-1	G3DSA:3.90.105.20	IPR040637	NA	PF17777;PF00466	cd05795	NA	GO:0042254	NA	SSF160369	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-1.47-mRNA-1	G3DSA:3.40.50.2300;G3DSA:3.30.450.20;G3DSA:1.10.287.130;G3DSA:3.30.565.10	IPR001789	NA	PF13426;PF00072;PF02518;PF00512	cd00082;cd00130;cd00156;cd16922	NA	GO:0000160;GO:0000155;GO:0007165;GO:0016310;GO:0016772	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	SSF55785;SSF47384;SSF52172;SSF55874	TIGR00229	NA	PS50110;PS50109;PS50112	SM00387;SM00388;SM00448	PR00344	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-12.40-mRNA-1	G3DSA:3.30.230.10;G3DSA:3.30.70.890	IPR020568	PIRSF015950	PF00288;PF18376	NA	NA	GO:0004163;GO:0005829;GO:0019287;GO:0008299;GO:0016831;GO:0005524	KEGG: 00900+4.1.1.33|MetaCyc: PWY-7391|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-2426168|Reactome: R-HSA-446199	SSF54211;SSF55060	TIGR01240	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-augustus-gene-35.86-mRNA-1	G3DSA:1.20.1250.20	IPR020846	NA	PF07690	cd17323	mobidb-lite	GO:0055085	NA	SSF103473	NA	NA	PS50850	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-1.63-mRNA-1	G3DSA:3.40.50.1820	IPR029058	NA	PF00135	NA	NA	NA	NA	SSF53474	NA	PS00122	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-18.52-mRNA-1	G3DSA:3.40.50.150;G3DSA:2.70.160.11	IPR025799	PIRSF015894	PF17285;PF17286;PF05185	NA	NA	GO:0006479;GO:0008168;GO:0035246	Reactome: R-HSA-191859|Reactome: R-HSA-3214858|Reactome: R-HSA-6804760	SSF53335	NA	NA	PS51678	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-14.90-mRNA-1	G3DSA:3.40.50.2020;G3DSA:3.40.50.300	IPR027417	NA	PF00485;PF14681	cd06223;cd02023	NA	GO:0009116;GO:0005524;GO:0016301	Reactome: R-HSA-73614	SSF52540;SSF53271	NA	NA	NA	NA	PR00988	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-41.14-mRNA-1	NA	IPR007484	NA	PF04389	cd03875	NA	NA	NA	SSF53187	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-5.9-mRNA-1	G3DSA:3.40.50.720	IPR036291	NA	PF13460	NA	NA	NA	NA	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-1.52-mRNA-1	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	IPR040079	NA	PF13417	cd00570	NA	GO:0005515	NA	SSF47616;SSF52833	NA	NA	PS50404;PS50405	NA	NA	Coil	NA	SFLDS00019;SFLDG00358
maker-WWCI01000005.1-augustus-gene-5.39-mRNA-1	NA	IPR031349	NA	PF17110	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-21.31-mRNA-1	NA	IPR036047	NA	NA	NA	mobidb-lite	GO:0005515	NA	SSF81383	NA	NA	PS50181	NA	NA	Coil	NA	NA
snap_masked-WWCI01000007.1-processed-gene-20.2-mRNA-1	NA	IPR009008	NA	PF08264;PF00133	cd00812;cd07959	NA	GO:0002161;GO:0006418;GO:0004812;GO:0000166;GO:0005524;GO:0004823;GO:0006429	KEGG: 00970+6.1.1.4|Reactome: R-HSA-2408522|Reactome: R-HSA-379716	SSF50677;SSF47323;SSF52374	TIGR00395	PS00178	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-snap-gene-23.65-mRNA-1	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	IPR002867	NA	PF01485	NA	mobidb-lite	NA	NA	SSF57850	NA	PS00518	PS51873	NA	NA	NA	NA	NA
maker-WWCI01000006.1-snap-gene-26.46-mRNA-1	G3DSA:1.10.150.50	IPR013761	NA	PF07647	cd09535	mobidb-lite	GO:0005515	NA	SSF47769;SSF50729	NA	NA	PS50003;PS50105	SM00233;SM00454	NA	NA	NA	NA
snap_masked-WWCI01000006.1-processed-gene-39.40-mRNA-1	G3DSA:3.10.120.10;G3DSA:3.20.20.70	IPR037458	NA	PF01070;PF00173	cd02922	NA	GO:0016491;GO:0020037;GO:0003824	Reactome: R-HSA-9033241	SSF51395;SSF55856	NA	PS00191	PS51349;PS50255	SM01117	PR00363	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-16.47-mRNA-1	NA	IPR015158	NA	PF09073	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-39.0-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172	cd00067;cd12148	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	SSF57701	NA	PS00463	PS50048	SM00066	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-52.46-mRNA-1	G3DSA:1.20.1250.20	IPR020846	NA	PF07690	cd17327	NA	GO:0055085	NA	SSF103473	NA	NA	PS50850	NA	NA	Coil	NA	NA
maker-WWCI01000001.1-snap-gene-31.68-mRNA-1	G3DSA:3.60.21.10	IPR004843	NA	PF00149	cd07379	NA	GO:0016787	NA	SSF56300	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000007.1-snap-gene-44.60-mRNA-1	G3DSA:3.40.50.720;G3DSA:3.40.50.150;G3DSA:3.90.180.10;G3DSA:1.10.1200.10;G3DSA:3.30.70.250;G3DSA:3.40.366.10;G3DSA:3.10.129.110;G3DSA:3.40.47.10;G3DSA:3.30.70.3290	IPR020841	NA	PF08659;PF14765;PF00109;PF08242;PF16197;PF00107;PF00550;PF00698;PF02801	cd00833;cd05195	NA	GO:0031177;GO:0016740;GO:0016491;GO:0055114;GO:0003824	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	SSF51735;SSF47336;SSF50129;SSF53335;SSF52151;SSF55048;SSF53901	NA	NA	PS50075	SM00825;SM00823;SM00827;SM00822;SM00829;SM00826	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-19.74-mRNA-1	G3DSA:3.40.30.10	IPR036249	NA	NA	NA	NA	NA	NA	SSF52833	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000006.1-snap-gene-11.12-mRNA-1	G3DSA:2.70.20.10;G3DSA:1.10.290.10;G3DSA:1.10.460.10;G3DSA:3.40.50.140	IPR034144	NA	PF01751;PF01131	cd03362;cd00186	mobidb-lite	GO:0003677;GO:0003916;GO:0006265	NA	SSF56712	NA	NA	PS50880	SM00436;SM00437;SM00493	PR00417	NA	NA	NA
maker-WWCI01000002.1-snap-gene-40.58-mRNA-1	NA	IPR018827	NA	PF10355;PF10348	cd08760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-47.3-mRNA-1	G3DSA:1.10.8.840;G3DSA:1.10.287.110	IPR042569	NA	PF16717;PF00226	cd06257	mobidb-lite		Reactome: R-HSA-3371453	SSF46565	NA	PS00636	PS50076	SM00271	NA	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-17.78-mRNA-1	G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-7.31-mRNA-1	NA	IPR008721	NA	PF05460	NA	mobidb-lite	GO:0003677;GO:0005664;GO:0006260	Reactome: R-HSA-113507|Reactome: R-HSA-176187|Reactome: R-HSA-68616|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-40.34-mRNA-1	G3DSA:3.30.70.100	IPR011008	NA	PF03992	NA	NA	NA	NA	SSF54909	NA	NA	PS51725	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-45.4-mRNA-1	G3DSA:1.10.630.10	IPR017972	NA	PF00067	NA	NA	GO:0016705;GO:0055114;GO:0005506;GO:0020037	NA	SSF48264	NA	PS00086	NA	NA	PR00385;PR00463	NA	NA	NA
maker-WWCI01000002.1-snap-gene-40.66-mRNA-1	G3DSA:1.25.40.570	IPR036390	NA	PF18261;PF01399	NA	NA	NA	NA	SSF46785	NA	NA	PS50250	SM00753;SM00088	NA	Coil	NA	NA
maker-WWCI01000007.1-snap-gene-38.7-mRNA-1	G3DSA:3.30.1560.10	IPR036605	NA	PF02792	cd11295	NA	GO:0005634;GO:0008380;GO:0035145	Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856|Reactome: R-HSA-9010553|Reactome: R-HSA-975957	SSF89817	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-31.77-mRNA-1	G3DSA:2.30.30.40	IPR001452	NA	PF14604	NA	mobidb-lite	GO:0005515	NA	SSF50044	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-19.33-mRNA-1	G3DSA:3.40.50.300	IPR027417	NA	PF06414	cd03115	mobidb-lite	GO:0005524;GO:0016301	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-38.18-mRNA-1	G3DSA:2.130.10.10	IPR015943	NA	NA	NA	mobidb-lite	GO:0005515	NA	SSF50978	NA	PS00678	PS50294;PS50082	SM00320	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-38.75-mRNA-1	G3DSA:3.30.390.80	IPR041247	NA	PF04098	NA	mobidb-lite	GO:0000724;GO:0000730;GO:0005634;GO:0045002	Reactome: R-HSA-3108214|Reactome: R-HSA-5685938	SSF54768	TIGR00607	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-3.65-mRNA-1	NA	IPR022074	NA	PF12294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-24.90-mRNA-1	NA	IPR013946	NA	PF08637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000005.1-processed-gene-23.87-mRNA-1	NA	IPR006680	NA	PF01979	NA	NA	GO:0016787;GO:0016810;GO:0016812;GO:0016888	KEGG: 00240+3.5.2.3|MetaCyc: PWY-5686|MetaCyc: PWY-7790|MetaCyc: PWY-7791	SSF51338;SSF51556	NA	PS00482;PS01137	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-14.66-mRNA-1	G3DSA:3.40.50.10190	IPR036420	NA	PF16770;PF12738;PF00533	cd18439;cd17714;cd18437;cd18436;cd18438;cd17743	mobidb-lite	NA	NA	SSF52113	NA	NA	PS50172	SM00292	NA	NA	NA	NA
maker-WWCI01000005.1-snap-gene-25.12-mRNA-1	G3DSA:1.25.40.20;G3DSA:3.40.50.300	IPR036770	NA	PF12796;PF13606	NA	mobidb-lite	GO:0005515	NA	SSF48403;SSF52540;SSF53474	NA	NA	PS50088;PS50297	SM00248	PR01415	NA	NA	NA
snap_masked-WWCI01000007.1-processed-gene-38.62-mRNA-1	NA	IPR018803	NA	PF10281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000004.1-snap-gene-19.79-mRNA-1	G3DSA:3.90.230.10;G3DSA:3.40.350.10	IPR007865	NA	PF05195;PF00557	cd01087	NA	GO:0004177;GO:0030145	NA	SSF55920;SSF53092	NA	NA	NA	SM01011	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-32.36-mRNA-1	NA	IPR006838	NA	PF04750	NA	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-49.55-mRNA-1	NA	IPR010730	NA	PF06985	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-23.75-mRNA-1	NA	IPR010730	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000006.1-augustus-gene-63.1-mRNA-1	G3DSA:3.40.50.1820;G3DSA:1.20.1440.110	IPR029058	NA	NA	NA	NA	NA	NA	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000002.1-snap-gene-30.78-mRNA-1	G3DSA:3.40.50.1980;G3DSA:3.10.20.400;G3DSA:1.10.287.1080	IPR038019	PIRSF001257	PF01503;PF01502;PF00815	cd06572;cd11546	mobidb-lite	GO:0016491;GO:0055114;GO:0000105;GO:0004399;GO:0046872;GO:0051287;GO:0004635;GO:0004636	KEGG: 00340+3.5.4.19	SSF141734;SSF53720;SSF101386	TIGR03188;TIGR00069	PS00611	NA	NA	PR00083	Coil	MF_01024	NA
augustus_masked-WWCI01000004.1-processed-gene-22.40-mRNA-1	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	IPR007502	NA	PF04408;PF00271;PF07717	cd17917;cd18791	mobidb-lite	GO:0004386	NA	SSF52540	NA	PS00690	PS51194;PS51192	SM00490;SM00847;SM00487	NA	Coil	NA	NA
snap_masked-WWCI01000004.1-processed-gene-24.58-mRNA-1	G3DSA:1.10.10.10	IPR036388	NA	PF05383	cd07323	mobidb-lite	NA	NA	SSF46785	NA	NA	PS50961	SM00715	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-1.43-mRNA-1	G3DSA:3.50.50.60;G3DSA:3.30.9.10	IPR006076	NA	PF01266	NA	NA	GO:0016491;GO:0055114	NA	SSF51905	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-23.50-mRNA-1	NA	IPR029178	NA	PF15463	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-24.37-mRNA-1	G3DSA:2.30.30.100	IPR034098	NA	PF01423	cd01719	NA	GO:0000387;GO:0005681	NA	SSF50182	NA	NA	NA	SM00651	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-51.1-mRNA-1	G3DSA:2.130.10.10	IPR001680	NA	PF00400	NA	NA	GO:0005515	NA	SSF50978	NA	PS00678	PS50082;PS50294	SM00320	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-18.17-mRNA-1	NA	IPR013892	NA	PF08583	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
maker-WWCI01000002.1-snap-gene-43.13-mRNA-1	G3DSA:2.130.10.10	IPR017986	NA	PF00400	cd00200	NA	GO:0005515	NA	SSF50978	NA	PS00678	PS50294;PS50082	SM00320	PR00320	NA	NA	NA
maker-WWCI01000007.1-snap-gene-22.5-mRNA-1	NA	IPR009653	NA	PF06842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-12.60-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000002.1-processed-gene-56.56-mRNA-1	G3DSA:1.10.4190.10	IPR002639	NA	PF01730	NA	NA	GO:0006807;GO:0016151	NA	NA	NA	NA	NA	NA	NA	Coil	MF_01385	NA
maker-WWCI01000004.1-snap-gene-22.75-mRNA-1	NA	IPR006634	NA	PF03798	NA	NA	GO:0016021	NA	NA	NA	NA	PS50922	SM00724	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-51.31-mRNA-1	G3DSA:3.90.180.10;G3DSA:3.40.50.720	IPR002328	NA	PF08240;PF00107	cd05283	NA	GO:0008270;GO:0016491;GO:0055114	Reactome: R-HSA-71384	SSF51735;SSF50129	NA	PS00059	NA	SM00829	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-8.53-mRNA-1	NA	IPR001515	NA	PF01655	cd00513	NA	GO:0003735;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	SSF52042	NA	NA	NA	SM01393	NA	NA	NA	NA
augustus_masked-WWCI01000004.1-processed-gene-14.14-mRNA-1	NA	IPR005599	NA	PF03901	NA	mobidb-lite	GO:0016757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-45.11-mRNA-1	NA	IPR004813	NA	PF03169	NA	mobidb-lite	GO:0055085	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
augustus_masked-WWCI01000002.1-processed-gene-37.17-mRNA-1	G3DSA:2.120.10.80	IPR015915	NA	PF13415	NA	mobidb-lite	GO:0005515	NA	SSF117281	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-WWCI01000001.1-processed-gene-32.69-mRNA-1	NA	IPR011335	NA	PF10356	NA	NA		Reactome: R-HSA-6783310	SSF52980	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000003.1-snap-gene-40.30-mRNA-1	G3DSA:1.10.1200.10;G3DSA:3.40.366.10;G3DSA:3.90.180.10;G3DSA:3.40.50.720;G3DSA:3.30.70.3290;G3DSA:3.40.47.10;G3DSA:3.10.129.110;G3DSA:3.40.50.150;G3DSA:3.30.70.250	IPR032821	NA	PF16197;PF14765;PF00109;PF13602;PF02801;PF00698;PF08659;PF00550;PF08240	cd00833;cd05195	mobidb-lite	GO:0003824;GO:0016491;GO:0016740;GO:0031177;GO:0055114	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105|Reactome: R-HSA-9029558	SSF53901;SSF52151;SSF47336;SSF53335;SSF51735;SSF50129;SSF55048	NA	PS00012	PS50075	SM00829;SM00823;SM00826;SM00827;SM00822;SM00825	NA	Coil	NA	NA
snap_masked-WWCI01000002.1-processed-gene-29.70-mRNA-1	G3DSA:3.30.740.10	IPR001372	NA	PF01221	NA	NA	GO:0007017;GO:0030286;GO:0005875	Reactome: R-HSA-141444|Reactome: R-HSA-1632852|Reactome: R-HSA-2132295|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3371497|Reactome: R-HSA-5620924|Reactome: R-HSA-5663220|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436|Reactome: R-HSA-68877	SSF54648	NA	PS01239	NA	SM01375	NA	NA	NA	NA
maker-WWCI01000001.1-augustus-gene-31.12-mRNA-1	G3DSA:1.20.1280.50	IPR036047	NA	PF12937	NA	mobidb-lite	GO:0005515	NA	SSF81383	NA	NA	PS50181	SM00256	NA	NA	NA	NA
maker-WWCI01000001.1-snap-gene-26.81-mRNA-1	G3DSA:4.10.240.10	IPR001138	NA	PF00172;PF11951	cd00067	mobidb-lite	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	SSF57701	NA	PS00463	PS50048	SM00066	NA	NA	NA	NA
augustus_masked-WWCI01000007.1-processed-gene-26.49-mRNA-1	G3DSA:1.10.10.60	IPR017877	NA	PF00249	cd00167	mobidb-lite	GO:0003677	NA	SSF46689	NA	NA	PS50090;PS51294	SM00717	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-42.3-mRNA-1	NA	IPR004331	NA	NA	cd14474	NA	NA	NA	NA	NA	NA	PS51382	NA	NA	NA	NA	NA
maker-WWCI01000004.1-snap-gene-23.24-mRNA-1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000006.1-processed-gene-41.40-mRNA-1	NA	IPR004254	NA	PF03006	NA	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-WWCI01000003.1-processed-gene-13.73-mRNA-1	G3DSA:3.20.20.80	IPR017853	NA	PF02055;PF17189	NA	NA		Reactome: R-HSA-1660662|Reactome: R-HSA-390471	SSF51445	NA	NA	NA	NA	NA	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-13.35-mRNA-1	G3DSA:1.10.10.10;G3DSA:3.40.50.150	IPR016461	PIRSF005739	PF00891	NA	NA	GO:0008168;GO:0008171	NA	SSF46785;SSF53335	NA	NA	PS51683	NA	NA	NA	NA	NA
maker-WWCI01000008.1-augustus-gene-0.109-mRNA-1	G3DSA:3.40.800.10	IPR023696	PIRSF036979	PF00491	cd11592	NA	GO:0016813;GO:0046872	NA	SSF52768	NA	PS01053	PS51409	NA	PR00116	NA	NA	NA
maker-WWCI01000005.1-augustus-gene-31.0-mRNA-1	NA	IPR007265	NA	PF04136	NA	NA	GO:0005801;GO:0006886;GO:0016020	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	Coil	NA	NA
