Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	ProSiteProfiles	GO	SFLD	CDD	Pfam	ProSitePatterns	PATHWAY	SignalP_GRAM_POSITIVE	TIGRFAM	Coils	MobiDBLite	SMART	Phobius	TMHMM	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	PRINTS	Hamap	ProDom
maker-RZGP01000008.1-snap-gene-34.21-mRNA-1	IPR011598	SSF47459	PTHR10985:SF124;PTHR10985	G3DSA:4.10.280.10	PS50888	GO:0046983	NA	cd00083	PF00010	NA	NA	NA	NA	Coil	mobidb-lite	SM00353	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-augustus-gene-29.140-mRNA-1	IPR012725	SSF53067;SSF100920	PTHR19375;PTHR19375:SF333	G3DSA:3.90.640.10;G3DSA:3.30.30.30;G3DSA:2.60.34.10;G3DSA:3.30.420.40;G3DSA:1.20.1270.10	NA	GO:0005524;GO:0006457;GO:0051082	NA	cd11733	PF00012	PS01036;PS00297;PS00329	Reactome: R-HSA-1268020|Reactome: R-HSA-3371453|Reactome: R-HSA-8949613|Reactome: R-HSA-8950505	SignalP-TM	TIGR02350	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	PR00301	MF_00332	NA
maker-RZGP01000006.1-snap-gene-7.74-mRNA-1	IPR001374	SSF82708	PTHR15672:SF8;PTHR15672	G3DSA:3.30.1370.50	PS51673;PS51061	GO:0003676	NA	cd02642	PF01424;PF12752	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-13.128-mRNA-1	IPR005065	SSF53474	PTHR10272;PTHR10272:SF15	G3DSA:3.40.50.1820	NA	GO:0003847;GO:0016042	NA	NA	PF12740	NA	KEGG: 00565+3.1.1.47	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000006.1-snap-gene-5.20-mRNA-1	IPR020568	SSF54211;SSF55666	PTHR11953;PTHR11953:SF0	G3DSA:3.30.230.70	NA		NA	cd11370	PF01138	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-augustus-gene-48.140-mRNA-1	IPR005024	NA	PTHR10476:SF2;PTHR10476	NA	NA	GO:0007034	NA	NA	PF03357	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-augustus-gene-51.27-mRNA-1	IPR017923	NA	PTHR22908;PTHR22908:SF70	G3DSA:1.20.930.10	PS51319	GO:0005634	NA	NA	PF08711	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-46.137-mRNA-1	IPR036380	SSF52499	PTHR11080;PTHR11080:SF54	G3DSA:3.40.50.850	NA	GO:0003824	NA	cd00431	PF00857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-6.32-mRNA-1	IPR036770	SSF48403	PTHR24151	G3DSA:3.40.50.300;G3DSA:1.25.40.20	PS50297	GO:0005515	NA	cd00204	NA	NA	NA	NA	NA	NA	mobidb-lite	SM00248	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-2.13-mRNA-1	IPR013783	SSF52279;SSF51445	PTHR42715:SF5;PTHR42715	G3DSA:2.60.40.10;G3DSA:3.20.20.300;G3DSA:3.40.50.1700	NA	GO:0004553;GO:0005975	NA	NA	PF01915;PF00933;PF14310	NA	NA	NA	NA	NA	NA	SM01217	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	SignalP-noTM	SignalP-noTM	PR00133	NA	NA
maker-RZGP01000008.1-snap-gene-18.2-mRNA-1	IPR006636	SSF46934;SSF101238;SSF54236	PTHR10621:SF0;PTHR10621	G3DSA:1.10.10.540;G3DSA:1.10.8.10;G3DSA:3.10.20.90	PS50030;PS50053	GO:0005515;GO:0005634;GO:0006289;GO:0003684;GO:0043161	NA	cd14281;cd01805	PF00627;PF09280;PF00240	NA	Reactome: R-HSA-5689877|Reactome: R-HSA-5696394|Reactome: R-HSA-5696395	NA	TIGR00601	NA	mobidb-lite	SM00727;SM00213;SM00165	NA	NA	NA	NA	NA	PR01839	NA	NA
maker-RZGP01000003.1-snap-gene-24.18-mRNA-1	IPR009057	SSF46689	PTHR24324	G3DSA:1.10.10.60	PS50071	GO:0003677	NA	cd00086	PF00046	NA	NA	NA	NA	NA	mobidb-lite	SM00389	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-20.209-mRNA-1	IPR011701	SSF103473	PTHR11360:SF78;PTHR11360	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000001.1-snap-gene-6.86-mRNA-1	IPR030186	NA	PTHR31123:SF4;PTHR31123	NA	NA	GO:0016021	NA	NA	PF01184	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-71.30-mRNA-1	IPR011701	SSF103473	PTHR43791;PTHR43791:SF14	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000004.1-snap-gene-3.79-mRNA-1	IPR020846	SSF103473	PTHR23501:SF60;PTHR23501	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000011.1-processed-gene-1.31-mRNA-1	IPR017939	NA	PTHR12935:SF9;PTHR12935	G3DSA:3.10.490.10	NA	GO:0003839	NA	NA	NA	NA	KEGG: 00480+4.3.2.9|MetaCyc: PWY-4041|Reactome: R-HSA-174403	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-16.148-mRNA-1	IPR032631	SSF81665;SSF81660	PTHR24092:SF5;PTHR24092	G3DSA:3.40.1110.10	NA	GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021;GO:0000166	NA	NA	PF16209;PF13246	PS00154	Reactome: R-HSA-936837	NA	TIGR01494;TIGR01652	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-35.125-mRNA-1	IPR001128	SSF48264	PTHR24279:SF87;PTHR24279	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	NA	PF00067	PS00086	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	PR00465	NA	NA
snap_masked-RZGP01000007.1-processed-gene-18.5-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-45.41-mRNA-1	IPR020846	SSF103473	PTHR42718;PTHR42718:SF10	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-46.184-mRNA-1	IPR036394	SSF54843	PTHR13501	G3DSA:3.90.470.10	NA	GO:0003735;GO:0005840;GO:0006412;GO:0015934	NA	cd00336	PF00237	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	Coil	mobidb-lite	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-35.183-mRNA-1	IPR001370	SSF57924	PTHR10044;PTHR10044:SF139	G3DSA:1.10.1170.10	PS50143	GO:0000785;GO:0003677;GO:0005634;GO:0006355	NA	cd00022	PF00653	NA	Reactome: R-HSA-2559584	NA	NA	NA	mobidb-lite	SM00238;SM00384	NA	NA	NA	NA	NA	PR00930;PR00929	NA	NA
maker-RZGP01000002.1-snap-gene-17.35-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-19.165-mRNA-1	IPR002314	SSF55681;SSF52954	PTHR10745;PTHR10745:SF0	G3DSA:3.40.50.800;G3DSA:3.30.930.10;G3DSA:1.10.30.30;G3DSA:1.20.1430.20	PS50862	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004820;GO:0005737;GO:0006426	NA	cd00774;cd00858	PF00587;PF03129	NA	KEGG: 00970+6.1.1.14|Reactome: R-HSA-379716|Reactome: R-HSA-379726	NA	TIGR00389	NA	NA	NA	NA	NA	NA	NA	NA	PR01043	NA	NA
maker-RZGP01000004.1-snap-gene-10.109-mRNA-1	IPR001242	SSF52777;SSF56801;SSF47336	PTHR45527	G3DSA:3.40.50.12780;G3DSA:1.10.1200.10;G3DSA:3.30.559.30;G3DSA:3.30.559.10;G3DSA:3.30.300.30	PS50075	GO:0031177;GO:0003824	NA	NA	PF00668;PF00550;PF00501	PS00455;PS00012	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	NA	SM00823	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-9.151-mRNA-1	IPR019734	SSF46565;SSF48452	PTHR44200	G3DSA:1.25.40.10;G3DSA:1.10.287.110	PS50005;PS50293;PS50076	GO:0005515	NA	cd06257	PF13432;PF00226;PF13181;PF14559	PS00636	NA	SignalP-TM	NA	NA	mobidb-lite	SM00028;SM00271	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00625	NA	NA
augustus_masked-RZGP01000007.1-processed-gene-30.185-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-augustus-gene-60.3-mRNA-1	IPR017932	SSF53271;SSF56235	PTHR11907;PTHR11907:SF13	G3DSA:3.40.50.2020;G3DSA:3.60.20.10	PS51278	GO:0009116;GO:0004044;GO:0009113	NA	cd06223;cd00715	PF00156;PF13522	NA	KEGG: 00230+2.4.2.14|KEGG: 00250+2.4.2.14|MetaCyc: PWY-6121|MetaCyc: PWY-6122|MetaCyc: PWY-6277|MetaCyc: PWY-7282|Reactome: R-HSA-73817	SignalP-TM	TIGR01134	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	PIRSF000485	SignalP-noTM	SignalP-noTM	NA	MF_01931	NA
maker-RZGP01000008.1-snap-gene-41.20-mRNA-1	IPR011547	SSF52091	PTHR11814;PTHR11814:SF80	NA	PS50801	GO:0008272;GO:0015116;GO:0016021;GO:0008271;GO:0016020;GO:0055085	NA	NA	PF00916;PF01740	PS01130	Reactome: R-HSA-427601	NA	TIGR00815	NA	mobidb-lite	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-31.156-mRNA-1	IPR029063	SSF53335	PTHR12176:SF14;PTHR12176	G3DSA:3.40.50.150	NA	NA	NA	cd02440	PF01564	NA	NA	NA	NA	NA	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-24.32-mRNA-1	IPR033859	NA	PTHR10540;PTHR10540:SF8	G3DSA:3.40.140.10	PS50249	GO:0000338;GO:0008180;GO:0005515	NA	cd08063	PF13012;PF01398	NA	Reactome: R-HSA-5696394|Reactome: R-HSA-6781823|Reactome: R-HSA-8856825|Reactome: R-HSA-8951664	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-1.37-mRNA-1	IPR003689	NA	PTHR11040:SF32;PTHR11040	NA	NA	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	NA	PF02535	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-11.100-mRNA-1	IPR006593	SSF49344	PTHR23130:SF115;PTHR23130	G3DSA:2.60.40.1210;G3DSA:1.20.120.1770	NA	NA	NA	cd09630;cd08760	PF16010;PF03188	NA	NA	SignalP-TM	NA	NA	mobidb-lite	SM00665	SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000006.1-processed-gene-16.116-mRNA-1	IPR008984	SSF49879;SSF46785	PTHR11829	G3DSA:1.10.10.10;G3DSA:2.60.200.20	PS50006;PS50039	GO:0005515;GO:0003700;GO:0006355;GO:0043565	NA	cd00060	PF00250	NA	NA	NA	NA	Coil	mobidb-lite	SM00339	NA	NA	NA	NA	NA	PR00053	NA	NA
snap_masked-RZGP01000003.1-processed-gene-37.42-mRNA-1	IPR008427	NA	PTHR35607:SF5;PTHR35607	NA	NA	NA	NA	NA	PF05730	NA	NA	SignalP-TM	NA	NA	NA	SM00747	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-44.60-mRNA-1	IPR023210	SSF51430	PTHR43625;PTHR43625:SF19	G3DSA:3.20.20.100	NA	NA	NA	NA	PF00248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-10.55-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-18.63-mRNA-1	IPR036875	SSF57756;SSF57850	PTHR15439:SF0;PTHR15439	G3DSA:3.30.40.10;G3DSA:4.10.60.10;G3DSA:3.10.20.90	PS50158;PS51282	GO:0003676;GO:0008270	NA	cd16620	PF08783;PF13696	NA	Reactome: R-HSA-983168	NA	NA	Coil	mobidb-lite	SM01180	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-34.1-mRNA-1	IPR002110	SSF48403	PTHR44139	G3DSA:1.25.40.20	PS50088;PS50297	GO:0005515	NA	cd00204	PF12796;PF13637	NA	NA	SignalP-TM	NA	Coil	mobidb-lite	SM00248	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	SignalP-noTM	PR01415	NA	NA
maker-RZGP01000003.1-snap-gene-17.1-mRNA-1	IPR018491	NA	PTHR11827:SF65;PTHR11827	G3DSA:1.20.1740.10	NA	GO:0005215;GO:0006811;GO:0016020;GO:0055085	NA	NA	PF03522;PF00324	NA	Reactome: R-HSA-426117	NA	NA	Coil	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000002.1-processed-gene-31.21-mRNA-1	IPR017986	SSF50978	PTHR19918:SF29;PTHR19918	G3DSA:2.130.10.10	PS50294;PS50082	GO:0005515;GO:0010997;GO:0097027;GO:1904668	NA	NA	PF12894;PF00400	PS00678	NA	NA	NA	NA	mobidb-lite	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-augustus-gene-24.173-mRNA-1	IPR002364	SSF50129;SSF51735	PTHR43677:SF4;PTHR43677	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	GO:0008270;GO:0016491;GO:0055114	NA	cd08241	PF08240;PF00107	PS01162	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-augustus-gene-7.211-mRNA-1	IPR015421	SSF53383	PTHR43797;PTHR43797:SF1	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	GO:0003824;GO:0030170;GO:0006520;GO:0016765	NA	cd00614	PF01053	PS00868	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508	NA	TIGR01326	NA	mobidb-lite	NA	NA	NA	PIRSF001434	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-30.168-mRNA-1	IPR004364	SSF55681;SSF50249	PTHR42918;PTHR42918:SF5	G3DSA:3.30.930.10;G3DSA:2.40.50.140	NA	GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0003676	NA	cd04322	PF00152;PF01336	NA	NA	SignalP-TM	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-54.5-mRNA-1	IPR036770	SSF48403;SSF52540	PTHR10039:SF9;PTHR10039	G3DSA:1.25.40.20;G3DSA:3.40.50.300	PS50297;PS50088	GO:0005515;GO:0032126;GO:0070941	NA	cd00204	PF05729;PF12796	NA	NA	NA	NA	NA	NA	SM00248	NA	NA	NA	NA	NA	PR01415	NA	NA
snap_masked-RZGP01000009.1-processed-gene-0.32-mRNA-1	IPR011701	SSF103473	PTHR23502;PTHR23502:SF74	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	Coil	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-68.90-mRNA-1	NA	NA	PTHR34292	NA	NA	NA	NA	NA	PF07264	NA	NA	NA	NA	NA	mobidb-lite	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000009.1-processed-gene-0.47-mRNA-1	IPR029048	SSF53067;SSF100934	PTHR19375:SF90;PTHR19375	G3DSA:3.30.30.30;G3DSA:1.20.1270.10;G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:2.60.34.10	NA		NA	cd10230	PF00012	NA	Reactome: R-HSA-3371453	NA	NA	Coil	mobidb-lite	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PR00301	NA	NA
maker-RZGP01000003.1-snap-gene-26.76-mRNA-1	IPR011023	SSF53335	PTHR22807:SF30;PTHR22807	G3DSA:3.40.50.150;G3DSA:3.30.70.3130	PS51686	GO:0003723;GO:0006364;GO:0008757;GO:0008168	NA	NA	PF17125;PF01189	PS01153	Reactome: R-HSA-6790901|Reactome: R-HSA-8869496	NA	TIGR00446	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PR02012;PR02008	NA	NA
maker-RZGP01000008.1-augustus-gene-60.6-mRNA-1	IPR001563	SSF53474	PTHR11802;PTHR11802:SF189	G3DSA:1.10.287.410;G3DSA:3.40.50.1820	NA	GO:0004185;GO:0006508	NA	NA	PF00450	PS00131	NA	SignalP-TM	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	SignalP-noTM	SignalP-noTM	PR00724	NA	NA
maker-RZGP01000007.1-augustus-gene-10.22-mRNA-1	IPR011022	NA	PTHR36419	NA	NA	NA	NA	NA	PF02752	NA	NA	NA	NA	NA	NA	SM01017	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000004.1-snap-gene-2.0-mRNA-1	IPR036465	SSF53300;SSF57889	PTHR12695	G3DSA:3.40.50.410;G3DSA:3.30.40.10	PS50234	GO:0006281;GO:0008270;GO:0000439;GO:0006289;GO:0006351;GO:0003676	NA	cd01453	PF07975;PF04056	PS00028	NA	NA	TIGR00622	NA	mobidb-lite	SM01047;SM00327	NA	NA	PIRSF015919	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-26.204-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-15.60-mRNA-1	IPR004352	SSF51445;SSF54495	PTHR35273	G3DSA:3.10.110.10	PS50908	GO:0005515	NA	NA	PF03537;PF05773	NA	NA	NA	NA	Coil	mobidb-lite	SM00591	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-21.134-mRNA-1	IPR009057	SSF46689	PTHR13992:SF7;PTHR13992	G3DSA:1.20.58.1880;G3DSA:1.10.10.60	PS51293	GO:0003677	NA	cd00167	NA	NA	NA	NA	NA	Coil	mobidb-lite	SM00717	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-31.161-mRNA-1	IPR013087	SSF57667	PTHR14596;PTHR14596:SF65	G3DSA:3.30.160.60	PS50157	GO:0003676	NA	NA	PF00096	PS00028	NA	NA	NA	NA	mobidb-lite	SM00355	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000001.1-processed-gene-12.132-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000003.1-snap-gene-39.153-mRNA-1	IPR036291	SSF51735;SSF55347	PTHR43708;PTHR43708:SF5	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	GO:0016491;GO:0055114	NA	NA	PF01408;PF02894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-augustus-gene-23.156-mRNA-1	IPR004434	SSF53659	PTHR11835;PTHR11835:SF34	G3DSA:3.40.718.10	NA	GO:0004449;GO:0006099;GO:0055114;GO:0016616;GO:0000287;GO:0051287	NA	NA	PF00180	PS00470	Reactome: R-HSA-71403	SignalP-TM	TIGR00175	NA	NA	SM01329	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000007.1-processed-gene-37.21-mRNA-1	IPR038187	NA	PTHR10351;PTHR10351:SF23	G3DSA:2.20.70.30	PS51151	NA	NA	NA	PF01849	NA	NA	NA	NA	NA	mobidb-lite	SM01407	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000005.1-snap-gene-8.124-mRNA-1	IPR001680	SSF50978;SSF81383	PTHR44007:SF3;PTHR44007	G3DSA:1.20.1280.50;G3DSA:2.130.10.10	PS50082;PS50294;PS50181	GO:0005515	NA	cd00200	PF00646;PF00400	PS00678	NA	NA	NA	NA	mobidb-lite	SM00256;SM00320	NA	NA	NA	NA	NA	PR00320	NA	NA
maker-RZGP01000006.1-augustus-gene-21.17-mRNA-1	IPR029061	SSF52518;SSF52922	PTHR43522:SF2;PTHR43522	G3DSA:3.40.50.970;G3DSA:3.40.50.920	NA	GO:0003824;GO:0004802	NA	cd02012;cd07033	PF00456;PF02779;PF02780	PS00802;PS00801	KEGG: 00730+2.2.1.7|KEGG: 00900+2.2.1.7|MetaCyc: PWY-6891|MetaCyc: PWY-6892|MetaCyc: PWY-7560	NA	TIGR00232	NA	NA	SM00861	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-14.25-mRNA-1	IPR018392	NA	PTHR20932;PTHR20932:SF8	G3DSA:3.10.350.10;G3DSA:1.10.8.10	PS51782	NA	NA	cd00118	PF01476;PF14555	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000004.1-snap-gene-16.114-mRNA-1	IPR011701	SSF103473	PTHR11360:SF224;PTHR11360	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	Coil	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-32.43-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA	NA
