Gene	interpro	SMART	CDD	SUPERFAMILY	Pfam	GO	ProSiteProfiles	MobiDBLite	Coils	PANTHER	ProSitePatterns	Gene3D	PATHWAY	TIGRFAM	PRINTS	TMHMM	Phobius	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	Hamap	ProDom
KOS23283.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS23121.1	IPR037523	NA	cd07233	SSF54593	PF00903	GO:0004462;GO:0046872	PS51819	NA	NA	PTHR10374:SF16;PTHR10374	PS00935	G3DSA:3.10.180.10	KEGG: 00620+4.4.1.5|MetaCyc: PWY-5386|Reactome: R-HSA-70268	TIGR00068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19534.1	IPR003653	NA	NA	SSF54001	PF02902	GO:0006508;GO:0008234	PS50600	mobidb-lite	Coil	PTHR12606;PTHR12606:SF1	NA	G3DSA:3.40.395.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16787.1	IPR006598	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	PTHR12203:SF57;PTHR12203	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS17088.1	IPR001708	NA	NA	NA	PF02096	GO:0016021;GO:0032977	NA	mobidb-lite	Coil	PTHR12428;PTHR12428:SF17	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS20542.1	IPR036259	NA	cd06174	SSF103473	PF07690	GO:0016021;GO:0055085	PS50850	mobidb-lite	NA	PTHR23501	NA	G3DSA:1.20.1720.10	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS20215.1	IPR004331	NA	cd14474	NA	NA	NA	PS51382	NA	NA	PTHR10783;PTHR10783:SF84	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS23236.1	IPR040168	NA	NA	NA	PF04065;PF04153	GO:0030015;GO:0005634;GO:0006355	NA	mobidb-lite	Coil	PTHR23326;PTHR23326:SF1	NA	G3DSA:2.30.30.1020	Reactome: R-HSA-429947|Reactome: R-HSA-6804115	NA	NA	NA	NA	PIRSF005290	NA	NA	NA	NA	NA	NA
KOS18307.1	IPR036259	NA	cd06174	SSF103473	PF07690	GO:0016021;GO:0055085	PS50850	mobidb-lite	NA	PTHR23502;PTHR23502:SF4	NA	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS22357.1	IPR029058	NA	NA	SSF53474	PF00561;PF08386	NA	NA	NA	NA	PTHR43487;PTHR43487:SF2	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS18821.1	IPR013899	SM01162;SM00356;SM00463	NA	SSF90229;SSF160443	PF08590;PF01713	GO:0046872	PS50103;PS50828	mobidb-lite	NA	PTHR13119:SF12;PTHR13119	NA	G3DSA:3.30.1370.110;G3DSA:4.10.1000.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20643.1	IPR002490	NA	NA	NA	PF01496	GO:0015078;GO:0015991;GO:0033179;GO:0000220	NA	NA	Coil	PTHR11629:SF63;PTHR11629	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PIRSF001293	NA	NA	NA	NA	NA	NA
KOS17020.1	IPR023674	NA	cd00403	SSF56808	PF00687	NA	NA	mobidb-lite	Coil	PTHR36427	NA	G3DSA:3.40.50.790;G3DSA:3.30.190.20	NA	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA
KOS17717.1	IPR002524	NA	NA	SSF161111;SSF160240	PF01545	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	NA	NA	PTHR11562;PTHR11562:SF48	NA	NA	Reactome: R-HSA-435368	TIGR01297	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS19143.1	IPR029044	NA	cd06434	SSF53448	PF13641	NA	NA	NA	NA	PTHR10587;PTHR10587:SF1	NA	G3DSA:3.90.550.10	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS21566.1	IPR002794	NA	NA	NA	PF01940	GO:0016021	NA	NA	NA	PTHR13353:SF5;PTHR13353	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS17458.1	IPR024545	NA	NA	SSF57997	PF12808;PF07989	GO:0005815	NA	mobidb-lite	Coil	PTHR13140:SF692;PTHR13140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18890.1	IPR008422	SM00389	cd00086	SSF46689	PF05920	GO:0003677;GO:0006355	PS50071	mobidb-lite	NA	PTHR11850	NA	G3DSA:1.10.10.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19717.1	IPR005828	NA	NA	SSF103473	PF00083	GO:0016021;GO:0022857;GO:0055085	NA	NA	NA	PTHR23500;PTHR23500:SF69	NA	G3DSA:1.20.1250.20	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS16748.1	IPR001163	SM00651	cd01718	SSF50182	PF01423	GO:0000398;GO:0005681	NA	NA	NA	PTHR11193	NA	G3DSA:2.30.30.100	Reactome: R-HSA-109688|Reactome: R-HSA-111367|Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-77588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22459.1	IPR029062	NA	cd03139	SSF52317	PF01965		NA	NA	NA	PTHR43130;PTHR43130:SF1	NA	G3DSA:3.40.50.880	Reactome: R-HSA-3899300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17647.1	IPR001499	NA	cd14966	SSF81321	PF02076	GO:0004932;GO:0007186;GO:0016021	NA	mobidb-lite	NA	PTHR28097	NA	G3DSA:1.20.1070.10	NA	NA	PR00899	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS21487.1	IPR000542	NA	NA	SSF52777	PF00755	GO:0016746	NA	NA	NA	PTHR22589;PTHR22589:SF67	PS00439;PS00440	G3DSA:3.30.559.70;G3DSA:3.30.559.40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19586.1	IPR002293	NA	NA	NA	PF13520	GO:0016020;GO:0022857;GO:0055085	NA	mobidb-lite	NA	PTHR11785:SF432;PTHR11785	NA	G3DSA:1.20.1740.10	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PIRSF006060	NA	NA	NA	NA	NA	NA
KOS17181.1	IPR027417	SM00173;SM00175;SM00174	cd04128	SSF52540	PF00071	GO:0005525;GO:0003924	PS51419	mobidb-lite	NA	PTHR24073;PTHR24073:SF875	NA	G3DSA:3.40.50.300	NA	TIGR00231	PR00449	NA	NA	PIRSF037527	NA	NA	NA	NA	NA	NA
KOS19755.1	IPR008011	NA	NA	NA	PF05347	NA	NA	NA	NA	PTHR13166:SF7;PTHR13166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS17337.1	IPR036837	NA	NA	SSF160240;SSF161111	PF01545;PF16916	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	mobidb-lite	Coil	PTHR43840:SF12;PTHR43840	NA	G3DSA:3.30.70.1350;G3DSA:1.20.1510.10	Reactome: R-HSA-435368	TIGR01297	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS23192.1	IPR036390	SM00315;SM00049	cd04450;cd08708	SSF46785;SSF48097	PF00615;PF00610	GO:0035556	PS50132;PS50186	mobidb-lite	NA	PTHR10845;PTHR10845:SF192	NA	G3DSA:1.20.58.1850;G3DSA:1.10.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21352.1	IPR007262	NA	NA	NA	PF04133	NA	PS51257	NA	NA	PTHR12050:SF0;PTHR12050	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS20750.1	IPR000504	SM00386;SM00360	cd00590;cd12297;cd12299	SSF48452;SSF54928	PF16842;PF00076	GO:0003676;GO:0006396;GO:0005515	PS50102	mobidb-lite	Coil	PTHR44110	NA	G3DSA:3.30.70.330;G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20203.1	IPR021840	NA	NA	NA	PF11915	NA	NA	mobidb-lite	NA	PTHR37544:SF3;PTHR37544	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS16652.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS20626.1	IPR006595	SM00668;SM00667;SM00757	NA	NA	PF10607;PF08513	GO:0005515	PS50897;PS50896	NA	Coil	PTHR12864:SF3;PTHR12864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21758.1	IPR018935	SM00090	cd05147	SSF56112	PF01163	GO:0004674;GO:0005524	NA	mobidb-lite	Coil	PTHR10593:SF23;PTHR10593	PS01245	G3DSA:3.30.200.20;G3DSA:1.10.510.10	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	NA	NA	NA	NA	PIRSF038147	NA	NA	NA	NA	NA	NA
KOS21804.1	IPR023471	NA	NA	SSF110111	PF04442	GO:0005507	NA	mobidb-lite	NA	PTHR21320:SF3;PTHR21320	NA	G3DSA:2.60.370.10	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-TM	NA	NA	NA	MF_00155	NA
KOS23089.1	IPR036612	SM00322	cd00105;cd02394	SSF54791	PF00013	GO:0003723;GO:0003676	PS50084	mobidb-lite	Coil	PTHR10627:SF31;PTHR10627	NA	G3DSA:3.30.310.210;G3DSA:3.30.1370.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20540.1	NA	NA	NA	NA	PF13515	NA	NA	mobidb-lite	NA	PTHR31086;PTHR31086:SF1	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS17146.1	IPR029044	NA	cd06421	SSF53448	PF13641	NA	NA	mobidb-lite	NA	PTHR43867;PTHR43867:SF2	NA	G3DSA:3.90.550.10	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18410.1	IPR001683	SM00312	cd06867	SSF64268	PF00787;PF09325	GO:0035091	PS50195	mobidb-lite	Coil	PTHR10555:SF167;PTHR10555	NA	G3DSA:1.20.1270.60;G3DSA:3.30.1520.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS23137.1	IPR023214	SM00577	cd07521	SSF56784	PF03031	GO:0016791	PS50969	mobidb-lite	NA	PTHR12210:SF102;PTHR12210	NA	G3DSA:3.40.50.1000	NA	TIGR02251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19655.1	IPR000403	SM00146;SM01343	cd05163	SSF48371;SSF56112	PF02259;PF00454	GO:0005515;GO:0000123;GO:0005634;GO:0016573	PS51190;PS50290;PS51189	mobidb-lite	NA	PTHR11139;PTHR11139:SF1	NA	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
KOS21030.1	IPR016071	SM00318;SM00333	cd04508	SSF50199;SSF63748	PF00565;PF00567	GO:0016442;GO:0031047	PS50830;PS50304	mobidb-lite	Coil	PTHR12302:SF2;PTHR12302	NA	G3DSA:2.40.50.90;G3DSA:2.30.30.140	Reactome: R-HSA-6802952	NA	NA	NA	NA	PIRSF017179	NA	NA	NA	NA	NA	NA
KOS19816.1	IPR017144	NA	cd05672	SSF53187;SSF55031	PF01546	GO:0016787	NA	mobidb-lite	NA	PTHR30575;PTHR30575:SF4	NA	G3DSA:3.30.70.360;G3DSA:3.40.630.10	NA	NA	NA	NA	NA	PIRSF037226	NA	NA	NA	NA	NA	NA
KOS23006.1	IPR001623	SM00271	cd10747;cd10719;cd06257	SSF49493;SSF57938;SSF46565	PF00226;PF01556;PF00684	GO:0006457;GO:0051082;GO:0031072	PS50076;PS51188	mobidb-lite	NA	PTHR43888;PTHR43888:SF14	NA	G3DSA:2.60.260.20;G3DSA:2.10.230.10;G3DSA:1.10.287.110	NA	NA	PR00625	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19293.1	IPR015915	NA	NA	SSF50965;SSF50952	PF12768	GO:0005515;GO:0003824	NA	NA	NA	PTHR31778	NA	G3DSA:2.120.10.80	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-TM	NA	NA	NA	NA	NA
KOS19968.1	IPR007274	NA	NA	NA	PF04145	GO:0005375;GO:0016021;GO:0035434	NA	NA	NA	PTHR12483:SF50;PTHR12483	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18797.1	IPR009210	NA	NA	NA	PF10469		NA	NA	NA	PTHR13360	NA	NA	Reactome: R-HSA-112126	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA
KOS20043.1	IPR006709	NA	NA	NA	PF04615	GO:0006364;GO:0032040	NA	mobidb-lite	Coil	PTHR14150:SF12;PTHR14150	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18463.1	IPR036612	SM00322	cd00105	SSF54791	PF00013	GO:0003723;GO:0003676	PS50084	mobidb-lite	NA	PTHR10288:SF145;PTHR10288	NA	G3DSA:3.30.1370.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18659.1	IPR012677	SM01218	NA	SSF54928	PF00076;PF13865	GO:0003676	NA	mobidb-lite	NA	PTHR19965:SF48;PTHR19965	NA	G3DSA:3.30.70.330	Reactome: R-HSA-109688|Reactome: R-HSA-159236|Reactome: R-HSA-72187	NA	NA	TMhelix	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA
KOS23426.1	IPR013032	SM00382	cd03213	SSF52540	PF01061;PF00005	GO:0005524;GO:0016887;GO:0016020	PS50893	NA	NA	PTHR19241:SF269;PTHR19241	PS00022;PS00211;PS01186	G3DSA:3.40.50.300	Reactome: R-HSA-1369062	NA	NA	TMhelix	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	SignalP-noTM	NA	NA	NA
KOS20150.1	IPR006968	NA	NA	NA	PF04884	NA	NA	NA	NA	PTHR12770:SF22;PTHR12770	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS18228.1	IPR016135	SM00212	cd00195	SSF54495	PF00179		PS50127	NA	NA	PTHR24068;PTHR24068:SF79	PS00183	G3DSA:3.10.110.10	MetaCyc: PWY-7511|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS20840.1	IPR036602	NA	NA	SSF111278	PF02676		NA	mobidb-lite	Coil	PTHR23245:SF31;PTHR23245	NA	G3DSA:3.30.1960.10	MetaCyc: PWY-7286|Reactome: R-HSA-6782861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19487.1	IPR015342	SM00382	cd00009	SSF52540;SSF54585;SSF50692	PF09262;PF17862;PF00004	GO:0005524;GO:0005777;GO:0007031;GO:0005778;GO:0006625;GO:0042623	NA	mobidb-lite	NA	PTHR23077:SF12;PTHR23077	PS00674	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:3.10.330.10	Reactome: R-HSA-9033241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18662.1	IPR018524	SM00892;SM00477	cd00091	SSF54060	PF01223	GO:0003676;GO:0016787;GO:0046872	NA	mobidb-lite	NA	PTHR13966:SF5;PTHR13966	PS01070	G3DSA:3.40.570.10	NA	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
KOS18316.1	IPR001623	SM00271;SM00028	cd06257	SSF48452;SSF46565	PF00226;PF13431	GO:0005515	PS50005;PS50293;PS50076	mobidb-lite	Coil	PTHR44140;PTHR44140:SF2	NA	G3DSA:1.10.287.110;G3DSA:1.25.40.10	NA	NA	PR00625	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-TM	NA	SignalP-noTM	NA	NA	NA
KOS19047.1	IPR004709	NA	NA	NA	PF00999	GO:0006814;GO:0006885;GO:0015385;GO:0016021;GO:0055085;GO:0006812;GO:0015299	NA	mobidb-lite	NA	PTHR10110:SF127;PTHR10110	NA	NA	Reactome: R-HSA-425986	TIGR00840	PR01084	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS22110.1	IPR017986	SM00320;SM00256	cd00200	SSF50978;SSF81383	PF00400;PF12937	GO:0005515	PS50294;PS50082;PS50181	mobidb-lite	NA	PTHR44007;PTHR44007:SF3	PS00678	G3DSA:1.20.1280.50;G3DSA:2.130.10.10	NA	NA	PR00320	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS19940.1	IPR003154	NA	cd11010	SSF48537	PF02265	GO:0003676;GO:0004519;GO:0006308;GO:0016788	NA	NA	Coil	PTHR33146	NA	G3DSA:1.10.575.10	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-TM	SignalP-TM	SignalP-noTM	NA	NA	NA
KOS17483.1	IPR007320	NA	NA	NA	PF04194	GO:0005737	NA	mobidb-lite	NA	PTHR12298;PTHR12298:SF18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18226.1	IPR022712	SM01027	cd16293	SSF56281	PF16661;PF10996;PF07521;PF13299	GO:0005847;GO:0006378;GO:0006379	NA	mobidb-lite	Coil	PTHR11203:SF5;PTHR11203	NA	G3DSA:3.60.15.10	Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16638.1	IPR036625	NA	cd06849	SSF47005;SSF52777;SSF51230	PF00364;PF00198;PF02817	GO:0016746	PS50968;PS51826	mobidb-lite	NA	PTHR43178;PTHR43178:SF5	PS00189	G3DSA:3.30.559.10;G3DSA:2.40.50.100;G3DSA:4.10.320.10	Reactome: R-HSA-389661	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS22493.1	IPR001611	SM00044;SM00789;SM00365;SM00314;SM00364;SM00332;SM00369	cd01775;cd00143;cd07302	SSF55073;SSF52047;SSF52058;SSF81606	PF00481;PF00560;PF08509;PF00211;PF13855	GO:0005515;GO:0009190;GO:0016849;GO:0035556;GO:0003824;GO:0007165;GO:0000287;GO:0004016;GO:0006171	PS51450;PS51746;PS50125;PS50200	mobidb-lite	Coil	PTHR45195	NA	G3DSA:3.60.40.10;G3DSA:3.80.10.10	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA
KOS22619.1	IPR036603	SM00662	cd07031	SSF55257;SSF56553	PF01000;PF01193	GO:0006351;GO:0046983;GO:0003677;GO:0003899	NA	mobidb-lite	NA	PTHR11800;PTHR11800:SF2	PS00446	G3DSA:3.30.1360.10;G3DSA:2.170.120.12	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18542.1	IPR000225	SM00185	NA	SSF48371	PF16186;PF01749;PF00514	GO:0005515;GO:0005634;GO:0005737;GO:0006606;GO:0008565;GO:0061608	PS50176;PS51214	mobidb-lite	Coil	PTHR23316:SF53;PTHR23316	NA	G3DSA:1.20.5.690;G3DSA:1.25.10.10	Reactome: R-HSA-1169408|Reactome: R-HSA-168276	NA	NA	NA	NA	PIRSF005673	NA	NA	NA	NA	NA	NA
KOS23198.1	IPR002219	SM00239;SM00109;SM00742	cd11620;cd00029;cd08689	SSF57889;SSF49562;SSF46585	PF00130;PF02185	GO:0035556;GO:0007165;GO:0004697;GO:0009272	PS50081	mobidb-lite	Coil	PTHR24356;PTHR24356:SF240	PS00479	G3DSA:3.30.60.20;G3DSA:1.10.287.160	KEGG: 04070+2.7.11.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS16906.1	IPR012340	SM00316;SM00386	cd05693;cd05706;cd05702;cd05707;cd05708;cd05703;cd05698;cd05697	SSF50249;SSF48452	PF00575	GO:0003676;GO:0006396;GO:0005515	PS50126	mobidb-lite	NA	PTHR23270;PTHR23270:SF10	NA	G3DSA:2.40.50.140;G3DSA:1.25.40.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18108.1	IPR002877	NA	NA	SSF53335	PF01728;PF11861;PF07780	GO:0008168;GO:0032259;GO:0001510;GO:0008649;GO:0031167;GO:0005634;GO:0006364	NA	mobidb-lite	Coil	PTHR10920;PTHR10920:SF13	NA	G3DSA:3.40.50.150	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_01547;MF_03163	NA
KOS21404.1	IPR010414	NA	NA	SSF50405	PF06229	NA	NA	mobidb-lite	NA	PTHR12928	NA	G3DSA:2.80.10.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS18378.1	IPR010300	NA	NA	SSF51182	PF05995	GO:0005506;GO:0016702;GO:0055114	NA	NA	NA	PTHR12918	NA	G3DSA:2.60.120.10	KEGG: 00270+1.13.11.20|KEGG: 00430+1.13.11.20|MetaCyc: PWY-5331|Reactome: R-HSA-1614558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21567.1	IPR021622	NA	NA	NA	PF11559	NA	NA	mobidb-lite	Coil	PTHR21736;PTHR21736:SF12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21517.1	IPR011417	SM00273	cd03564	SSF89009;SSF48464	PF07651	GO:0005543;GO:0005545;GO:0030136;GO:0030276;GO:0048268	PS50942	mobidb-lite	NA	PTHR22951:SF5;PTHR22951	NA	G3DSA:1.20.58.150;G3DSA:1.25.40.90	Reactome: R-HSA-8856828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KOS21620.1	IPR000850	NA	cd01428	SSF52540	PF00406;PF05191	GO:0005524;GO:0006139;GO:0019205;GO:0004017;GO:0005739	NA	NA	NA	PTHR23359;PTHR23359:SF68	PS00113	NA	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	NA	PR00094	NA	NA	NA	NA	NA	NA	NA	MF_00235;MF_03169	NA
