Gene	MobiDBLite	Coils	PANTHER	interpro	GO	Pfam	Gene3D	TMHMM	Phobius	ProSiteProfiles	SMART	ProSitePatterns	SUPERFAMILY	CDD	PATHWAY	SignalP_EUK	SignalP_GRAM_POSITIVE	PRINTS	TIGRFAM	PIRSF	SignalP_GRAM_NEGATIVE	Hamap	SFLD	ProDom
maker-NQYS01000001.1-augustus-gene-24.18-mRNA-1	mobidb-lite	NA	PTHR31086:SF1;PTHR31086	NA	NA	PF13515	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-20.24-mRNA-1	NA	NA	PTHR10984;PTHR10984:SF25	IPR012936	NA	PF07970;PF13850	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-6.28-mRNA-1	mobidb-lite	Coil	PTHR12792	IPR011990	GO:0005515;GO:0006508;GO:0008233;GO:0005634	PF03568	G3DSA:1.25.40.10	NA	NA	PS51700	NA	NA	SSF48452	NA	Reactome: R-HSA-2467813	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-36.51-mRNA-1	NA	NA	PTHR34832	IPR009072	GO:0046982	PF00808	G3DSA:1.10.20.10	NA	NA	NA	NA	NA	SSF47113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-20.5-mRNA-1	mobidb-lite	Coil	PTHR10826;PTHR10826:SF1	IPR003428	GO:0005759	PF02330	G3DSA:3.10.280.10	NA	NA	NA	NA	NA	SSF54529	NA	Reactome: R-HSA-140837	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-41.11-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-4.21-mRNA-1	mobidb-lite	NA	PTHR31306;PTHR31306:SF4	IPR029044	GO:0016021;GO:0016757	PF05637	G3DSA:3.90.550.10	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-35.48-mRNA-1	mobidb-lite	NA	PTHR12132:SF1;PTHR12132	IPR013868	GO:0005634;GO:0031144;GO:0071630;GO:0000724;GO:0000730;GO:0045002;GO:0006281;GO:0006310	PF08559;PF04098	G3DSA:1.20.58.1590;G3DSA:3.30.390.80	NA	NA	NA	NA	NA	SSF54768	NA	Reactome: R-HSA-3108214|Reactome: R-HSA-5685938	NA	NA	NA	TIGR00607	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-40.36-mRNA-1	mobidb-lite	NA	PTHR10963;PTHR10963:SF54	IPR002889	GO:0004553;GO:0005975	PF01822;PF00722	G3DSA:2.60.120.200	NA	NA	PS51762;PS51212	SM00321	NA	SSF49899	cd02181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-36.45-mRNA-1	mobidb-lite	NA	PTHR15856:SF39;PTHR15856	IPR001214	GO:0005515	PF00856	G3DSA:2.170.270.10;G3DSA:3.30.40.10	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	PS50280	SM00317	NA	SSF57903;SSF82199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-9.3-mRNA-1	mobidb-lite	NA	NA	IPR032710	NA	NA	G3DSA:3.10.450.50	NA	NA	NA	NA	NA	SSF54427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000007.1-processed-gene-8.47-mRNA-1	NA	NA	PTHR10666:SF173;PTHR10666	IPR029071	GO:0005515	PF00240	G3DSA:3.10.20.90	NA	NA	PS50053	NA	NA	SSF54236	NA	NA	NA	NA	PR00348	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-12.38-mRNA-1	mobidb-lite	NA	PTHR11040;PTHR11040:SF69	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085;GO:0005385;GO:0016021;GO:0071577	PF02535	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR00820	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-12.11-mRNA-1	NA	NA	PTHR43791;PTHR43791:SF68	IPR036259	GO:0016021;GO:0055085	PF07690	G3DSA:1.20.1250.20	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS50850	NA	NA	SSF103473	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-34.5-mRNA-1	mobidb-lite	NA	PTHR24075:SF5;PTHR24075	IPR027417	GO:0003676;GO:0005524	PF18149;PF00271;PF02889;PF00270	G3DSA:1.10.10.2530;G3DSA:2.60.40.150;G3DSA:3.40.50.300;G3DSA:1.10.3380.10;G3DSA:1.10.150.20	NA	NA	PS51194;PS51192	SM00487;SM00490;SM00382;SM00973	NA	SSF52540;SSF158702;SSF46785;SSF81296	cd00079;cd00046	NA	NA	NA	NA	NA	PIRSF039073	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-5.49-mRNA-1	mobidb-lite	NA	PTHR10110:SF127;PTHR10110	IPR006153	GO:0006812;GO:0015299;GO:0016021;GO:0055085;GO:0006814;GO:0006885;GO:0015385	PF00999	NA	TMhelix	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	Reactome: R-HSA-425986	NA	NA	PR01084	TIGR00840	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-6.15-mRNA-1	mobidb-lite	Coil	PTHR24012:SF491;PTHR24012	IPR000504	GO:0003676;GO:0003723	PF00076;PF00658	G3DSA:1.10.1900.10;G3DSA:3.30.70.330	NA	NA	PS50102;PS51309	SM00361;SM00517;SM00360	NA	SSF63570;SSF54928	cd12381;cd12378;cd12379;cd12380	NA	NA	NA	NA	TIGR01628	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-42.6-mRNA-1	mobidb-lite	NA	PTHR18968;PTHR18968:SF13	IPR011766	GO:0003824;GO:0030976;GO:0000287;GO:0003984;GO:0009082;GO:0050660	PF02775;PF02776;PF00205	G3DSA:3.40.50.1220;G3DSA:3.40.50.970	NA	NA	NA	NA	PS00187	SSF52518;SSF52467	cd02015;cd07035	KEGG: 00290+2.2.1.6|KEGG: 00650+2.2.1.6|KEGG: 00660+2.2.1.6|KEGG: 00770+2.2.1.6|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5938|MetaCyc: PWY-5939|MetaCyc: PWY-6389|MetaCyc: PWY-7111	NA	SignalP-TM	NA	TIGR00118	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-16.36-mRNA-1	mobidb-lite	NA	PTHR10288:SF145;PTHR10288	IPR004087	GO:0003676;GO:0003723	PF00013	G3DSA:3.30.1370.10	NA	NA	PS50084	SM00322	NA	SSF54791	cd00105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-21.0-mRNA-1	mobidb-lite	Coil	PTHR38701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-13.47-mRNA-1	mobidb-lite	Coil	PTHR23072	IPR019434	GO:0006506;GO:0051377;GO:0003824	PF10338;PF01663	G3DSA:3.40.720.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SSF53649	cd16024	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-36.34-mRNA-1	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-42.29-mRNA-1	mobidb-lite	NA	PTHR24305;PTHR24305:SF92	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	PF00067	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	PS00086	SSF48264	NA	NA	NA	NA	PR00463	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-6.13-mRNA-1	mobidb-lite	NA	PTHR10799;PTHR10799:SF804	IPR001650	GO:0005524	PF14773;PF00176;PF00271	G3DSA:3.40.50.10810;G3DSA:3.40.50.300	NA	NA	PS51192;PS51194	SM00490;SM00487	NA	SSF52540	cd00079;cd00046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-2.17-mRNA-1	mobidb-lite	NA	PTHR19818;PTHR19818:SF86	IPR013087	GO:0003676	PF00096	G3DSA:3.30.160.60	NA	NA	PS50157	SM00355	PS00028	SSF57667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-18.45-mRNA-1	NA	NA	PTHR11851:SF103;PTHR11851	IPR011249	GO:0003824;GO:0046872;GO:0004222;GO:0006508;GO:0006627;GO:0017087	PF00675;PF05193	G3DSA:3.30.830.10	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	PS00143	SSF63411	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-8949664	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000005.1-augustus-gene-4.33-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cd00065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-4.15-mRNA-1	NA	NA	PTHR22811:SF46;PTHR22811	IPR009038	NA	PF01105	NA	TMhelix	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	PS50866	SM01190	NA	SSF101576	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-1.27-mRNA-1	mobidb-lite	NA	PTHR33048:SF92;PTHR33048	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-53.42-mRNA-1	mobidb-lite	NA	PTHR22958;PTHR22958:SF1	IPR036770	GO:0006629;GO:0008081;GO:0005515;GO:0046475;GO:0047389	PF03009;PF12796	G3DSA:1.25.40.20	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS51382;PS50088;PS50297;PS51704	SM00248	NA	SSF51695;SSF48403	cd00204;cd14484	Reactome: R-HSA-1483115|Reactome: R-HSA-1483152	NA	NA	PR01415	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-21.37-mRNA-1	NA	NA	PTHR42901:SF1;PTHR42901	IPR020904	GO:0016491	PF00106	G3DSA:3.40.50.720	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SM00822	PS00061	SSF51735	NA	NA	NA	NA	PR00080;PR00081	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-43.12-mRNA-1	mobidb-lite	NA	PTHR24221:SF406;PTHR24221	IPR017871	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00005;PF00664	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PS50929;PS50893	SM00382	PS00211	SSF90123;SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-17.31-mRNA-1	NA	NA	PTHR22883:SF23;PTHR22883	IPR001594	NA	PF01529	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS50216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000006.1-augustus-gene-2.39-mRNA-1	mobidb-lite	Coil	PTHR24031:SF215;PTHR24031	IPR014001	GO:0003676;GO:0005524	PF00270;PF00271	G3DSA:3.40.50.300	NA	NA	PS51192;PS51194	SM00490;SM00487	PS00039	SSF52540	cd00079;cd00268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-22.30-mRNA-1	NA	Coil	PTHR11384:SF13;PTHR11384	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PF06472;PF00005	G3DSA:3.40.50.300	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS50929;PS50893	SM00382	PS00211	SSF52540;SSF90123	cd03223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000008.1-augustus-gene-4.24-mRNA-1	mobidb-lite	Coil	PTHR10972:SF96;PTHR10972	IPR011993	GO:0005515	PF12796;PF01237;PF00169;PF00023	G3DSA:2.30.29.30;G3DSA:2.40.160.120;G3DSA:1.25.40.20;G3DSA:1.20.120.1290	NA	NA	PS50088;PS50003;PS50297	SM00233;SM00248	PS01013	SSF48403;SSF50729;SSF144000	cd00204;cd13292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-12.39-mRNA-1	mobidb-lite	NA	PTHR23406:SF40;PTHR23406	IPR012302	GO:0051287;GO:0004471;GO:0055114;GO:0004470;GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF03949;PF00390;PF04082	G3DSA:3.40.50.10380;G3DSA:3.40.50.720	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	SM01274;SM00906;SM00919	NA	SSF51735;SSF53223	cd05312;cd12148	NA	NA	NA	PR00072	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-2.36-mRNA-1	mobidb-lite	NA	PTHR24092;PTHR24092:SF5	IPR036412	GO:0016021;GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0000166	PF16209;PF00702;PF16212	G3DSA:3.40.50.1000;G3DSA:2.70.150.10;G3DSA:3.40.1110.10	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	PS00154	SSF56784;SSF81653;SSF81665;SSF81660	NA	Reactome: R-HSA-936837	NA	NA	PR00119	TIGR01494;TIGR01652	NA	NA	NA	SFLDG00002;SFLDF00027	NA
maker-NQYS01000003.1-augustus-gene-13.10-mRNA-1	mobidb-lite	Coil	PTHR12223:SF26;PTHR12223	IPR005052	GO:0016020	PF03388	G3DSA:2.60.120.200	TMhelix	SIGNAL_PEPTIDE;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PS51328	NA	NA	SSF49899	NA	Reactome: R-HSA-204005|Reactome: R-HSA-5694530	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-51.37-mRNA-1	mobidb-lite	NA	PTHR24073:SF654;PTHR24073	IPR030702	GO:0003924;GO:0005525;GO:0005802;GO:0006895;GO:0032456;GO:0042742;GO:0045335;GO:0055037;GO:0090382	PF00071	G3DSA:3.40.50.300	NA	NA	PS51419	SM00175;SM00173;SM00174	NA	SSF52540	cd00154	Reactome: R-HSA-1445148|Reactome: R-HSA-1660499|Reactome: R-HSA-6798695|Reactome: R-HSA-8873719|Reactome: R-HSA-8876198	NA	NA	PR00449	TIGR00231	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-0.5-mRNA-1	mobidb-lite	Coil	PTHR37994	IPR018820	NA	PF13515;PF10334;PF10337	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000002.1-processed-gene-16.8-mRNA-1	mobidb-lite	NA	PTHR13060	IPR010770	NA	PF07093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-29.33-mRNA-1	mobidb-lite	Coil	PTHR37002;PTHR37002:SF8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-48.23-mRNA-1	mobidb-lite	NA	PTHR31669	IPR018289	GO:0006355	PF10551;PF03101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000001.1-processed-gene-32.24-mRNA-1	NA	NA	PTHR13271:SF76;PTHR13271	IPR001214	GO:0005515	NA	G3DSA:3.90.1410.10	NA	NA	PS50280	NA	NA	SSF82199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000008.1-augustus-gene-4.39-mRNA-1	mobidb-lite	Coil	PTHR10799;PTHR10799:SF798	IPR027417	GO:0005524	PF00271;PF00176;PF13920	G3DSA:3.30.40.10;G3DSA:1.20.120.850;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	NA	NA	PS51194;PS51192;PS50089	SM00487;SM00184;SM00490	NA	SSF57850;SSF52540	cd16449;cd00079;cd00046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000008.1-augustus-gene-4.43-mRNA-1	mobidb-lite	NA	PTHR12145:SF33;PTHR12145	IPR005198	GO:0003824	PF03663	G3DSA:1.50.10.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	SSF48208	NA	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-11.13-mRNA-1	mobidb-lite	Coil	PTHR11685	IPR006575	GO:0005515;GO:0004842;GO:0016567;GO:0003676	PF05773;PF01485	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	NA	NA	PS50908;PS50089	SM00647	PS00028;PS00518	SSF57850;SSF54495	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-26.10-mRNA-1	mobidb-lite	Coil	PTHR12741;PTHR12741:SF15	IPR026899	GO:0000148;GO:0003843;GO:0006075;GO:0016020	PF14288;PF02364	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	SM01205	NA	NA	NA	KEGG: 00500+2.4.1.34|MetaCyc: PWY-6773	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000004.1-augustus-gene-10.38-mRNA-1	mobidb-lite	NA	PTHR12232	IPR036249	NA	PF04908	G3DSA:3.40.30.10	NA	NA	NA	NA	NA	SSF52833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-38.24-mRNA-1	mobidb-lite	NA	PTHR11097;PTHR11097:SF8	IPR001247		PF01138	NA	NA	NA	NA	NA	NA	SSF54211	NA	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-32.41-mRNA-1	mobidb-lite	Coil	PTHR11361;PTHR11361:SF31	IPR036678	GO:0005524;GO:0006298;GO:0030983	PF00488;PF05192;PF01624;PF05190;PF05188	G3DSA:3.30.420.110;G3DSA:3.40.50.300;G3DSA:1.10.1420.10;G3DSA:3.40.1170.10	NA	NA	NA	SM00534;SM00533	PS00486	SSF52540;SSF48334;SSF55271;SSF53150	NA	Reactome: R-HSA-5632928	NA	NA	NA	NA	PIRSF037677	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-11.12-mRNA-1	mobidb-lite	Coil	PTHR11353;PTHR11353:SF57	IPR000306	GO:0046872;GO:0016307;GO:0046488;GO:0005524	PF01363;PF00118;PF01504	G3DSA:3.30.800.10;G3DSA:1.20.58.1870;G3DSA:3.50.7.10;G3DSA:3.30.40.10	NA	NA	PS50178;PS51455	SM00330;SM00064	NA	SSF52029;SSF56104;SSF57903	cd03334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-18.19-mRNA-1	mobidb-lite	Coil	PTHR12534:SF0;PTHR12534	IPR023591	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0015935	PF00318	G3DSA:3.40.50.10490	NA	NA	NA	NA	PS00962	SSF52313	cd01425	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	SignalP-TM	PR00395	TIGR01011	NA	NA	MF_00291_B	NA	NA
maker-NQYS01000008.1-augustus-gene-4.32-mRNA-1	mobidb-lite	NA	PTHR13948;PTHR13948:SF3	IPR013087	GO:0003676	PF01585	G3DSA:4.10.1060.10	NA	NA	PS50199;PS50174	SM00443;SM00547	PS00028;PS01358	SSF54928;SSF90209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-35.6-mRNA-1	mobidb-lite	NA	PTHR23130;PTHR23130:SF115	IPR006593	NA	PF03188;PF16010	G3DSA:1.20.120.1770;G3DSA:2.60.40.1210	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	SM00665	NA	SSF49344	cd08760;cd09630	NA	SignalP-noTM	SignalP-TM	NA	NA	NA	SignalP-noTM	NA	NA	NA
maker-NQYS01000003.1-augustus-gene-41.85-mRNA-1	mobidb-lite	Coil	PTHR15887	IPR021836	NA	PF11911	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-11.8-mRNA-1	mobidb-lite	Coil	PTHR10799;PTHR10799:SF843	IPR001650	GO:0005524	PF00176;PF00271	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	NA	NA	PS51194;PS51192	SM00490;SM00487	NA	SSF52540	cd00079;cd00046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000001.1-augustus-gene-45.1-mRNA-1	NA	NA	PTHR23500:SF117;PTHR23500	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PF00083	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS50850	NA	NA	SSF103473	cd06174	Reactome: R-HSA-189200	NA	NA	PR00171	TIGR00879	NA	NA	NA	NA	NA
augustus_masked-NQYS01000003.1-processed-gene-35.41-mRNA-1	mobidb-lite	NA	PTHR24216:SF15;PTHR24216	IPR034962	GO:0035023	PF00412	G3DSA:2.10.110.10	NA	NA	PS50023	SM00132	PS00478	SSF57716	cd09397;cd08368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYS01000002.1-augustus-gene-34.39-mRNA-1	mobidb-lite	NA	PTHR12443	IPR004728	GO:0015031;GO:0030176	PF03839	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	Reactome: R-HSA-381038	NA	NA	NA	TIGR00869	NA	NA	NA	NA	NA
augustus_masked-NQYS01000004.1-processed-gene-9.21-mRNA-1	mobidb-lite	NA	PTHR13779:SF7;PTHR13779	IPR003959	GO:0005524;GO:0003677;GO:0006281;GO:0006260	PF00004;PF16193;PF12002	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:3.30.160.60;G3DSA:1.20.272.10;G3DSA:1.10.3710.10	NA	NA	NA	SM00382;SM00734	NA	SSF52540;SSF48019	cd00009	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYS01000005.1-processed-gene-15.5-mRNA-1	NA	NA	PTHR13794;PTHR13794:SF58	IPR034610	GO:0016052;GO:0050023;GO:0009063	PF13378	G3DSA:3.30.390.10;G3DSA:3.20.20.120	NA	NA	NA	SM00922	PS00909	SSF51604;SSF54826	cd03324	KEGG: 00051+4.2.1.68	NA	NA	NA	NA	NA	NA	NA	SFLDF00111;SFLDS00001;SFLDF00270	NA
maker-NQYS01000001.1-augustus-gene-64.74-mRNA-1	NA	NA	PTHR10657:SF4;PTHR10657	IPR001202	GO:0005515;GO:0003755	PF00639;PF00397	G3DSA:2.20.70.10;G3DSA:3.10.50.40	NA	NA	PS50020;PS50198	SM00456	PS01159	SSF54534;SSF51045	cd00201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
