Gene	MobiDBLite	Phobius	Gene3D	interpro	ProSiteProfiles	Pfam	PANTHER	SUPERFAMILY	CDD	GO	PATHWAY	Coils	ProDom	SMART	TMHMM	ProSitePatterns	SignalP_GRAM_NEGATIVE	SignalP_EUK	SignalP_GRAM_POSITIVE	SFLD	PRINTS	Hamap	PIRSF	TIGRFAM
maker-NQYQ01000053.1-augustus-gene-0.1-mRNA-1	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	G3DSA:1.20.1250.20	IPR036259	PS50850	PF00083	PTHR23500;PTHR23500:SF125	SSF103473	cd06174	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	Reactome: R-HSA-189200	NA	NA	NA	TMhelix	PS00217;PS00216	NA	NA	NA	NA	PR00171	NA	NA	TIGR00879
maker-NQYQ01000019.1-augustus-gene-2.3-mRNA-1	mobidb-lite	NA	G3DSA:1.20.58.610	IPR004918	NA	PF03234;PF08565;PF08564	PTHR12800;PTHR12800:SF4	SSF101391	NA	GO:0019901	Reactome: R-HSA-1227986|Reactome: R-HSA-1236382|Reactome: R-HSA-5637810|Reactome: R-HSA-8863795	Coil	NA	SM01071;SM01070;SM01069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-9.38-mRNA-1	NA	NA	G3DSA:2.170.150.10	IPR018103	PS51797	PF00838	PTHR11991;PTHR11991:SF0	SSF51316	NA	NA	NA	NA	NA	NA	NA	PS01003	NA	NA	NA	NA	PR01653	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-14.31-mRNA-1	mobidb-lite	NA	G3DSA:1.20.930.10;G3DSA:1.10.472.30;G3DSA:2.20.25.10	IPR001222	PS51321;PS51133;PS51319	PF01096;PF07500;PF08711	PTHR11477;PTHR11477:SF0	SSF57783;SSF47676;SSF46942	cd13749	GO:0003676;GO:0006351;GO:0008270;GO:0005634;GO:0006355	NA	Coil	NA	SM00510;SM00440;SM00509	NA	PS00466	NA	NA	NA	NA	NA	NA	PIRSF006704	TIGR01385
maker-NQYQ01000019.1-augustus-gene-1.8-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	IPR002889	PS51212	PF09362;PF01822	PTHR43662;PTHR43662:SF3	NA	NA	NA	NA	NA	NA	SM00321	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NQYQ01000017.1-augustus-gene-5.44-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR033307	NA	NA	PTHR13315:SF1;PTHR13315	SSF56300	NA	GO:0006506	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000024.1-augustus-gene-1.1-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.20.1110.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:2.70.150.10	IPR023299	NA	PF08282;PF00690;PF00689;PF00122;PF13246	PTHR24093:SF346;PTHR24093	SSF81660;SSF81653;SSF81665;SSF56784	cd02081	GO:0000166;GO:0016021;GO:0005388;GO:0005524;GO:0016020;GO:0070588	Reactome: R-HSA-936837	NA	NA	SM00831	TMhelix	PS00154	NA	NA	NA	SFLDS00003;SFLDF00027	PR00119;PR00121	NA	NA	TIGR01494;TIGR01517
maker-NQYQ01000026.1-augustus-gene-1.49-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR005606	NA	PF03908	PTHR12825;PTHR12825:SF0	NA	NA		Reactome: R-HSA-6811434	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000011.1-augustus-gene-6.43-mRNA-1	mobidb-lite	NA	G3DSA:3.30.70.330;G3DSA:2.170.270.10	IPR017111	PS51572;PS50868;PS50280	PF11767;PF11764;PF00856	PTHR22884:SF462;PTHR22884	SSF82199	cd12302	GO:0018024;GO:0034968;GO:0048188;GO:0005515	KEGG: 00310+2.1.1.43	Coil	NA	SM00508;SM00317;SM01291	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF037104	NA
augustus_masked-NQYQ01000007.1-processed-gene-2.6-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR033308	NA	PF00149	PTHR13315;PTHR13315:SF0	SSF56300	NA	GO:0006506;GO:0016787	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000025.1-processed-gene-2.17-mRNA-1	NA	NA	G3DSA:1.10.510.10	IPR000719	PS50011	PF00069	PTHR24343;PTHR24343:SF181	SSF56112	NA	GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	SM00220	NA	PS00107;PS00108	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000050.1-augustus-gene-0.7-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR31313;PTHR31313:SF45	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000019.1-processed-gene-2.27-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	IPR023214	NA	PF00122;PF16209;PF13246;PF16212	PTHR24092;PTHR24092:SF55	SSF56784;SSF81653;SSF81660;SSF81665	cd02073	GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021;GO:0000166	Reactome: R-HSA-936837	Coil	NA	NA	TMhelix	PS00154	NA	NA	NA	SFLDS00003;SFLDF00027	PR00119	NA	NA	TIGR01652;TIGR01494
augustus_masked-NQYQ01000015.1-processed-gene-1.17-mRNA-1	NA	NA	G3DSA:3.20.20.380	IPR036822	NA	PF03932	PTHR12598	SSF110395	NA	GO:0005507;GO:0055070	Reactome: R-HSA-936837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000033.1-processed-gene-0.30-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR016439	PS50922	PF08390;PF03798	PTHR12560;PTHR12560:SF0	NA	NA	GO:0016021	Reactome: R-HSA-1660661	NA	NA	SM00724	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000014.1-augustus-gene-6.22-mRNA-1	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR033118	PS51751	PF05241	PTHR14207;PTHR14207:SF0	NA	NA	GO:0016021;GO:0016125;GO:0047750	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000044.1-processed-gene-0.17-mRNA-1	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	IPR036259	PS50850	PF00083	PTHR23500;PTHR23500:SF50	SSF103473	cd06174	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	Reactome: R-HSA-189200	NA	NA	NA	TMhelix	PS00217;PS00216	NA	NA	NA	NA	PR00171	NA	NA	TIGR00879
maker-NQYQ01000010.1-augustus-gene-7.54-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR029008	NA	PF07019	PTHR20994:SF0;PTHR20994	NA	NA	GO:0005783;GO:0016021;GO:0072546	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000002.1-processed-gene-15.15-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:2.40.30.10;G3DSA:3.40.50.80	IPR008333	PS51384	PF00970;PF00175	PTHR19370;PTHR19370:SF174	SSF63380;SSF52343	cd06183	GO:0016491;GO:0055114	Reactome: R-HSA-1237044	NA	NA	NA	NA	NA	NA	NA	NA	NA	PR00406;PR00371	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-12.6-mRNA-1	NA	NA	G3DSA:3.90.180.10	IPR006808	NA	PF04718	PTHR12386:SF12;PTHR12386	NA	NA	GO:0000276;GO:0015078;GO:0015986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000024.1-processed-gene-2.49-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1530.20	IPR004706	NA	PF01758	PTHR43057	NA	NA	GO:0015103;GO:0015297;GO:0016021;GO:0016020	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	PIRSF005508	TIGR00832
maker-NQYQ01000029.1-augustus-gene-1.66-mRNA-1	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR001594	PS50216	PF01529	PTHR22883:SF232;PTHR22883	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000003.1-augustus-gene-16.0-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:2.30.30.40;G3DSA:1.20.1270.60	IPR001060	PS51741	PF00611;PF06775	PTHR23065:SF7;PTHR23065	SSF103657;SSF50044	cd00174;cd07651	GO:0005515;GO:0019915	NA	Coil	NA	SM00055	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000020.1-processed-gene-2.0-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR004695	NA	PF03595	PTHR31686	NA	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000016.1-augustus-gene-1.28-mRNA-1	NA	NA	G3DSA:3.20.20.140;G3DSA:2.30.40.10	IPR006680	NA	PF01979	PTHR11113;PTHR11113:SF14	SSF51338;SSF51556	cd00854	GO:0016787;GO:0006044;GO:0008448;GO:0016810	KEGG: 00052+3.5.1.25|KEGG: 00520+3.5.1.25|MetaCyc: PWY-6906|MetaCyc: PWY-7077|MetaCyc: PWY-7395|Reactome: R-HSA-446210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF038994	TIGR00221
maker-NQYQ01000003.1-augustus-gene-12.12-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR006043	NA	PF00860	PTHR43337:SF3;PTHR43337	NA	NA	GO:0016020;GO:0022857;GO:0055085	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000011.1-processed-gene-0.14-mRNA-1	NA	NA	G3DSA:3.30.420.10	IPR012337	NA	NA	PTHR28083	SSF53098	NA	GO:0003676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000208.1-augustus-gene-0.1-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR005804	NA	PF00487;PF08557	PTHR12879:SF8;PTHR12879	NA	cd03508	GO:0006629;GO:0016021;GO:0030148;GO:0042284	KEGG: 00600+1.14.19.17|MetaCyc: PWY-5129|Reactome: R-HSA-1660661	NA	NA	SM01269	TMhelix	NA	NA	NA	NA	NA	NA	NA	PIRSF017228	NA
maker-NQYQ01000028.1-augustus-gene-1.63-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000004.1-augustus-gene-2.9-mRNA-1	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	G3DSA:1.20.1260.100	IPR004307	NA	PF03073	PTHR10057:SF0;PTHR10057	NA	cd15904	GO:0016021	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	PIRSF005859	NA
maker-NQYQ01000040.1-augustus-gene-0.12-mRNA-1	mobidb-lite	NA	G3DSA:1.10.8.270;G3DSA:1.10.472.80	IPR035969	PS50086	PF00566	PTHR22957:SF26;PTHR22957	SSF47923	NA	NA	NA	NA	NA	SM00164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000006.1-augustus-gene-8.26-mRNA-1	NA	NA	G3DSA:3.30.70.250;G3DSA:3.40.47.10;G3DSA:3.40.50.150;G3DSA:3.10.129.110;G3DSA:1.10.1200.10;G3DSA:3.30.70.3290;G3DSA:3.90.180.10;G3DSA:3.40.50.720;G3DSA:3.40.366.10	IPR016036	NA	PF00698;PF14765;PF08659;PF08242;PF00109;PF16197;PF13602;PF02801;PF08240	PTHR43775;PTHR43775:SF10	SSF55048;SSF53901;SSF52151;SSF50129;SSF51735;SSF47336;SSF53335	cd02440;cd05195;cd00833	GO:0003824;GO:0016491;GO:0016740;GO:0055114	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	SM00826;SM00822;SM00825;SM00829;SM00827	NA	PS00606	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000029.1-augustus-gene-0.17-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR020846	PS50850	PF00083	PTHR24064:SF325;PTHR24064	SSF103473	cd06174	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0005315;GO:0006817	NA	NA	NA	NA	TMhelix	PS00217	NA	NA	NA	NA	NA	NA	NA	TIGR00887
maker-NQYQ01000020.1-augustus-gene-2.29-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:1.10.630.10	IPR017972	NA	PF00067	PTHR24279:SF87;PTHR24279	SSF48264	NA	GO:0016705;GO:0055114;GO:0005506;GO:0020037;GO:0004497	NA	NA	NA	NA	NA	PS00086	NA	NA	NA	NA	PR00465	NA	NA	NA
maker-NQYQ01000014.1-augustus-gene-4.16-mRNA-1	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR006634	PS50922	PF08390;PF03798	PTHR12560:SF11;PTHR12560	NA	NA	GO:0016021	Reactome: R-HSA-1660661	NA	NA	SM00724	TMhelix	NA	NA	NA	NA	NA	NA	NA	PIRSF005225	NA
augustus_masked-NQYQ01000027.1-processed-gene-0.20-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR001104	PS50244	PF02544	PTHR10556;PTHR10556:SF43	NA	NA	GO:0006629;GO:0016627;GO:0003865;GO:0008202;GO:0016020;GO:0055114	KEGG: 00140+1.3.1.22|KEGG: 00905+1.3.1.22|MetaCyc: PWY-6032|MetaCyc: PWY-7455|Reactome: R-HSA-193048	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	PIRSF015596	NA
augustus_masked-NQYQ01000003.1-processed-gene-11.19-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	G3DSA:3.40.630.10	IPR000834	NA	PF00246	PTHR11705:SF91;PTHR11705	SSF53187	cd06248	GO:0004181;GO:0006508;GO:0008270	NA	NA	NA	SM00631	NA	PS00132	NA	SignalP-noTM	NA	NA	PR00765	NA	NA	NA
augustus_masked-NQYQ01000049.1-processed-gene-0.48-mRNA-1	mobidb-lite	NA	G3DSA:1.20.5.170	IPR002112	PS50217	PF00170	PTHR19304	SSF57959	cd14687	GO:0003677;GO:0003700;GO:0006355	NA	Coil	NA	SM00338	NA	PS00036	NA	NA	NA	NA	PR00043	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-7.13-mRNA-1	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.20.20.80	IPR011583	NA	PF00704	PTHR11177;PTHR11177:SF182	SSF51445	NA	GO:0008061;GO:0005975	NA	NA	NA	SM00636	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
maker-NQYQ01000005.1-augustus-gene-3.19-mRNA-1	mobidb-lite	NA	G3DSA:3.10.330.10;G3DSA:3.40.50.300;G3DSA:1.10.8.60	IPR029067	NA	PF00004;PF17862;PF09262	PTHR23077;PTHR23077:SF12	SSF54585;SSF52540;SSF50692	cd00009	GO:0005524;GO:0005778;GO:0006625;GO:0042623;GO:0005777;GO:0007031	Reactome: R-HSA-9033241	NA	NA	SM00382	NA	PS00674	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000002.1-augustus-gene-7.8-mRNA-1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	IPR036640	PS50893;PS50929	PF00664;PF00005	PTHR24221:SF288;PTHR24221	SSF90123;SSF52540	NA	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	NA	NA	SM00382	TMhelix	PS00211	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000019.1-augustus-gene-3.36-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000001.1-processed-gene-22.17-mRNA-1	mobidb-lite	NA	G3DSA:3.30.70.240;G3DSA:3.30.70.870;G3DSA:2.40.30.10;G3DSA:3.90.1430.10;G3DSA:3.30.230.10;G3DSA:3.40.50.300;G3DSA:3.30.70.330	IPR005517	PS50103;PS51722;PS50102	PF14492;PF00009;PF00642;PF03144;PF00679;PF03764	PTHR42908:SF10;PTHR42908	SSF52540;SSF54980;SSF50447;SSF54928;SSF54211	cd16261;cd01681;cd03700;cd12257;cd01885;cd04096	GO:0005525;GO:0003676;GO:0003924;GO:0046872	NA	Coil	NA	SM00889;SM00360;SM00838;SM00356	NA	PS00301	NA	NA	NA	NA	PR00315	NA	NA	TIGR00231
maker-NQYQ01000013.1-augustus-gene-0.26-mRNA-1	mobidb-lite	NA	G3DSA:3.30.70.330	IPR000504	PS50102	PF12220;PF00076	PTHR13952:SF5;PTHR13952	SSF54928	cd12236	GO:0003676;GO:0000398;GO:0005685;GO:0030619	Reactome: R-HSA-72163	NA	NA	SM00360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000015.1-augustus-gene-2.28-mRNA-1	mobidb-lite	NA	G3DSA:3.40.30.10;G3DSA:3.30.70.1010;G3DSA:1.20.1050.10	IPR036282	PS50040;PS50404;PS50405	PF00647;PF02798;PF00043	PTHR43986	SSF47616;SSF52833;SSF89942	cd03181;cd03044	GO:0003746;GO:0006414;GO:0005515	Reactome: R-HSA-156842	NA	NA	SM01183	NA	NA	NA	NA	NA	SFLDS00019;SFLDG00358	NA	NA	NA	NA
maker-NQYQ01000007.1-augustus-gene-6.12-mRNA-1	mobidb-lite	NA	G3DSA:3.40.50.300	IPR001650	PS51195;PS51194;PS51192	PF00271;PF00270	PTHR24031:SF331;PTHR24031	SSF52540	cd00079;cd00268	GO:0003676;GO:0005524	NA	NA	NA	SM00490;SM00487	NA	PS00039	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000014.1-augustus-gene-2.9-mRNA-1	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	G3DSA:3.20.20.80;G3DSA:3.10.50.10;G3DSA:3.10.350.10	IPR017853	PS51782	PF01476;PF00704;PF14856	PTHR11177;PTHR11177:SF231	SSF54106;SSF51445;SSF57016;SSF54556	cd00118;cd00035;cd02878	GO:0008061;GO:0005975;GO:0004553	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	NA	PD000609	SM00636;SM00257	NA	PS01095	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
maker-NQYQ01000019.1-augustus-gene-3.34-mRNA-1	mobidb-lite	NA	G3DSA:3.30.1370.10	IPR036612	PS50084	PF00013	PTHR10288:SF222;PTHR10288	SSF54791	cd02396;cd00105	GO:0003723;GO:0003676	NA	NA	NA	SM00322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000018.1-augustus-gene-0.33-mRNA-1	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.10.1280.10	IPR008922	NA	PF00264;PF18132	PTHR11474;PTHR11474:SF32	SSF48056	NA	GO:0016491	Reactome: R-HSA-5662702	NA	NA	NA	NA	PS00497;PS00498	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	PR00092	NA	NA	NA
augustus_masked-NQYQ01000018.1-processed-gene-1.6-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR44276	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYQ01000011.1-processed-gene-7.16-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10	IPR023299	NA	PF00122;PF00702;PF12409	PTHR24093:SF373;PTHR24093	SSF81660;SSF56784;SSF81665	cd07542	GO:0000166;GO:0016021;GO:0006812;GO:0016887	Reactome: R-HSA-936837	NA	NA	NA	TMhelix	PS00154	NA	NA	NA	SFLDF00027;SFLDG00002	PR00119	NA	NA	TIGR01494;TIGR01657
maker-NQYQ01000032.1-augustus-gene-1.53-mRNA-1	NA	NA	G3DSA:3.60.20.10	IPR001353	PS51476	PF00227	PTHR11599:SF63;PTHR11599	SSF56235	cd03761	GO:0004298;GO:0005839;GO:0051603;GO:0004175	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	NA	NA	NA	PS00854	NA	NA	NA	NA	PR00141	NA	NA	NA
maker-NQYQ01000043.1-augustus-gene-0.20-mRNA-1	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR025016	NA	PF13127	PTHR23051:SF0;PTHR23051	SSF103481	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYQ01000019.1-augustus-gene-1.1-mRNA-1	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	G3DSA:3.90.700.10;G3DSA:4.10.80.40;G3DSA:1.20.58.100;G3DSA:3.50.50.60	IPR027477	NA	PF00890;PF02910	PTHR11632;PTHR11632:SF51	SSF51905;SSF56425;SSF46977	NA	GO:0016491;GO:0055114;GO:0006099;GO:0016627;GO:0050660;GO:0022900	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NA	NA	NA	NA	PS00504	NA	NA	NA	NA	NA	NA	PIRSF000171	TIGR01816;TIGR01812
augustus_masked-NQYQ01000004.1-processed-gene-4.19-mRNA-1	mobidb-lite	NA	G3DSA:1.10.220.10	IPR018252	NA	PF00191	PTHR10502:SF102;PTHR10502	SSF47874	NA	GO:0005509;GO:0005544	NA	NA	NA	SM00335	NA	PS00223	NA	NA	NA	NA	PR00196;PR01813	NA	NA	NA
maker-NQYQ01000001.1-augustus-gene-25.27-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1420.30	IPR004837	NA	PF01699	PTHR31503;PTHR31503:SF20	NA	NA	GO:0016021;GO:0055085	Reactome: R-HSA-425561	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
