Gene	MobiDBLite	TMHMM	interpro	GO	Pfam	Phobius	SUPERFAMILY	PANTHER	Gene3D	ProSitePatterns	PRINTS	SMART	ProSiteProfiles	CDD	Coils	TIGRFAM	PATHWAY	Hamap	SFLD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	ProDom
maker-scaffold43-augustus-gene-0.30-mRNA-1	mobidb-lite	TMhelix	IPR001757	GO:0016021;GO:0008553;GO:0120029;GO:0000166	PF00702;PF00690;PF00122	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF56784;SSF81665;SSF81653	PTHR42861:SF26;PTHR42861	G3DSA:2.60.120.1500;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10	PS00154	PR00120;PR00119	SM00831	NA	cd02076	NA	TIGR01647;TIGR01494	Reactome: R-HSA-936837	NA	SFLDS00003;SFLDF00027	NA	NA	NA	NA	NA
augustus_masked-scaffold41-processed-gene-0.118-mRNA-1	mobidb-lite	NA	IPR001192	GO:0035556;GO:0004435;GO:0006629;GO:0007165;GO:0008081	PF01161;PF00388;PF00387	NA	SSF51695;SSF49777	PTHR10336;PTHR10336:SF93	G3DSA:3.90.280.10;G3DSA:2.60.40.150;G3DSA:3.20.20.190	NA	PR00390	SM00149;SM00148	PS50008;PS50007	cd00866	NA	NA	KEGG: 00562+3.1.4.11|KEGG: 04070+3.1.4.11|MetaCyc: PWY-6351|MetaCyc: PWY-6367|MetaCyc: PWY-7039|Reactome: R-HSA-1855204	NA	NA	NA	NA	NA	NA	NA
maker-scaffold78-snap-gene-0.12-mRNA-1	mobidb-lite	NA	IPR005556	NA	PF03856	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	PTHR31654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
augustus_masked-scaffold364-processed-gene-0.1-mRNA-1	mobidb-lite	TMhelix	IPR004254	GO:0016021	PF09072;PF03006	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR20855:SF52;PTHR20855	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold71-snap-gene-0.139-mRNA-1	mobidb-lite	TMhelix	IPR011553	GO:0015031;GO:0030176	PF03839	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PTHR12443	NA	NA	NA	NA	NA	NA	NA	TIGR00869	Reactome: R-HSA-381038	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold353-processed-gene-0.42-mRNA-1	mobidb-lite	NA	IPR015890	GO:0009058	PF00425;PF04715;PF00117	NA	SSF56322;SSF52317	PTHR11236;PTHR11236:SF18	G3DSA:3.60.120.10;G3DSA:3.40.50.880	NA	PR00095	NA	PS51273	cd01743	NA	TIGR01823	KEGG: 00400+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661	NA	NA	NA	NA	NA	NA	NA
maker-scaffold241-snap-gene-0.0-mRNA-1	mobidb-lite	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
maker-scaffold54-snap-gene-0.213-mRNA-1	mobidb-lite	NA	IPR009072	GO:0046982;GO:0000786;GO:0003677	PF00125	NA	SSF47113	PTHR23428;PTHR23428:SF164	G3DSA:1.10.20.10	PS00357	PR00621	SM00427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold332-snap-gene-0.83-mRNA-1	mobidb-lite	NA	IPR000178	GO:0003743;GO:0005525;GO:0005622;GO:0006413;GO:0003924	PF11987;PF00009	NA	SSF50447;SSF52156;SSF52540	PTHR43381:SF1;PTHR43381	G3DSA:3.40.50.10050;G3DSA:2.40.30.10;G3DSA:3.40.50.300	PS01176	NA	NA	PS51722	cd03702;cd03692;cd01887	Coil	TIGR00487;TIGR00231	Reactome: R-HSA-5368286	MF_00100_B	NA	NA	NA	NA	NA	NA
maker-scaffold354-augustus-gene-0.2-mRNA-1	mobidb-lite	TMhelix	IPR001623	NA	PF00226	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF46565	PTHR44145	G3DSA:1.10.287.110	NA	PR00625	SM00271	PS50076	cd06257	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA
maker-scaffold8-snap-gene-0.40-mRNA-1	NA	NA	IPR011032	GO:0055114;GO:0016491	PF00107;PF16884	NA	SSF50129;SSF51735	PTHR43205:SF7;PTHR43205	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	SM00829	NA	cd05288	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold69-snap-gene-0.85-mRNA-1	NA	NA	IPR021109	GO:0004190;GO:0006508	PF00026	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	SSF50630	PTHR13683	G3DSA:2.40.70.10	NA	NA	NA	PS51767	cd05471	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA
maker-scaffold517-snap-gene-0.0-mRNA-1	mobidb-lite	NA	IPR013083	NA	PF00628	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	SSF57903	NA	G3DSA:3.30.40.10	PS01359	NA	SM00249	PS50016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold482-snap-gene-0.36-mRNA-1	mobidb-lite	NA	IPR002035	NA	PF00092	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN	SSF53300	PTHR34706;PTHR34706:SF1	G3DSA:3.40.50.410	NA	NA	NA	PS50234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold253-processed-gene-0.0-mRNA-1	mobidb-lite	NA	IPR036338	GO:0001671;GO:0051879;GO:0051087	PF09229;PF08327	NA	SSF103111;SSF55961	PTHR13009;PTHR13009:SF8	G3DSA:3.15.10.20;G3DSA:3.30.530.20	NA	NA	SM01000	NA	cd08892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold13-snap-gene-0.13-mRNA-1	mobidb-lite	NA	IPR001452	GO:0005515;GO:0005777;GO:0016021;GO:0016560	PF07653;PF04088	SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE	SSF50044	PTHR19332;PTHR19332:SF1	G3DSA:2.30.30.40	NA	PR00452	SM00326	PS50002	cd11771	NA	NA	Reactome: R-HSA-8866654|Reactome: R-HSA-9033241	NA	NA	NA	SignalP-TM	SignalP-noTM	NA	NA
snap_masked-scaffold252-processed-gene-0.19-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold110-augustus-gene-0.82-mRNA-1	NA	NA	IPR029514	GO:0004177	PF04389;PF02225	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	SSF52025;SSF53187	PTHR12147:SF17;PTHR12147	G3DSA:3.50.30.30;G3DSA:3.40.630.10	NA	NA	NA	NA	cd03876	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
augustus_masked-scaffold156-processed-gene-0.1-mRNA-1	NA	TMhelix	IPR012341	GO:0003824;GO:0004571;GO:0005509;GO:0016020	PF01532	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	SSF48225	PTHR11742;PTHR11742:SF47	G3DSA:1.50.10.10	NA	PR00747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold36-processed-gene-0.20-mRNA-1	mobidb-lite	NA	IPR027664		PF00022	NA	SSF53067	PTHR11937:SF16;PTHR11937	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	SM00268	NA	NA	Coil	NA	Reactome: R-HSA-5689603|Reactome: R-HSA-5696394	NA	NA	NA	NA	NA	NA	NA
maker-scaffold241-augustus-gene-0.58-mRNA-1	mobidb-lite	NA	IPR012583	GO:0006364	PF08167	NA	SSF48371	PTHR34105	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-6791226|Reactome: R-HSA-8849473	NA	NA	NA	NA	NA	NA	NA
maker-scaffold161-augustus-gene-0.15-mRNA-1	mobidb-lite	TMhelix	IPR036259	GO:0016021;GO:0055085	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	PTHR23524:SF1;PTHR23524	G3DSA:1.20.1250.20	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold8-snap-gene-0.44-mRNA-1	NA	TMhelix	IPR007905	GO:0016021;GO:0016125;GO:0047750	PF05241	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	PTHR14207:SF0;PTHR14207	NA	NA	NA	NA	PS51751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold127-snap-gene-0.53-mRNA-1	mobidb-lite	NA	IPR025676	NA	PF14420	NA	NA	PTHR38788	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold315-processed-gene-0.5-mRNA-1	mobidb-lite	NA	IPR018816	GO:0005515	PF10312;PF09732	NA	NA	PTHR21737;PTHR21737:SF4	NA	NA	NA	SM01050	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold56-augustus-gene-0.4-mRNA-1	NA	NA	IPR029057	GO:0009116;GO:0000287;GO:0004749;GO:0009165	PF14572;PF13793	NA	SSF53271	PTHR10210;PTHR10210:SF36	G3DSA:3.40.50.2020	NA	NA	SM01400	NA	cd06223	NA	TIGR01251	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	NA	NA	NA	NA	NA	NA	NA
maker-scaffold23-snap-gene-0.245-mRNA-1	NA	NA	IPR006554	GO:0004003;GO:0016818;GO:0005524;GO:0003676;GO:0006139;GO:0008026;GO:0003677	PF13307;PF06733	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	PTHR11472:SF41;PTHR11472	G3DSA:3.40.50.300	NA	NA	SM00488;SM00491	PS51193	NA	NA	TIGR00604	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold8-processed-gene-0.250-mRNA-1	mobidb-lite	TMhelix	IPR039421	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	PF00005;PF00664	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF90123;SSF52540	PTHR24221;PTHR24221:SF187	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	PS00211	NA	SM00382	PS50929;PS50893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold60-snap-gene-0.48-mRNA-1	mobidb-lite	NA	IPR040240		PF12157	NA	NA	PTHR13900	NA	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold79-processed-gene-0.18-mRNA-1	NA	TMhelix	IPR005013	GO:0005789;GO:0018279	PF03345	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	PTHR10830	NA	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203|Reactome: R-HSA-6798695|Reactome: R-HSA-879415	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA
maker-scaffold618-snap-gene-0.15-mRNA-1	mobidb-lite	NA	IPR015943	GO:0005515	PF04003;PF00400	NA	SSF50978	PTHR19858	G3DSA:2.130.10.10	PS00678	PR00320	SM00320	PS50082;PS50294	cd00200	Coil	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold7-processed-gene-0.32-mRNA-1	mobidb-lite	TMhelix	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF02535	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	PTHR16133;PTHR16133:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
maker-scaffold668-snap-gene-0.1-mRNA-1	mobidb-lite	NA	IPR000504	GO:0003676	PF01424;PF00076	NA	SSF82708;SSF54928	PTHR23003:SF17;PTHR23003	G3DSA:3.30.1370.50;G3DSA:3.30.70.330	NA	NA	SM00360;SM00393	PS51061;PS50102	cd12253	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold2-processed-gene-1.99-mRNA-1	mobidb-lite	NA	IPR018712	NA	PF09994	NA	NA	PTHR33840:SF2;PTHR33840	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold28-processed-gene-0.171-mRNA-1	NA	NA	IPR016161	GO:0016491;GO:0055114;GO:0016620	PF00171	NA	SSF53720	PTHR43353;PTHR43353:SF6	G3DSA:3.40.309.10;G3DSA:3.40.605.10	PS00687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold23-augustus-gene-0.223-mRNA-1	mobidb-lite	TMhelix	IPR026030	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF02133	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR31806;PTHR31806:SF5	G3DSA:1.10.4160.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF002744	NA	NA	NA	NA
snap_masked-scaffold83-processed-gene-0.78-mRNA-1	mobidb-lite	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF12330	NA	SSF56112	PTHR24419;PTHR24419:SF18	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	SM01331	PS50011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold103-snap-gene-0.12-mRNA-1	mobidb-lite	NA	IPR016024	NA	PF08161	NA	SSF48371	PTHR21576:SF2;PTHR21576	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold64-processed-gene-0.28-mRNA-1	NA	NA	IPR002302	GO:0000166;GO:0004823;GO:0005524;GO:0006429;GO:0002161;GO:0006418;GO:0004812	PF13603;PF00133;PF08264;PF09334	NA	SSF52374;SSF47323;SSF50677	PTHR43740;PTHR43740:SF2	G3DSA:1.10.730.10;G3DSA:3.40.50.620;G3DSA:3.90.740.10;G3DSA:3.10.330.110	PS00178	PR00985	NA	NA	cd00812	NA	TIGR00396	KEGG: 00970+6.1.1.4|Reactome: R-HSA-379726	NA	NA	NA	NA	NA	NA	NA
maker-scaffold3-snap-gene-1.92-mRNA-1	mobidb-lite	NA	IPR024752	NA	PF12776	NA	NA	PTHR31704;PTHR31704:SF64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold107-augustus-gene-0.106-mRNA-1	mobidb-lite	NA	IPR027417	GO:0003676;GO:0005524	PF00271;PF00270	NA	SSF52540	PTHR24031:SF215;PTHR24031	G3DSA:3.40.50.300	PS00039	NA	SM00487;SM00490	PS51192;PS51195;PS51194	cd00079;cd00268	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold163-processed-gene-0.10-mRNA-1	NA	TMhelix	IPR033379	GO:0016791	PF00328	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF53254	PTHR20963;PTHR20963:SF24	G3DSA:3.40.50.1240	PS00616	NA	NA	NA	cd07061	NA	NA	Reactome: R-HSA-1855231	NA	NA	PIRSF000894	NA	NA	NA	NA
maker-scaffold94-snap-gene-0.18-mRNA-1	NA	NA	IPR027417	GO:0003924;GO:0005525	PF00679;PF14492;PF00009;PF03144	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF52540;SSF54980;SSF54211;SSF50447	PTHR42908;PTHR42908:SF3	G3DSA:3.30.230.10;G3DSA:3.30.70.240;G3DSA:3.30.70.870	NA	PR00315	SM00838	PS51722	cd01885;cd04096;cd16268;cd16261;cd01681	NA	TIGR00231	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold67-snap-gene-0.4-mRNA-1	mobidb-lite	TMhelix	IPR036259	GO:0016021;GO:0055085	PF07690	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF103473	PTHR23501:SF3;PTHR23501	G3DSA:1.20.1250.20	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold92-snap-gene-0.1-mRNA-1	mobidb-lite	TMhelix	IPR004837	GO:0016021;GO:0055085	PF01699	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR12266:SF0;PTHR12266	G3DSA:1.20.58.1130;G3DSA:1.20.1420.30	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA
maker-scaffold210-snap-gene-0.103-mRNA-1	mobidb-lite	NA	IPR015943	GO:0005515	NA	NA	SSF117289	PTHR23193;PTHR23193:SF23	G3DSA:2.130.10.10	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold153-snap-gene-0.23-mRNA-1	mobidb-lite	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	PTHR12751:SF18;PTHR12751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold199-processed-gene-0.45-mRNA-1	NA	TMhelix	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold320-snap-gene-0.62-mRNA-1	NA	NA	IPR011012	GO:0006890;GO:0030126	PF01217;PF00928	NA	SSF64356;SSF49447	PTHR10121;PTHR10121:SF0	G3DSA:3.30.450.60;G3DSA:2.60.40.1170	NA	NA	NA	PS51072	cd09254	Coil	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold240-processed-gene-0.62-mRNA-1	mobidb-lite	NA	IPR001401	GO:0003924;GO:0005525	PF00350;PF02212;PF01031	NA	SSF52540	PTHR11566:SF137;PTHR11566	G3DSA:3.40.50.300	NA	PR00195	SM00053	PS51718;PS51388	cd08771	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold64-snap-gene-0.0-mRNA-1	mobidb-lite	NA	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	PF04082;PF00172	NA	SSF57701	PTHR31313;PTHR31313:SF51	G3DSA:4.10.240.10	PS00463	NA	SM00066;SM00906	PS50048	cd00067;cd12148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold62-processed-gene-0.23-mRNA-1	mobidb-lite	NA	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	PF00150;PF00734	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SSF57180;SSF51445	PTHR34142:SF5;PTHR34142	G3DSA:3.20.20.80	PS00562;PS00659	NA	SM00236	PS51164	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	PD001821
snap_masked-scaffold36-processed-gene-0.44-mRNA-1	NA	NA	IPR001087	GO:0016788	PF00657	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	SSF52266	PTHR22835;PTHR22835:SF178	G3DSA:3.40.50.1110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
maker-scaffold40-snap-gene-0.167-mRNA-1	mobidb-lite	NA	IPR007722	GO:0003723;GO:0016787;GO:0030145	PF05026;PF00293	NA	SSF140586;SSF55811	PTHR23114	G3DSA:3.90.79.10;G3DSA:1.10.10.1050	PS00893	NA	SM01125	PS51462	cd03672	NA	NA	Reactome: R-HSA-380994|Reactome: R-HSA-430039|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold41-processed-gene-0.141-mRNA-1	mobidb-lite	NA	IPR023214	GO:0003824;GO:0005992	PF00982;PF02358	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	SSF56784;SSF53756	PTHR10788:SF15;PTHR10788	G3DSA:3.40.50.1000;G3DSA:3.40.50.2000;G3DSA:3.30.70.1020	NA	NA	NA	NA	cd03788	NA	TIGR00685;TIGR01484	KEGG: 00500+2.4.1.15	NA	NA	NA	NA	NA	NA	NA
maker-scaffold99-augustus-gene-0.170-mRNA-1	NA	NA	IPR002716	GO:0032040	PF04900	NA	SSF88723	PTHR12416;PTHR12416:SF2	G3DSA:3.40.50.1010	NA	NA	SM00670	NA	cd09864	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold181-processed-gene-0.8-mRNA-1	NA	NA	IPR023395	GO:0022857	PF00153	NA	SSF103506	PTHR24089:SF651;PTHR24089	G3DSA:1.50.40.10	NA	NA	NA	PS50920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold49-processed-gene-0.177-mRNA-1	mobidb-lite	NA	IPR008984	GO:0005515;GO:0003700;GO:0006355;GO:0043565	PF00250;PF00498	NA	SSF49879;SSF46785	PTHR11829;PTHR11829:SF315	G3DSA:2.60.200.20;G3DSA:1.10.10.10	PS00657;PS00658	PR00053	SM00240;SM00339	PS50006;PS50039	cd00059;cd00060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold338-snap-gene-0.4-mRNA-1	mobidb-lite	TMhelix	IPR020846	GO:0016021;GO:0055085	PF07690	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF103473	PTHR43791;PTHR43791:SF26	G3DSA:1.20.1250.20	NA	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold12-processed-gene-0.240-mRNA-1	mobidb-lite	TMhelix	IPR013057	NA	PF01490	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	PTHR22950:SF459;PTHR22950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold436-augustus-gene-0.14-mRNA-1	NA	NA	IPR000120	GO:0004040	PF01425	NA	SSF75304	PTHR11895;PTHR11895:SF44	G3DSA:3.90.1300.10	NA	NA	NA	NA	NA	Coil	NA	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold51-processed-gene-0.38-mRNA-1	NA	NA	IPR025887	GO:0003824;GO:0005975;GO:0030246;GO:0004553	PF13802;PF16863;PF01055	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SSF74650;SSF51011;SSF51445	PTHR22762:SF67;PTHR22762	G3DSA:3.20.20.80;G3DSA:2.60.40.1180;G3DSA:2.60.40.1760	NA	NA	NA	NA	cd06602;cd14752	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	SignalP-noTM	NA
augustus_masked-scaffold350-processed-gene-0.12-mRNA-1	mobidb-lite	TMhelix	IPR013057	NA	PF01490	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PTHR22950;PTHR22950:SF332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold5-snap-gene-0.12-mRNA-1	mobidb-lite	TMhelix	IPR036259	GO:0016021;GO:0055085	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	PTHR23502;PTHR23502:SF64	G3DSA:1.20.1720.10	NA	NA	NA	PS50850	cd06174	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
