Gene	interpro	GO	SUPERFAMILY	Pfam	PANTHER	Gene3D	SignalP_GRAM_POSITIVE	CDD	MobiDBLite	SMART	ProSiteProfiles	Phobius	ProSitePatterns	Coils	TMHMM	PATHWAY	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	TIGRFAM	Hamap	ProDom	PIRSF	SFLD
maker-NODE_38_length_263057_cov_61.801365-augustus-gene-1.15-mRNA-1	IPR001357	GO:0003950;GO:0006471	SSF56399;SSF47587;SSF52113;SSF142921	PF00644;PF05406;PF02877;PF00533	PTHR10459:SF60;PTHR10459	G3DSA:3.90.228.10;G3DSA:1.20.142.10;G3DSA:3.40.50.10190;G3DSA:2.20.140.10	NA	cd00027;cd07997;cd01437	mobidb-lite	SM00773;SM00292	PS50172;PS51059;PS51060	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_849364_cov_61.265323-processed-gene-7.7-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_53_length_191911_cov_59.374833-processed-gene-0.3-mRNA-1	IPR029058	GO:0006508;GO:0008236	SSF53474	PF05577	PTHR11010;PTHR11010:SF11	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_36_length_277357_cov_64.339956-processed-gene-1.37-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	Coil	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_390111_cov_61.126862-processed-gene-2.51-mRNA-1	IPR007718	GO:0005730	NA	PF05022	PTHR23216	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_536238_cov_57.715738-processed-gene-4.1-mRNA-1	IPR036259	NA	SSF103473	NA	PTHR23507;PTHR23507:SF25	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_868829_cov_62.810630-processed-gene-7.28-mRNA-1	IPR036812	NA	SSF51430	PF00248	PTHR42686	G3DSA:3.20.20.100	NA	cd06660	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_886839_cov_63.192135-augustus-gene-7.6-mRNA-1	IPR035979	GO:0003676;GO:0000398	SSF54928	PF00076	PTHR14089;PTHR14089:SF6	G3DSA:3.30.70.330	NA	cd12265	mobidb-lite	SM00360	PS50102	NA	NA	NA	NA	Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_201026_cov_60.700606-processed-gene-0.11-mRNA-1	IPR017927	GO:0016491;GO:0055114	SSF63380	PF01794;PF08030;PF08022	PTHR11972:SF129;PTHR11972	G3DSA:2.40.30.10;G3DSA:3.40.50.80	NA	cd06186	NA	NA	PS51384	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00052;SFLDG01168
augustus_masked-NODE_8_length_768202_cov_65.452000-processed-gene-5.16-mRNA-1	IPR005599	GO:0016757;GO:0000030;GO:0006506	NA	PF03901	PTHR22760;PTHR22760:SF4	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_309253_cov_63.563806-processed-gene-2.7-mRNA-1	IPR036259	GO:0016021;GO:0055085;GO:0005215	SSF103473	PF07690	PTHR23504;PTHR23504:SF6	NA	NA	cd06174	mobidb-lite	NA	PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	PR01035	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_285618_cov_58.526770-processed-gene-0.34-mRNA-1	IPR028143	NA	NA	PF08690	PTHR28263	NA	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_619819_cov_63.830454-augustus-gene-3.42-mRNA-1	IPR004776	GO:0016021;GO:0055085	NA	PF03547	PTHR31794:SF2;PTHR31794	NA	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_410206_cov_63.795695-processed-gene-2.33-mRNA-1	IPR019410	NA	SSF53335	PF10294	PTHR14614:SF89;PTHR14614	G3DSA:3.40.50.150	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_712399_cov_64.450715-processed-gene-2.17-mRNA-1	IPR032108		NA	PF16641	PTHR18916:SF49;PTHR18916	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5626467|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_10_length_645185_cov_64.840346-augustus-gene-4.14-mRNA-1	IPR005178	NA	NA	PF03619	PTHR23423;PTHR23423:SF10	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_301663_cov_62.554438-processed-gene-2.3-mRNA-1	IPR005804	GO:0006629;GO:0016717;GO:0055114	NA	PF00487;PF11960	PTHR32100;PTHR32100:SF0	NA	NA	cd03507	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_309253_cov_63.563806-processed-gene-1.23-mRNA-1	IPR021840	NA	NA	PF11915	PTHR37544;PTHR37544:SF3	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_849364_cov_61.265323-processed-gene-5.22-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_768202_cov_65.452000-processed-gene-0.12-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_81_length_81264_cov_61.979652-processed-gene-0.24-mRNA-1	IPR002656	GO:0016747	NA	PF01757	PTHR23028;PTHR23028:SF53	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_712399_cov_64.450715-processed-gene-0.26-mRNA-1	NA	NA	SSF57959	NA	PTHR40621	G3DSA:1.20.5.170	NA	cd14688	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_536238_cov_57.715738-processed-gene-1.55-mRNA-1	IPR017449	GO:0000166;GO:0004827;GO:0005524;GO:0005737;GO:0006433;GO:0004812;GO:0006418	SSF64586;SSF55681;SSF52954	PF03129;PF09180;PF00587	PTHR43382;PTHR43382:SF2	G3DSA:3.40.50.800;G3DSA:3.30.110.30;G3DSA:3.30.930.10	NA	cd00778;cd00862	NA	SM00946	PS50862	NA	NA	Coil	NA	KEGG: 00970+6.1.1.15|Reactome: R-HSA-2408517|Reactome: R-HSA-379716|Reactome: R-HSA-6782315	PR01046	NA	NA	TIGR00408	MF_01571	NA	NA	NA
augustus_masked-NODE_119_length_33593_cov_42.999731-processed-gene-0.3-mRNA-1	IPR018020		SSF158694	PF09349	PTHR37987	G3DSA:1.10.3330.10	NA	NA	NA	NA	NA	NA	NA	Coil	NA	KEGG: 00230+4.1.1.97|MetaCyc: PWY-5691|MetaCyc: PWY-7394|MetaCyc: PWY-7849	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_458646_cov_62.714747-processed-gene-3.22-mRNA-1	IPR007083	GO:0003677;GO:0003899;GO:0006351;GO:0005634;GO:0008270	SSF64484	PF05000;PF04997;PF04998;PF00623;PF04983	PTHR19376:SF11;PTHR19376	G3DSA:1.10.357.120;G3DSA:3.30.70.2850;G3DSA:1.10.132.30;G3DSA:1.10.274.100;G3DSA:3.30.1490.180;G3DSA:2.40.40.20	NA	cd02735;cd01435	mobidb-lite	SM00663	NA	NA	NA	NA	NA	KEGG: 00230+2.7.7.6|KEGG: 00240+2.7.7.6	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_845801_cov_64.679335-processed-gene-7.46-mRNA-1	IPR023392	GO:0005742;GO:0006605;GO:0006886	SSF47157	PF02064	PTHR12430;PTHR12430:SF0	G3DSA:1.20.960.10	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	PR00351	NA	NA	NA	NA	NA	PIRSF037707	NA
maker-NODE_38_length_263057_cov_61.801365-augustus-gene-1.10-mRNA-1	IPR002328	GO:0008270;GO:0016491;GO:0055114	SSF50129	PF08240	PTHR42813:SF2;PTHR42813	G3DSA:3.90.180.10	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS00059	Coil	TMhelix	Reactome: R-HSA-71384	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_845801_cov_64.679335-augustus-gene-4.30-mRNA-1	IPR011876	GO:0004452;GO:0008299;GO:0016787	SSF55811	PF00293	PTHR10885	G3DSA:3.90.79.10	NA	cd02885	NA	NA	PS51462	NA	NA	NA	NA	KEGG: 00900+5.3.3.2|MetaCyc: PWY-5123|MetaCyc: PWY-6174|MetaCyc: PWY-6383|MetaCyc: PWY-6859|MetaCyc: PWY-7102|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-7560|MetaCyc: PWY-922|Reactome: R-HSA-191273	NA	NA	NA	TIGR02150	NA	NA	PIRSF018427	NA
maker-NODE_5_length_868829_cov_62.810630-augustus-gene-1.10-mRNA-1	IPR008253	GO:0016020	NA	PF01284	PTHR37451	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	NA	TMhelix	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_67_length_121491_cov_57.880764-processed-gene-0.25-mRNA-1	IPR000210	GO:0005515	SSF54695;SSF51126	PF12708	PTHR31375:SF6;PTHR31375	G3DSA:2.160.20.10;G3DSA:3.30.710.10	SignalP-TM	NA	NA	NA	PS50097	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_768202_cov_65.452000-processed-gene-0.14-mRNA-1	IPR013922	GO:0000079;GO:0019901	NA	PF08613	PTHR15615;PTHR15615:SF27	G3DSA:1.10.472.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_54_length_184844_cov_65.641565-augustus-gene-0.15-mRNA-1	IPR014009	GO:0005515;GO:0004674;GO:0044877;GO:0016301	SSF56112;SSF47212;SSF48371	PF08771;PF11865;PF02260;PF00454;PF02985;PF02259	PTHR11139:SF9;PTHR11139	G3DSA:3.30.1010.10;G3DSA:1.25.10.10;G3DSA:1.20.120.150;G3DSA:1.10.1070.11	NA	cd05169	NA	SM01343;SM00146;SM01345;SM01346	PS51189;PS51190;PS50290	NA	PS00915	Coil	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_6_length_849364_cov_61.265323-processed-gene-2.8-mRNA-1	IPR005120	GO:0003676;GO:0000184	SSF54928	PF03467;PF00076	PTHR13112:SF0;PTHR13112	G3DSA:3.30.70.330	NA	cd12455	mobidb-lite	SM00360	PS50102	NA	NA	Coil	NA	Reactome: R-HSA-9010553|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_285491_cov_61.729170-augustus-gene-1.68-mRNA-1	IPR000704	GO:0005956;GO:0019887	SSF57798	PF01214	PTHR11740;PTHR11740:SF13	G3DSA:2.20.25.20;G3DSA:1.10.1820.10	NA	NA	mobidb-lite	SM01085	NA	NA	PS01101	NA	NA	Reactome: R-HSA-1483191|Reactome: R-HSA-201688|Reactome: R-HSA-2514853|Reactome: R-HSA-445144|Reactome: R-HSA-6798695|Reactome: R-HSA-6804756|Reactome: R-HSA-6814122|Reactome: R-HSA-8934903|Reactome: R-HSA-8939243|Reactome: R-HSA-8948751	PR00472	NA	NA	NA	NA	NA	NA	NA
maker-NODE_62_length_134809_cov_59.357962-augustus-gene-0.6-mRNA-1	IPR002673	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	PF01779	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	PD010314	NA	NA
augustus_masked-NODE_7_length_845801_cov_64.679335-processed-gene-1.24-mRNA-1	IPR004837	GO:0016021;GO:0055085	NA	PF01699	PTHR31503:SF20;PTHR31503	G3DSA:1.20.1420.30	NA	NA	mobidb-lite	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_191911_cov_59.374833-augustus-gene-0.57-mRNA-1	IPR001810	GO:0005515	SSF50978;SSF81383	PF12937;PF00400	PTHR44038:SF2;PTHR44038	G3DSA:1.20.1280.50;G3DSA:2.130.10.10	NA	cd00200	mobidb-lite	SM00256;SM00320	PS50181;PS50082;PS50294	NA	PS00678	NA	NA	NA	PR00320	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_712399_cov_64.450715-augustus-gene-3.46-mRNA-1	IPR009008	GO:0002161;GO:0006418;GO:0000166;GO:0004812;GO:0005524;GO:0004832;GO:0005737;GO:0006438	SSF52374;SSF47323;SSF50677;SSF46589	PF00133;PF08264;PF10458	PTHR11946:SF54;PTHR11946	G3DSA:3.90.740.10;G3DSA:1.10.287.380;G3DSA:3.40.50.620;G3DSA:1.10.730.10	NA	cd00817;cd07962	mobidb-lite	NA	NA	NA	PS00178	Coil	NA	KEGG: 00970+6.1.1.9|Reactome: R-HSA-379716	PR00986	NA	NA	TIGR00422	MF_02004	NA	NA	NA
augustus_masked-NODE_9_length_712399_cov_64.450715-processed-gene-4.16-mRNA-1	IPR009071	GO:0016491;GO:0055114	SSF47095;SSF51905;SSF54373	PF00505;PF01593	PTHR10742;PTHR10742:SF353	G3DSA:3.90.660.10;G3DSA:1.10.30.10;G3DSA:3.50.50.60	NA	cd01390	mobidb-lite	SM00398	PS50118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_47_length_201026_cov_60.700606-augustus-gene-1.23-mRNA-1	IPR000209	GO:0004252;GO:0006508;GO:0005618;GO:0016020	SSF52025;SSF52743	PF00082;PF06280	PTHR43806;PTHR43806:SF20	G3DSA:3.40.50.200;G3DSA:3.50.30.30	SignalP-TM	cd02124;cd07489	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	PS00138;PS00137;PS00136	NA	NA	NA	PR00723	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NODE_14_length_515982_cov_63.869335-processed-gene-1.14-mRNA-1	IPR014049	GO:0004363;GO:0005524;GO:0006750;GO:0016874	SSF52440;SSF56059	PF03917;PF03199	PTHR11130:SF0;PTHR11130	G3DSA:3.30.1490.80;G3DSA:3.30.1490.50;G3DSA:1.10.1080.10;G3DSA:3.30.470.20;G3DSA:3.40.50.1760	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG: 00270+6.3.2.3|KEGG: 00480+6.3.2.3|Reactome: R-HSA-174403|Reactome: R-HSA-5579006	NA	NA	NA	TIGR01986	NA	NA	PIRSF001558	NA
augustus_masked-NODE_6_length_849364_cov_61.265323-processed-gene-4.14-mRNA-1	IPR003347		SSF51197	PF13832;PF02373;PF02375	PTHR10694:SF7;PTHR10694	G3DSA:2.60.120.650;G3DSA:3.30.40.10	NA	cd15571	mobidb-lite	SM00558;SM00249;SM00545	PS51184;PS51183;PS51805	NA	NA	Coil	NA	Reactome: R-HSA-3214842	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_61_length_137559_cov_59.310939-processed-gene-0.19-mRNA-1	IPR008949	GO:0008299	SSF48576	PF00348	PTHR12001;PTHR12001:SF44	G3DSA:1.10.600.10	NA	NA	mobidb-lite	NA	NA	NA	PS00444;PS00723	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	SFLDS00005
augustus_masked-NODE_40_length_245411_cov_62.928797-processed-gene-0.21-mRNA-1	IPR004342	GO:0016021	NA	PF03124	PTHR10783;PTHR10783:SF46	NA	NA	NA	NA	NA	PS51380	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_47_length_201026_cov_60.700606-processed-gene-1.1-mRNA-1	IPR006964	GO:2000574	NA	PF04880	PTHR10921:SF1;PTHR10921	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_458646_cov_62.714747-augustus-gene-2.10-mRNA-1	IPR000195	NA	SSF47923	PF00566	PTHR22957;PTHR22957:SF212	G3DSA:1.10.8.270	NA	NA	mobidb-lite	SM00164	PS50086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_925979_cov_65.326036-augustus-gene-8.59-mRNA-1	IPR024097	GO:0006355;GO:0046983	SSF47459	PF00010	PTHR12565;PTHR12565:SF51	G3DSA:4.10.280.10	NA	cd00083	mobidb-lite	SM00353	PS50888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_38_length_263057_cov_61.801365-processed-gene-0.9-mRNA-1	IPR018617	NA	NA	PF09779	PTHR28538	NA	SignalP-TM	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_39_length_260034_cov_65.474450-augustus-gene-1.63-mRNA-1	IPR025187	NA	NA	PF13430	PTHR35519:SF2;PTHR35519	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_390111_cov_61.126862-processed-gene-1.18-mRNA-1	IPR036967	GO:0003735;GO:0005840;GO:0006412	SSF53137	PF00411	PTHR11759;PTHR11759:SF3	G3DSA:3.30.420.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MF_01310	NA	PIRSF002131	NA
augustus_masked-NODE_22_length_390111_cov_61.126862-processed-gene-0.16-mRNA-1	IPR032880	GO:0016020	NA	PF13967;PF14703;PF02714	PTHR13018;PTHR13018:SF83	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	Coil	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_245411_cov_62.928797-augustus-gene-1.55-mRNA-1	IPR026054	GO:0005515	SSF117289	NA	PTHR23193:SF23;PTHR23193	G3DSA:2.130.10.10	NA	NA	mobidb-lite	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1091443_cov_63.945247-processed-gene-6.14-mRNA-1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0005215;GO:0016020	SSF103473	PF00083	PTHR23500:SF117;PTHR23500	G3DSA:1.20.1250.20	NA	cd06174	mobidb-lite	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PS00217	NA	TMhelix	Reactome: R-HSA-189200	PR00171	NA	NA	TIGR00879	NA	NA	NA	NA
augustus_masked-NODE_24_length_363082_cov_57.773986-processed-gene-1.11-mRNA-1	IPR013992	GO:0003779;GO:0007010;GO:0000902;GO:0007015	SSF69340;SSF101278	PF01213;PF08603	PTHR10652;PTHR10652:SF0	G3DSA:2.160.20.70;G3DSA:1.25.40.330	NA	NA	mobidb-lite	SM00673	PS51329	NA	PS01088	NA	NA	Reactome: R-HSA-428890	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_361630_cov_63.766165-processed-gene-2.61-mRNA-1	IPR019734	GO:0005515	SSF48452	PF17109	PTHR24151	NA	NA	NA	mobidb-lite	SM00028	PS50005;PS50293	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_65_length_123868_cov_60.030467-augustus-gene-0.44-mRNA-1	IPR006968	NA	NA	PF04884	PTHR12770:SF22;PTHR12770	NA	NA	NA	mobidb-lite	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_458646_cov_62.714747-processed-gene-2.22-mRNA-1	IPR001141	GO:0003735;GO:0005622;GO:0005840;GO:0006412	SSF50104	PF01777	PTHR10497:SF0;PTHR10497	G3DSA:2.30.30.770	NA	cd06090	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	PD009396	NA	NA
augustus_masked-NODE_9_length_712399_cov_64.450715-processed-gene-5.20-mRNA-1	IPR018625	GO:0005739;GO:0033617	NA	PF09803	PTHR33968	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	Coil	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_26_length_358778_cov_64.650727-augustus-gene-0.37-mRNA-1	IPR001926	GO:0004834;GO:0006568;GO:0000162;GO:0003824	SSF51366;SSF53686	PF00291;PF00290	PTHR42882;PTHR42882:SF1	G3DSA:3.40.50.1100;G3DSA:3.20.20.70	NA	cd04724;cd06446	NA	NA	NA	NA	PS00168;PS00167	NA	NA	KEGG: 00260+4.2.1.20|KEGG: 00400+4.2.1.20	NA	NA	NA	TIGR00263;TIGR00262	MF_00133;MF_00131	NA	NA	NA
maker-NODE_17_length_449563_cov_64.535306-augustus-gene-2.46-mRNA-1	IPR001313	GO:0003723	SSF48371	PF00806	PTHR12537:SF13;PTHR12537	G3DSA:1.25.10.10	SignalP-TM	cd07920	mobidb-lite	SM00025	PS50302;PS50303	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
