Gene	PANTHER	Phobius	interpro	GO	PATHWAY	Pfam	TMHMM	MobiDBLite	Coils	ProSitePatterns	CDD	Gene3D	SUPERFAMILY	ProSiteProfiles	SMART	PRINTS	SFLD	TIGRFAM	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	PIRSF	ProDom
maker-NODE_27_length_330426_cov_57.138596-snap-gene-0.9-mRNA-1	PTHR23112:SF18;PTHR23112	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR023041	NA	NA	PF11710	TMhelix	mobidb-lite	NA	NA	NA	G3DSA:1.20.1070.10	SSF81321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_718053_cov_59.395713-processed-gene-6.256-mRNA-1	PTHR24223;PTHR24223:SF335	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	NA	PF00005;PF00664	TMhelix	mobidb-lite	NA	PS00211	cd03244;cd03250	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	SSF90123;SSF52540	PS50893;PS50929	SM00382	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_10_length_512366_cov_57.665072-snap-gene-2.49-mRNA-1	PTHR24075;PTHR24075:SF5	NA	IPR001650	GO:0003676;GO:0005524	NA	PF00270;PF02889;PF00271;PF18149	NA	mobidb-lite	NA	NA	cd00046;cd00079	G3DSA:3.40.50.300;G3DSA:1.10.3380.10;G3DSA:2.60.40.150;G3DSA:1.10.10.2530;G3DSA:1.10.150.20	SSF158702;SSF52540;SSF46785;SSF81296	PS51194;PS51192	SM00487;SM00490;SM00973;SM00382	NA	NA	NA	NA	NA	NA	NA	PIRSF039073	NA
maker-NODE_34_length_266141_cov_58.906685-augustus-gene-1.18-mRNA-1	PTHR10414:SF37;PTHR10414	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR000462	GO:0008654;GO:0016020;GO:0016780	NA	PF01066	TMhelix	NA	NA	PS00379	NA	G3DSA:1.20.120.1760	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF015665	NA
maker-NODE_11_length_511883_cov_58.263260-augustus-gene-4.273-mRNA-1	PTHR24031;PTHR24031:SF96	NA	IPR014001	GO:0003676;GO:0005524	NA	PF00271;PF00270	NA	mobidb-lite	NA	NA	cd00079	G3DSA:3.40.50.300	SSF52540	PS51195;PS51192;PS51194	SM00487;SM00490	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_21_length_380954_cov_56.979182-snap-gene-2.36-mRNA-1	PTHR23074;PTHR23074:SF20	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR003960	GO:0005524	NA	PF00004;PF17862	TMhelix	mobidb-lite	Coil	PS00674	cd00009	G3DSA:1.10.8.60;G3DSA:3.40.50.300	SSF52540	NA	SM00382	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_752009_cov_57.006766-processed-gene-5.30-mRNA-1	PTHR43416;PTHR43416:SF5	NA	IPR000089	GO:0004149;GO:0006099;GO:0045252;GO:0016746	Reactome: R-HSA-389661	PF00364;PF00198	NA	mobidb-lite	NA	PS00189	cd06849	G3DSA:3.30.559.10;G3DSA:2.40.50.100	SSF52777;SSF51230	PS50968	NA	NA	NA	TIGR01347	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_558485_cov_55.498657-snap-gene-4.9-mRNA-1	PTHR42069	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_196090_cov_50.533157-augustus-gene-0.300-mRNA-1	PTHR13063	NA	IPR016818	GO:0061630	Reactome: R-HSA-203754	PF13445	NA	mobidb-lite	Coil	PS00518	NA	G3DSA:3.30.40.10	SSF57850	PS50089	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF023577	NA
snap_masked-NODE_59_length_127638_cov_50.623397-processed-gene-0.3-mRNA-1	PTHR11482	NA	IPR029066	GO:0003824;GO:0006596	NA	PF02784;PF00278	NA	NA	NA	PS00878	cd00622	G3DSA:3.20.20.10;G3DSA:2.40.37.10	SSF51419;SSF50621	NA	NA	PR01179;PR01182	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_558485_cov_55.498657-snap-gene-2.7-mRNA-1	PTHR42341	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	IPR010636	GO:0005576	NA	PF06766	NA	NA	NA	NA	NA	G3DSA:3.20.120.10	SSF101751	NA	NA	NA	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
augustus_masked-NODE_55_length_144644_cov_47.021375-processed-gene-0.89-mRNA-1	PTHR43396	NA	IPR000971	GO:0020037;GO:0019825;GO:0008941;GO:0051409;GO:0055114;GO:0071949;GO:0016491	NA	PF00042;PF00175	NA	NA	NA	NA	cd08922;cd06184	G3DSA:1.10.490.10;G3DSA:3.40.50.80;G3DSA:2.40.30.10	SSF46458;SSF52343;SSF63380	PS01033;PS51384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_5_length_639344_cov_58.481605-processed-gene-0.25-mRNA-1	PTHR19302:SF13;PTHR19302	NA	IPR040457	GO:0043015;GO:0000226;GO:0000922;GO:0005815;GO:0007020	Reactome: R-HSA-380270|Reactome: R-HSA-380320	PF17681;PF04130	NA	mobidb-lite	Coil	NA	NA	G3DSA:1.20.120.1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_511883_cov_58.263260-augustus-gene-1.85-mRNA-1	PTHR22938:SF0;PTHR22938	NA	IPR013083	GO:0003676	NA	NA	NA	mobidb-lite	NA	PS00028	cd16615	G3DSA:3.30.40.10	SSF57850	PS50089	SM00355	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_370437_cov_58.723945-processed-gene-2.271-mRNA-1	PTHR13261	NA	IPR025602	NA	NA	PF13862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF028983	NA
maker-NODE_38_length_240074_cov_56.736117-snap-gene-0.205-mRNA-1	PTHR28668	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR018908	NA	NA	PF10639	TMhelix	NA	NA	NA	NA	NA	SSF103481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-1.47-mRNA-1	PTHR11760:SF21;PTHR11760	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	IPR029012	GO:0071816;GO:0043529	NA	PF04420	NA	NA	Coil	NA	NA	G3DSA:1.10.287.660	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	MF_03113	NA	NA
snap_masked-NODE_47_length_182279_cov_60.135887-processed-gene-0.283-mRNA-1	PTHR43057	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR004706	GO:0015103;GO:0015297;GO:0016021;GO:0016020	NA	PF01758	TMhelix	NA	NA	NA	NA	G3DSA:1.20.1530.20	NA	NA	NA	NA	NA	TIGR00832	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1425273_cov_58.493042-snap-gene-8.86-mRNA-1	PTHR23502:SF68;PTHR23502	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR020846	GO:0016021;GO:0055085	NA	PF07690	TMhelix	NA	NA	NA	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_21_length_380954_cov_56.979182-processed-gene-0.15-mRNA-1	PTHR11850;PTHR11850:SF195	NA	IPR013087	GO:0003676;GO:0003677;GO:0006355	NA	PF03221;PF05920	NA	mobidb-lite	NA	PS00028	cd00086	G3DSA:1.10.10.60	SSF46689	PS50157;PS50071;PS51253	SM00389;SM00355	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_413467_cov_55.970450-snap-gene-2.22-mRNA-1	PTHR35393	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1425273_cov_58.493042-snap-gene-10.105-mRNA-1	PTHR12264:SF21;PTHR12264	NA	IPR009072	GO:0046982;GO:0005669;GO:0006352;GO:0000124;GO:0046695	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-3214847|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PF03847	NA	NA	NA	NA	cd07981	G3DSA:1.10.20.10	SSF47113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD012998
maker-NODE_83_length_63689_cov_52.619521-snap-gene-0.112-mRNA-1	PTHR43712:SF5;PTHR43712	NA	IPR016461	GO:0008168;GO:0008171	NA	PF00891	NA	NA	NA	NA	NA	G3DSA:1.10.10.10;G3DSA:3.40.50.150	SSF53335;SSF46785	PS51683	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_9_length_540689_cov_55.537295-processed-gene-3.72-mRNA-1	PTHR43791;PTHR43791:SF33	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR020846	GO:0016021;GO:0055085	NA	PF07690	TMhelix	mobidb-lite	NA	NA	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_752009_cov_57.006766-augustus-gene-5.59-mRNA-1	PTHR11353:SF22;PTHR11353	NA	IPR027413	GO:0005524;GO:0006457;GO:0051082	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	PF00118	NA	mobidb-lite	NA	PS00751;PS00995	cd03340	G3DSA:3.30.260.10;G3DSA:1.10.560.10;G3DSA:3.50.7.10	SSF48592;SSF52029;SSF54849	NA	NA	PR00304	NA	TIGR02345	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_370437_cov_58.723945-processed-gene-2.286-mRNA-1	PTHR12143:SF36;PTHR12143	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	IPR008928	GO:0003824;GO:0030246	NA	PF07971;PF17678	NA	mobidb-lite	NA	NA	NA	G3DSA:1.20.1050.60;G3DSA:3.30.2080.10;G3DSA:2.70.98.10;G3DSA:1.20.1610.10	SSF48208	NA	NA	NA	NA	TIGR01180	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-NODE_57_length_138242_cov_55.970148-augustus-gene-0.9-mRNA-1	PTHR23429;PTHR23429:SF0	NA	IPR001282	GO:0006006;GO:0055114;GO:0004345;GO:0050661	KEGG: 00030+1.1.1.49|KEGG: 00480+1.1.1.49|MetaCyc: PWY-7268|MetaCyc: PWY-8004	PF00479;PF02781	NA	NA	NA	PS00069	NA	G3DSA:3.30.360.10;G3DSA:3.40.50.720	SSF55347;SSF51735	NA	NA	PR00079	NA	TIGR00871	NA	NA	NA	MF_00966	PIRSF000110	NA
augustus_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-7.138-mRNA-1	PTHR22959	NA	IPR015362	GO:1903259	NA	PF09282	NA	mobidb-lite	Coil	NA	NA	NA	SSF101931	NA	SM01273	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_39_length_237138_cov_60.081954-processed-gene-0.17-mRNA-1	PTHR24305:SF148;PTHR24305	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	PF00067	NA	NA	NA	NA	NA	G3DSA:1.10.630.10	SSF48264	NA	NA	PR00385;PR00463	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_5_length_639344_cov_58.481605-processed-gene-2.270-mRNA-1	PTHR24115:SF9;PTHR24115	NA	IPR027417	GO:0003777;GO:0005524;GO:0007018;GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PF00225	NA	mobidb-lite	Coil	PS00411	cd01369	G3DSA:3.40.850.10	SSF52540	PS50067	SM00129	PR00380	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_370437_cov_58.723945-snap-gene-2.381-mRNA-1	PTHR12169;PTHR12169:SF6	NA	IPR005654	GO:0005524	NA	PF03969	NA	mobidb-lite	NA	NA	cd00009	G3DSA:3.40.50.300	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_37_length_252058_cov_61.114793-snap-gene-0.18-mRNA-1	PTHR43090	NA	IPR011858	GO:0000105;GO:0003949;GO:0003824	KEGG: 00340+5.3.1.16	PF00977	NA	NA	NA	NA	cd04723	G3DSA:3.20.20.70	SSF51366	NA	NA	NA	NA	TIGR02129	NA	NA	NA	NA	NA	NA
maker-NODE_64_length_119707_cov_56.298913-snap-gene-0.381-mRNA-1	NA	NA	IPR007900	GO:0005669;GO:0006352	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	PF05236	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_414607_cov_57.056676-processed-gene-2.130-mRNA-1	PTHR10497:SF0;PTHR10497	NA	IPR001141	GO:0003735;GO:0005622;GO:0005840;GO:0006412	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF01777	NA	NA	NA	NA	cd06090	G3DSA:2.30.30.770	SSF50104	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD009396
maker-NODE_1_length_1425273_cov_58.493042-snap-gene-4.171-mRNA-1	PTHR15439;PTHR15439:SF8	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_409824_cov_57.109259-processed-gene-3.184-mRNA-1	PTHR23501;PTHR23501:SF60	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR020846	GO:0016021;GO:0055085	KEGG: 00270+2.1.1.37	PF07690	TMhelix	NA	NA	PS00095	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_414607_cov_57.056676-processed-gene-0.212-mRNA-1	PTHR11489:SF9;PTHR11489	NA	IPR023591	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0015935	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00318	NA	mobidb-lite	NA	PS00963	cd01425	G3DSA:3.40.50.10490	SSF52313	NA	NA	PR00395	NA	TIGR01012	NA	NA	NA	MF_03015	NA	NA
maker-NODE_52_length_158164_cov_57.275227-snap-gene-0.21-mRNA-1	PTHR24064:SF235;PTHR24064	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR020846	GO:0016021;GO:0022857;GO:0055085	NA	PF00083	TMhelix	mobidb-lite	NA	NA	cd06174	G3DSA:1.20.1250.20	SSF103473	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_504385_cov_59.758304-processed-gene-4.13-mRNA-1	PTHR23149;PTHR23149:SF15	NA	IPR000467	GO:0003676	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	PS50174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_118_length_31615_cov_58.998761-snap-gene-0.2-mRNA-1	PTHR12858:SF2;PTHR12858	NA	IPR007034	GO:0005634;GO:0042254;GO:0005525	Reactome: R-HSA-6791226	PF04950;PF08142	NA	mobidb-lite	Coil	NA	cd01882	G3DSA:3.40.50.300	SSF52540	PS51714	SM01362;SM00785	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_409824_cov_57.109259-augustus-gene-0.163-mRNA-1	PTHR21493;PTHR21493:SF225	NA	IPR029058	GO:0006629	Reactome: R-HSA-426048	PF01764	NA	NA	NA	NA	cd00519	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_110_length_35072_cov_45.866819-processed-gene-0.51-mRNA-1	PTHR23112:SF0;PTHR23112	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR017981	GO:0004888;GO:0007166;GO:0016021;GO:0004930;GO:0007186	NA	PF00002	TMhelix	NA	NA	NA	NA	NA	SSF81321	PS50261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_53_length_149878_cov_57.089161-snap-gene-0.356-mRNA-1	PTHR36452	NA	IPR012808	NA	NA	PF09365	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	TIGR02453	NA	NA	NA	NA	NA	NA
maker-NODE_18_length_409824_cov_57.109259-snap-gene-3.173-mRNA-1	PTHR13847:SF150;PTHR13847	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR036188	GO:0016491;GO:0055114	NA	PF01266	TMhelix	NA	NA	NA	NA	G3DSA:3.50.50.60;G3DSA:3.30.9.10	SSF51905	PS51257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_434291_cov_56.144257-snap-gene-0.15-mRNA-1	PTHR12949	NA	IPR036388	GO:0003697;GO:0005666;GO:0003677;GO:0003899;GO:0006351	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	PF05645;PF08221	NA	mobidb-lite	NA	NA	NA	G3DSA:1.10.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_69_length_103445_cov_53.786697-snap-gene-0.30-mRNA-1	PTHR11552;PTHR11552:SF102	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	IPR000172	GO:0016614;GO:0050660;GO:0055114	Reactome: R-HSA-6798163	PF00732;PF05199	NA	NA	NA	PS00624;PS00623	NA	G3DSA:3.30.560.10;G3DSA:4.10.450.10;G3DSA:3.50.50.60	SSF54373;SSF51905	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF000137	NA
snap_masked-NODE_1_length_1425273_cov_58.493042-processed-gene-0.36-mRNA-1	PTHR43341;PTHR43341:SF18	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR004841	GO:0016020;GO:0055085;GO:0022857	NA	PF00324	TMhelix	mobidb-lite	NA	NA	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF006060	NA
snap_masked-NODE_97_length_46266_cov_46.597109-processed-gene-0.4-mRNA-1	PTHR13711:SF293;PTHR13711	NA	IPR013719		Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	PF08512	NA	mobidb-lite	Coil	NA	NA	G3DSA:2.30.29.30	SSF50729	NA	SM01287	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_361226_cov_55.322806-augustus-gene-1.7-mRNA-1	PTHR11183:SF39;PTHR11183	NA	IPR029044	GO:0016757	NA	PF01501	NA	mobidb-lite	NA	NA	cd02537	G3DSA:3.90.550.10	SSF53448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_66_length_112180_cov_60.511151-snap-gene-0.234-mRNA-1	PTHR10556;PTHR10556:SF28	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	IPR039357	GO:0006629;GO:0016627	NA	PF02544	TMhelix	NA	NA	NA	NA	NA	NA	PS50244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_41_length_228985_cov_52.842203-processed-gene-1.92-mRNA-1	PTHR11040:SF69;PTHR11040	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	IPR003689	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	PF02535	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_22_length_372926_cov_58.633942-snap-gene-2.281-mRNA-1	PTHR13948;PTHR13948:SF3	NA	IPR000467	GO:0003676	NA	PF01585	NA	mobidb-lite	NA	NA	NA	NA	SSF54928	PS50174	SM00443	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_18_length_409824_cov_57.109259-processed-gene-0.4-mRNA-1	PTHR11109;PTHR11109:SF0	NA	IPR020602	GO:0003934;GO:0005737;GO:0046654	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	PF01227	NA	mobidb-lite	NA	PS00860;PS00859	cd00642	G3DSA:1.10.286.10;G3DSA:3.30.1130.10	SSF55620	NA	NA	NA	NA	TIGR00063	NA	NA	NA	MF_00223	NA	NA
maker-NODE_32_length_276436_cov_60.070273-snap-gene-1.117-mRNA-1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_25_length_345928_cov_56.170083-processed-gene-1.17-mRNA-1	PTHR43735;PTHR43735:SF7	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	IPR036188	GO:0016491;GO:0055114	NA	PF07992	NA	NA	NA	NA	NA	G3DSA:3.50.50.100	SSF51905	NA	NA	PR00368;PR00469	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_4_length_718053_cov_59.395713-processed-gene-6.252-mRNA-1	PTHR11668;PTHR11668:SF276	NA	IPR004843	GO:0016787;GO:0004724;GO:0048037	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	PF00149;PF16891	NA	mobidb-lite	NA	PS00125	cd07414	G3DSA:3.60.21.10	SSF56300	NA	SM00156	PR00114	NA	NA	NA	NA	NA	NA	PIRSF000909	NA
augustus_masked-NODE_65_length_116360_cov_53.310523-processed-gene-0.34-mRNA-1	PTHR11010;PTHR11010:SF11	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	IPR029058	GO:0006508;GO:0008236	NA	PF05577	NA	NA	NA	NA	NA	G3DSA:3.40.50.1820	SSF53474	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
augustus_masked-NODE_95_length_47011_cov_55.060532-processed-gene-0.15-mRNA-1	PTHR11533;PTHR11533:SF174	NA	IPR027268	GO:0008237;GO:0008270;GO:0006508	NA	PF17900;PF01433;PF09127	NA	NA	NA	NA	cd09599	G3DSA:2.60.40.1730;G3DSA:1.10.390.10;G3DSA:1.25.40.320;G3DSA:1.10.1740.60	SSF48371;SSF63737;SSF55486	NA	SM01263	PR00756	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_11_length_511883_cov_58.263260-processed-gene-2.172-mRNA-1	PTHR23322:SF6;PTHR23322	NA	IPR029071	GO:0005515	NA	PF14555;PF13899;PF00789	NA	mobidb-lite	Coil	NA	cd02958;cd14348	G3DSA:1.10.8.10;G3DSA:3.40.30.10;G3DSA:3.10.20.90	SSF54236;SSF46934;SSF52833	PS50033	SM00594;SM00166	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_93_length_48952_cov_55.278013-processed-gene-0.77-mRNA-1	PTHR22950;PTHR22950:SF8	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	IPR013057	NA	NA	PF01490	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_558485_cov_55.498657-processed-gene-1.26-mRNA-1	PTHR44845	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR020845	GO:0003824	Reactome: R-HSA-8848584	PF07993;PF00501;PF00550	NA	NA	NA	PS00455	NA	G3DSA:1.10.1200.10;G3DSA:3.30.300.30;G3DSA:3.40.50.12780;G3DSA:3.40.50.720	SSF51735;SSF56801;SSF47336	PS50075	NA	NA	NA	TIGR01746	NA	NA	NA	NA	NA	NA
