Gene	interpro	GO	PATHWAY	TIGRFAM	PRINTS	SUPERFAMILY	PANTHER	Gene3D	PIRSF	Hamap	Pfam	ProSitePatterns	CDD	MobiDBLite	SFLD	SMART	ProSiteProfiles	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Coils	SignalP_EUK	ProDom
OPB44306.1	IPR003961	GO:0005515	NA	NA	NA	SSF49265	PTHR10013	G3DSA:2.60.40.10	NA	NA	PF00041	NA	cd00063	mobidb-lite	NA	SM00060	PS50853	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	Coil	SignalP-noTM	NA
OPB45167.1	IPR003593	GO:0000723;GO:0003678;GO:0006281	NA	NA	NA	SSF52540	PTHR23274;PTHR23274:SF11	G3DSA:3.40.50.300	NA	MF_03176	PF05970	NA	cd00009	mobidb-lite	NA	SM00382	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
OPB45986.1	IPR020904	GO:0016491	NA	NA	PR00081;PR00080	SSF51735	PTHR43639	G3DSA:3.40.50.720	NA	NA	PF13561	PS00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42311.1	IPR001650	GO:0005524	NA	NA	NA	SSF52540;SSF48371	PTHR10799:SF814;PTHR10799	G3DSA:1.25.10.10;G3DSA:3.40.50.300;G3DSA:3.40.50.10810	NA	NA	PF12054;PF00271;PF00176	NA	cd00046;cd00079	mobidb-lite	NA	SM00490;SM00487	PS51194;PS51192	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA
OPB37265.1	IPR012340	GO:0003723;GO:0004540	NA	NA	NA	SSF50249	PTHR23355:SF9;PTHR23355	G3DSA:2.40.50.140;G3DSA:2.40.50.690;G3DSA:2.40.50.700	NA	NA	PF17877;PF17849;PF00773	NA	NA	mobidb-lite	NA	SM00955	NA	NA	NA	NA	NA	Coil	NA	NA
OPB40249.1	IPR007364	GO:0008168	NA	NA	NA	NA	PTHR35517	NA	NA	NA	PF04252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43049.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23524;PTHR23524:SF1	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB41951.1	IPR013937	GO:0035091	NA	NA	NA	SSF48097;SSF64268	PTHR22775;PTHR22775:SF30	G3DSA:3.30.1520.10;G3DSA:1.20.58.1850	NA	NA	PF08628;PF02194;PF00615;PF00787	NA	cd06876	mobidb-lite	NA	SM00313;SM00315;SM00312	PS50132;PS50195;PS51207	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	Coil	NA	NA
OPB46921.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44544.1	IPR036259	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23514:SF3;PTHR23514	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB45170.1	IPR019559	GO:0006511;GO:0031625	Reactome: R-HSA-8951664	NA	NA	SSF75632;SSF74788;SSF46785	PTHR11932;PTHR11932:SF27	G3DSA:1.20.1310.10;G3DSA:1.10.10.2620;G3DSA:1.10.10.10	NA	NA	PF10557;PF00888	NA	NA	NA	NA	SM00182;SM00884	PS50069	NA	NA	NA	NA	NA	NA	NA
OPB36907.1	IPR035368		Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA	PTHR17972	G3DSA:1.10.1410.10;G3DSA:3.30.70.3030;G3DSA:3.30.460.10	NA	NA	PF17404;PF17405;PF17406;PF17403;PF17407;PF03813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB45665.1	IPR000639	GO:0003824	NA	NA	PR00412	SSF53474	PTHR43329;PTHR43329:SF4	G3DSA:3.40.50.1820	NA	NA	PF00561	NA	NA	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA
OPB41195.1	IPR003421	GO:0016491;GO:0050662;GO:0055114	NA	NA	NA	SSF48179;SSF51735	PTHR38015	G3DSA:3.40.50.720;G3DSA:1.10.1040.10	NA	NA	PF02317;PF03807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB43195.1	IPR000719	GO:0004672;GO:0005524;GO:0006468;GO:0000155;GO:0007165;GO:0000160;GO:0005515;GO:0016310;GO:0016772	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	PR00344	SSF47384;SSF55781;SSF52172;SSF56112;SSF55874	PTHR43047:SF5;PTHR43047	G3DSA:1.10.287.130;G3DSA:3.40.50.2300;G3DSA:3.30.450.40;G3DSA:1.10.510.10;G3DSA:3.30.565.10	NA	NA	PF13191;PF02518;PF13185;PF00072;PF00512	NA	cd00075;cd00082;cd00156	mobidb-lite	NA	SM00448;SM00065;SM00387;SM00388;SM00220	PS50011;PS50109;PS50110	NA	NA	NA	NA	NA	NA	NA
OPB37281.1	IPR007568	GO:0016021	NA	NA	NA	NA	PTHR31465	NA	NA	NA	PF04479	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB42353.1	IPR013087	GO:0003676	NA	NA	NA	NA	PTHR11850;PTHR11850:SF195	NA	NA	NA	NA	PS00028	NA	mobidb-lite	NA	SM00355	PS50157	NA	NA	NA	NA	NA	NA	NA
OPB42775.1	IPR016163	GO:0016491;GO:0016620;GO:0055114	NA	NA	NA	SSF53720	PTHR11699;PTHR11699:SF204	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	NA	PF00171	PS00687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38023.1	IPR001130	GO:0016788	NA	NA	NA	SSF51556	PTHR10060:SF24;PTHR10060	G3DSA:3.20.20.140	NA	NA	PF01026	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40555.1	NA	NA	NA	NA	NA	NA	PTHR33048:SF97;PTHR33048	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB43624.1	IPR023214	NA	NA	NA	NA	SSF56784	PTHR12725;PTHR12725:SF107	G3DSA:3.40.50.1000;G3DSA:1.10.150.240	NA	NA	NA	NA	cd02603	NA	SFLDG01129;SFLDS00003	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB38314.1	IPR018314	GO:0003723;GO:0008168;GO:0016428	Reactome: R-HSA-6782315	NA	PR02011;PR02008	SSF53335	PTHR22808;PTHR22808:SF1	NA	NA	NA	PF01189	PS01153	NA	mobidb-lite	NA	NA	PS51686	NA	NA	NA	NA	Coil	NA	NA
OPB46325.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23501;PTHR23501:SF145	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB36794.1	IPR038770	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	NA	NA	NA	PTHR32468:SF0;PTHR32468	G3DSA:1.20.1530.20	NA	NA	PF00999	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB46082.1	IPR006134	GO:0000166;GO:0003677;GO:0003676;GO:0003887;GO:0001882;GO:0006260	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	TIGR00592	PR00106	SSF53098;SSF56672	PTHR10322;PTHR10322:SF21	G3DSA:2.40.50.730;G3DSA:3.90.1600.10;G3DSA:1.10.287.690;G3DSA:3.30.420.10;G3DSA:1.10.132.60;G3DSA:3.30.70.2820;G3DSA:1.10.3200.20	NA	NA	PF00136;PF12254;PF03104;PF08996	PS00116	cd05532;cd05776	mobidb-lite	NA	SM00486	NA	NA	NA	NA	NA	Coil	NA	NA
OPB36094.1	IPR036208	GO:0006508;GO:0008236	NA	NA	NA	SSF82171;SSF49468;SSF53474	PTHR11731:SF118;PTHR11731	G3DSA:2.60.40.780;G3DSA:2.140.10.30;G3DSA:3.40.50.1820	NA	NA	PF00930;PF01847;PF00326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36858.1	IPR027409	GO:0005524;GO:0006457;GO:0051082	Reactome: R-HSA-389957|Reactome: R-HSA-389960|Reactome: R-HSA-390450|Reactome: R-HSA-390471|Reactome: R-HSA-6814122	TIGR02347	PR00304	SSF54849;SSF52029;SSF48592	PTHR11353:SF21;PTHR11353	G3DSA:3.50.7.10;G3DSA:1.10.560.10	NA	NA	PF00118	PS00750;PS00751	cd03342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB45251.1	IPR001114	GO:0004019;GO:0005525;GO:0006164	KEGG: 00230+6.3.4.4|KEGG: 00250+6.3.4.4|MetaCyc: PWY-7219|Reactome: R-HSA-73817	TIGR00184	NA	SSF52540	PTHR11846	G3DSA:1.10.300.10;G3DSA:3.40.440.10;G3DSA:3.90.170.10	NA	MF_00011	PF00709	PS01266	cd03108	NA	NA	SM00788	NA	NA	NA	NA	NA	NA	NA	NA
OPB43877.1	IPR020846	GO:0016021;GO:0055085	NA	NA	NA	SSF103473	PTHR23512:SF8;PTHR23512	G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39697.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	SSF57701	PTHR31986:SF7;PTHR31986	G3DSA:4.10.240.10	NA	NA	PF00172	PS00463	cd00067	mobidb-lite	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA
OPB43995.1	IPR001878	GO:0003676;GO:0008270	NA	NA	NA	SSF57756	PTHR23002:SF84;PTHR23002	G3DSA:4.10.60.10	NA	NA	PF00098	NA	NA	NA	NA	SM00343	PS50158	NA	NA	NA	NA	NA	NA	NA
OPB41879.1	IPR038271	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021;GO:0005886;GO:0031919;GO:0031924	NA	NA	NA	NA	PTHR31806;PTHR31806:SF8	G3DSA:1.10.4160.10	PIRSF002744	NA	PF02133	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB37706.1	NA	NA	NA	NA	NA	NA	PTHR33048;PTHR33048:SF21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB43574.1	IPR001680	GO:0005515;GO:0005198;GO:0006886;GO:0016192;GO:0030117	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	NA	SSF50978	PTHR19932	G3DSA:2.130.10.10	NA	NA	PF12341;PF04053	NA	NA	mobidb-lite	NA	SM00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
OPB46247.1	IPR036291	GO:0016491	NA	NA	NA	SSF51735;SSF55347	PTHR43708:SF1;PTHR43708	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	PF01408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36582.1	IPR020846	GO:0005215;GO:0016021;GO:0055085;GO:0022857	NA	NA	NA	SSF103473	PTHR24064;PTHR24064:SF200	G3DSA:1.20.1250.20	NA	NA	PF00083	PS00216	cd06174	mobidb-lite	NA	NA	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB37023.1	IPR001680	GO:0005515	NA	NA	PR00320	SSF50978;SSF52540	PTHR22847;PTHR22847:SF600	G3DSA:3.40.50.300;G3DSA:2.130.10.10	NA	NA	PF00400;PF17100;PF05729	PS00678	cd00200	mobidb-lite	NA	SM00320	PS50082;PS50294;PS50837	NA	NA	NA	NA	NA	NA	NA
OPB40755.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	NA	PTHR31313:SF67;PTHR31313	NA	NA	NA	PF04082	NA	cd12148	NA	NA	SM00906	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	Coil	NA	NA
OPB38018.1	IPR001680	GO:0005515;GO:0004672;GO:0005524;GO:0006468	NA	NA	NA	SSF56112;SSF50978;SSF48371	PTHR17583	G3DSA:2.130.10.10;G3DSA:1.10.510.10;G3DSA:1.25.10.10	NA	NA	PF00069;PF00400	PS00108;PS00678	cd13980	mobidb-lite	NA	SM00320;SM00220	PS50294;PS50082;PS50011	NA	NA	NA	NA	NA	NA	NA
OPB37211.1	IPR011032	GO:0016491	NA	NA	NA	SSF50129;SSF51735	PTHR44013:SF1;PTHR44013	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	PF13602	NA	cd08267	mobidb-lite	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA
OPB46604.1	IPR039731	GO:0004222;GO:0030176;GO:0071586;GO:0016020	Reactome: R-HSA-5689880	NA	NA	NA	PTHR13046	NA	NA	NA	PF02517	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA
OPB39220.1	IPR001995	GO:0004190;GO:0006508;GO:0005515;GO:0003824;GO:0009116	NA	NA	PR01415	SSF48403;SSF53167	PTHR24151	G3DSA:1.25.40.20	NA	NA	PF12796;PF01048	NA	cd00204	mobidb-lite	NA	SM00248	PS50175;PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA
OPB43547.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB40603.1	IPR009244	GO:0003712;GO:0006357;GO:0016592	Reactome: R-HSA-1989781|Reactome: R-HSA-212436|Reactome: R-HSA-381340	NA	NA	SSF140718	PTHR21428	NA	NA	NA	PF05983	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB37671.1	IPR013057	NA	NA	NA	NA	NA	PTHR22950:SF8;PTHR22950	NA	NA	NA	PF01490	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39643.1	IPR008901	GO:0006672;GO:0016021;GO:0016811;GO:0055085	Reactome: R-HSA-1660661	TIGR00728	NA	NA	PTHR31645;PTHR31645:SF0	NA	NA	NA	PF05875;PF03169	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39480.1	IPR018908	NA	NA	NA	NA	SSF103481	PTHR28668	NA	NA	NA	PF10639	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB36283.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	Coil	NA	NA
OPB46756.1	IPR036345		Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	NA	NA	SSF55666;SSF54211	PTHR11953:SF1;PTHR11953	G3DSA:3.30.230.70	NA	NA	PF01138	NA	cd11372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42434.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46894.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB41491.1	IPR027417	GO:0005524;GO:0003677;GO:0006281;GO:0006260	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	SSF52540;SSF48019	PTHR13779;PTHR13779:SF7	G3DSA:1.10.8.60;G3DSA:1.20.272.10;G3DSA:3.30.160.60;G3DSA:1.10.3710.10;G3DSA:3.40.50.300	NA	NA	PF00004;PF12002;PF16193	NA	cd00009	mobidb-lite	NA	SM00382;SM00734	NA	NA	NA	NA	NA	NA	NA	NA
OPB41230.1	IPR021858	NA	NA	NA	NA	NA	PTHR37540	NA	NA	NA	PF11951	NA	NA	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB44368.1	IPR011701	GO:0016021;GO:0055085;GO:0005215	NA	NA	PR01035	SSF103473	PTHR23504:SF8;PTHR23504	NA	NA	NA	PF07690	NA	cd06174	mobidb-lite	NA	NA	PS50850	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	TMhelix	NA	NA	NA	NA	NA
OPB41590.1	IPR000073	NA	NA	NA	NA	SSF53474	PTHR11005;PTHR11005:SF77	G3DSA:3.40.50.1820	NA	NA	PF00561	NA	NA	mobidb-lite	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39906.1	IPR020846	NA	NA	NA	NA	SSF103473	PTHR23501	G3DSA:1.20.1250.20	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB36213.1	IPR036736	GO:0003824;GO:0016740;GO:0031177	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	TIGR01733	NA	SSF52151;SSF52777;SSF53901;SSF53335;SSF55048;SSF47336;SSF51735;SSF56801	PTHR43775;PTHR43775:SF19	G3DSA:1.10.1200.10;G3DSA:3.10.129.110;G3DSA:3.30.559.30;G3DSA:3.40.47.10;G3DSA:3.40.50.720;G3DSA:3.40.366.10;G3DSA:3.40.50.12780;G3DSA:3.30.300.30;G3DSA:3.40.50.150;G3DSA:3.30.559.10	NA	NA	PF00501;PF00109;PF16197;PF08242;PF00668;PF02801;PF08659;PF14765;PF00550;PF00698;PF07993	PS00606;PS00012;PS00455	cd05930;cd00833	mobidb-lite	NA	SM00822;SM00823;SM00827;SM00825;SM00826	PS50075	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	Coil	NA	NA
OPB40995.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB46179.1	IPR029058	NA	NA	NA	NA	SSF53474	PTHR37471	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB42568.1	IPR005378	GO:0015031;GO:0030906;GO:0042147	Reactome: R-HSA-3238698	NA	NA	NA	PTHR11099:SF0;PTHR11099	G3DSA:1.25.40.660	PIRSF009375	NA	PF03635	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB43074.1	IPR039096	NA	NA	NA	PR01790	SSF63829	PTHR10907;PTHR10907:SF75	G3DSA:2.120.10.30	NA	NA	PF08450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44210.1	IPR014472	GO:0008654;GO:0016020;GO:0016780	NA	NA	NA	NA	PTHR10414;PTHR10414:SF37	G3DSA:1.20.120.1760	PIRSF015665	NA	PF01066	PS00379	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB42319.1	IPR039853	NA	NA	NA	NA	NA	PTHR12707	NA	NA	NA	PF04696	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB39366.1	IPR006876	NA	NA	NA	NA	NA	PTHR21355:SF0;PTHR21355	NA	NA	NA	PF04791	NA	NA	mobidb-lite	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB37659.1	IPR036264	GO:0016787;GO:0006508;GO:0008237	NA	TIGR01910	NA	SSF55031;SSF53686;SSF53187	PTHR43808	G3DSA:3.40.50.1100;G3DSA:3.30.70.360;G3DSA:3.40.630.10	NA	NA	PF07687;PF00291;PF01546	PS00758	cd08013;cd00640	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42414.1	IPR003213	GO:0005739	NA	NA	NA	SSF47694	PTHR11387;PTHR11387:SF2	G3DSA:1.10.10.140	PIRSF000278	NA	PF02297	NA	cd00926	NA	NA	NA	PS51808	NA	NA	NA	NA	NA	NA	PD015172
OPB46463.1	IPR008162	GO:0000287;GO:0004427;GO:0005737;GO:0006796	KEGG: 00190+3.6.1.1|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-71737	NA	NA	SSF50324	PTHR10286;PTHR10286:SF3	G3DSA:3.90.80.10	NA	NA	PF00719	PS00387	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB45061.1	IPR000904	GO:0005086;GO:0032012	NA	NA	NA	SSF48425;SSF50729	PTHR10663:SF311;PTHR10663	G3DSA:2.30.29.30;G3DSA:1.10.1000.11	NA	NA	PF01369	NA	NA	mobidb-lite	NA	SM00222;SM00233	PS50003;PS50190	NA	NA	NA	NA	Coil	NA	NA
OPB39870.1	IPR001279		Reactome: R-HSA-109688|Reactome: R-HSA-159231|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-77595	NA	NA	SSF56281	PTHR11203;PTHR11203:SF11	G3DSA:3.40.50.10890;G3DSA:3.60.15.10	NA	NA	PF10996;PF11718;PF07521;PF16661	NA	cd16292	mobidb-lite	NA	SM00849;SM01027;SM01098	NA	NA	NA	NA	NA	Coil	NA	NA
OPB36489.1	IPR035937	GO:0003676;GO:0003684;GO:0003906;GO:0006284;GO:0008270;GO:0016799;GO:0006289	NA	NA	NA	SSF81624;SSF46946	PTHR22993;PTHR22993:SF9	G3DSA:1.10.8.50;G3DSA:3.20.190.10	NA	NA	PF01149;PF06831	NA	cd08972	mobidb-lite	NA	SM01232;SM00898	PS51068	NA	NA	NA	NA	NA	NA	NA
OPB39349.1	IPR001499	GO:0004932;GO:0007186;GO:0016021	NA	NA	PR00899	NA	PTHR28097	NA	NA	NA	PF02076	NA	cd14966	mobidb-lite	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB39589.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB42465.1	IPR001762	GO:0008237;GO:0004222;GO:0006508	NA	NA	NA	SSF57552;SSF55486	PTHR11905	G3DSA:3.40.390.10;G3DSA:4.10.70.10	NA	NA	PF00200;PF13688	NA	cd04271	mobidb-lite	NA	SM00608;SM00050	PS50214;PS50215	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB37936.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	NA	PTHR45582	NA	NA	NA	PF04082	NA	cd12148	mobidb-lite	NA	SM00906	NA	NA	NA	NA	NA	NA	NA	NA
OPB46524.1	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	NA	NA	SSF90123;SSF52540	PTHR24223;PTHR24223:SF328	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	NA	PF00664;PF00005	PS00211	cd03244	mobidb-lite	NA	SM00382	PS50929;PS50893	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	NA	NA	NA
OPB45596.1	IPR020846	GO:0016021;GO:0055085	NA	NA	PR01036	SSF103473	PTHR23501:SF59;PTHR23501	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	NA	PF07690	NA	cd06174	NA	NA	NA	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
