Gene	interpro	Pfam	Phobius	SUPERFAMILY	TMHMM	PANTHER	MobiDBLite	Gene3D	Coils	GO	SMART	PATHWAY	PRINTS	ProSitePatterns	CDD	ProSiteProfiles	SignalP_GRAM_POSITIVE	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SFLD	ProDom
PTB49816.1	IPR000850	PF00406	NA	SSF52540	NA	PTHR23359:SF107;PTHR23359	NA	G3DSA:3.40.50.300	NA	GO:0005524;GO:0006139;GO:0019205	NA	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219|Reactome: R-HSA-499943	PR00094	NA	cd01428	NA	NA	NA	MF_00235	NA	NA	NA	NA	NA
PTB60082.1	IPR036864	PF11951;PF00172	NA	SSF57701	NA	PTHR31263:SF4;PTHR31263	mobidb-lite	G3DSA:4.10.240.10	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	NA	NA	PS00463	cd00067	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB58850.1	IPR036291	PF00106	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF51735	NA	PTHR43550:SF3;PTHR43550	NA	G3DSA:3.40.50.720	Coil	NA	NA	NA	PR00081	NA	cd08939	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55187.1	IPR016162	PF00171	NA	SSF53720	NA	PTHR43353;PTHR43353:SF6	NA	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	GO:0016491;GO:0055114;GO:0016620	NA	NA	NA	PS00687	cd07105	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51450.1	IPR001932	PF00481	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF81606	NA	PTHR13832:SF503;PTHR13832	mobidb-lite	NA	NA	GO:0003824;GO:0043169;GO:0004722;GO:0006470	SM00332	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	PS01032	cd00143	PS51746	NA	NA	NA	NA	NA	NA	NA	NA
PTB48876.1	IPR019819	PF00135	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SSF53474	NA	PTHR11559	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	PS00941;PS00122	NA	NA	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA
PTB48381.1	IPR020846	PF00083	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23500;PTHR23500:SF67	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0022857;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB60271.1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59515.1	IPR000719	PF00069	NA	SSF56112	NA	PTHR24353:SF73;PTHR24353	mobidb-lite	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	GO:0004672;GO:0005524;GO:0006468;GO:0004674	SM00220;SM00133	NA	NA	PS00107;PS00108	cd05580	PS51285;PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PTB60405.1	IPR018823	PF13515;PF10337;PF10334	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR37994	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60371.1	IPR004752	PF13000	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF103473	TMhelix	PTHR12778:SF9;PTHR12778	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016020;GO:0008521;GO:0016021	NA	Reactome: R-HSA-425397|Reactome: R-HSA-5619061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52747.1	IPR028889	PF13423	NA	SSF54001	NA	PTHR44033:SF1;PTHR44033	mobidb-lite	G3DSA:3.90.70.10	Coil		NA	Reactome: R-HSA-429947	NA	NA	NA	PS50235	NA	NA	NA	NA	NA	NA	NA	NA
PTB47480.1	IPR003439	PF00005;PF00664	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF90123;SSF52540	TMhelix	PTHR24223;PTHR24223:SF332	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	Coil	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0008559;GO:0042908	SM00382	NA	NA	PS00211	cd03244;cd03250	PS50893;PS50929	NA	NA	NA	NA	NA	NA	NA	NA
PTB58338.1	IPR011701	PF07690	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR43791:SF59;PTHR43791	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB56861.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PTHR38848	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59594.1	IPR000504	PF00076	NA	SSF54928	NA	PTHR43987	mobidb-lite	G3DSA:3.30.70.330	Coil	GO:0003676	SM00360	NA	NA	NA	cd12306	PS50102	NA	NA	NA	NA	NA	NA	NA	NA
PTB60530.1	IPR002994	PF02104	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR23427:SF2;PTHR23427	NA	NA	NA	GO:0016020	NA	Reactome: R-HSA-5628897|Reactome: R-HSA-611105	NA	NA	cd06662	PS50895	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB57184.1	IPR036259	PF07690	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23502;PTHR23502:SF132	mobidb-lite	NA	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB56476.1	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59671.1	IPR001433	PF00175;PF00111;PF03473;PF03475	NA	SSF63380;SSF50800;SSF52343;SSF54292	NA	PTHR30212	NA	G3DSA:2.40.30.10;G3DSA:3.10.20.30;G3DSA:2.40.33.20;G3DSA:3.40.50.80	Coil	GO:0016491;GO:0055114;GO:0051537;GO:0009055;GO:0051536;GO:0003824;GO:0030151;GO:0030170	NA	NA	PR00409	PS00197	cd06185;cd00207	PS51340;PS51384;PS51085	NA	NA	NA	NA	NA	NA	NA	NA
PTB50607.1	IPR036236	PF00096	NA	SSF57667	NA	PTHR14596:SF67;PTHR14596	mobidb-lite	G3DSA:3.30.160.60	NA	GO:0003676	SM00355	NA	NA	PS00028	NA	PS50157	NA	NA	NA	NA	NA	NA	NA	NA
PTB56210.1	IPR001085	PF00464	NA	SSF53383	NA	PTHR11680:SF25;PTHR11680	NA	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	NA	GO:0004372;GO:0019264;GO:0030170;GO:0035999;GO:0003824	NA	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	NA	PS00096	cd00378	NA	SignalP-TM	PIRSF000412	MF_00051	NA	NA	NA	NA	NA
PTB49748.1	IPR036259	PF00083	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF103473	TMhelix	PTHR23500;PTHR23500:SF353	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	NA	Reactome: R-HSA-189200	PR00171	PS00217;PS00216	cd06174	PS50850	NA	NA	NA	TIGR00879	NA	NA	NA	NA
PTB54454.1	IPR009571	PF06687	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR28019;PTHR28019:SF3	mobidb-lite	NA	NA	GO:0005886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60522.1	IPR000504	PF00076	NA	SSF54928	NA	PTHR23236;PTHR23236:SF9	mobidb-lite	G3DSA:3.30.70.330	Coil	GO:0003676	SM00360	NA	NA	NA	NA	PS50102	NA	NA	NA	NA	NA	NA	NA	NA
PTB58764.1	IPR036678	PF05188;PF00488;PF01624;PF05192	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SSF55271;SSF48334;SSF52540;SSF53150	NA	PTHR11361:SF34;PTHR11361	mobidb-lite	G3DSA:3.30.420.110;G3DSA:3.40.1170.10;G3DSA:3.40.50.300;G3DSA:1.10.1420.10	NA	GO:0005524;GO:0006298;GO:0030983	SM00534;SM00533	Reactome: R-HSA-5632928	NA	PS00486	NA	NA	NA	PIRSF037677	NA	NA	NA	NA	NA	NA
PTB59614.1	IPR000719	PF00069	NA	SSF56112;SSF82615	NA	PTHR24345	mobidb-lite	G3DSA:3.30.1120.30;G3DSA:1.10.510.10	NA	GO:0004672;GO:0005524;GO:0006468;GO:0005515	SM00220	NA	NA	PS00107;PS00108	cd13118;cd14099	PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PTB47622.1	IPR001163	PF01423	NA	SSF50182	NA	PTHR11193	NA	G3DSA:2.30.30.100	NA	GO:0000398;GO:0005681	SM00651	Reactome: R-HSA-109688|Reactome: R-HSA-111367|Reactome: R-HSA-191859|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-77588	NA	NA	cd01718	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51886.1	IPR006598	PF05686	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR12203:SF57;PTHR12203	NA	NA	NA	NA	SM00672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52916.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48344.1	IPR003439	PF00005;PF00664	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF90123;SSF52540	TMhelix	PTHR24223	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	SM00382	NA	NA	PS00211	cd03250	PS50893;PS50929	NA	NA	NA	NA	NA	NA	NA	NA
PTB56677.1	IPR011701	PF07690	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23502;PTHR23502:SF132	mobidb-lite	NA	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB53285.1	IPR006593	PF03188	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	PTHR23130;PTHR23130:SF115	NA	NA	NA	NA	SM00665	NA	NA	NA	cd08760	NA	SignalP-TM	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA
PTB48199.1	IPR036259	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23501:SF103;PTHR23501	mobidb-lite	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB61017.1	IPR027417	PF00071	NA	SSF52540	NA	PTHR24073:SF353;PTHR24073	mobidb-lite	NA	NA	GO:0005525;GO:0003924	SM00174;SM00173;SM00175	NA	PR00449	NA	cd00154	PS51419	NA	NA	NA	TIGR00231	NA	NA	NA	NA
PTB58271.1	IPR029035	PF05222;PF12769;PF02233;PF01262	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF52467;SSF52283;SSF51735	TMhelix	PTHR10160	NA	G3DSA:3.40.50.720;G3DSA:3.40.50.1220	NA	GO:0016491;GO:0055114;GO:0008746;GO:1902600	SM01002;SM01003	KEGG: 00250+1.4.1.1|KEGG: 00430+1.4.1.1|Reactome: R-HSA-71403	NA	PS00837;PS00836	cd05304	NA	NA	NA	NA	TIGR00561	NA	NA	NA	NA
PTB52017.1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55394.1	IPR002634	PF01722	NA	SSF82657	NA	PTHR12735:SF20;PTHR12735	mobidb-lite	G3DSA:3.30.300.90	Coil	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF003113	NA	NA	NA	NA	NA	NA
PTB59258.1	IPR002509	PF01522	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SSF57016;SSF88713	NA	PTHR10587:SF121;PTHR10587	NA	G3DSA:3.20.20.370;G3DSA:3.30.60.10	NA	GO:0005975;GO:0016810;GO:0008061;GO:0003824	SM00270	NA	NA	NA	cd10951;cd11618;cd00035	PS51677;PS50941	SignalP-TM	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	PD000609
PTB57236.1	IPR036396	PF00067	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF48264	NA	PTHR24305	NA	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PR00463;PR00385	PS00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60696.1	IPR001568	PF00445	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	SSF55895	NA	PTHR11240;PTHR11240:SF17	NA	G3DSA:3.90.730.10	NA	GO:0003723;GO:0033897	NA	Reactome: R-HSA-6798695	NA	PS00530;PS00531	cd01061	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55330.1	IPR001878	PF00098	NA	SSF57756	NA	PTHR23002:SF96;PTHR23002	NA	G3DSA:4.10.60.10	NA	GO:0003676;GO:0008270	SM00343	NA	NA	NA	NA	PS50158	NA	NA	NA	NA	NA	NA	NA	NA
PTB58151.1	IPR002347	PF00106	NA	SSF51735	NA	PTHR43618:SF4;PTHR43618	mobidb-lite	G3DSA:3.40.50.720	NA	GO:0016491	NA	NA	PR00080;PR00081	PS00061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48956.1	IPR036291	PF13561	NA	SSF51735	NA	PTHR43008:SF5;PTHR43008	NA	G3DSA:3.40.50.720	NA	GO:0016491	NA	NA	PR00080;PR00081	PS00061	cd05352	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49978.1	IPR007568	PF04479	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR31465:SF11;PTHR31465	NA	NA	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB59763.1	IPR011691	PF04178	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR23137:SF3;PTHR23137	NA	NA	NA	GO:0016021;GO:0016192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47466.1	IPR007219	PF04082;PF00172	NA	SSF57701	NA	PTHR45582	mobidb-lite	G3DSA:4.10.240.10	Coil	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	SM00906;SM00066	NA	NA	NA	cd00067;cd12148	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB60168.1	IPR023271	PF00230	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF81338	TMhelix	PTHR19139;PTHR19139:SF193	mobidb-lite	G3DSA:1.20.1080.10	NA	GO:0015267;GO:0016020;GO:0055085	NA	Reactome: R-HSA-432047	PR00783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51699.1	IPR001128	PF00067	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF48264	TMhelix	PTHR24287;PTHR24287:SF5	NA	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PR00385;PR00463	PS00086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55615.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57652.1	IPR021822	PF11885	NA	NA	NA	PTHR36205	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51223.1	IPR036397	NA	NA	SSF53098	NA	PTHR12801:SF106;PTHR12801	NA	G3DSA:3.30.420.10	NA	GO:0003676	SM00479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52574.1	IPR024943	PF10513	NA	NA	NA	PTHR14898:SF0;PTHR14898	mobidb-lite	NA	Coil	GO:0006357;GO:0032777;GO:0035267	NA	Reactome: R-HSA-3214847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47719.1	IPR021860	PF11954;PF00144	NA	SSF56601	NA	PTHR43645:SF4;PTHR43645	NA	G3DSA:3.40.710.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55237.1	IPR036910	PF00505	NA	SSF47095	NA	PTHR13711;PTHR13711:SF294	mobidb-lite	G3DSA:1.10.30.10	NA	NA	SM00398	NA	NA	NA	cd01390	PS50118	NA	NA	NA	NA	NA	NA	NA	NA
PTB48459.1	IPR011701	PF07690	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR23501;PTHR23501:SF92	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB60458.1	IPR001138	PF00172	NA	SSF57701	NA	PTHR31313;PTHR31313:SF46	mobidb-lite	G3DSA:4.10.240.10	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	NA	NA	PS00463	cd00067	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB50864.1	IPR001005	NA	NA	SSF46689	NA	NA	mobidb-lite	NA	NA	GO:0003677	NA	NA	NA	NA	cd00167	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52778.1	IPR002052	PF05175	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	SSF53335	NA	PTHR18895:SF74;PTHR18895	NA	G3DSA:1.10.8.10;G3DSA:3.40.50.150	NA	GO:0003676;GO:0008168;GO:0032259;GO:0006479;GO:0008276	NA	NA	NA	PS00092	cd02440	NA	NA	NA	NA	TIGR00536	NA	NA	NA	NA
PTB47492.1	IPR011701	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	SSF103473	TMhelix	PTHR43791;PTHR43791:SF68	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB58713.1	IPR023198	PF13419	NA	SSF56784	NA	PTHR43481;PTHR43481:SF4	NA	G3DSA:1.10.150.240;G3DSA:3.40.50.1000	NA	GO:0016787	NA	NA	NA	NA	cd07527	NA	NA	NA	NA	TIGR01509	NA	NA	SFLDG01135;SFLDS00003	NA
PTB49363.1	IPR037344	PF05729	NA	SSF52540	NA	PTHR10039;PTHR10039:SF5	NA	G3DSA:3.40.50.300	Coil	GO:0032126;GO:0070941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49042.1	IPR006166	PF02732	NA	NA	NA	PTHR21077;PTHR21077:SF5	mobidb-lite	G3DSA:3.40.50.10130;G3DSA:1.10.150.670	Coil	GO:0003677;GO:0004518;GO:0005634;GO:0006281;GO:0048476	SM00891	Reactome: R-HSA-6783310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52595.1	IPR036864	PF00172;PF04082	NA	SSF57701	NA	PTHR31313;PTHR31313:SF51	mobidb-lite	G3DSA:4.10.240.10	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	SM00066	NA	NA	PS00463	cd00067;cd12148	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PTB48073.1	IPR036855	PF13087;PF13086	NA	SSF90229;SSF52540	NA	PTHR10887:SF323;PTHR10887	mobidb-lite	NA	Coil	GO:0046872;GO:0003700;GO:0005634;GO:0006355;GO:0008270	SM00356;SM00438	NA	NA	NA	cd06008	PS50103	NA	NA	NA	NA	NA	NA	NA	NA
PTB55391.1	IPR031468	NA	NA	NA	NA	PTHR28204	mobidb-lite	NA	NA	GO:0008289;GO:0007005;GO:0032865;GO:0045040	NA	NA	NA	NA	NA	PS51847	NA	NA	MF_03104	NA	NA	NA	NA	NA
PTB54240.1	IPR008271	PF00069	NA	SSF56112	NA	PTHR24356:SF299;PTHR24356	mobidb-lite	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	GO:0004672;GO:0006468;GO:0004674;GO:0005524	SM00133;SM00220	NA	NA	PS00108;PS00107	NA	PS51285;PS50011	NA	NA	NA	NA	NA	NA	NA	NA
PTB60777.1	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA
PTB51178.1	IPR020683	PF12796	NA	SSF48403	NA	PTHR42652:SF2;PTHR42652	NA	G3DSA:1.25.40.20	NA	GO:0005515	SM00248	NA	PR01415	NA	cd00204	PS50088;PS50297	NA	NA	NA	NA	NA	NA	NA	NA
PTB56381.1	IPR039717	PF04063;PF04064	NA	SSF48371	NA	PTHR13387	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB47360.1	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB51942.1	IPR012292	PF00970;PF00042;PF00175	NA	SSF46458;SSF63380;SSF52343	NA	PTHR43396	NA	G3DSA:1.10.490.10;G3DSA:2.40.30.10;G3DSA:3.40.50.80	NA	GO:0019825;GO:0020037;GO:0008941;GO:0051409;GO:0055114;GO:0071949;GO:0016491	NA	Reactome: R-HSA-1237044	PR00406	NA	cd08922;cd06184	PS01033;PS51384	NA	NA	NA	NA	NA	NA	NA	NA
PTB58949.1	IPR003370	PF02417	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR33567	NA	NA	NA	GO:0015109;GO:0015703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50172.1	IPR006634	PF08390;PF03798	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR12560;PTHR12560:SF11	mobidb-lite	NA	NA	GO:0016021	SM00724	Reactome: R-HSA-1660661	NA	NA	NA	PS50922	NA	PIRSF005225	NA	NA	NA	NA	NA	NA
PTB59362.1	IPR003674	PF02516	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR13872:SF38;PTHR13872	mobidb-lite	G3DSA:3.40.50.12610	NA	GO:0004576;GO:0006486;GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB50038.1	IPR036612	PF00013	NA	SSF54791	NA	PTHR10288:SF145;PTHR10288	mobidb-lite	G3DSA:3.30.1370.10	NA	GO:0003723;GO:0003676	SM00322	NA	NA	NA	cd00105	PS50084	NA	NA	NA	NA	NA	NA	NA	NA
