Gene	Phobius	PRINTS	interpro	GO	ProSiteProfiles	PANTHER	TMHMM	SFLD	Gene3D	PATHWAY	TIGRFAM	CDD	SUPERFAMILY	ProSitePatterns	Pfam	MobiDBLite	SMART	Coils	PIRSF	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Hamap	ProDom
EHK42145.1	NA	PR01575	IPR004810	GO:0006189;GO:0008864;GO:0009058;GO:0016742	PS51671	PTHR42706	NA	NA	G3DSA:3.30.70.260;G3DSA:3.40.50.170	KEGG: 00630+3.5.1.10|KEGG: 00670+3.5.1.10|MetaCyc: PWY-2201|MetaCyc: PWY-5497|MetaCyc: PWY-7909	TIGR00655	cd08648;cd04875	SSF53328;SSF55021	NA	PF01842;PF00551	NA	NA	NA	PIRSF036480	NA	NA	NA	MF_01927	NA
EHK46173.1	NA	NA	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	NA	PTHR43098:SF6;PTHR43098	NA	NA	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PF00743	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47922.1	NA	NA	IPR001650	GO:0006355;GO:0003676;GO:0005524	PS51192;PS51195;PS51194	PTHR24031:SF421;PTHR24031	NA	NA	G3DSA:2.60.40.10;G3DSA:3.40.50.300	NA	NA	cd00079;cd02859	SSF52540;SSF81296	PS00354	PF00271;PF00270	mobidb-lite	SM00487;SM00490	Coil	NA	NA	NA	NA	NA	NA
EHK50589.1	NA	PR00320	IPR001680	GO:0005515	PS50082;PS50294	PTHR22847	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	SSF50978	PS00678	PF00400	NA	SM00320	NA	NA	NA	NA	NA	NA	NA
EHK47354.1	NA	NA	IPR001680	GO:0005515	NA	PTHR11227;PTHR11227:SF17	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	SSF50978	NA	NA	mobidb-lite	SM00320	NA	NA	NA	NA	NA	NA	NA
EHK46484.1	NA	NA	IPR003349		PS51805;PS51184;PS51183	PTHR10694:SF7;PTHR10694	NA	NA	G3DSA:2.60.120.650;G3DSA:3.30.40.10	Reactome: R-HSA-3214842	NA	cd15571	SSF51197	NA	PF13832;PF02373;PF02375	mobidb-lite	SM00545;SM00249;SM00558	Coil	NA	NA	NA	NA	NA	NA
EHK41760.1	NA	NA	IPR026869	NA	PS51278	PTHR43187	NA	NA	G3DSA:3.60.20.10	NA	NA	cd01908	SSF56235	NA	PF13230	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK40577.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR001902	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	PS50801	PTHR11814;PTHR11814:SF80	TMhelix	NA	NA	Reactome: R-HSA-427601	TIGR00815	NA	SSF52091	PS01130	PF00916;PF01740	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK47846.1	NA	NA	IPR036291	GO:0003824;GO:0050662	NA	PTHR10366;PTHR10366:SF562	NA	NA	G3DSA:3.40.50.720	NA	NA	NA	SSF51735	NA	PF01370	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK50865.1	NA	PR00380	IPR019821	GO:0003777;GO:0005524;GO:0007018;GO:0008017	PS50067	PTHR24115:SF740;PTHR24115	NA	NA	G3DSA:3.40.850.10	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	NA	NA	SSF52540	PS00411	PF00225	mobidb-lite	SM00129	Coil	NA	NA	NA	NA	NA	NA
EHK44931.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PR00783	IPR000425	GO:0015267;GO:0016020;GO:0055085	NA	PTHR43829	TMhelix	NA	G3DSA:1.20.1080.10	Reactome: R-HSA-432047	TIGR00861	cd00333	SSF81338	PS00221	PF00230	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48275.1	NA	NA	IPR005946	GO:0000287;GO:0004749;GO:0009165;GO:0009156;GO:0044249;GO:0009116	NA	PTHR10210:SF48;PTHR10210	NA	NA	G3DSA:3.40.50.2020	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	TIGR01251	cd06223	SSF53271	PS00114	PF14572;PF13793	NA	SM01400	NA	NA	NA	NA	NA	NA	NA
EHK42513.1	NA	NA	IPR016035	GO:0003824;GO:0016491;GO:0016740;GO:0016746;GO:0031177	PS50075;PS51257	PTHR43775;PTHR43775:SF7	NA	NA	G3DSA:3.30.559.70;G3DSA:3.90.180.10;G3DSA:3.30.559.40;G3DSA:1.10.1200.10;G3DSA:3.40.50.150;G3DSA:3.40.50.720;G3DSA:3.40.47.10;G3DSA:3.40.366.10;G3DSA:3.10.129.110	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	cd00833;cd02440;cd05195	SSF52151;SSF51735;SSF50129;SSF52777;SSF55048;SSF53901;SSF47336;SSF53335	PS00440	PF08242;PF00109;PF02801;PF00755;PF00698;PF16197;PF08659;PF14765;PF13602;PF00550	mobidb-lite	SM00827;SM00825;SM00829;SM00826;SM00822;SM00823	NA	NA	NA	NA	NA	NA	NA
EHK48468.1	NA	NA	IPR023214	GO:0000287;GO:0019509;GO:0043874	NA	PTHR20371	NA	SFLDG01133;SFLDS00003	G3DSA:3.40.50.1000;G3DSA:1.10.720.60	KEGG: 00270+3.1.3.77|Reactome: R-HSA-1237112	TIGR01691	cd01629	SSF56784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK47337.1	NA	NA	IPR019734	GO:0005515	PS50005;PS50293	PTHR39596	NA	NA	G3DSA:1.25.40.10	NA	NA	NA	SSF48452	NA	PF13181;PF13424;PF06985	mobidb-lite	SM00028	Coil	NA	NA	NA	NA	NA	NA
EHK43504.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	IPR003903	GO:0005515	PS50330;PS50181	PTHR10223:SF2;PTHR10223	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	SSF81383;SSF50978	NA	PF12937	mobidb-lite	SM00726	NA	NA	SignalP-noTM	NA	NA	NA	NA
EHK43919.1	NA	NA	IPR001606	GO:0003677	PS51011	PTHR13964:SF27;PTHR13964	NA	NA	G3DSA:1.10.150.60	NA	NA	NA	SSF46774	NA	PF01388	mobidb-lite	SM01014;SM00501	Coil	NA	NA	NA	NA	NA	NA
EHK47363.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PR00122	IPR000245	GO:0015078;GO:0015991;GO:0033179;GO:0033177	NA	PTHR10263:SF8;PTHR10263	TMhelix	NA	G3DSA:1.20.120.610	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	TIGR01100	NA	SSF81333	NA	PF00137	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK51070.1	NA	NA	IPR037051	NA	NA	PTHR42851;PTHR42851:SF1	NA	NA	G3DSA:3.40.50.10840;G3DSA:3.40.980.20	NA	NA	NA	SSF142764	NA	PF07005;PF17042	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41851.1	NA	PR01415	IPR020683	GO:0005515	PS50088;PS50297	PTHR42652;PTHR42652:SF2	NA	NA	G3DSA:1.25.40.20	NA	NA	cd00204	SSF48403	NA	PF12796;PF00023	NA	SM00248	NA	NA	NA	NA	NA	NA	NA
EHK42808.1	NA	NA	IPR031673	GO:0046983;GO:0005515	PS50853;PS50172	PTHR13561:SF43;PTHR13561	NA	NA	G3DSA:2.60.40.10;G3DSA:2.40.50.890;G3DSA:3.40.50.10190	NA	NA	cd13945;cd00063;cd00027	SSF49265;SSF52113	NA	PF16892;PF12738;PF16893	NA	SM00292	NA	NA	NA	NA	NA	NA	NA
EHK46522.1	NA	NA	IPR005131	GO:0003941;GO:0006094;GO:0051539	NA	PTHR30182	NA	NA	G3DSA:3.30.1330.90	KEGG: 00260+4.3.1.17|KEGG: 00270+4.3.1.17	NA	NA	SSF143548	NA	PF03315;PF03313	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45362.1	NA	NA	IPR039739	GO:0046872	PS50089	PTHR12983	NA	NA	G3DSA:3.30.40.10	NA	NA	cd16536	SSF57850	PS00518	PF00097	mobidb-lite	SM00184	Coil	NA	NA	NA	NA	NA	NA
EHK47797.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	IPR008972	GO:0005507;GO:0016491;GO:0055114	NA	PTHR11709:SF148;PTHR11709	TMhelix	NA	G3DSA:2.60.40.420	NA	NA	cd13851;cd13899;cd13877	SSF49503	PS00080;PS00079	PF07732;PF07731;PF00394	mobidb-lite	NA	NA	NA	SignalP-noTM	NA	SignalP-TM	NA	NA
EHK40537.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR008733	GO:0005779;GO:0016559	NA	PTHR12652:SF23;PTHR12652	NA	NA	NA	NA	NA	NA	NA	NA	PF05648	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK49266.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR35043	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK50941.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	IPR029058	NA	PS51257	PTHR42886:SF3;PTHR42886	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	SSF53474	NA	PF12697	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK45784.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR039261	GO:0016491;GO:0055114	PS51384	PTHR32361;PTHR32361:SF12	TMhelix	SFLDS00052;SFLDG01168	G3DSA:3.40.50.80	NA	NA	cd06186	SSF63380;SSF52343	NA	PF01794;PF08030;PF08022	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42495.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	IPR002035	NA	PS51468;PS50234	PTHR10338:SF110;PTHR10338	NA	NA	G3DSA:3.40.50.410	NA	NA	NA	SSF53300	NA	PF13768;PF08487	mobidb-lite	SM00327;SM00609	Coil	NA	NA	NA	NA	NA	NA
EHK43010.1	NA	NA	IPR004567	GO:0004594;GO:0005524;GO:0015937	NA	PTHR12280:SF20;PTHR12280	NA	NA	G3DSA:3.30.420.40;G3DSA:3.30.420.510;G3DSA:1.10.8.780	KEGG: 00770+2.7.1.33|MetaCyc: PWY-3961|Reactome: R-HSA-196783	TIGR00555	NA	SSF53067	NA	PF03630	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK43655.1	NA	NA	IPR027417	GO:0005524	NA	PTHR23074;PTHR23074:SF86	NA	NA	G3DSA:3.40.50.300;G3DSA:1.10.8.60	NA	NA	cd00009	SSF52540	PS00674	PF09336;PF17862;PF00004	mobidb-lite	SM00382	Coil	NA	NA	NA	NA	NA	NA
EHK46695.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR036047	GO:0005515	PS50181	NA	NA	NA	NA	NA	NA	NA	SSF81383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK42012.1	NA	NA	IPR024602	GO:0007030;GO:0015031;GO:0016020	NA	PTHR12961	NA	NA	NA	Reactome: R-HSA-6807878|Reactome: R-HSA-6811438|Reactome: R-HSA-6811440	NA	NA	NA	NA	PF06148	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50855.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PR00171	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021	PS50850	PTHR23500;PTHR23500:SF16	TMhelix	NA	G3DSA:1.20.1250.20	Reactome: R-HSA-189200	TIGR00879	cd06174	SSF103473	NA	PF00083	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41254.1	NA	NA	IPR001965	NA	PS50016	PTHR10333:SF86;PTHR10333	NA	NA	G3DSA:3.30.40.10	NA	NA	cd15505	SSF57903	NA	NA	mobidb-lite	SM00249;SM01408	Coil	NA	NA	NA	NA	NA	NA
EHK43897.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PR00124	IPR038662	GO:0015078;GO:0015986;GO:0045263;GO:0015991;GO:0033177	NA	PTHR10031;PTHR10031:SF13	TMhelix	NA	G3DSA:1.20.20.10	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	NA	NA	SSF81333	PS00605	PF00137	NA	NA	NA	NA	NA	NA	SignalP-TM	MF_01396	NA
EHK44622.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR33048	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK48815.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR33048	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44157.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR007905	GO:0016021;GO:0016125;GO:0047750	PS51751	PTHR14207;PTHR14207:SF0	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF05241	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK49155.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR020846	NA	PS50850	PTHR23514:SF3;PTHR23514	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45271.1	NA	NA	IPR002500	GO:0003824	NA	PTHR23293:SF9;PTHR23293	NA	NA	G3DSA:3.40.50.620	Reactome: R-HSA-196843	NA	cd01713	SSF52402	NA	PF01507	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK45520.1	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	IPR039261	NA	NA	PTHR32361	TMhelix	SFLDG01168;SFLDS00052	G3DSA:3.40.50.80	NA	NA	cd06186	SSF52343	NA	PF01794	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
EHK41507.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PR01035	IPR020846	GO:0016021;GO:0055085;GO:0005215	PS50850	PTHR23504:SF3;PTHR23504	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK44565.1	NA	NA	IPR000868	GO:0003824	NA	PTHR11080;PTHR11080:SF54	NA	NA	G3DSA:3.40.50.850	NA	NA	cd00431	SSF52499	NA	PF00857	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK41838.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	PR00449	IPR027417	GO:0003924;GO:0005525	PS51419	PTHR24073;PTHR24073:SF556	NA	NA	G3DSA:3.40.50.300	NA	TIGR00231	cd01862	SSF52540	NA	PF00071	NA	SM00175;SM00174;SM00173;SM00176	NA	NA	NA	NA	NA	NA	NA
EHK43672.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR007241		NA	PTHR13038:SF10;PTHR13038	TMhelix	NA	NA	Reactome: R-HSA-1632852	NA	NA	NA	NA	PF04109	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK39992.1	NA	NA	IPR024607	GO:0003824;GO:0008484	NA	PTHR10342:SF261;PTHR10342	NA	NA	G3DSA:3.40.720.10	NA	TIGR03417	cd16032	SSF53649	PS00149	PF00884;PF12411	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK45753.1	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PR00792	IPR033121	GO:0004190;GO:0006508	PS51767	PTHR13683:SF326;PTHR13683	TMhelix	NA	G3DSA:2.40.70.10	NA	NA	cd05474	SSF50630	PS00141	PF00026	mobidb-lite	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK49162.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PTHR11785;PTHR11785:SF498	TMhelix	NA	G3DSA:1.20.1740.10	NA	NA	NA	NA	NA	PF13520	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA
EHK50579.1	NA	NA	IPR025337	GO:0016491	NA	PTHR35870:SF5;PTHR35870	NA	NA	NA	NA	NA	NA	NA	NA	PF14027	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK39747.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK45505.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR006634	GO:0016021	PS50922	PTHR13439:SF0;PTHR13439	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF03798	NA	SM00724	NA	NA	NA	NA	NA	NA	NA
EHK43274.1	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	PR00625	IPR001623	GO:0031072;GO:0051082;GO:0006457;GO:0005524;GO:0009408	PS51188;PS50076	PTHR43096;PTHR43096:SF10	NA	NA	G3DSA:2.60.260.20;G3DSA:2.10.230.10;G3DSA:1.10.287.110	NA	NA	cd06257;cd10747;cd10719	SSF57938;SSF49493;SSF46565	NA	PF01556;PF00684;PF00226	mobidb-lite	SM00271	NA	NA	NA	NA	NA	MF_01152	NA
EHK42468.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	IPR036430	GO:0003723;GO:0033897	NA	PTHR11240;PTHR11240:SF22	NA	NA	G3DSA:3.90.730.10	Reactome: R-HSA-6798695	NA	cd01061	SSF55895	PS00530;PS00531	PF00445	mobidb-lite	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK43827.1	NA	NA	IPR036812	NA	NA	PTHR42686	NA	NA	G3DSA:3.20.20.100	NA	NA	NA	SSF51430	NA	PF00248	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK46809.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	IPR011992	GO:0005509	PS50222	PTHR19237;PTHR19237:SF20	NA	NA	G3DSA:1.10.238.10	NA	NA	NA	SSF47473	PS00018	NA	NA	NA	Coil	NA	SignalP-noTM	NA	NA	NA	NA
EHK39613.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	IPR010640	GO:0016021	NA	PTHR36840	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF06772;PF06140	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK49543.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	IPR020846	GO:0016021;GO:0055085	PS50850	PTHR43791:SF47;PTHR43791	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40359.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	PR01035	IPR036259	GO:0005215;GO:0016021;GO:0055085	PS50850	PTHR23504:SF8;PTHR23504	TMhelix	NA	NA	NA	NA	cd06174	SSF103473	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK40069.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR000719	GO:0004672;GO:0005524;GO:0006468	PS50011	PTHR11042:SF134;PTHR11042	NA	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	NA	cd00180	SSF56112	PS00108	PF00069	mobidb-lite	SM00220	NA	NA	NA	NA	NA	NA	NA
EHK43619.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK46888.1	NA	NA	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	NA	NA	NA	NA	NA	cd12148	NA	NA	NA	mobidb-lite	SM00906	NA	NA	NA	NA	NA	NA	NA
EHK46932.1	NA	NA	IPR013719		NA	PTHR13711;PTHR13711:SF293	NA	NA	G3DSA:2.30.29.30	Reactome: R-HSA-112382|Reactome: R-HSA-167152|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-674695|Reactome: R-HSA-6796648|Reactome: R-HSA-6804756|Reactome: R-HSA-75955	NA	NA	SSF50729	NA	PF08512	mobidb-lite	SM01287	Coil	NA	NA	NA	NA	NA	NA
EHK45304.1	NA	NA	IPR013520	GO:0003676	NA	PTHR12801;PTHR12801:SF86	NA	NA	G3DSA:3.30.420.10	NA	NA	cd06145	SSF53098	NA	PF00929	mobidb-lite	SM00479	NA	NA	NA	NA	NA	NA	NA
EHK49667.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK47902.1	NA	PR00053	IPR001766	GO:0003700;GO:0006355;GO:0043565	PS50039	PTHR11829:SF330;PTHR11829	NA	NA	G3DSA:1.10.10.10	NA	NA	cd00059	SSF46785	PS00658;PS00657	PF00250	mobidb-lite	SM00339	NA	NA	NA	NA	NA	NA	NA
EHK48070.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PR00119	IPR004014	GO:0000166;GO:0016021	NA	PTHR42861;PTHR42861:SF29	TMhelix	SFLDF00027;SFLDS00003	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10;G3DSA:2.70.150.10	Reactome: R-HSA-936837	TIGR01494	NA	SSF81665;SSF81660;SSF56784;SSF81653	PS00154	PF00689;PF00690;PF00122;PF00702	mobidb-lite	SM00831	NA	NA	NA	NA	NA	NA	NA
EHK41282.1	NA	NA	IPR001680	GO:0005515;GO:0003743;GO:0005737;GO:0005852	PS50082;PS50294	PTHR19877	NA	NA	G3DSA:2.130.10.10	Reactome: R-HSA-156827|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	SSF50978	PS00678	PF00400	NA	SM00320	NA	NA	NA	NA	NA	MF_03008	NA
EHK42541.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50692.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR012578	NA	NA	PTHR28003	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF08058	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK50458.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	IPR007277	NA	NA	PTHR13144	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF04148	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43375.1	NA	PR00219	IPR011012	GO:0016021;GO:0016192	PS50859;PS50892	PTHR21136:SF5;PTHR21136	NA	NA	G3DSA:3.30.450.50;G3DSA:1.20.5.110	Reactome: R-HSA-204005	NA	cd15867	SSF64356;SSF58038	NA	PF13774;PF00957	NA	SM01270	NA	NA	NA	NA	NA	NA	NA
EHK44001.1	CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	PTHR36854	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA
EHK46741.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PR00133	IPR013783	GO:0004553;GO:0005975	NA	PTHR42715:SF5;PTHR42715	NA	NA	G3DSA:2.60.40.10;G3DSA:3.20.20.300;G3DSA:3.40.50.1700	NA	NA	NA	SSF52279;SSF51445	NA	PF01915;PF00933;PF14310	NA	SM01217	NA	NA	SignalP-noTM	NA	SignalP-TM	NA	NA
