Gene	Phobius	TMHMM	MobiDBLite	interpro	GO	Pfam	TIGRFAM	PANTHER	SUPERFAMILY	Coils	Gene3D	ProDom	ProSiteProfiles	PATHWAY	ProSitePatterns	SMART	PRINTS	CDD	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	PIRSF	SignalP_GRAM_POSITIVE	Hamap
EHK20746.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	IPR008972	GO:0055114;GO:0005507;GO:0016491	PF00394;PF07732;PF07731	NA	PTHR11709:SF95;PTHR11709	SSF49503	NA	G3DSA:2.60.40.420	NA	NA	NA	PS00080;PS00079	NA	NA	cd13850;cd13876;cd13898	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK21416.1	NA	NA	NA	IPR036420	GO:0003910;GO:0005524;GO:0006281;GO:0006310;GO:0071897;GO:0003677;GO:0051103;GO:0003909	PF01068;PF16589;PF04679;PF04675	TIGR00574	PTHR10459;PTHR10459:SF7	SSF52113;SSF50249;SSF56091;SSF117018	Coil	G3DSA:2.40.50.140;G3DSA:3.40.50.10190;G3DSA:3.30.470.30;G3DSA:1.10.3260.10	NA	PS50172;PS50160	Reactome: R-HSA-164843|Reactome: R-HSA-5693571	PS00697	SM00292	NA	cd00027;cd07903	NA	NA	NA	NA	NA	NA
EHK18592.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR020846	GO:0016021;GO:0055085	PF07690	NA	PTHR11360:SF224;PTHR11360	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK19605.1	NA	NA	NA	IPR011059	GO:0016810;GO:0016787	PF01979	NA	PTHR43135;PTHR43135:SF3	SSF51338;SSF51556	NA	G3DSA:2.30.40.10;G3DSA:3.20.20.140	NA	NA	NA	NA	NA	NA	cd01299	NA	NA	NA	NA	NA	NA
EHK26894.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	mobidb-lite	IPR000420	GO:0005199;GO:0005618	PF00399	NA	PTHR23124;PTHR23124:SF121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19465.1	NA	NA	NA	IPR036249	GO:0004519;GO:0006289;GO:0009411;GO:0015035	PF01323	NA	PTHR31290;PTHR31290:SF4	SSF52833	NA	G3DSA:3.40.30.10	NA	NA	Reactome: R-HSA-156590|Reactome: R-HSA-9033241	NA	NA	NA	cd03024	NA	NA	NA	NA	NA	NA
EHK23857.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	NA	NA	NA	NA	PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16470.1	NA	NA	mobidb-lite	IPR035719	GO:0003779;GO:0005622;GO:0005515	PF14604;PF00241	NA	PTHR10829:SF25;PTHR10829	SSF50044;SSF55753	NA	G3DSA:3.40.20.10;G3DSA:2.30.30.40	NA	PS50002;PS51263	NA	NA	SM00102;SM00326	PR00452	cd11962;cd11961;cd11281	NA	NA	NA	NA	NA	NA
EHK21095.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR036640	GO:0005524;GO:0016021;GO:0016887;GO:0042626;GO:0055085	PF00664;PF00005	NA	PTHR24223:SF328;PTHR24223	SSF90123;SSF52540	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	PS50893;PS50929	NA	NA	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
EHK26697.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR027359	GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0005509	PF00520	NA	PTHR10037;PTHR10037:SF62	SSF81324	NA	G3DSA:1.20.120.350;G3DSA:1.10.238.10;G3DSA:1.10.287.70	NA	PS50222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27524.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	mobidb-lite	IPR018392	GO:0008061;GO:0005975;GO:0004553	PF01476;PF00704	NA	PTHR11177:SF231;PTHR11177	SSF54106;SSF54556;SSF51445;SSF57016	NA	G3DSA:3.10.350.10;G3DSA:3.20.20.80;G3DSA:3.30.60.10;G3DSA:3.10.50.10	NA	PS51782	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PS01095	SM00636;SM00270;SM00257	NA	cd00118;cd02878;cd00035	NA	SignalP-noTM	NA	NA	NA	NA
EHK20360.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR020846	GO:0016021;GO:0055085	PF07690	NA	PTHR43791:SF27;PTHR43791	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK26461.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	IPR001214	GO:0005515	PF01753;PF00856	NA	PTHR12197;PTHR12197:SF262	SSF144232;SSF82199	NA	G3DSA:2.170.270.10;G3DSA:3.30.60.180;G3DSA:3.30.70.3410	NA	PS50280;PS50865	NA	NA	SM00317	NA	NA	NA	NA	NA	NA	NA	NA
EHK20440.1	NA	NA	NA	IPR029045	NA	NA	NA	PTHR37049:SF2;PTHR37049	SSF52096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17153.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	mobidb-lite	IPR004328	GO:0071467	NA	NA	PTHR40463	NA	NA	G3DSA:1.25.40.280	NA	PS51180	NA	NA	SM01041	NA	cd09245	NA	NA	NA	NA	NA	NA
EHK16596.1	NA	NA	mobidb-lite	IPR018809	NA	PF10295	NA	PTHR28186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16348.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	IPR029058	GO:0016787	PF01083	NA	PTHR33630:SF8;PTHR33630	SSF53474	NA	G3DSA:3.40.50.1820	NA	PS51257	NA	NA	SM01110	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK21928.1	NA	NA	NA	IPR002347	GO:0016491	PF00106	NA	PTHR43550;PTHR43550:SF2	SSF51735	NA	G3DSA:3.40.50.720	NA	NA	NA	PS00061	NA	PR00081;PR00080	NA	NA	NA	NA	NA	NA	NA
EHK20199.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	IPR036188	NA	PF13450	NA	PTHR42923:SF18;PTHR42923	SSF51905	NA	G3DSA:3.50.50.60;G3DSA:3.30.70.1990;G3DSA:1.10.405.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22828.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR005828	GO:0016021;GO:0022857;GO:0055085	PF00083	NA	PTHR23500:SF63;PTHR23500	SSF103473	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23079.1	NA	NA	NA	IPR015813	GO:0003824	PF03328	NA	PTHR30502;PTHR30502:SF2	SSF51621	NA	G3DSA:3.20.20.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19202.1	NA	NA	mobidb-lite	IPR015943	GO:0005515	PF00400;PF05729	NA	PTHR42968:SF15;PTHR42968	SSF50978	NA	G3DSA:2.130.10.10;G3DSA:3.40.50.300	NA	PS50082;PS50294;PS50837	NA	PS00678	SM00320	PR00320	cd00200	NA	NA	NA	NA	NA	NA
EHK22045.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR020846	GO:0016021;GO:0055085	PF07690	NA	PTHR23502;PTHR23502:SF132	SSF103473	NA	NA	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK17764.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR036259	GO:0016021;GO:0055085	PF07690	NA	PTHR23502;PTHR23502:SF23	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK23285.1	NA	NA	mobidb-lite	IPR007019	NA	PF04935;PF15459	NA	PTHR14369	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16904.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	mobidb-lite	IPR019021	GO:0005634;GO:0006281;GO:0006974;GO:0031297	PF09462	NA	PTHR28122	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26058.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR008429	GO:0016021	PF05602	NA	PTHR21347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24542.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	PTHR31944;PTHR31944:SF90	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd00067;cd12148	NA	NA	NA	NA	NA	NA
EHK15907.1	NA	NA	mobidb-lite	IPR036427	GO:0005515	NA	NA	PTHR15398	SSF47370	Coil	NA	NA	NA	NA	NA	NA	PR01217	NA	NA	NA	NA	NA	NA	NA
EHK24183.1	NA	NA	mobidb-lite	IPR018554	GO:0005634;GO:0005737;GO:0006355;GO:0007623	PF09421	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK20209.1	NA	NA	NA	IPR001128	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	NA	PTHR24279:SF87;PTHR24279	SSF48264	NA	G3DSA:1.10.630.10	NA	NA	NA	NA	NA	PR00465	NA	NA	NA	NA	NA	NA	NA
EHK22945.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR020846	GO:0016021;GO:0055085	PF07690	NA	PTHR43791;PTHR43791:SF7	SSF103473	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK17429.1	NA	NA	NA	IPR000192	GO:0003824	PF00266	NA	PTHR43769:SF2;PTHR43769	SSF53383	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18663.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22054.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR018083	GO:0016628;GO:0055114;GO:0016020	PF01222	NA	PTHR21257;PTHR21257:SF31	NA	NA	G3DSA:1.20.120.1630	NA	NA	NA	PS01018;PS01017	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25705.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR011388	GO:0016021;GO:0030148;GO:0042284;GO:0006629	PF08557;PF00487	NA	PTHR12879;PTHR12879:SF8	NA	NA	NA	NA	NA	KEGG: 00600+1.14.19.17|MetaCyc: PWY-5129|Reactome: R-HSA-1660661	NA	SM01269	NA	cd03508	NA	NA	NA	PIRSF017228	NA	NA
EHK19739.1	NA	NA	mobidb-lite	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082;PF00172	NA	PTHR31313;PTHR31313:SF53	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00906;SM00066	NA	cd00067;cd12148	NA	NA	NA	NA	NA	NA
EHK20764.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	IPR003663	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	PF00083	TIGR00879	PTHR23500;PTHR23500:SF9	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	Reactome: R-HSA-189200	PS00216	NA	PR00171	cd06174	NA	NA	NA	NA	NA	NA
EHK26553.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	IPR010621	NA	PF06742;PF06863	NA	PTHR36509	SSF160935	NA	G3DSA:2.60.120.1600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26704.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR017852	GO:0005789;GO:0006506;GO:0016740;GO:0003824;GO:0051377;GO:0016021;GO:0008484	PF04987;PF00884	NA	PTHR12250	SSF53649	Coil	G3DSA:3.40.720.10	NA	NA	Reactome: R-HSA-162710	NA	NA	NA	cd16020	NA	NA	NA	NA	NA	NA
EHK24763.1	NA	NA	NA	IPR019716		PF10780	NA	PTHR28236	NA	Coil	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK21885.1	NA	NA	NA	IPR008775	NA	PF05721	NA	PTHR20883;PTHR20883:SF19	SSF51197	NA	G3DSA:2.60.120.620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17380.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	mobidb-lite	IPR021858	NA	PF11951	NA	PTHR37540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16982.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR009450	GO:0006506;GO:0016021;GO:0017176	PF06432	NA	PTHR12982	NA	NA	NA	NA	NA	KEGG: 00563+2.4.1.198|Reactome: R-HSA-162710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22139.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	PTHR42109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23987.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR031568	NA	PF15786	NA	PTHR28163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA
EHK23881.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	mobidb-lite	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	NA	SSF57701	NA	G3DSA:4.10.240.10	NA	PS50048	NA	PS00463	SM00066	NA	cd00067	NA	NA	NA	NA	NA	NA
EHK21781.1	NA	NA	NA	IPR005479	GO:0005524;GO:0046872	PF02786;PF02626;PF02785;PF01425;PF00364;PF02682;PF00289	TIGR02712;TIGR00724;TIGR02713	PTHR18866:SF91;PTHR18866	SSF51246;SSF50891;SSF52440;SSF160467;SSF51230;SSF75304;SSF56059	NA	G3DSA:1.20.58.1700;G3DSA:2.40.100.10;G3DSA:3.10.490.10;G3DSA:2.40.50.100;G3DSA:3.90.1300.10;G3DSA:3.30.1360.40;G3DSA:3.30.470.130	NA	PS50975;PS50968;PS50979	Reactome: R-HSA-196780|Reactome: R-HSA-3371599	PS00867;PS00866	SM00878;SM00797;SM00796	NA	cd06850	NA	NA	NA	NA	NA	NA
EHK17405.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR003439	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	PF00664;PF00005	NA	PTHR24223:SF335;PTHR24223	SSF90123;SSF52540	NA	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	NA	PS50893;PS50929	NA	PS00211	SM00382	NA	cd03250;cd03244	NA	NA	NA	NA	NA	NA
EHK16933.1	NA	NA	NA	IPR004134	GO:0004197;GO:0006508	PF03051	NA	PTHR10363:SF2;PTHR10363	SSF54001	NA	G3DSA:3.90.70.10	NA	NA	Reactome: R-HSA-983168	PS00139	NA	NA	cd00585	NA	NA	NA	PIRSF005700	NA	NA
EHK19707.1	NA	NA	mobidb-lite	IPR001680	GO:0005515	PF00400	NA	PTHR14221:SF0;PTHR14221	SSF50978	NA	NA	NA	PS50082;PS50294	NA	NA	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
EHK20234.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR007290		PF04161	NA	PTHR14467	NA	NA	NA	NA	NA	Reactome: R-HSA-191273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17906.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	IPR002018	NA	PF00135	NA	PTHR11559:SF360;PTHR11559	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	NA	PS00122;PS00941	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK18134.1	NA	NA	mobidb-lite	IPR011184	GO:0005524;GO:0006298;GO:0030983	PF00488;PF05190;PF05192;PF05188	NA	PTHR11361;PTHR11361:SF21	SSF48334;SSF53150;SSF52540	NA	G3DSA:1.10.1420.10;G3DSA:3.40.50.300;G3DSA:3.30.420.110	NA	NA	NA	PS00486	SM00533;SM00534	NA	NA	NA	NA	NA	PIRSF005813	NA	NA
EHK25093.1	NA	NA	NA	IPR023214	GO:0003824;GO:0005992	PF02358;PF00982	TIGR00685;TIGR01484	PTHR10788:SF6;PTHR10788	SSF53756;SSF56784	NA	G3DSA:3.40.50.1000;G3DSA:3.40.50.2000;G3DSA:3.30.70.1020	NA	NA	KEGG: 00500+2.4.1.15	NA	NA	NA	cd03788;cd01627	NA	NA	NA	NA	NA	NA
EHK19034.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	IPR012334	NA	PF12708	NA	PTHR31375:SF6;PTHR31375	SSF51126	NA	G3DSA:2.160.20.10	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK25291.1	NA	NA	NA	IPR007234	GO:0000938;GO:0042147	PF04100	NA	PTHR12820	NA	Coil	NA	NA	NA	Reactome: R-HSA-6811440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17979.1	NA	NA	NA	IPR036412	GO:0016791	PF12710	TIGR01489;TIGR01488	PTHR32440:SF21;PTHR32440	SSF56784	NA	G3DSA:3.90.1470.20;G3DSA:3.40.50.1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK16395.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17206.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR001375	GO:0006508;GO:0008236	PF00326;PF00930	NA	PTHR11731;PTHR11731:SF110	SSF53474;SSF82171	NA	G3DSA:2.140.10.30;G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK19734.1	NA	NA	NA	IPR029058	NA	PF05705	NA	PTHR12265;PTHR12265:SF14	SSF53474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK17358.1	NA	NA	NA	IPR011032	GO:0016491;GO:0055114;GO:0008270	PF00107;PF08240	NA	PTHR42940;PTHR42940:SF5	SSF50129;SSF51735	NA	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	NA	Reactome: R-HSA-71384	PS00059	SM00829	NA	cd08297	NA	NA	NA	NA	NA	NA
EHK15958.1	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR004886	NA	PF03198	NA	PTHR31468:SF8;PTHR31468	SSF51445	NA	G3DSA:3.20.20.80	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK20659.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24489.1	NA	NA	mobidb-lite	IPR012677	GO:0003676;GO:0003723;GO:0003755	PF00076	NA	PTHR11071:SF319;PTHR11071	SSF54928	NA	G3DSA:3.30.70.330	NA	PS50102	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6798695|Reactome: R-HSA-72163	NA	SM00360	NA	cd12347	NA	NA	NA	NA	NA	NA
EHK25703.1	NA	NA	mobidb-lite	IPR001012	GO:0005515;GO:0003676	PF00789	NA	PTHR13020;PTHR13020:SF42	SSF46934;SSF54236	Coil	G3DSA:3.10.20.90;G3DSA:1.10.8.10	NA	PS50157;PS50033	NA	PS00028	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18519.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR011701	GO:0016021;GO:0055085	PF07690	NA	PTHR23502:SF38;PTHR23502	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK18863.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR013121	GO:0016491;GO:0055114;GO:0000293;GO:0016021	PF08030;PF01794;PF08022	NA	PTHR11972;PTHR11972:SF89	SSF52343;SSF63380	NA	G3DSA:3.40.50.80	NA	PS51384	NA	NA	NA	NA	cd06186	NA	NA	SFLDG01168;SFLDS00052	NA	NA	NA
EHK19284.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR036259	GO:0016021;GO:0055085	PF07690	NA	PTHR23502;PTHR23502:SF34	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK15632.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	mobidb-lite	IPR007122	GO:0051015;GO:0030036;GO:0051014	PF13254	NA	PTHR11977;PTHR11977:SF55	SSF55753	Coil	G3DSA:3.40.20.10	NA	NA	NA	NA	SM00262	PR00597	NA	NA	NA	NA	NA	NA	NA
EHK16363.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR004813	GO:0055085	PF03169	TIGR00728	PTHR31645;PTHR31645:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23355.1	NA	NA	NA	IPR017972	GO:0016705;GO:0055114;GO:0005506;GO:0020037	PF00067	NA	PTHR24305:SF108;PTHR24305	SSF48264	NA	G3DSA:1.10.630.10	NA	NA	NA	PS00086	NA	PR00463	NA	NA	NA	NA	NA	NA	NA
EHK18913.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	IPR036736	GO:0016740;GO:0003824;GO:0031177	PF00501;PF00668;PF00109;PF07993;PF00550;PF00698	TIGR01733;TIGR01746	PTHR45527	SSF52777;SSF47336;SSF56801;SSF53901;SSF55048;SSF51735;SSF52151	NA	G3DSA:3.30.559.30;G3DSA:3.40.50.720;G3DSA:3.30.559.10;G3DSA:3.40.366.10;G3DSA:3.30.70.3290;G3DSA:3.30.70.250;G3DSA:3.40.50.12780;G3DSA:3.30.300.30;G3DSA:1.10.1200.10;G3DSA:3.40.47.10	NA	PS50075	Reactome: R-HSA-389661	PS00455;PS00012	SM00827;SM00825;SM00823;SM01294	NA	cd05918	NA	NA	NA	NA	NA	NA
EHK18455.1	NA	NA	mobidb-lite	IPR010730	NA	PF06985	NA	PTHR10622:SF10;PTHR10622	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24845.1	NA	NA	mobidb-lite	IPR020683	GO:0005515	PF12796	NA	PTHR24128:SF12;PTHR24128	SSF48403	Coil	G3DSA:1.25.40.20	NA	PS50297;PS50088	NA	NA	SM00248	PR01415	cd00204	NA	NA	NA	NA	NA	NA
EHK23602.1	NA	NA	mobidb-lite	IPR016024	GO:0005096;GO:0043547	NA	NA	PTHR10957;PTHR10957:SF1	SSF48371	NA	G3DSA:1.25.10.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
