Gene	interpro	SUPERFAMILY	PANTHER	GO	Pfam	PATHWAY	CDD	Gene3D	TMHMM	Phobius	ProSitePatterns	PIRSF	MobiDBLite	PRINTS	SMART	ProSiteProfiles	Coils	ProDom	TIGRFAM	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	Hamap
PON24776.1	IPR001806	SSF52540	PTHR24072;PTHR24072:SF129	GO:0003924;GO:0005525;GO:0005622;GO:0007264	PF00071	Reactome: R-HSA-114604|Reactome: R-HSA-182971|Reactome: R-HSA-194840|Reactome: R-HSA-2029482|Reactome: R-HSA-375170|Reactome: R-HSA-389359|Reactome: R-HSA-3928662|Reactome: R-HSA-416482|Reactome: R-HSA-418885|Reactome: R-HSA-428543|Reactome: R-HSA-4420097|Reactome: R-HSA-5625970|Reactome: R-HSA-5626467|Reactome: R-HSA-5627123|Reactome: R-HSA-5663213|Reactome: R-HSA-5663220|Reactome: R-HSA-5687128|Reactome: R-HSA-8950505|Reactome: R-HSA-983231	cd01874	G3DSA:3.40.50.300	NA	NA	NA	NA	NA	PR00449	SM00175;SM00173;SM00174	PS51420	NA	NA	TIGR00231	NA	NA	NA	NA	NA
PON24895.1	IPR006575	SSF50978	PTHR22850;PTHR22850:SF149	GO:0005515	PF00400	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	SM00320	PS50908;PS50294;PS50082	NA	NA	NA	NA	NA	NA	NA	NA
PON22086.1	IPR020846	SSF103473	PTHR42718;PTHR42718:SF1	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON26791.1	IPR001684	SSF110324	PTHR15893	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PF01016	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	G3DSA:2.40.50.100	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	mobidb-lite	PR00063	NA	NA	NA	PD003114	NA	NA	NA	SignalP-TM	SignalP-noTM	NA
PON20373.1	IPR007568	NA	PTHR31465:SF9;PTHR31465	GO:0016021	PF04479	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30104.1	NA	NA	PTHR42109	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26654.1	IPR011701	SSF103473	PTHR23515;PTHR23515:SF2	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON21161.1	IPR007219	SSF57701	PTHR31001	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PF04082;PF00172	NA	cd00067;cd12148	G3DSA:4.10.240.10	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS00463	NA	mobidb-lite	NA	SM00066	PS50048	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PON20187.1	IPR000182	SSF55729	PTHR43305	NA	PF00583	NA	cd04301	G3DSA:3.40.630.30	NA	NA	NA	NA	NA	NA	NA	PS51186	NA	NA	NA	NA	NA	NA	NA	NA
PON20605.1	IPR029130	NA	PTHR28583	NA	PF15508	NA	NA	G3DSA:3.60.60.10	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28694.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON29292.1	IPR020846	SSF103473	PTHR11360;PTHR11360:SF224	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON21014.1	NA	NA	PTHR44855	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON28849.1	IPR020846	SSF103473	PTHR23502:SF51;PTHR23502	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	PR01036	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON26759.1	IPR002110	SSF52540;SSF48403;SSF53167	PTHR42652	GO:0005515;GO:0003824;GO:0009116	PF12796;PF13637;PF05729	NA	cd00204	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	PR01415	SM00248	PS50088;PS50297;PS50837	NA	NA	NA	NA	NA	NA	NA	NA
PON29430.1	IPR027815	NA	PTHR13018:SF20;PTHR13018	GO:0016020	PF14703;PF13967;PF12621;PF02714	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON29410.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON21182.1	IPR006001	SSF56801;SSF47336;SSF52540;SSF51735	PTHR43201:SF2;PTHR43201	GO:0005975;GO:0016301;GO:0003824;GO:0031177	PF00550;PF13671;PF00501;PF07993	KEGG: 00030+2.7.1.12|MetaCyc: PWY-5530	cd02021	G3DSA:3.40.50.12780;G3DSA:3.40.50.720;G3DSA:1.10.1200.10;G3DSA:3.40.50.300	NA	NA	PS00455;PS00012	NA	mobidb-lite	NA	SM00823	PS50075	NA	NA	TIGR01746	NA	NA	NA	NA	NA
PON22066.1	IPR036259	SSF103473	PTHR43791:SF48;PTHR43791	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON28098.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30745.1	IPR015267	NA	PTHR16487	GO:0019888;GO:0030289	NA	Reactome: R-HSA-5693607	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25714.1	IPR010473	SSF48371	PTHR11584;PTHR11584:SF369	GO:0003779;GO:0017048;GO:0030036	PF06371	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	SM01140	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28985.1	IPR008030	SSF51735	PTHR42748:SF14;PTHR42748		PF05368	Reactome: R-HSA-70635	NA	G3DSA:3.90.25.10;G3DSA:3.40.50.720	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24059.1	IPR004853	NA	PTHR11132:SF234;PTHR11132	NA	PF03151	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25292.1	IPR020843	SSF50129;SSF51735	PTHR44013;PTHR44013:SF1	GO:0016491;GO:0055114	PF08240;PF13602	NA	cd05289	G3DSA:3.90.180.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28446.1	IPR006603	NA	PTHR12226;PTHR12226:SF2	NA	PF04193	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	PIRSF023381	mobidb-lite	NA	SM00679	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23355.1	IPR020846	SSF103473	PTHR23502;PTHR23502:SF31	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON21385.1	IPR001452	SSF50044	PTHR43965:SF4;PTHR43965	GO:0005515;GO:0006897	PF00018	Reactome: R-HSA-182971|Reactome: R-HSA-6807004|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8875360	cd11887	G3DSA:2.30.30.40	NA	NA	NA	NA	mobidb-lite	PR00452	SM00326	PS50002	Coil	NA	NA	NA	NA	NA	NA	NA
PON26380.1	IPR013709	SSF110921;SSF89000;SSF51569	PTHR10277;PTHR10277:SF28	GO:0003852;GO:0009098;GO:0003824;GO:0019752;GO:0046912	PF08502;PF00682	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871	cd07942	G3DSA:3.30.160.270;G3DSA:3.20.20.70	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS00816	NA	NA	NA	SM00917	PS50991	NA	NA	TIGR00970	NA	NA	NA	NA	MF_00572
PON22915.1	IPR000262	SSF51905;SSF51395	PTHR13789	GO:0016491;GO:0071949;GO:0003824	PF01070;PF01494	Reactome: R-HSA-9033241	NA	G3DSA:3.50.50.60;G3DSA:3.20.20.70	NA	NA	NA	NA	NA	PR00420	NA	PS51349	NA	NA	NA	NA	NA	NA	NA	NA
PON28112.1	IPR001636	SSF56104	PTHR43700	GO:0004639;GO:0006164	PF01259	KEGG: 00230+6.3.2.6|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7234	cd01414	G3DSA:3.30.200.20;G3DSA:3.30.470.20	NA	NA	PS01057	NA	NA	NA	NA	NA	NA	NA	TIGR00081	NA	NA	NA	NA	MF_00137
PON28813.1	IPR020846	SSF103473	PTHR43791;PTHR43791:SF18	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON27492.1	NA	NA	PTHR35859;PTHR35859:SF1	NA	NA	NA	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON30746.1	IPR001841	SSF57850	PTHR22765;PTHR22765:SF43	NA	PF13639	NA	NA	G3DSA:3.30.40.10	TMhelix	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	SM00184	PS50089	NA	NA	NA	NA	NA	NA	NA	NA
PON21488.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26100.1	IPR013783	SSF81296	PTHR10343:SF53;PTHR10343		PF16561	Reactome: R-HSA-1445148|Reactome: R-HSA-1632852|Reactome: R-HSA-2151209|Reactome: R-HSA-380972|Reactome: R-HSA-5628897|Reactome: R-HSA-6804756	cd02859	G3DSA:2.60.40.10	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26431.1	IPR013057	NA	PTHR22950:SF458;PTHR22950	NA	PF01490	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23371.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30652.1	IPR015943	SSF50978	PTHR44040	GO:0005515;GO:0048188	PF00400	Reactome: R-HSA-201722|Reactome: R-HSA-3214841|Reactome: R-HSA-3769402|Reactome: R-HSA-5617472|Reactome: R-HSA-8936459|Reactome: R-HSA-8951664	NA	G3DSA:2.130.10.10	NA	NA	PS00678	NA	mobidb-lite	NA	SM00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA
PON21783.1	IPR029058	SSF53474	PTHR43248;PTHR43248:SF2	GO:0006508;GO:0008233	PF00561	KEGG: 00330+3.4.11.5	NA	NA	NA	NA	NA	NA	NA	PR00793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22124.1	IPR001474	SSF55620	PTHR11109:SF0;PTHR11109	GO:0003934;GO:0005737;GO:0046654	PF01227	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	cd00642	G3DSA:3.30.1130.10;G3DSA:1.10.286.10	NA	NA	PS00859;PS00860	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00063	NA	NA	NA	NA	MF_00223
PON27105.1	IPR011118	SSF53474	PTHR33938;PTHR33938:SF2		PF07519	MetaCyc: PWY-6784	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON31046.1	IPR027409	SSF52029;SSF57903;SSF56104	PTHR11353;PTHR11353:SF57	GO:0016307;GO:0046488;GO:0046872;GO:0005524	PF01363;PF01504;PF00118	NA	cd03334	G3DSA:3.30.40.10;G3DSA:3.30.800.10;G3DSA:1.20.58.1870;G3DSA:3.50.7.10	NA	NA	NA	NA	mobidb-lite	NA	SM00330;SM00064	PS51455;PS50178	Coil	NA	NA	NA	NA	NA	NA	NA
PON21361.1	IPR036514	SSF52266	PTHR22835:SF178;PTHR22835	GO:0016788	PF00657	NA	cd01846	G3DSA:3.40.50.1110	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON29849.1	IPR004552	SSF69593	PTHR10434:SF39;PTHR10434	GO:0003841;GO:0008654;GO:0016020;GO:0016746	PF01553	KEGG: 00561+2.3.1.51|KEGG: 00564+2.3.1.51|MetaCyc: PWY-5667|MetaCyc: PWY-5981|MetaCyc: PWY-6453|MetaCyc: PWY-7411|MetaCyc: PWY-7417|MetaCyc: PWY-7587|MetaCyc: PWY-7589|MetaCyc: PWY-7782|Reactome: R-HSA-1483166	cd07989	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	SM00563	NA	NA	NA	TIGR00530	NA	NA	NA	NA	NA
PON28953.1	IPR018392	SSF54556;SSF54106;SSF51445;SSF57016	PTHR11177;PTHR11177:SF231	GO:0005975;GO:0008061;GO:0004553	PF00704;PF01476	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	cd02878;cd00035;cd00118	G3DSA:3.20.20.80;G3DSA:3.10.350.10;G3DSA:3.30.60.10;G3DSA:3.10.50.10	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	PS01095	NA	NA	NA	SM00257;SM00636	PS51782	Coil	PD000609	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON29985.1	NA	NA	NA	NA	NA	NA	NA	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23688.1	IPR000534	SSF55347;SSF51735	PTHR32338	GO:0016620;GO:0051287;GO:0055114;GO:0003942;GO:0006526	PF01118	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400	NA	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	SM00859	NA	NA	NA	TIGR01850	NA	NA	NA	NA	MF_00150
PON21411.1	IPR026591	SSF52467	PTHR11085:SF3;PTHR11085	GO:0008270;GO:0017136;GO:0070403	PF02146	NA	cd01408	G3DSA:3.30.1600.10;G3DSA:3.40.50.1220	NA	NA	NA	PIRSF037938	mobidb-lite	NA	NA	PS50305	Coil	NA	NA	NA	NA	NA	NA	NA
PON28430.1	IPR007704	NA	PTHR12886	GO:0006506;GO:0016021;GO:0016758	PF05007	Reactome: R-HSA-162710	NA	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24136.1	IPR017926	SSF52317;SSF56322	PTHR11236;PTHR11236:SF18	GO:0009058	PF00117;PF04715;PF00425	KEGG: 00790+2.6.1.85|MetaCyc: PWY-6543	cd01743	G3DSA:3.40.50.880	NA	NA	NA	NA	mobidb-lite	PR00095	NA	PS51273	NA	NA	TIGR01823	NA	NA	NA	NA	NA
PON28786.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON20657.1	IPR003663	SSF103473	PTHR23500;PTHR23500:SF125	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	PF00083	Reactome: R-HSA-189200	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PS00217	NA	NA	PR00171	NA	PS50850	Coil	NA	TIGR00879	NA	NA	NA	NA	NA
PON30464.1	IPR001382	SSF48225	PTHR11742:SF49;PTHR11742	GO:0004571;GO:0005509;GO:0016020;GO:0003824	PF01532	NA	NA	G3DSA:1.50.10.10	NA	NA	NA	NA	mobidb-lite	PR00747	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON28706.1	IPR028005	NA	NA		PF13878	Reactome: R-HSA-2468052	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30854.1	IPR011701	SSF103473	PTHR23502;PTHR23502:SF59	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	PS50850	Coil	NA	NA	NA	NA	NA	NA	NA
PON22771.1	IPR032154	SSF48371;SSF49348;SSF55711	PTHR10261;PTHR10261:SF0	GO:0005198;GO:0006886;GO:0016192;GO:0030126;GO:0030117	PF16381;PF08752;PF01602	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	G3DSA:3.30.310.10;G3DSA:1.25.10.10;G3DSA:2.60.40.1480	NA	NA	NA	PIRSF037093	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20157.1	IPR036864	SSF57701	PTHR31313	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	NA	cd00067;cd12148	G3DSA:4.10.240.10	NA	NA	PS00463	NA	NA	NA	SM00066	PS50048	NA	NA	NA	NA	NA	NA	NA	NA
PON21224.1	IPR033646	SSF103107;SSF48452	PTHR12601:SF6;PTHR12601	GO:0005515;GO:0048312	PF12807;PF13236;PF15044;PF13424;PF13374	NA	cd15466	G3DSA:1.25.40.10	NA	NA	NA	NA	mobidb-lite	NA	NA	PS50005;PS50293;PS51823	Coil	NA	NA	NA	NA	NA	NA	MF_03013
PON26430.1	IPR023803	SSF54565	PTHR12919	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PF00886	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	G3DSA:3.30.1320.10	NA	NA	PS00732	NA	NA	NA	NA	NA	NA	NA	TIGR00002	NA	NA	NA	NA	MF_00385
PON24039.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	mobidb-lite	PR01217	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA
PON30657.1	IPR003137	SSF52025;SSF53187;SSF47672	PTHR10404;PTHR10404:SF64	NA	PF02225;PF04253;PF04389	NA	cd08022;cd02121	G3DSA:3.40.630.10;G3DSA:1.20.930.40;G3DSA:3.50.30.30	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON20134.1	IPR036345	SSF55666;SSF54211	PTHR11953:SF1;PTHR11953		PF01138	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226	cd11372	G3DSA:3.30.230.70	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30402.1	IPR008183	SSF74650	PTHR10091;PTHR10091:SF0	GO:0005975;GO:0016853;GO:0030246;GO:0003824	PF01263	KEGG: 00010+5.1.3.3|KEGG: 00052+5.1.3.3|MetaCyc: PWY-6317	cd09019	G3DSA:2.70.98.10	NA	NA	PS00545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON25627.1	IPR004813	NA	PTHR22601:SF9;PTHR22601	GO:0055085	PF03169	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00727;TIGR00728	NA	NA	NA	NA	NA
PON24916.1	IPR002925	SSF53474	PTHR17630;PTHR17630:SF43	GO:0016787	PF01738	NA	NA	G3DSA:3.40.50.1820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON30846.1	IPR029062	SSF52317	PTHR43130;PTHR43130:SF1		PF01965	Reactome: R-HSA-3899300	cd03139	G3DSA:3.40.50.880	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26523.1	IPR004839	SSF53383	PTHR13693:SF77;PTHR13693	GO:0009058;GO:0030170;GO:0003824	PF00155	NA	NA	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26136.1	IPR036188	SSF54373;SSF51905	PTHR13789;PTHR13789:SF215	GO:0071949	PF01494	NA	NA	G3DSA:3.30.9.30;G3DSA:3.50.50.60	TMhelix	NA	NA	NA	NA	PR00420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON22923.1	IPR029044	SSF53448	PTHR12042;PTHR12042:SF30	NA	PF05704	NA	NA	G3DSA:3.90.550.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON24959.1	IPR020846	SSF103473	PTHR23501;PTHR23501:SF12	GO:0016021;GO:0055085	PF07690	NA	cd06174	G3DSA:1.20.1250.20	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PON24564.1	IPR036291	SSF52283;SSF51735;SSF52467	PTHR10160	GO:0016491;GO:0055114;GO:0008746;GO:1902600	PF05222;PF02233;PF12769;PF01262	KEGG: 00250+1.4.1.1|KEGG: 00430+1.4.1.1|Reactome: R-HSA-71403	cd05304	G3DSA:3.40.50.720;G3DSA:3.40.50.1220	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS00837;PS00836	NA	NA	NA	SM01003;SM01002	NA	NA	NA	TIGR00561	NA	NA	NA	NA	NA
PON23432.1	IPR000447	SSF54373;SSF51905	PTHR11985:SF15;PTHR11985	GO:0004368;GO:0006072;GO:0009331;GO:0055114;GO:0016491	PF01266;PF16901	KEGG: 00564+1.1.5.3|MetaCyc: PWY-4261|MetaCyc: PWY-6118|MetaCyc: PWY-6952|Reactome: R-HSA-1483166|Reactome: R-HSA-163560	NA	G3DSA:3.30.9.10;G3DSA:1.10.8.870;G3DSA:3.50.50.60	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	PS00978	NA	NA	PR01001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
