Gene	interpro	GO	ProSiteProfiles	Phobius	SMART	TMHMM	SUPERFAMILY	Gene3D	PATHWAY	Pfam	PANTHER	CDD	Coils	ProSitePatterns	MobiDBLite	PRINTS	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	PIRSF	TIGRFAM	Hamap	SFLD	ProDom
PTB64610.1	IPR024079	GO:0008237;GO:0004222;GO:0006508	NA	NA	NA	NA	SSF55486	G3DSA:3.40.390.10;G3DSA:1.20.1050.40;G3DSA:1.10.1370.10	NA	PF01432	PTHR11804:SF40;PTHR11804	cd06455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65425.1	IPR004342	GO:0016021	PS51380	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF03124	PTHR10783:SF46;PTHR10783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65950.1	IPR011948	GO:0016791	PS50969	NA	SM00577	NA	SSF56784	G3DSA:3.40.50.1000	NA	PF03031	PTHR12210:SF29;PTHR12210	cd07521	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR02251	NA	NA	NA
PTB65276.1	IPR014729	GO:0000166;GO:0004830;GO:0005524;GO:0006436;GO:0004812;GO:0006418	NA	NA	NA	NA	SSF52374	G3DSA:3.40.50.620;G3DSA:1.10.240.10	KEGG: 00970+6.1.1.2	PF00579	PTHR10055;PTHR10055:SF1	cd00806	Coil	PS00178	mobidb-lite	PR01039	NA	NA	NA	NA	TIGR00233	NA	NA	NA
PTB71001.1	IPR019038	GO:0005634;GO:0006260	NA	NA	NA	NA	NA	G3DSA:1.10.10.1300	Reactome: R-HSA-110314|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	PF09507	PTHR17598	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66975.1	IPR000254	GO:0005576;GO:0005975;GO:0030248;GO:0004553	PS51164	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	SM00236	NA	SSF57180;SSF51445	G3DSA:3.20.20.80	NA	PF00150;PF00734	PTHR31451;PTHR31451:SF10	NA	NA	PS00562	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	PD001821
PTB70473.1	IPR005829	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PS50850	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	Reactome: R-HSA-189200	PF00083	PTHR23500:SF42;PTHR23500	cd06174	NA	PS00216	NA	PR00171	NA	NA	NA	NA	TIGR00879	NA	NA	NA
PTB66692.1	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	PS50048	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SM00066;SM00906	NA	SSF57701	G3DSA:4.10.240.10	NA	PF04082;PF00172	PTHR19444:SF21;PTHR19444	cd12148;cd00067	NA	PS00463	mobidb-lite	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
PTB64789.1	IPR000873	GO:0003824	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF52343;SSF56801	G3DSA:3.40.50.12780;G3DSA:3.30.300.30	NA	PF00501	PTHR33927:SF2;PTHR33927	NA	NA	PS00455	NA	NA	NA	NA	NA	NA	TIGR01733	NA	NA	NA
PTB64971.1	IPR004119	NA	NA	NA	SM00587	NA	SSF56112	G3DSA:3.90.1200.10	NA	PF02958	PTHR23020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63543.1	IPR001063	GO:0003735;GO:0005840;GO:0006412;GO:0015934;GO:0005622	NA	NA	NA	NA	SSF54843	G3DSA:3.90.470.10	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	PF00237	PTHR11593:SF10;PTHR11593	cd00336	NA	PS00464	NA	NA	NA	NA	NA	NA	TIGR01038	NA	NA	NA
PTB62139.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PS50048	NA	SM00066	NA	SSF57701	G3DSA:4.10.240.10	NA	PF00172;PF11951	PTHR31313;PTHR31313:SF33	cd00067	NA	PS00463	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68323.1	IPR008271	GO:0004672;GO:0006468;GO:0005524	PS50011	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SM00220	NA	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.310.220	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PF00069;PF16797	PTHR24343;PTHR24343:SF307	cd14081	NA	PS00108;PS00107	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69609.1	IPR020846	GO:0016021;GO:0055085	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	NA	PF07690	PTHR23507;PTHR23507:SF25	cd06174	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62910.1	IPR023395	GO:0022857	PS50920	NA	NA	NA	SSF103506	G3DSA:1.50.40.10	NA	PF00153	PTHR24089:SF653;PTHR24089	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69277.1	IPR003959	GO:0005524	NA	NA	SM00382	NA	SSF52540	G3DSA:3.40.50.300	NA	PF00004	PTHR23077;PTHR23077:SF91	cd00009	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63420.1	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	PTHR19297;PTHR19297:SF126	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB70334.1	IPR004160	GO:0003924;GO:0005525	PS51722	NA	NA	NA	SSF52540;SSF50447;SSF50465	G3DSA:2.40.30.10;G3DSA:3.40.50.300	NA	PF03143;PF00009;PF03144	PTHR23115:SF227;PTHR23115	cd03705;cd03693;cd01883	NA	PS00301	NA	PR00315	NA	NA	NA	NA	NA	NA	NA	NA
PTB63589.1	IPR023214	GO:0000166;GO:0006812;GO:0016021;GO:0016887	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	SSF81660;SSF81665;SSF56784;SSF81653	G3DSA:2.70.150.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10;G3DSA:3.40.1110.10	Reactome: R-HSA-936837	PF00702;PF12409;PF00122	PTHR24093;PTHR24093:SF373	cd07542	NA	PS00154	mobidb-lite	PR00119	NA	NA	NA	NA	TIGR01657;TIGR01494	NA	SFLDS00003;SFLDF00027	NA
PTB69442.1	IPR011527	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PS50929;PS50893	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	SM00382	TMhelix	SSF52540;SSF90123	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	NA	PF00664;PF00005	PTHR24223;PTHR24223:SF344	cd03244;cd03250	Coil	PS00211	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB61942.1	IPR036770	GO:0005515	PS50088;PS50297;PS50181	NA	SM00248	NA	SSF48403;SSF81383	G3DSA:1.25.40.20;G3DSA:1.20.1280.50	NA	NA	PTHR44294	cd00204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68756.1	IPR001810	GO:0005515	PS50181	NA	NA	NA	SSF81383	NA	NA	PF12937	PTHR12874:SF9;PTHR12874	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65900.1	IPR027417	GO:0005525;GO:0005730	PS51721	NA	NA	NA	SSF52540	G3DSA:3.40.50.300;G3DSA:1.10.1580.10	NA	PF08153;PF01926	PTHR11089;PTHR11089:SF9	cd01858	Coil	NA	mobidb-lite	PR00326	NA	NA	NA	NA	NA	NA	NA	NA
PTB64730.1	IPR008271	GO:0004672;GO:0006468;GO:0005524	PS50011	NA	SM00220	NA	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	PF00069	PTHR43671	cd08217	Coil	PS00108	mobidb-lite	NA	NA	NA	NA	PIRSF000615	NA	NA	NA	NA
PTB61989.1	IPR017907	GO:0004842;GO:0016567	PS50089	NA	SM00184;SM00647	NA	SSF57850	G3DSA:1.20.120.1750;G3DSA:3.30.40.10	NA	PF01485	PTHR11685:SF204;PTHR11685	cd16625	NA	PS00518	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68635.1	IPR005198	GO:0008496;GO:0016052;GO:0003824	NA	NA	NA	NA	SSF48208	G3DSA:1.50.10.20	NA	PF03663	PTHR12145:SF32;PTHR12145	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	PIRSF016302	NA	NA	NA	NA
PTB68346.1	IPR001841	NA	PS50089	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SM00184	TMhelix	SSF52025;SSF57850	G3DSA:3.30.40.10	NA	PF02225;PF13639	PTHR22765;PTHR22765:SF5	cd04813;cd16454	NA	NA	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB64947.1	IPR011701	GO:0016021;GO:0055085	PS50850	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	NA	PF07690	PTHR43791;PTHR43791:SF39	cd06174	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63818.1	IPR001841	GO:0008270	PS51270;PS51266;PS50089	NA	SM00184	NA	SSF161245;SSF57850;SSF161219	G3DSA:2.20.28.10;G3DSA:3.30.40.10	Reactome: R-HSA-110320|Reactome: R-HSA-983168	PF05495;PF13639;PF14599	PTHR21319;PTHR21319:SF0	cd16464	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66336.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66705.1	IPR008839	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF05546	PTHR31961	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63109.1	IPR008146	GO:0004356;GO:0006807;GO:0003824;GO:0006542	NA	NA	SM01230	NA	SSF55931;SSF54368	G3DSA:3.30.590.40;G3DSA:3.10.20.70	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964	PF03951;PF00120	PTHR20852;PTHR20852:SF57	NA	NA	PS00181;PS00180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62341.1	IPR027417	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF52540	G3DSA:3.40.50.300	NA	PF17784	PTHR36978;PTHR36978:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63571.1	IPR000182	NA	PS51186	NA	NA	NA	SSF55729	G3DSA:3.40.630.30	NA	PF00583	PTHR23091;PTHR23091:SF71	cd04301	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66179.1	IPR025870	NA	NA	NA	NA	NA	NA	G3DSA:3.10.180.10	NA	PF13468	PTHR40265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67890.1	IPR018422	GO:0006812;GO:0015299;GO:0016021;GO:0006814;GO:0006885;GO:0015385;GO:0055085	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	Reactome: R-HSA-425986	PF00999	PTHR10110;PTHR10110:SF127	NA	NA	NA	mobidb-lite	PR01084	NA	NA	NA	NA	TIGR00840	NA	NA	NA
PTB62029.1	IPR006598	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SM00672	TMhelix	NA	NA	NA	PF05686	PTHR12203:SF54;PTHR12203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70562.1	IPR001253	GO:0003743;GO:0006413;GO:0003723	PS50832	NA	SM00652	NA	SSF50249	G3DSA:2.40.50.140	NA	PF01176	PTHR21668	cd05793	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	TIGR00523	MF_00216	NA	PD005579
PTB65862.1	IPR000845	GO:0003824;GO:0009116	NA	NA	NA	NA	SSF53167	NA	NA	PF01048	PTHR21234:SF16;PTHR21234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65270.1	IPR011044	NA	NA	NA	NA	NA	SSF50969	NA	NA	NA	PTHR16220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64405.1	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	G3DSA:2.70.50.70	NA	NA	PTHR36182;PTHR36182:SF1	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA
PTB62800.1	IPR028124	NA	NA	NA	NA	NA	NA	NA	NA	PF15477	NA	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64277.1	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62418.1	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	PTHR10485;PTHR10485:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70370.1	IPR029063	NA	NA	NA	NA	NA	SSF53335	G3DSA:3.40.50.150	NA	PF13649	PTHR43591:SF10;PTHR43591	cd02440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62638.1	IPR005013	GO:0005789;GO:0018279	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203|Reactome: R-HSA-6798695|Reactome: R-HSA-879415	PF03345	PTHR10830	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA
PTB62770.1	IPR027267	GO:0007165;GO:0035556	PS50186;PS51741;PS50238	NA	SM00049;SM00324;SM00055	NA	SSF103657;SSF48350;SSF46785	G3DSA:1.10.555.10;G3DSA:1.10.10.10;G3DSA:1.20.1270.60	Reactome: R-HSA-194840	PF00620;PF00610;PF00611	PTHR23065:SF17;PTHR23065	cd04399	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62268.1	IPR001680	GO:0005515;GO:0016021;GO:0055085	PS50082;PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	SM00320	TMhelix	SSF50998;SSF103473;SSF53474	G3DSA:3.40.50.300;G3DSA:2.130.10.10;G3DSA:1.20.1250.20;G3DSA:3.40.50.1820;G3DSA:1.20.1720.10	NA	PF07690;PF05057	PTHR23502:SF51;PTHR23502	cd06174	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66250.1	IPR020846	GO:0005215;GO:0016021;GO:0055085	PS50850	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	NA	PF07690	PTHR23504:SF3;PTHR23504	cd06174	NA	NA	NA	PR01035	NA	NA	NA	NA	NA	NA	NA	NA
PTB68409.1	IPR005829	GO:0005215;GO:0016021;GO:0055085	PS50850	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	NA	PF07690	PTHR23502:SF38;PTHR23502	cd06174	Coil	PS00216	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65696.1	IPR036513	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	PS50801	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	SSF52091	G3DSA:3.30.750.24	NA	PF01740;PF00916	PTHR11814:SF180;PTHR11814	cd07042	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70972.1	IPR002490	GO:0015078;GO:0015991;GO:0033179;GO:0000220	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	PF01496	PTHR11629:SF63;PTHR11629	NA	Coil	NA	NA	NA	NA	NA	NA	PIRSF001293	NA	NA	NA	NA
PTB64753.1	IPR013057	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	PF01490	PTHR22950;PTHR22950:SF458	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67025.1	IPR004762	GO:0006865;GO:0016021;GO:0016020;GO:0055085;GO:0022857	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	G3DSA:1.20.1740.10	NA	PF00324	PTHR43341:SF31;PTHR43341	NA	NA	PS00218	NA	NA	NA	NA	NA	PIRSF006060	TIGR00913	NA	NA	NA
PTB62373.1	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB67663.1	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB70264.1	IPR011545	GO:0003676;GO:0005524;GO:0003723;GO:0003724;GO:0006401	PS51192;PS51194	NA	SM00487;SM01142;SM00490	NA	SSF52540	G3DSA:1.20.1500.20;G3DSA:1.10.3380.30;G3DSA:3.40.50.300;G3DSA:2.40.30.300	NA	PF00270;PF17911;PF13234;PF00271;PF08148	PTHR12131;PTHR12131:SF8	cd00079;cd00046	Coil	NA	mobidb-lite	NA	NA	NA	NA	PIRSF005198	NA	NA	NA	NA
PTB62855.1	IPR017849	GO:0003824;GO:0008484	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF53649	G3DSA:3.40.720.10	NA	PF00884	PTHR10342:SF247;PTHR10342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70446.1	IPR027417	NA	NA	NA	NA	NA	SSF52540	G3DSA:3.40.50.300	NA	PF14617	PTHR24030	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66936.1	IPR023244	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	PF13515	PTHR31086;PTHR31086:SF16	NA	NA	NA	mobidb-lite	PR02047	NA	NA	NA	NA	NA	NA	NA	NA
PTB64326.1	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF144083	G3DSA:1.20.58.340	NA	NA	PTHR21535;PTHR21535:SF66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64097.1	IPR015943	GO:0005515	PS50294;PS50082	NA	SM00320	NA	SSF50978	G3DSA:2.130.10.10	NA	PF00400	PTHR19923	cd00200	NA	PS00678	mobidb-lite	PR00320	NA	NA	NA	NA	NA	NA	NA	NA
PTB70322.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69604.1	IPR018028	GO:0004096;GO:0006979;GO:0020037;GO:0055114	PS51402	NA	SM01060	NA	SSF56634	G3DSA:2.40.180.10	KEGG: 00380+1.11.1.6|KEGG: 00630+1.11.1.6|Reactome: R-HSA-3299685|Reactome: R-HSA-6798695|Reactome: R-HSA-9033241	PF06628;PF00199	PTHR11465;PTHR11465:SF9	cd08157	NA	PS00438;PS00437	mobidb-lite	PR00067	NA	NA	NA	PIRSF038928	NA	NA	NA	NA
PTB66222.1	IPR011541	GO:0015099;GO:0016021;GO:0035444;GO:0046872	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	PF03824	PTHR31611	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB67108.1	IPR003545	GO:0003677;GO:0003721;GO:0003964	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-171319|Reactome: R-HSA-201722	PF12009	PTHR12066	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70147.1	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	PTHR42109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70401.1	IPR035979	GO:0003676	NA	NA	NA	NA	SSF54928	G3DSA:3.30.70.330	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB62985.1	IPR036779	GO:0008061;GO:0005975	PS51782	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	SM00257;SM00636	NA	SSF57016;SSF51445;SSF54106;SSF54556	G3DSA:3.10.350.10;G3DSA:3.10.50.10;G3DSA:3.30.60.10;G3DSA:3.20.20.80	NA	PF00704;PF01476	PTHR11177;PTHR11177:SF231	cd00035;cd00118;cd02878	NA	NA	mobidb-lite	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	PD000609
PTB70177.1	IPR036188	GO:0016614;GO:0050660;GO:0055114	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	SSF54373;SSF51905	G3DSA:3.30.560.10;G3DSA:3.50.50.60	Reactome: R-HSA-6798163	PF05199;PF00732	PTHR11552;PTHR11552:SF153	NA	NA	PS00624	NA	NA	NA	NA	NA	PIRSF000137	NA	NA	NA	NA
PTB70503.1	IPR010636	GO:0005576	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	NA	NA	SSF101751	G3DSA:3.20.120.10	NA	PF06766	PTHR42341	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA
PTB61553.1	IPR014752	NA	NA	NA	NA	NA	NA	G3DSA:2.60.40.640	NA	PF03643	PTHR12233;PTHR12233:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB64538.1	IPR018851		NA	NA	NA	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	PF10444	PTHR16040	NA	Coil	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68154.1	IPR020846	GO:0016021;GO:0055085	PS50850	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	SSF103473	G3DSA:1.20.1250.20	NA	PF07690	PTHR23502;PTHR23502:SF131	cd06174	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
