Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	GO	PRINTS	Pfam	ProSiteProfiles	MobiDBLite	Phobius	TMHMM	CDD	Coils	SFLD	PATHWAY	ProSitePatterns	TIGRFAM	SMART	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	Hamap	ProDom	PIRSF
OTA04669.1	IPR020846	SSF103473	PTHR19432:SF35;PTHR19432	G3DSA:1.20.1250.20	NA	NA	PF13347	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSZ99892.1	IPR002376	SSF53328	PTHR43369	G3DSA:3.40.50.170	GO:0009058;GO:0016742;GO:0004644;GO:0006189	NA	PF00551	NA	NA	NA	NA	NA	Coil	NA	KEGG: 00670+2.1.2.9|KEGG: 00970+2.1.2.9	NA	TIGR00639	NA	NA	NA	NA	NA	NA	NA
OTA03233.1	IPR019341	NA	PTHR14659	G3DSA:3.40.50.11960	NA	NA	PF10199	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07394.1	IPR006694	NA	PTHR11863:SF40;PTHR11863	NA	GO:0005506;GO:0008610;GO:0016491;GO:0055114	NA	PF04116	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00075.1	IPR036259	SSF103473	PTHR23500:SF146;PTHR23500	NA	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	PR00171	PF00083	PS50850	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	Reactome: R-HSA-189200	PS00217;PS00216	TIGR00879	NA	NA	NA	NA	NA	NA	NA
OTA04660.1	IPR036522	SSF55040	PTHR22960:SF0;PTHR22960	G3DSA:3.30.70.640	GO:0006777	NA	PF01967	NA	mobidb-lite	NA	NA	cd01420	NA	NA	KEGG: 00790+4.6.1.17|MetaCyc: PWY-6823|Reactome: R-HSA-947581	NA	TIGR00581	NA	NA	NA	NA	MF_01224_B	NA	NA
OTA03340.1	IPR026899	NA	PTHR12741;PTHR12741:SF15	NA	GO:0000148;GO:0003843;GO:0006075;GO:0016020	NA	PF02364;PF14288	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	KEGG: 00500+2.4.1.34|MetaCyc: PWY-6773	NA	NA	SM01205	NA	NA	NA	NA	NA	NA
OTA04965.1	IPR001138	SSF57701	PTHR31944:SF115;PTHR31944	G3DSA:4.10.240.10	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	PF00172;PF04082	PS50048	NA	NA	NA	cd12148;cd00067	NA	NA	NA	PS00463	NA	SM00066;SM00906	NA	NA	NA	NA	NA	NA
OTA02863.1	IPR006680	SSF51556	PTHR21240	G3DSA:3.20.20.140	GO:0016787;GO:0016831	NA	PF04909	NA	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-71240	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02299.1	IPR036259	SSF103473	PTHR23504:SF6;PTHR23504	NA	GO:0016021;GO:0055085;GO:0005215	PR01035	PF07690	PS50850	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06610.1	IPR038846	SSF47819	PTHR15561	G3DSA:1.20.1250.40	GO:0005666;GO:0006384;GO:0000166;GO:0003824;GO:0044237;GO:0006352;GO:0030880	NA	PF03874	NA	NA	NA	NA	NA	Coil	NA	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	SM00657	NA	NA	NA	NA	NA	NA
OTA00084.1	IPR034308	SSF52025;SSF53187;SSF47672	PTHR10404:SF64;PTHR10404	G3DSA:3.50.30.30;G3DSA:3.40.630.10;G3DSA:1.20.930.40	NA	NA	PF02225;PF04389;PF04253	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd02121;cd08022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07644.1	IPR037807	NA	PTHR13585;PTHR13585:SF19	NA	GO:0005671	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02347.1	IPR016509	NA	PTHR28092	NA	GO:0000753;GO:0016020;GO:0032220	NA	PF12351	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PIRSF007138
OTA00442.1	IPR002528	NA	PTHR11206:SF197;PTHR11206	NA	GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085	NA	PF01554	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd13132	NA	NA	Reactome: R-HSA-425366	NA	TIGR00797	NA	NA	NA	NA	NA	NA	NA
OTA07768.1	IPR002225	SSF51735	PTHR10366:SF447;PTHR10366	G3DSA:3.40.50.720	GO:0003854;GO:0006694;GO:0016616;GO:0055114	NA	PF01073	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06015.1	IPR032631	SSF81653;SSF81665;SSF81660;SSF56784	PTHR24092:SF97;PTHR24092	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10	GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021;GO:0000166	PR00119	PF16209;PF00122;PF16212;PF13246	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	cd02073	NA	NA	Reactome: R-HSA-936837	PS00154	TIGR01652;TIGR01494	NA	NA	NA	NA	NA	NA	NA
OTA08642.1	IPR005829	SSF103473	PTHR23500:SF50;PTHR23500	G3DSA:1.20.1250.20	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	PR00171	PF00083	PS50850	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	Reactome: R-HSA-189200	PS00216;PS00217	TIGR00879	NA	NA	NA	NA	NA	NA	NA
OTA01221.1	IPR008942	NA	PTHR28291	G3DSA:1.25.40.90	NA	NA	PF12350;PF12243	PS51391	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01667.1	IPR015424	SSF53383	PTHR43092:SF2;PTHR43092	G3DSA:3.40.640.10	GO:0003824	NA	PF00266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03830.1	IPR024481	SSF52540	PTHR10887;PTHR10887:SF382	G3DSA:3.40.50.300	NA	NA	PF13087;PF12726;PF13086	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01172.1	IPR011701	SSF103473	PTHR11360:SF224;PTHR11360	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	PS50850	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08798.1	IPR000719	SSF56112	PTHR44305;PTHR44305:SF2	G3DSA:1.10.510.10	GO:0004672;GO:0005524;GO:0006468	NA	PF00069	PS50011	mobidb-lite	NA	NA	cd00180	NA	NA	NA	PS00108;PS00107	NA	SM00220	NA	NA	NA	NA	NA	NA
OTA08047.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07270.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
OTA01334.1	IPR036770	SSF48403	PTHR44206	G3DSA:1.25.40.20	GO:0005515	PR01415	PF12796	PS50297;PS50088	mobidb-lite	NA	NA	cd00204	NA	NA	NA	NA	NA	SM00248	NA	NA	NA	NA	NA	NA
OTA02023.1	IPR017975	SSF52490;SSF55307	PTHR11588;PTHR11588:SF256	G3DSA:3.40.50.1440;G3DSA:3.30.1330.20;G3DSA:1.10.287.600	GO:0005525;GO:0005874;GO:0007017;GO:0003924;GO:0005200	PR01161;PR01163	PF00091;PF03953	NA	mobidb-lite	NA	NA	cd02187	Coil	NA	Reactome: R-HSA-380320	PS00227;PS00228	NA	SM00865;SM00864	NA	NA	NA	NA	NA	NA
OTA00700.1	IPR003213	SSF47694	PTHR11387;PTHR11387:SF2	G3DSA:1.10.10.140	GO:0005739	NA	PF02297	PS51808	NA	NA	NA	cd00926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PD015172	PIRSF000278
OTA06113.1	IPR010730	NA	PTHR24148:SF57;PTHR24148	NA	NA	NA	PF06985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05948.1	IPR036388	SSF46785;SSF49879	NA	G3DSA:1.10.10.10;G3DSA:2.60.200.20	GO:0003700;GO:0006355;GO:0043565;GO:0005515	PR00053	PF00250	PS50006;PS50039	mobidb-lite	NA	NA	cd00060	Coil	NA	NA	NA	NA	SM00339	NA	NA	NA	NA	NA	NA
OTA05496.1	IPR003439	SSF52540;SSF90123	PTHR24221:SF400;PTHR24221	G3DSA:1.20.1560.10;G3DSA:3.40.50.300	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	PF00005;PF00664	PS50893;PS50929	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd03249	Coil	NA	NA	PS00211	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA01065.1	IPR004837	NA	PTHR31503	G3DSA:1.20.58.1130;G3DSA:1.20.1420.30	GO:0016021;GO:0055085	NA	PF01699	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	NA	Reactome: R-HSA-425561	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03248.1	IPR000131	SSF52943	PTHR11693:SF22;PTHR11693	G3DSA:3.40.1380.10;G3DSA:1.10.287.80	GO:0015986;GO:0045261;GO:0046933	PR00126	PF00231	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	cd12151	NA	NA	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	PS00153	TIGR01146	NA	SignalP-TM	NA	NA	NA	NA	PIRSF039089
OTA08365.1	IPR004393	SSF54675;SSF51690	PTHR32179	G3DSA:3.20.20.70;G3DSA:3.90.1170.20	GO:0004514;GO:0019363;GO:0003824;GO:0016763;GO:0009435	NA	PF02749;PF01729	NA	NA	NA	NA	cd01572	NA	NA	KEGG: 00760+2.4.2.19|MetaCyc: PWY-5316|MetaCyc: PWY-5653|MetaCyc: PWY-7342|Reactome: R-HSA-196807	NA	TIGR00078	NA	NA	NA	NA	NA	NA	PIRSF006250
OTA03181.1	IPR023214	SSF81665;SSF56784;SSF81653	PTHR42861;PTHR42861:SF26	G3DSA:3.40.50.1000;G3DSA:2.60.120.1500;G3DSA:3.40.1110.10;G3DSA:1.20.1110.10	GO:0000166;GO:0008553;GO:0016021;GO:0120029	PR00119;PR00120	PF00122;PF00690;PF00702	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd02076	NA	SFLDG00002;SFLDF00027	Reactome: R-HSA-936837	PS00154	TIGR01647;TIGR01494	SM00831	NA	NA	NA	NA	NA	NA
OTA06920.1	IPR027417	SSF52540;SSF53448;SSF55856;SSF109715	PTHR22914;PTHR22914:SF16	NA	GO:0003774;GO:0005524;GO:0016459;GO:0016758	NA	PF00063;PF00173;PF08766;PF03142	PS51456;PS50255	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd14879	NA	NA	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	SM00242;SM01117	NA	NA	NA	NA	NA	NA
OTA02743.1	IPR019038	NA	PTHR17598	G3DSA:1.10.10.1300	GO:0005634;GO:0006260	NA	PF09507	NA	mobidb-lite	NA	NA	NA	Coil	NA	Reactome: R-HSA-110314|Reactome: R-HSA-174411|Reactome: R-HSA-174414|Reactome: R-HSA-174417|Reactome: R-HSA-174437|Reactome: R-HSA-5358565|Reactome: R-HSA-5358606|Reactome: R-HSA-5651801|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091|Reactome: R-HSA-69166|Reactome: R-HSA-69183	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03769.1	IPR011527	SSF90123;SSF52540	PTHR24223;PTHR24223:SF340	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	NA	PF00664;PF00005	PS50929;PS50893	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd03250;cd03244	NA	NA	NA	PS00211	NA	SM00382	NA	NA	NA	NA	NA	NA
OTA05771.1	IPR036915	SSF47954	PTHR10177:SF201;PTHR10177	G3DSA:1.10.472.10	GO:0005634	NA	PF02984;PF00134	NA	NA	NA	NA	cd00043	NA	NA	NA	PS00292	NA	SM00385;SM01332	NA	NA	NA	NA	NA	PIRSF001771
OTA02815.1	IPR004254	NA	PTHR20855:SF15;PTHR20855	NA	GO:0016021	NA	PF03006	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07821.1	IPR037393	NA	PTHR23325	NA	NA	NA	PF09073	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01964.1	IPR001680	SSF50978	PTHR19853:SF0;PTHR19853	G3DSA:2.130.10.10	GO:0005515	PR00320	PF00400;PF04003	PS50082;PS50294	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd00200	NA	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PS00678	NA	SM00320	NA	NA	NA	NA	NA	NA
OTA01625.1	IPR020846	SSF103473	PTHR23514:SF3;PTHR23514	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	PS50850	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00220.1	IPR034294	SSF81338	PTHR19139:SF124;PTHR19139	G3DSA:1.20.1080.10	GO:0015267;GO:0016020;GO:0055085	PR00783	PF00230	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	Reactome: R-HSA-432047	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01104.1	NA	NA	PTHR31086:SF1;PTHR31086	NA	NA	NA	PF13515	NA	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02573.1	IPR040115	NA	PTHR22166;PTHR22166:SF12	NA	GO:0071786	NA	PF10058	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00379.1	IPR001680	SSF50978;SSF101908	PTHR14344	G3DSA:2.130.10.10	GO:0005515	NA	PF00400	PS50294;PS50082	NA	NA	NA	NA	NA	NA	NA	PS00678	NA	SM00320	NA	NA	NA	NA	NA	NA
OTA03147.1	IPR000891	SSF89000;SSF110921;SSF51569	PTHR10277;PTHR10277:SF28	G3DSA:3.30.160.270;G3DSA:3.20.20.70	GO:0003824;GO:0003852;GO:0009098;GO:0019752;GO:0046912	NA	PF08502;PF00682	PS50991	NA	NA	NA	cd07942	NA	NA	KEGG: 00290+2.3.3.13|KEGG: 00620+2.3.3.13|MetaCyc: PWY-6871	PS00815;PS00816	TIGR00970	SM00917	NA	NA	NA	MF_00572	NA	NA
OTA00074.1	IPR011650	SSF53187;SSF55031;SSF53686	PTHR43808	G3DSA:3.40.50.1100;G3DSA:3.40.630.10;G3DSA:3.30.70.360	GO:0006508;GO:0008237;GO:0016787	NA	PF07687;PF01546;PF00291	NA	NA	NA	NA	cd08013;cd00640	NA	NA	NA	PS00758	TIGR01910	NA	NA	NA	NA	NA	NA	NA
OTA06009.1	IPR000192	SSF53383	PTHR43769:SF2;PTHR43769	G3DSA:3.90.1150.10;G3DSA:3.40.640.10	GO:0003824	NA	PF00266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00810.1	IPR015424	SSF53383	PTHR11680:SF25;PTHR11680	G3DSA:3.40.640.10;G3DSA:3.90.1150.10	GO:0003824;GO:0004372;GO:0019264;GO:0030170;GO:0035999	NA	PF00464	NA	NA	NA	NA	cd00378	NA	NA	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757	PS00096	NA	NA	NA	NA	NA	MF_00051	NA	NA
OTA00970.1	IPR036928	SSF75304;SSF52499	PTHR43262	G3DSA:3.90.1300.10;G3DSA:1.20.58.1700;G3DSA:3.40.50.850	GO:0003824	NA	PF01425;PF00857	NA	NA	NA	NA	cd00431	NA	NA	KEGG: 00970+6.3.5.7|MetaCyc: PWY-5921	PS00571	NA	NA	NA	NA	NA	NA	NA	NA
OTA04501.1	IPR036430	SSF55895	PTHR11240:SF22;PTHR11240	G3DSA:3.90.730.10	GO:0003723;GO:0033897	NA	PF00445	NA	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	cd01061	Coil	NA	Reactome: R-HSA-6798695	PS00531;PS00530	NA	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA
OTA05333.1	IPR011701	SSF103473	PTHR23502:SF4;PTHR23502	G3DSA:1.20.1250.20;G3DSA:1.20.1720.10	GO:0016021;GO:0055085	NA	PF07690	PS50850	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA05411.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03900.1	IPR000210	NA	NA	NA	GO:0005515	NA	NA	PS50097	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02864.1	IPR020846	SSF103473	PTHR23502	G3DSA:1.20.1250.20	GO:0016021;GO:0055085	NA	PF07690	PS50850	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04486.1	NA	NA	PTHR34992:SF1;PTHR34992	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
OTA01564.1	IPR000352	SSF75620	PTHR11075:SF57;PTHR11075	G3DSA:3.30.160.20	GO:0003747;GO:0006415	NA	PF00472	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07047.1	IPR000644	SSF54631	PTHR12064:SF29;PTHR12064	G3DSA:3.10.580.10	NA	NA	PF01595	PS51371;PS51846	mobidb-lite	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	cd04590	NA	NA	NA	NA	NA	NA	SignalP-TM	SignalP-TM	NA	NA	NA	NA
OTA06778.1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA06236.1	IPR013057	NA	PTHR22950;PTHR22950:SF459	NA	NA	NA	PF01490	NA	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA04307.1	IPR004695	NA	PTHR31686	G3DSA:1.50.10.150	GO:0016021;GO:0055085	NA	PF03595	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd09318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07464.1	IPR004014	SSF81665;SSF56784;SSF81660;SSF81653	PTHR42861;PTHR42861:SF29	G3DSA:2.70.150.10;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000;G3DSA:1.20.1110.10	GO:0000166;GO:0016021	PR00119	PF00690;PF00702;PF00689;PF00122	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	SFLDF00027;SFLDS00003	Reactome: R-HSA-936837	PS00154	TIGR01494	SM00831	NA	NA	NA	NA	NA	NA
OTA05512.1	IPR016035	SSF52151;SSF54637;SSF51412	PTHR10982:SF21;PTHR10982	G3DSA:1.10.110.40;G3DSA:3.30.70.3320;G3DSA:3.30.1120.100;G3DSA:3.10.129.50;G3DSA:1.20.930.70;G3DSA:3.40.366.10;G3DSA:3.30.70.2430;G3DSA:1.20.1050.120;G3DSA:3.20.20.70;G3DSA:3.10.129.10	GO:0004318;GO:0055114;GO:0016740;GO:0003824;GO:0004312;GO:0005835;GO:0006633	PR01483	PF17951;PF17828;PF08354;PF16073;PF01575;PF00698;PF13452	NA	mobidb-lite	NA	NA	cd03447	Coil	NA	KEGG: 00061+2.3.1.39+4.2.1.59+1.3.1.9+3.1.2.14|KEGG: 00780+4.2.1.59|MetaCyc: PWY-4381|MetaCyc: PWY-5142|MetaCyc: PWY-5147|MetaCyc: PWY-5366|MetaCyc: PWY-5367|MetaCyc: PWY-5966|MetaCyc: PWY-5971|MetaCyc: PWY-5973|MetaCyc: PWY-5989|MetaCyc: PWY-5994|MetaCyc: PWY-6113|MetaCyc: PWY-6282|MetaCyc: PWY-6519|MetaCyc: PWY-6799|MetaCyc: PWY-7388|MetaCyc: PWY-7663|MetaCyc: PWY-7664|MetaCyc: PWY-7723|MetaCyc: PWY-7746|MetaCyc: PWY-7858|MetaCyc: PWY-8012|MetaCyc: PWYG-321	NA	NA	SM00827	NA	NA	NA	NA	NA	PIRSF005562
OTA07990.1	IPR011498	SSF117281	PTHR23244	G3DSA:2.120.10.80	GO:0005515	NA	PF07646;PF13415	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08301.1	IPR037198	SSF118116;SSF55874	PTHR10073:SF7;PTHR10073	G3DSA:3.30.1370.100;G3DSA:2.30.42.20;G3DSA:3.30.565.10	GO:0005524;GO:0006298;GO:0007131;GO:0032300;GO:0016887	NA	PF13589;PF08676	NA	mobidb-lite	NA	NA	cd00075	NA	NA	Reactome: R-HSA-912446	NA	NA	SM00853	NA	NA	NA	NA	NA	NA
OTA08177.1	IPR002347	SSF51735	PTHR43348	G3DSA:3.40.50.720	GO:0016491	PR00081;PR00080	PF13561	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	PS00061	NA	NA	NA	NA	NA	NA	NA	NA
OTA00545.1	IPR000254	SSF50685;SSF57180	NA	G3DSA:2.40.40.10	GO:0005576;GO:0005975;GO:0030248;GO:0008810	NA	PF03330;PF00734	PS50842;PS51164	mobidb-lite	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	KEGG: 00500+3.2.1.4|MetaCyc: PWY-6788	PS00562;PS01140	NA	SM00236	NA	SignalP-noTM	NA	NA	PD001821	NA
OTA07456.1	IPR011701	SSF103473	PTHR23504:SF3;PTHR23504	G3DSA:1.20.1250.20	GO:0016021;GO:0055085;GO:0005215	PR01035	PF07690	PS50850	mobidb-lite	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
