Gene	MobiDBLite	PANTHER	Gene3D	interpro	Pfam	GO	SMART	SUPERFAMILY	CDD	ProSiteProfiles	Coils	PATHWAY	Phobius	PRINTS	TMHMM	PIRSF	Hamap	ProSitePatterns	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	TIGRFAM	ProDom	SFLD
augustus_masked-NIGC01000005.1-processed-gene-37.21-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-17.4-mRNA-1	mobidb-lite	PTHR10395:SF7;PTHR10395	G3DSA:2.60.40.180	IPR023419	PF00576		NA	SSF49472	NA	NA	NA	Reactome: R-HSA-2453864|Reactome: R-HSA-2453902|Reactome: R-HSA-3000171|Reactome: R-HSA-6798695|Reactome: R-HSA-975634|Reactome: R-HSA-977225	NA	NA	NA	NA	NA	PS00769;PS00768	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-28.30-mRNA-1	mobidb-lite	NA	G3DSA:3.30.160.60	IPR013087	NA	GO:0003676	NA	SSF57667	NA	PS50157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-7.24-mRNA-1	mobidb-lite	PTHR13038:SF10;PTHR13038	NA	IPR007241	PF04109		NA	NA	NA	NA	NA	Reactome: R-HSA-1632852	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-8.37-mRNA-1	mobidb-lite	PTHR22765:SF43;PTHR22765	G3DSA:3.30.40.10	IPR013083	PF13639	NA	SM00184	SSF57850	NA	PS50089	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-23.19-mRNA-1	NA	PTHR40470	G3DSA:2.60.120.620	IPR008775	PF05721	NA	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-3.29-mRNA-1	mobidb-lite	PTHR23507;PTHR23507:SF25	G3DSA:1.20.1250.20	IPR011701	PF07690	GO:0016021;GO:0055085	NA	SSF103473	cd06174	PS50850	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-3.46-mRNA-1	mobidb-lite	PTHR13140;PTHR13140:SF574	G3DSA:1.20.58.530;G3DSA:4.10.270.10;G3DSA:2.30.30.360;G3DSA:3.40.850.10;G3DSA:1.20.120.720;G3DSA:3.30.70.3240;G3DSA:1.20.5.1050	IPR027417	PF02736;PF01576;PF00063	GO:0003774;GO:0005524;GO:0051015;GO:0016459	SM00242	SSF52540;SSF90257	cd01377	PS51456;PS51844	Coil	NA	NA	PR00193	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-8.43-mRNA-1	mobidb-lite	PTHR13711:SF294;PTHR13711	G3DSA:1.10.30.10	IPR009071	PF00505	NA	SM00398	SSF47095	cd01390	PS50118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-31.25-mRNA-1	mobidb-lite	PTHR21367	NA	IPR030700	PF04376;PF04377	GO:0004057;GO:0016598	NA	SSF55729	NA	NA	NA	MetaCyc: PWY-7802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-4.35-mRNA-1	NA	PTHR23516	G3DSA:1.20.1250.20	IPR036259	PF05631	GO:0015098;GO:0015689;GO:0016021	NA	SSF103473	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-21.5-mRNA-1	NA	PTHR13989;PTHR13989:SF16	G3DSA:2.40.50.140	IPR040260	PF08784;PF01336	GO:0003677;GO:0005634;GO:0006260;GO:0006281;GO:0006310;GO:0003676	NA	SSF46785;SSF50249	cd04478	NA	NA	Reactome: R-HSA-68962	NA	NA	NA	PIRSF036949	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000003.1-augustus-gene-11.8-mRNA-1	mobidb-lite	PTHR37488;PTHR37488:SF1	NA	IPR010699	PF06912	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-19.42-mRNA-1	mobidb-lite	PTHR16171:SF7;PTHR16171	G3DSA:2.20.25.10;G3DSA:3.40.50.1010;G3DSA:1.10.472.30;G3DSA:1.20.930.10	IPR036279	PF01096;PF00867;PF07500;PF00752;PF08711	GO:0003676;GO:0006351;GO:0008270;GO:0004518;GO:0006281;GO:0005634;GO:0006355;GO:0003677;GO:0003824;GO:0016788;GO:0003697;GO:0004519;GO:0006289	SM00485;SM00510;SM00509;SM00279;SM00484;SM00440	SSF47807;SSF46942;SSF47676;SSF88723;SSF57783	cd00183;cd09904;cd09868;cd13749	PS51321;PS51319;PS51133	Coil	Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135	NA	PR00853;PR00066	NA	NA	NA	PS00466;PS00842	NA	NA	NA	TIGR01385	NA	NA
maker-NIGC01000010.1-augustus-gene-11.14-mRNA-1	mobidb-lite	PTHR13384;PTHR13384:SF19	NA	IPR000467	PF01585;PF07713	GO:0003676;GO:0006397;GO:0003723	NA	NA	NA	PS50174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000007.1-processed-gene-5.5-mRNA-1	NA	PTHR42854:SF4;PTHR42854	G3DSA:3.40.50.300;G3DSA:2.40.30.10	IPR000795	PF00009;PF03144;PF09173	GO:0003924;GO:0005525	NA	SSF50447;SSF50465;SSF52540	cd03688;cd15490	PS51722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-20.27-mRNA-1	mobidb-lite	NA	G3DSA:2.60.40.10	IPR003961	PF00041	GO:0005515	SM00060	SSF49265	cd00063;cd00890	PS50853	Coil	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-33.5-mRNA-1	mobidb-lite	PTHR23502:SF4;PTHR23502	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	IPR020846	PF07690	GO:0016021;GO:0055085	NA	SSF103473	cd06174	PS50850	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-25.24-mRNA-1	mobidb-lite	PTHR10223;PTHR10223:SF2	G3DSA:2.130.10.10	IPR001810	PF12937	GO:0005515	SM00256;SM00726	SSF50978;SSF81383	NA	PS50330;PS50181	NA	NA	NA	NA	NA	NA	NA	PS00678	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-28.16-mRNA-1	mobidb-lite	PTHR11947:SF20;PTHR11947	G3DSA:1.20.140.20	IPR003594	PF10436;PF02518	GO:0004672;GO:0016310;GO:0016772	SM00387	SSF55874;SSF69012	cd00075	PS50109	NA	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	NA	PR00344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-25.0-mRNA-1	mobidb-lite	PTHR23504:SF2;PTHR23504	NA	IPR011701	PF07690	GO:0016021;GO:0055085	NA	SSF103473	cd06174	PS50850	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-8.33-mRNA-1	NA	PTHR13337	G3DSA:1.20.1300.10	IPR034804	PF05328	GO:0016020;GO:0005740;GO:0016021	NA	SSF81343	cd03496	NA	NA	Reactome: R-HSA-611105|Reactome: R-HSA-71403	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-19.23-mRNA-1	mobidb-lite	PTHR31503:SF10;PTHR31503	G3DSA:1.20.1420.30;G3DSA:1.20.58.1130	IPR005185	PF03733;PF01699	GO:0016021;GO:0055085	NA	NA	NA	NA	NA	Reactome: R-HSA-425561	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-10.26-mRNA-1	mobidb-lite	PTHR18937;PTHR18937:SF12	G3DSA:3.40.50.300;G3DSA:1.20.1060.20;G3DSA:3.30.70.1620	IPR027417	PF06470;PF02463	GO:0003682;GO:0007064;GO:0008278;GO:0046982;GO:0005515;GO:0005524;GO:0005694;GO:0051276	SM00968	SSF52540;SSF75553	cd03275	NA	Coil	NA	NA	NA	NA	PIRSF005719	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-14.7-mRNA-1	mobidb-lite	PTHR31465;PTHR31465:SF9	NA	IPR007568	PF04479	GO:0016021	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000008.1-augustus-gene-6.28-mRNA-1	NA	PTHR39218	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-7.5-mRNA-1	NA	PTHR21427	G3DSA:1.10.357.10	IPR012762	PF08511	GO:0006744	NA	NA	NA	NA	NA	Reactome: R-HSA-2142789	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	TIGR02396	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-19.25-mRNA-1	NA	PTHR11468;PTHR11468:SF3	G3DSA:3.40.50.2000	IPR000811	PF00343	GO:0005975;GO:0008184;GO:0004645;GO:0030170	NA	SSF53756	cd04300	NA	NA	KEGG: 00500+2.4.1.1|MetaCyc: PWY-5941|MetaCyc: PWY-6731|MetaCyc: PWY-6737|MetaCyc: PWY-7238|Reactome: R-HSA-70221	NA	NA	NA	PIRSF000460	NA	PS00102	NA	NA	NA	TIGR02093	NA	NA
maker-NIGC01000006.1-augustus-gene-5.14-mRNA-1	mobidb-lite	PTHR11760:SF21;PTHR11760	G3DSA:1.10.287.660	IPR029012	PF04420	GO:0071816;GO:0043529	NA	NA	NA	NA	Coil	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	TMhelix	NA	MF_03113	NA	SignalP-noTM	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-25.22-mRNA-1	mobidb-lite	PTHR11702:SF4;PTHR11702	G3DSA:1.20.120.1190;G3DSA:3.40.50.300	IPR010674	PF06858;PF17835;PF08155	GO:0005525;GO:0005730	NA	SSF52540	cd01897	PS51710	Coil	NA	NA	PR00326	NA	PIRSF038919	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000009.1-processed-gene-5.17-mRNA-1	mobidb-lite	PTHR10194;PTHR10194:SF126	G3DSA:2.60.40.150;G3DSA:1.10.506.10	IPR008936	PF00616	GO:0007165;GO:0043087	SM00323	SSF48350;SSF49562;SSF50729	cd05137	PS50018	NA	Reactome: R-HSA-5658442|Reactome: R-HSA-6802949	NA	NA	NA	NA	NA	PS00509	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000005.1-processed-gene-40.20-mRNA-1	mobidb-lite	PTHR12321;PTHR12321:SF95	G3DSA:1.10.20.10	IPR009072	PF07524	GO:0046982;GO:0005669	SM00576	NA	NA	NA	Coil	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-25.32-mRNA-1	mobidb-lite	PTHR43791;PTHR43791:SF27	G3DSA:1.20.1250.20	IPR036259	PF07690	GO:0016021;GO:0055085;GO:0005215	NA	SSF103473	cd06174	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PR01035	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000006.1-processed-gene-22.30-mRNA-1	NA	PTHR11599:SF44;PTHR11599	G3DSA:3.60.20.10	IPR023333	PF00227;PF12465	GO:0004298;GO:0005839;GO:0051603;GO:0004175	NA	SSF56235	cd03763	PS51476	NA	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69229|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	NA	PR00141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-17.7-mRNA-1	mobidb-lite	PTHR12124:SF47;PTHR12124	G3DSA:1.10.150.80;G3DSA:3.30.420.500	IPR010997	PF01612;PF00570;PF08066	GO:0000166;GO:0003824;GO:0044237;GO:0003676;GO:0006139;GO:0008408;GO:0005622;GO:0000176;GO:0006396	SM00341;SM00474	SSF47819;SSF53098	cd06147	PS50967	Coil	Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-1.25-mRNA-1	NA	PTHR43157:SF12;PTHR43157	NA	IPR009580	PF06699	GO:0005789;GO:0006506	NA	NA	NA	NA	NA	Reactome: R-HSA-162710	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-12.24-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-21.12-mRNA-1	mobidb-lite	PTHR13954	G3DSA:3.30.200.20;G3DSA:2.130.10.10;G3DSA:1.10.510.10;G3DSA:1.20.1440.180	IPR011047	PF00069;PF06479	GO:0005524;GO:0004672;GO:0006468;GO:0005515;GO:0004540;GO:0006397	SM00580;SM00564;SM00220	SSF50998;SSF56112	cd09769	PS50011;PS51392	Coil	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	PS00107;PS00108	SignalP-noTM	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-7.0-mRNA-1	mobidb-lite	PTHR31306;PTHR31306:SF5	G3DSA:3.90.550.10	IPR008630	PF05637	GO:0016021;GO:0016757	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-1.36-mRNA-1	NA	PTHR14119	G3DSA:3.40.50.850	IPR000868	PF00857	GO:0003824	NA	SSF52499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-20.18-mRNA-1	mobidb-lite	PTHR23500:SF50;PTHR23500	G3DSA:1.20.1250.20	IPR005829	PF00083	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	NA	SSF103473	cd06174	PS50850	NA	Reactome: R-HSA-189200	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PR00171	TMhelix	NA	NA	PS00217;PS00216	NA	NA	NA	TIGR00879	NA	NA
maker-NIGC01000004.1-augustus-gene-14.11-mRNA-1	mobidb-lite	PTHR23500:SF117;PTHR23500	G3DSA:1.20.1250.20	IPR020846	PF00083	GO:0016020;GO:0022857;GO:0055085;GO:0005215;GO:0016021	NA	SSF103473	cd06174	PS50850	NA	Reactome: R-HSA-189200	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PR00171	TMhelix	NA	NA	PS00217	NA	NA	NA	TIGR00879	NA	NA
maker-NIGC01000003.1-augustus-gene-9.10-mRNA-1	mobidb-lite	PTHR11390:SF21;PTHR11390	G3DSA:3.40.50.140;G3DSA:2.70.20.10;G3DSA:1.10.460.10;G3DSA:1.10.290.10	IPR006171	PF01751;PF01131	GO:0003677;GO:0003916;GO:0006265;GO:0003917	SM00493;SM00436;SM00437	SSF56712	cd03362;cd00186	PS50880	NA	NA	NA	PR00417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-4.15-mRNA-1	mobidb-lite	PTHR18898	G3DSA:3.40.50.300	IPR000629	PF00271;PF00270;PF07926	GO:0003676;GO:0005524;GO:0006606	SM00490;SM00487	SSF52540	cd00079	PS51194;PS51192;PS51195	Coil	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA	NA	PS00039	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-2.10-mRNA-1	mobidb-lite	PTHR12565:SF290;PTHR12565	G3DSA:4.10.280.10	IPR011598	PF00010	GO:0046983;GO:0006355	SM00353	SSF47459	cd00083	PS50888	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-3.38-mRNA-1	NA	PTHR21499	G3DSA:3.40.1160.10;G3DSA:3.30.2130.10	IPR005260	PF13840;PF00696	GO:0004072;GO:0009089;GO:0008652	NA	SSF55021;SSF53633	NA	PS51671	NA	KEGG: 00260+2.7.2.4|KEGG: 00261+2.7.2.4|KEGG: 00270+2.7.2.4|KEGG: 00300+2.7.2.4|MetaCyc: PWY-2941|MetaCyc: PWY-2942|MetaCyc: PWY-5097|MetaCyc: PWY-6160|MetaCyc: PWY-6559|MetaCyc: PWY-6562|MetaCyc: PWY-7153|MetaCyc: PWY-7977	NA	NA	NA	PIRSF000726	NA	PS00324	NA	NA	NA	TIGR00657	NA	NA
augustus_masked-NIGC01000001.1-processed-gene-3.39-mRNA-1	NA	PTHR10314:SF132;PTHR10314	G3DSA:3.10.580.10;G3DSA:3.40.50.1100	IPR005857	PF00571;PF00291	GO:0004122;GO:0005737;GO:0019343;GO:0006535	SM00116	SSF54631;SSF53686	cd01561	PS51371	NA	KEGG: 00260+4.2.1.22|KEGG: 00270+4.2.1.22|MetaCyc: PWY-801	NA	NA	NA	NA	NA	PS00901	NA	NA	NA	TIGR01137	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-32.21-mRNA-1	mobidb-lite	PTHR13179	G3DSA:1.10.10.10	IPR036388	PF12257;PF00610	GO:0035556	SM00049	SSF46785	cd04449	PS50186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-17.53-mRNA-1	mobidb-lite	PTHR12586:SF1;PTHR12586	G3DSA:3.30.870.10	IPR016270	PF13091	GO:0008444;GO:0032049;GO:0003824	SM00155	SSF56024	cd09135;cd09137	PS50035	NA	KEGG: 00564+2.7.8.5|MetaCyc: PWY-5269|MetaCyc: PWY-5668|MetaCyc: PWY-7817|Reactome: R-HSA-1483148	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA
maker-NIGC01000009.1-augustus-gene-1.2-mRNA-1	mobidb-lite	PTHR22601:SF25;PTHR22601	NA	IPR004813	PF03169	GO:0055085	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	TIGR00728	NA	NA
maker-NIGC01000007.1-augustus-gene-0.8-mRNA-1	mobidb-lite	PTHR13222	NA	IPR019460	PF10377	GO:0000045;GO:0000422	NA	NA	NA	NA	Coil	Reactome: R-HSA-1632852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-15.25-mRNA-1	mobidb-lite	PTHR10221;PTHR10221:SF9	G3DSA:1.25.40.770;G3DSA:1.10.20.10	IPR009072	PF07571;PF02969	GO:0046982;GO:0006367;GO:0000124;GO:0005669;GO:0006357;GO:0046695;GO:0006352	SM00803	SSF47113	cd08050	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-13.38-mRNA-1	mobidb-lite	PTHR10682:SF10;PTHR10682	G3DSA:1.10.1410.10;G3DSA:3.30.70.590;G3DSA:3.30.460.10	IPR002934	PF01909;PF04928;PF04926	GO:0016779;GO:0003723;GO:0031123;GO:0004652;GO:0043631;GO:0005634	NA	SSF81301;SSF55003;SSF81631	cd05402	NA	NA	NA	NA	NA	NA	PIRSF018425	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-14.0-mRNA-1	mobidb-lite	PTHR10694:SF8;PTHR10694	G3DSA:3.30.40.10;G3DSA:1.10.150.60;G3DSA:2.60.120.650	IPR001965	PF00628;PF02373;PF08429;PF02928;PF02375;PF01388	GO:0003677	SM00249;SM00545;SM00501;SM00558;SM01014	SSF57903;SSF51197;SSF46774	cd15518	PS50016;PS51011;PS51184;PS51183	Coil	Reactome: R-HSA-3214842	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	NA	NA	NA	NA	PS01359	NA	SignalP-TM	NA	NA	NA	NA
