Gene	interpro	Pfam	GO	PIRSF	Phobius	Gene3D	CDD	TMHMM	PANTHER	SUPERFAMILY	MobiDBLite	SignalP_EUK	ProSitePatterns	Coils	ProSiteProfiles	SMART	PATHWAY	TIGRFAM	SignalP_GRAM_POSITIVE	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-9.3-mRNA-1	IPR037393	PF09073	NA	NA	NA	NA	NA	NA	PTHR23325	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_563110_cov_24.829048-augustus-gene-2.10-mRNA-1	IPR000571	NA	GO:0046872	NA	NA	G3DSA:4.10.1000.10	NA	NA	PTHR23102:SF13;PTHR23102	SSF90229	mobidb-lite	NA	NA	NA	PS50103	SM00356	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
maker-NODE_46_length_156720_cov_25.100528-augustus-gene-0.14-mRNA-1	IPR033191	NA	GO:0005546;GO:0016197;GO:0030036;GO:0031932;GO:0038203	NA	NA	G3DSA:2.30.29.30	cd13311	NA	PTHR31941:SF7;PTHR31941	SSF50729	mobidb-lite	NA	NA	Coil	PS50003	SM00233	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_49_length_121062_cov_26.874627-augustus-gene-0.49-mRNA-1	IPR001138	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	NA	NA	cd00067	NA	PTHR31944:SF92;PTHR31944	NA	mobidb-lite	NA	NA	NA	PS50048	SM00066	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-6.12-mRNA-1	IPR037191	PF02204;PF13857	GO:0035091;GO:0005515	NA	NA	G3DSA:1.20.1050.80;G3DSA:1.25.40.20;G3DSA:3.30.1520.10	cd00204;cd06093	NA	PTHR24170	SSF48403;SSF109993;SSF64268	mobidb-lite	NA	NA	Coil	PS50297;PS51205	SM00248	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	PD127710	NA
augustus_masked-NODE_20_length_530916_cov_24.776642-processed-gene-4.25-mRNA-1	IPR003016	PF01597	GO:0005960;GO:0019464	NA	NA	G3DSA:2.40.50.100	cd06848	NA	PTHR11715:SF3;PTHR11715	SSF51230	NA	NA	PS00189	NA	PS50968	NA	Reactome: R-HSA-389661	TIGR00527	NA	NA	MF_00272	NA	NA	NA
augustus_masked-NODE_11_length_781200_cov_24.806976-processed-gene-2.14-mRNA-1	IPR030475	PF00268	GO:0009263;GO:0055114;GO:0016491	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.10.620.20	cd01049	TMhelix	PTHR23409:SF20;PTHR23409	SSF47240	mobidb-lite	NA	PS00368	NA	NA	NA	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|KEGG: 00983+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_24_length_437981_cov_25.163338-processed-gene-0.35-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_16_length_580193_cov_25.066322-processed-gene-0.24-mRNA-1	IPR020904	PF13561	GO:0016491	NA	NA	G3DSA:3.40.50.720	NA	NA	PTHR43008;PTHR43008:SF5	SSF51735	NA	NA	PS00061	NA	NA	NA	NA	NA	NA	PR00081;PR00080	NA	NA	NA	NA
augustus_masked-NODE_27_length_414828_cov_18.522350-processed-gene-0.15-mRNA-1	IPR007213	PF04072;PF13418;PF13621	GO:0008168;GO:0032259;GO:0018423;GO:0005515	NA	NA	G3DSA:3.40.50.150;G3DSA:2.120.10.80;G3DSA:2.60.120.650	NA	NA	PTHR13600:SF30;PTHR13600	SSF51197;SSF53335;SSF50965	NA	NA	NA	Coil	PS51184	SM00558	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_662468_cov_22.365061-processed-gene-1.23-mRNA-1	IPR000573	PF00694;PF00330	GO:0004409;GO:0009085;GO:0051539	NA	NA	G3DSA:3.30.499.20;G3DSA:3.20.19.10;G3DSA:3.30.499.10	cd01674	NA	PTHR43822:SF2;PTHR43822	SSF52016;SSF53732	mobidb-lite	NA	PS00450;PS01244	NA	NA	NA	KEGG: 00290+4.2.1.33	TIGR00139	NA	PR00415	NA	NA	NA	NA
augustus_masked-NODE_48_length_127753_cov_26.661629-processed-gene-0.34-mRNA-1	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_43_length_162590_cov_24.556791-augustus-gene-0.46-mRNA-1	IPR038579	PF01249	GO:0003735;GO:0005622;GO:0005840;GO:0006412	PIRSF002148	NA	G3DSA:3.30.1230.20	NA	NA	PTHR10442;PTHR10442:SF0	NA	NA	NA	PS00996	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	PD006584	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-8.3-mRNA-1	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR36854	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_29_length_384920_cov_25.747976-processed-gene-1.47-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-6.21-mRNA-1	IPR029063	PF00398	NA	NA	NA	G3DSA:3.40.50.150	NA	NA	PTHR11727:SF15;PTHR11727	SSF53335	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_15_length_596300_cov_26.438574-augustus-gene-4.24-mRNA-1	IPR029058	PF05057	NA	PIRSF005412	NA	G3DSA:3.40.50.1820	NA	NA	PTHR12482:SF11;PTHR12482	SSF53474	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_40_length_185010_cov_24.500170-processed-gene-0.66-mRNA-1	IPR005101	PF03441;PF00875		NA	NA	G3DSA:3.40.50.620;G3DSA:1.25.40.80;G3DSA:1.10.579.10	NA	NA	PTHR11455;PTHR11455:SF9	SSF52425;SSF48173	mobidb-lite	NA	NA	NA	PS51645	NA	Reactome: R-HSA-400253	NA	NA	NA	NA	NA	NA	NA
maker-NODE_8_length_926964_cov_22.211756-augustus-gene-1.1-mRNA-1	IPR002130	PF00160	GO:0000413;GO:0003755;GO:0006457	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN	G3DSA:2.40.100.10	cd01926	TMhelix	PTHR11071;PTHR11071:SF387	SSF50891	NA	SignalP-noTM	PS00170	NA	PS50072	NA	NA	NA	SignalP-TM	PR00153	NA	SignalP-noTM	NA	NA
maker-NODE_41_length_174959_cov_26.935698-augustus-gene-0.60-mRNA-1	IPR017441	PF00069	GO:0005524;GO:0004672;GO:0006468	NA	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	cd14136	NA	PTHR24055;PTHR24055:SF337	SSF56112	mobidb-lite	NA	PS00107	NA	PS50011	SM00220	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_15_length_596300_cov_26.438574-processed-gene-2.9-mRNA-1	IPR018935	PF01163;PF09202	GO:0004674;GO:0005524;GO:0004672;GO:0006468	NA	NA	G3DSA:1.10.510.10;G3DSA:1.10.10.10	cd05144	NA	PTHR10593;PTHR10593:SF36	SSF46785;SSF56112	mobidb-lite	NA	PS01245	NA	NA	SM00090	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_427975_cov_24.897092-augustus-gene-3.43-mRNA-1	IPR005225	PF00071	GO:0005525;GO:0003924	NA	NA	G3DSA:3.40.50.300	NA	NA	PTHR24073:SF465;PTHR24073	SSF52540	mobidb-lite	NA	NA	NA	PS51419	SM00174;SM00175;SM00173	NA	TIGR00231	NA	PR00449	NA	NA	NA	NA
maker-NODE_6_length_1086122_cov_24.848966-augustus-gene-5.8-mRNA-1	IPR007248	PF04117	GO:0016021	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR11266;PTHR11266:SF23	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_1806559_cov_23.166471-augustus-gene-12.8-mRNA-1	IPR018506	PF00173	GO:0020037	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:3.10.120.10	NA	TMhelix	PTHR19359:SF14;PTHR19359	SSF55856	NA	NA	PS00191	NA	PS50255	SM01117	NA	NA	NA	PR00363	NA	NA	NA	NA
augustus_masked-NODE_45_length_159524_cov_23.948726-processed-gene-0.47-mRNA-1	IPR017972	PF00067	GO:0016705;GO:0055114;GO:0005506;GO:0020037;GO:0004497	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:1.10.630.10	NA	TMhelix	PTHR24286;PTHR24286:SF24	SSF48264	NA	NA	PS00086	NA	NA	NA	NA	NA	NA	PR00385;PR00465	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-1.13-mRNA-1	IPR004523	PF00152	GO:0000166;GO:0004815;GO:0005524;GO:0005737;GO:0006422;GO:0004812;GO:0006418	NA	NA	G3DSA:2.40.50.140;G3DSA:3.30.930.10	cd00776;cd04320	NA	PTHR43450	SSF50249;SSF55681	mobidb-lite	NA	NA	Coil	PS50862	NA	Reactome: R-HSA-2408517|Reactome: R-HSA-379716	NA	NA	PR01042	MF_02075	NA	NA	NA
augustus_masked-NODE_20_length_530916_cov_24.776642-processed-gene-2.4-mRNA-1	IPR003959	PF00004;PF16193;PF12002	GO:0005524;GO:0003677;GO:0006281;GO:0006260	NA	NA	G3DSA:1.10.3710.10;G3DSA:1.20.272.10;G3DSA:3.30.160.60;G3DSA:3.40.50.300;G3DSA:1.10.8.60	cd00009	NA	PTHR13779:SF7;PTHR13779	SSF52540;SSF48019	mobidb-lite	NA	NA	NA	NA	SM00734;SM00382	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-3.19-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_56_length_103439_cov_24.267597-augustus-gene-0.4-mRNA-1	IPR000791	PF01184	GO:0016021	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR31123;PTHR31123:SF1	NA	NA	NA	PS01114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_4_length_1120656_cov_25.632235-processed-gene-9.31-mRNA-1	IPR038554	PF00326;PF00930	GO:0006508;GO:0008236	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	G3DSA:2.140.10.30;G3DSA:3.40.50.1820	NA	NA	PTHR11731:SF162;PTHR11731	SSF82171;SSF53474	mobidb-lite	SignalP-noTM	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
augustus_masked-NODE_24_length_437981_cov_25.163338-processed-gene-2.7-mRNA-1	IPR005024	PF03357	GO:0007034	NA	NA	G3DSA:1.10.287.1060	NA	NA	PTHR22761:SF10;PTHR22761	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-5.9-mRNA-1	IPR036028	PF00018;PF04366	GO:0005515	NA	NA	G3DSA:2.30.30.40	cd11525;cd11842	NA	PTHR15629:SF2;PTHR15629	SSF50044	mobidb-lite	NA	NA	NA	PS50002	SM00326	NA	NA	NA	PR01887;PR00452	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-0.6-mRNA-1	IPR031327	PF14551;PF17855;PF00493;PF17207	GO:0003677;GO:0005524;GO:0006270;GO:0003688;GO:0005634;GO:0042555;GO:0006260	NA	NA	G3DSA:2.40.50.140;G3DSA:3.30.1640.10;G3DSA:3.40.50.300;G3DSA:2.20.28.10	cd00009	NA	PTHR11630;PTHR11630:SF42	SSF50249;SSF52540	NA	NA	PS00847	NA	PS50051	SM00350	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	NA	NA	PR01661;PR01657	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-5.7-mRNA-1	IPR008504	PF07019	GO:0005783;GO:0016021;GO:0072546	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	PTHR20994;PTHR20994:SF0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_812477_cov_21.218138-augustus-gene-3.38-mRNA-1	IPR000198	PF00620;PF00169	GO:0007165	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.10.555.10;G3DSA:2.30.29.30	NA	TMhelix	PTHR23176;PTHR23176:SF94	SSF50729;SSF48350	mobidb-lite	NA	NA	Coil	PS50238;PS50003	SM00324;SM00233	Reactome: R-HSA-194840	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_26_length_427138_cov_26.846437-processed-gene-1.8-mRNA-1	IPR004840	PF13520	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PIRSF006060	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1740.10	NA	TMhelix	PTHR11785:SF360;PTHR11785	NA	mobidb-lite	NA	PS00218	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_30_length_374380_cov_23.389282-processed-gene-2.19-mRNA-1	IPR018559	PF09435	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	TMhelix	PTHR28023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_638213_cov_25.283819-augustus-gene-5.25-mRNA-1	IPR024034	PF02874;PF00006;PF16886	GO:0046034;GO:1902600;GO:0005524;GO:0015991;GO:0033180;GO:0046961	NA	NA	G3DSA:1.10.1140.10;G3DSA:2.40.50.100;G3DSA:2.40.30.20;G3DSA:3.40.50.300	cd01134	NA	PTHR43607	SSF47917;SSF50615;SSF52540	NA	NA	PS00152	NA	NA	NA	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	TIGR01042	NA	NA	MF_00309	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-7.33-mRNA-1	IPR004827	PF00170	GO:0003700;GO:0006355	NA	NA	G3DSA:3.30.160.60	cd12193	NA	PTHR11462:SF48;PTHR11462	SSF57959	mobidb-lite	NA	PS00036	Coil	PS50217	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_1133640_cov_24.555234-augustus-gene-8.32-mRNA-1	IPR020846	PF07690	GO:0016021;GO:0055085	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR23514:SF3;PTHR23514	SSF103473	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_5_length_1111637_cov_24.871330-processed-gene-5.36-mRNA-1	IPR026505	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR19346;PTHR19346:SF4	SSF103481	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_14_length_638213_cov_25.283819-augustus-gene-3.34-mRNA-1	IPR036975	PF01749;PF00514;PF16186	GO:0005634;GO:0005737;GO:0006606;GO:0008565;GO:0061608;GO:0005515	PIRSF005673	NA	G3DSA:1.20.5.690;G3DSA:1.25.10.10	NA	NA	PTHR23316:SF53;PTHR23316	SSF48371	mobidb-lite	NA	NA	Coil	PS51214;PS50176	SM00185	Reactome: R-HSA-1169408|Reactome: R-HSA-168276	NA	NA	NA	NA	NA	NA	NA
maker-NODE_25_length_427975_cov_24.897092-augustus-gene-3.47-mRNA-1	IPR039786	NA	GO:0072659	NA	NA	NA	NA	NA	PTHR12444:SF0;PTHR12444	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_17_length_563110_cov_24.829048-processed-gene-1.44-mRNA-1	IPR006935	PF04851;PF00271	GO:0003677;GO:0005524;GO:0016787;GO:0006281;GO:0043140	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:3.40.50.300;G3DSA:1.20.1320.20	cd00079;cd00046;cd12091	TMhelix	PTHR14025;PTHR14025:SF20	SSF52540	mobidb-lite	NA	PS00690	Coil	PS51194;PS51192	SM00490;SM00487	Reactome: R-HSA-6783310	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_32_length_317700_cov_23.290069-processed-gene-0.30-mRNA-1	IPR023076	PF00368;PF13323;PF12349	GO:0004420;GO:0055114;GO:0015936;GO:0050662;GO:0008299;GO:0016021;GO:0050661;GO:0016616	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.10.3270.10;G3DSA:3.90.770.10;G3DSA:3.30.70.420	cd00643	TMhelix	PTHR10572:SF2;PTHR10572	SSF56542;SSF55035	mobidb-lite	NA	PS01192;PS00066;PS00318	NA	PS50065;PS50156	NA	KEGG: 00900+1.1.1.34|MetaCyc: PWY-6174|MetaCyc: PWY-7391|MetaCyc: PWY-7524|MetaCyc: PWY-922|Reactome: R-HSA-191273|Reactome: R-HSA-1989781|Reactome: R-HSA-2426168	TIGR00533	NA	PR00071	NA	NA	NA	NA
augustus_masked-NODE_14_length_638213_cov_25.283819-processed-gene-5.59-mRNA-1	IPR008580	PF05903;PF08324;PF00085	GO:0045454	NA	NA	G3DSA:3.90.1720.30;G3DSA:3.40.30.10;G3DSA:1.25.10.10	cd02947	NA	PTHR12378:SF7;PTHR12378	SSF52833	NA	NA	PS00194	NA	PS51396;PS51352	SM01179	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_28_length_392061_cov_26.495191-processed-gene-1.12-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_12_length_714536_cov_25.462417-processed-gene-6.21-mRNA-1	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_1120656_cov_25.632235-augustus-gene-10.35-mRNA-1	IPR038770	PF00999	GO:0006812;GO:0015299;GO:0016021;GO:0055085	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	G3DSA:1.20.1530.20	NA	TMhelix	PTHR31382;PTHR31382:SF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_23_length_483063_cov_24.362872-augustus-gene-0.1-mRNA-1	IPR004910	PF03226	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_926964_cov_22.211756-processed-gene-0.0-mRNA-1	IPR003689	PF02535	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR11040:SF60;PTHR11040	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-14.23-mRNA-1	IPR035969	PF00566	NA	NA	NA	G3DSA:1.10.8.270;G3DSA:1.10.472.80	NA	NA	PTHR22957;PTHR22957:SF212	SSF47923	mobidb-lite	NA	NA	NA	PS50086	SM00164	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_9_length_812477_cov_21.218138-processed-gene-1.33-mRNA-1	IPR036599	PF04675;PF04679;PF01068;PF16589	GO:0003677;GO:0003910;GO:0006281;GO:0006310;GO:0005524;GO:0051103;GO:0003909;GO:0071897	NA	NA	G3DSA:3.30.470.30;G3DSA:3.40.50.10190;G3DSA:1.10.3260.10;G3DSA:2.40.50.140	cd07903;cd00027	NA	PTHR10459:SF7;PTHR10459	SSF117018;SSF56091;SSF50249;SSF52113	mobidb-lite	NA	PS00697	Coil	PS50160;PS50172	SM00292	Reactome: R-HSA-164843|Reactome: R-HSA-5693571	TIGR00574	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_551714_cov_24.697123-processed-gene-4.15-mRNA-1	IPR001841	PF13639;PF14599;PF05495	GO:0008270	NA	NA	G3DSA:3.30.40.10;G3DSA:2.20.28.10	cd16464	NA	PTHR21319;PTHR21319:SF0	SSF57850;SSF161245;SSF161219	mobidb-lite	NA	NA	NA	PS51266;PS50089;PS51270	SM00184	Reactome: R-HSA-110320|Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_13_length_662468_cov_22.365061-processed-gene-5.37-mRNA-1	IPR029058	PF01764	GO:0006629	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	G3DSA:3.40.50.1820	cd00519	TMhelix	PTHR21493;PTHR21493:SF235	SSF53474	NA	SignalP-noTM	NA	NA	NA	NA	Reactome: R-HSA-426048	NA	SignalP-TM	NA	NA	SignalP-noTM	NA	NA
maker-NODE_4_length_1120656_cov_25.632235-augustus-gene-1.36-mRNA-1	IPR020846	PF00083	GO:0016021;GO:0022857;GO:0055085	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.20.1250.20	cd06174	TMhelix	PTHR23508;PTHR23508:SF10	SSF103473	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_11_length_781200_cov_24.806976-augustus-gene-4.7-mRNA-1	IPR000253	PF00498	GO:0005515	NA	NA	G3DSA:2.60.200.20	cd00060	NA	PTHR15715:SF37;PTHR15715	SSF49879	mobidb-lite	NA	NA	Coil	PS50006	SM00240	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_20_length_530916_cov_24.776642-processed-gene-2.5-mRNA-1	IPR004000	PF00022		NA	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	PTHR11937;PTHR11937:SF14	SSF53067	mobidb-lite	NA	NA	NA	NA	SM00268	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6798695|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_1133640_cov_24.555234-augustus-gene-3.25-mRNA-1	IPR036047	NA	GO:0005515	NA	NA	G3DSA:2.130.10.10	NA	NA	NA	SSF81383;SSF101898	mobidb-lite	NA	NA	Coil	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_7_length_981326_cov_21.713968-processed-gene-5.1-mRNA-1	IPR001609	PF00063;PF08766;PF03142;PF00173	GO:0003774;GO:0005524;GO:0016459;GO:0016758	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	cd14879	TMhelix	PTHR22914:SF16;PTHR22914	SSF55856;SSF109715;SSF53448;SSF52540	mobidb-lite	NA	NA	NA	PS51456	SM01117;SM00242	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981	NA	NA	PR00193	NA	NA	NA	NA
maker-NODE_20_length_530916_cov_24.776642-augustus-gene-1.0-mRNA-1	IPR006689	PF00025	GO:0005525	NA	NA	G3DSA:3.40.50.300	cd04159	NA	PTHR11711;PTHR11711:SF293	SSF52540	NA	NA	NA	NA	PS51417	SM00175;SM00177;SM00178	NA	TIGR00231	NA	PR00328	NA	NA	NA	NA
maker-NODE_36_length_260573_cov_26.882064-augustus-gene-0.32-mRNA-1	IPR003123	PF02204		NA	NA	G3DSA:1.20.1050.80	NA	NA	PTHR23101;PTHR23101:SF97	SSF109993	mobidb-lite	NA	NA	Coil	PS51205	SM00167	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA
