Gene	interpro	GO	Gene3D	MobiDBLite	Pfam	PANTHER	ProSitePatterns	SMART	SUPERFAMILY	ProSiteProfiles	PRINTS	CDD	PATHWAY	TIGRFAM	Hamap	PIRSF	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	ProDom
PTB78826.1	IPR022417	GO:0004418;GO:0033014	G3DSA:3.40.190.10	mobidb-lite	PF01379	PTHR11557:SF0;PTHR11557	NA	NA	SSF53850	NA	PR00151	NA	KEGG: 00860+2.5.1.61|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81261.1	IPR029295	GO:0042393;GO:0005515;GO:0005524;GO:0005634;GO:0006355	G3DSA:1.20.920.10;G3DSA:3.40.50.10810;G3DSA:1.20.5.170;G3DSA:3.40.50.300	mobidb-lite	PF00439;PF14619;PF08880;PF00271;PF07529;PF00176	PTHR10799;PTHR10799:SF836	NA	SM01314;SM00487;SM00490;SM00573;SM00297;SM00951	SSF52540;SSF47370	PS51192;PS51194;PS50014;PS51666;PS51204	PR00503	cd00079;cd00046	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78820.1	IPR010730	NA	NA	NA	PF06985	PTHR24148:SF57;PTHR24148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77222.1	IPR014840	NA	NA	mobidb-lite	PF08729	PTHR21669:SF23;PTHR21669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72601.1	IPR002204	GO:0016491;GO:0055114;GO:0050661;GO:0051287	G3DSA:1.10.1040.10;G3DSA:3.40.50.720	NA	PF03446;PF14833	PTHR43580	PS00895	NA	SSF48179;SSF51735	NA	NA	NA	Reactome: R-HSA-70895	NA	NA	PIRSF000103	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA
PTB78024.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003676	G3DSA:4.10.240.10	mobidb-lite	PF00172	PTHR31986;PTHR31986:SF11	PS00463	SM00066	SSF57701	PS50048;PS50157	PR00755	cd00067	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	Coil	NA
PTB80825.1	IPR002591	GO:0003824;GO:0005789;GO:0006506;GO:0016740;GO:0016021;GO:0051377	G3DSA:3.40.720.10	NA	PF01663;PF04987	PTHR12250	NA	NA	SSF53649	NA	NA	cd16020	Reactome: R-HSA-162710	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79452.1	IPR040008	GO:0003735	G3DSA:3.90.79.10	NA	PF11788	PTHR13124	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA
PTB76326.1	IPR033939	GO:0004084;GO:0009081;GO:0003824	G3DSA:3.30.470.10;G3DSA:3.20.10.10	NA	PF01063	PTHR42825;PTHR42825:SF2	NA	NA	SSF56752	NA	NA	cd01557	KEGG: 00270+2.6.1.42|KEGG: 00280+2.6.1.42|KEGG: 00290+2.6.1.42|KEGG: 00770+2.6.1.42|KEGG: 00966+2.6.1.42|MetaCyc: PWY-5057|MetaCyc: PWY-5076|MetaCyc: PWY-5078|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-5108|MetaCyc: PWY-7767|Reactome: R-HSA-70895	NA	NA	PIRSF006468	NA	NA	NA	NA	NA	NA	NA	NA
PTB75356.1	IPR018822	NA	NA	mobidb-lite	PF10336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB80348.1	IPR011545	GO:0003676;GO:0005524	G3DSA:3.40.50.300	mobidb-lite	PF00270;PF00271	PTHR24031:SF356;PTHR24031	PS00039	SM00487;SM00490	SSF52540	PS51194;PS51195;PS51192	NA	cd00079;cd00268	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	SignalP-TM	NA	NA
PTB79314.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB71462.1	IPR012302	GO:0051287;GO:0004470;GO:0004471;GO:0055114	G3DSA:3.40.50.10380;G3DSA:3.40.50.720	NA	PF03949;PF00390	PTHR23406:SF34;PTHR23406	PS00331	SM00919;SM01274	SSF53223;SSF51735	NA	PR00072	NA	NA	NA	NA	PIRSF000106	NA	NA	NA	NA	NA	NA	NA	NA
PTB77410.1	IPR023271	GO:0015267;GO:0016020;GO:0055085	G3DSA:1.20.1080.10	mobidb-lite	PF00230	PTHR19139:SF124;PTHR19139	NA	NA	SSF81338	NA	PR00783	NA	Reactome: R-HSA-432047	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB74543.1	IPR008814	GO:0006487;GO:0008250;GO:0016021	NA	NA	PF05817	PTHR12640	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1799339|Reactome: R-HSA-446203	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB81809.1	IPR001680	GO:0005515;GO:0007165	G3DSA:2.130.10.10	NA	PF00400	PTHR19850:SF47;PTHR19850	PS00678	SM00320	SSF50978	PS50082;PS50294	PR00319;PR00320	cd00200	Reactome: R-HSA-163359|Reactome: R-HSA-202040|Reactome: R-HSA-381676|Reactome: R-HSA-392170|Reactome: R-HSA-392451|Reactome: R-HSA-392851|Reactome: R-HSA-400042|Reactome: R-HSA-4086398|Reactome: R-HSA-416476|Reactome: R-HSA-416482|Reactome: R-HSA-418217|Reactome: R-HSA-418555|Reactome: R-HSA-418592|Reactome: R-HSA-418594|Reactome: R-HSA-418597|Reactome: R-HSA-420092|Reactome: R-HSA-428930|Reactome: R-HSA-432040|Reactome: R-HSA-456926|Reactome: R-HSA-500657|Reactome: R-HSA-6814122	NA	NA	PIRSF002394	NA	NA	NA	NA	NA	NA	Coil	NA
PTB72851.1	IPR012310	GO:0003910;GO:0005524;GO:0006281;GO:0006310;GO:0003677;GO:0003909;GO:0051103;GO:0071897	G3DSA:3.30.470.30;G3DSA:3.30.1490.70;G3DSA:1.10.3260.10;G3DSA:2.40.50.140	mobidb-lite	PF04679;PF01068;PF04675	PTHR10459;PTHR10459:SF10	PS00697;PS00333	NA	SSF117018;SSF56091;SSF50249	PS50160	NA	cd07969;cd07900	NA	TIGR00574	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB73223.1	IPR007603		NA	mobidb-lite	PF04515	PTHR12385:SF73;PTHR12385	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1483191|Reactome: R-HSA-425366	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB74047.1	IPR003593	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	G3DSA:3.40.50.300	NA	PF00005;PF06472	PTHR11384;PTHR11384:SF13	PS00211	SM00382	SSF52540	PS50893;PS50929	NA	cd03223	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	Coil	NA
PTB74385.1	IPR009449	GO:0005085	NA	mobidb-lite	PF06428	PTHR14430;PTHR14430:SF4	NA	NA	SSF144284	NA	NA	NA	Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75755.1	IPR001202	GO:0005515	G3DSA:2.20.70.10	mobidb-lite	PF00397	PTHR23181;PTHR23181:SF11	PS01159	SM00456	SSF51045	PS50020	NA	cd00201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79960.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72961.1	IPR036223	GO:0003779;GO:0007010;GO:0007015;GO:0000902	G3DSA:1.25.40.330;G3DSA:2.160.20.70	mobidb-lite	PF08603;PF01213	PTHR10652:SF0;PTHR10652	PS01088	SM00673	SSF69340;SSF101278	PS51329	NA	NA	Reactome: R-HSA-428890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75462.1	IPR001300	GO:0004198;GO:0005622;GO:0006508	G3DSA:3.90.70.10;G3DSA:2.60.120.380	mobidb-lite	PF00648;PF01067	PTHR10183;PTHR10183:SF22	NA	SM00720;SM00230	SSF54001;SSF49758	PS50203	NA	cd00044	Reactome: R-HSA-1474228	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB76738.1	IPR013320	GO:0004553;GO:0005975	NA	mobidb-lite	PF00722	PTHR10963:SF28;PTHR10963	NA	NA	SSF49899	PS51762	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80489.1	IPR014480	GO:0008496;GO:0016052;GO:0003824	G3DSA:1.50.10.20	NA	PF03663	PTHR12145:SF25;PTHR12145	NA	NA	SSF48208	NA	NA	NA	NA	NA	NA	PIRSF016302	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION	NA	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB77572.1	IPR016135		G3DSA:3.10.110.10	NA	PF00179	PTHR43972:SF1;PTHR43972	NA	SM00212	SSF54495	PS50127	NA	cd00195	Reactome: R-HSA-983168	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB74279.1	IPR027417	GO:0000723;GO:0003678;GO:0006281	G3DSA:3.40.50.300	mobidb-lite	PF05970	PTHR23274:SF28;PTHR23274	NA	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB77963.1	IPR001269	GO:0008033;GO:0017150;GO:0050660;GO:0055114;GO:0003824	G3DSA:3.20.20.70	mobidb-lite	PF01207	PTHR11082;PTHR11082:SF8	PS01136	NA	SSF51395	NA	NA	cd02801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB75990.1	NA	NA	NA	mobidb-lite	NA	PTHR10351:SF46;PTHR10351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79312.1	IPR006195	GO:0000166;GO:0004820;GO:0005524;GO:0005737;GO:0006426;GO:0004812;GO:0006418	G3DSA:1.20.1430.20;G3DSA:1.10.30.30;G3DSA:3.30.930.10;G3DSA:3.40.50.800	NA	PF00587;PF03129	PTHR10745;PTHR10745:SF0	NA	NA	SSF55681;SSF52954	PS50862	PR01043	cd00774;cd00858	KEGG: 00970+6.1.1.14|Reactome: R-HSA-379716|Reactome: R-HSA-379726	TIGR00389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71616.1	IPR001163	GO:0000956	G3DSA:2.30.30.100	mobidb-lite	PF01423	PTHR15588;PTHR15588:SF8	NA	SM00651	SSF50182	NA	NA	cd01728	Reactome: R-HSA-430039	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB71249.1	IPR020841	GO:0016740;GO:0003824;GO:0009058;GO:0016788;GO:0031177	G3DSA:3.40.366.10;G3DSA:3.40.47.10;G3DSA:1.10.1200.10;G3DSA:3.40.50.1820;G3DSA:3.30.70.3290;G3DSA:3.10.129.110	mobidb-lite	PF14765;PF00550;PF16073;PF00975;PF02801;PF00109;PF00698	PTHR43775:SF12;PTHR43775	PS00606;PS00012	SM00825;SM00827;SM00823	SSF53901;SSF47336;SSF55048;SSF52151;SSF53474	PS50075	NA	cd00833	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	TIGR04532	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78330.1	IPR015920	NA	G3DSA:2.60.40.1210;G3DSA:1.20.120.1770	mobidb-lite	PF16010;PF03188	PTHR23130:SF115;PTHR23130	NA	SM00665	SSF49344	NA	NA	cd09630;cd08760	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB74177.1	IPR031837	NA	G3DSA:1.25.40.750	NA	PF16804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75481.1	IPR000834	GO:0004181;GO:0006508;GO:0008270	G3DSA:3.40.630.10	NA	PF00246	PTHR11705;PTHR11705:SF115	NA	SM00631	SSF53187;SSF54897	NA	PR00765	cd06248	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB73158.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	NA	NA	NA	NA	NA	NA	NA
PTB78037.1	IPR013785	GO:0003824;GO:0003855	G3DSA:3.20.20.70	NA	PF01487	PTHR43783:SF1;PTHR43783	NA	NA	SSF51569	NA	NA	cd00502	KEGG: 00400+4.2.1.10|MetaCyc: PWY-6163|MetaCyc: PWY-6416|MetaCyc: PWY-6707	TIGR01093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80832.1	IPR009057	GO:0003677;GO:0005515	G3DSA:1.10.10.60;G3DSA:1.10.10.10	mobidb-lite	PF16495;PF04433;PF00249	PTHR12802:SF41;PTHR12802	NA	SM00717	SSF46689	PS51293;PS50934	NA	cd02336;cd00167	Reactome: R-HSA-3214858|Reactome: R-HSA-8939243	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB79267.1	IPR021740	NA	G3DSA:2.60.40.3960	mobidb-lite	PF11754	PTHR33572;PTHR33572:SF11	NA	NA	NA	PS51821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81013.1	IPR036812	GO:0006750;GO:0035226	G3DSA:3.20.20.100	NA	PF00248	PTHR13295	NA	NA	SSF51430	NA	NA	NA	Reactome: R-HSA-174403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74469.1	IPR002656	GO:0016747	NA	mobidb-lite	PF01757	PTHR23028:SF53;PTHR23028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB81559.1	IPR000608		G3DSA:3.10.110.10	NA	PF00179	PTHR44158	NA	SM00212	SSF54495	PS50127	NA	cd00195	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71097.1	IPR011701	GO:0016021;GO:0055085	G3DSA:1.20.1250.20	NA	PF07690	PTHR23502:SF132;PTHR23502	NA	NA	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB76159.1	IPR007135		NA	NA	PF03987	PTHR14957	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-1632852	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB72589.1	NA	NA	NA	NA	NA	PTHR33048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB79362.1	IPR016073	GO:0006511	G3DSA:3.30.710.10	NA	PF03931;PF01466	PTHR11165:SF24;PTHR11165	NA	SM00512	SSF54695;SSF81382	NA	NA	NA	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	NA	NA	PIRSF028729	NA	NA	NA	NA	NA	NA	NA	NA
PTB79089.1	IPR025554	NA	NA	mobidb-lite	PF13600;PF13598	PTHR31005;PTHR31005:SF8	NA	NA	NA	NA	NA	NA	NA	TIGR02231	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB77337.1	IPR002213	GO:0016758	G3DSA:3.40.50.2000	NA	PF00201	PTHR11926:SF716;PTHR11926	NA	NA	SSF53756	NA	NA	NA	Reactome: R-HSA-156588	NA	NA	NA	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB71976.1	IPR036259	GO:0016021;GO:0055085;GO:0005215	NA	mobidb-lite	PF07690	PTHR23501;PTHR23501:SF43	PS00216	NA	SSF103473	PS50850	PR01036	cd06174	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80138.1	IPR029071	GO:0005515	G3DSA:3.40.30.10;G3DSA:3.10.20.90	mobidb-lite	PF00789	PTHR13020;PTHR13020:SF34	NA	SM00166	SSF54236;SSF52833	PS50033	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	Coil	NA
PTB71566.1	IPR013657	GO:0055085	NA	mobidb-lite	PF08449	PTHR10778:SF4;PTHR10778	NA	NA	NA	NA	NA	NA	NA	TIGR00803	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	Coil	NA
PTB81701.1	IPR002042	GO:0004846;GO:0006144;GO:0055114	G3DSA:3.10.270.10	NA	PF01014	PTHR42874	PS00366	NA	SSF55620	NA	PR00093	NA	KEGG: 00230+1.7.3.3|KEGG: 00232+1.7.3.3|MetaCyc: PWY-5691	TIGR03383	NA	PIRSF000241	NA	NA	NA	NA	NA	NA	NA	PD003367
PTB81198.1	IPR036872	GO:0005515;GO:0005509	G3DSA:1.10.418.10;G3DSA:1.10.238.10;G3DSA:1.20.58.60	mobidb-lite	PF00307;PF08726	PTHR45399	PS00018;PS00019;PS00020	SM01184;SM00033	SSF47473;SSF46966;SSF47576	PS50021;PS50222	NA	cd00051;cd00014	Reactome: R-HSA-373753	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75956.1	IPR013830	GO:0016788	G3DSA:3.40.50.1110	NA	PF13472	PTHR30383;PTHR30383:SF4	NA	NA	SSF52266	NA	NA	cd01823;cd01833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80748.1	IPR020846	GO:0005215;GO:0016021;GO:0055085;GO:0022857;GO:0016020	G3DSA:1.20.1250.20	NA	PF00083	PTHR23500:SF117;PTHR23500	PS00217	NA	SSF103473	PS50850	PR00171	cd06174	Reactome: R-HSA-189200	TIGR00879	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB76827.1	IPR006634	GO:0016021	NA	mobidb-lite	PF03798;PF08390	PTHR12560:SF0;PTHR12560	NA	SM00724	NA	PS50922	NA	NA	Reactome: R-HSA-1660661	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB74936.1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	G3DSA:1.20.1250.20	NA	PF00083	PTHR23503;PTHR23503:SF8	PS00217	NA	SSF103473	PS50850	PR00171	cd06174	Reactome: R-HSA-189200	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB72354.1	IPR011701	GO:0016021;GO:0055085	G3DSA:1.20.1250.20	NA	PF07690	PTHR43791:SF68;PTHR43791	NA	NA	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
PTB81241.1	IPR035969	NA	G3DSA:1.10.8.270;G3DSA:1.10.472.80;G3DSA:1.10.10.750	mobidb-lite	PF00566	PTHR22957:SF452;PTHR22957	NA	SM00164	SSF47923	PS50086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB75328.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	Coil	NA
PTB73924.1	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	NA	NA	NA	NA
PTB78635.1	IPR001650	GO:0005524;GO:0046872	G3DSA:3.30.40.10;G3DSA:3.40.50.10810	mobidb-lite	PF00176;PF00271;PF00097	PTHR10799:SF848;PTHR10799	PS00518	SM00490;SM00487;SM00184	SSF52540;SSF57850	PS51192;PS51194;PS50089	NA	cd00079;cd00046;cd16567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78386.1	IPR000008	GO:1903474	G3DSA:2.60.40.150	mobidb-lite	PF00168	PTHR10774:SF151;PTHR10774	NA	SM00239	SSF49562	PS50004	NA	cd08681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB80650.1	IPR000608		G3DSA:3.10.110.10	NA	PF00179	PTHR24067:SF3;PTHR24067	PS00183	SM00212	SSF54495	PS50127	NA	cd00195	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB77055.1	IPR008672	GO:0007094	NA	mobidb-lite	PF05557	PTHR23168	NA	NA	NA	NA	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB72656.1	IPR006913	GO:0016846	G3DSA:3.90.1590.10	NA	PF04828	PTHR33337;PTHR33337:SF2	NA	NA	SSF51316	NA	NA	NA	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79461.1	IPR013268	GO:0006364;GO:0030515	NA	mobidb-lite	PF08297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
PTB78602.1	IPR010989	GO:0016020;GO:0016192;GO:0048193	G3DSA:1.20.5.110;G3DSA:1.20.58.90	NA	PF09177	PTHR19957;PTHR19957:SF124	NA	SM00397	SSF58038;SSF47661	PS50192	NA	cd15851	Reactome: R-HSA-6811440	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	Coil	NA
PTB81192.1	IPR015958	GO:0005887;GO:0015079;GO:0030007;GO:0071805;GO:0016021;GO:0006812;GO:0008324;GO:0055085	NA	mobidb-lite	PF02386	PTHR31064;PTHR31064:SF10	NA	NA	NA	NA	NA	NA	NA	TIGR00934	NA	PIRSF002450	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80103.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	G3DSA:3.50.50.60	NA	PF00743	PTHR42877;PTHR42877:SF5	NA	NA	SSF51905	PS51257	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
PTB72878.1	IPR029058	GO:0006629	G3DSA:3.40.50.1820	mobidb-lite	PF04083	PTHR11005;PTHR11005:SF76	NA	NA	SSF53474	NA	NA	NA	Reactome: R-HSA-6809371	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA
PTB74382.1	NA	NA	NA	mobidb-lite	NA	PTHR36089	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	SignalP-noTM	NA	SignalP-noTM	SignalP-TM	NA	PD039572
